"scenario_id","scenario_name","carbon_tax","_objective_renovation","sub_heat","learning_rate_heat","_success_objective_renovation","_realization_rate_renovation","_remove_barriers_renovation"
"64","S64","","deep_renovation","half_carbon","constant","0.75","0.75","FALSE"
"65","S65","EUETS","deep_renovation","half_carbon","constant","0.75","0.75","FALSE"
"66","S66","social","deep_renovation","half_carbon","constant","0.75","0.75","FALSE"
"67","S67","","renovation","carbon","constant","0.75","0.75","FALSE"
"68","S68","EUETS","renovation","carbon","constant","0.75","0.75","FALSE"
"69","S69","social","renovation","carbon","constant","0.75","0.75","FALSE"
"70","S70","","deep_renovation","carbon","constant","0.75","0.75","FALSE"
"71","S71","EUETS","deep_renovation","carbon","constant","0.75","0.75","FALSE"
"72","S72","social","deep_renovation","carbon","constant","0.75","0.75","FALSE"
"73","S73","","renovation","","","0.75","0.75","FALSE"
"74","S74","EUETS","renovation","","","0.75","0.75","FALSE"
"75","S75","social","renovation","","","0.75","0.75","FALSE"
"76","S76","","deep_renovation","","","0.75","0.75","FALSE"
"77","S77","EUETS","deep_renovation","","","0.75","0.75","FALSE"
"78","S78","social","deep_renovation","","","0.75","0.75","FALSE"
"79","S79","","renovation","half_carbon","","0.75","0.75","FALSE"
"80","S80","EUETS","renovation","half_carbon","","0.75","0.75","FALSE"
"81","S81","social","renovation","half_carbon","","0.75","0.75","FALSE"
"82","S82","","deep_renovation","half_carbon","","0.75","0.75","FALSE"
"83","S83","EUETS","deep_renovation","half_carbon","","0.75","0.75","FALSE"
"84","S84","social","deep_renovation","half_carbon","","0.75","0.75","FALSE"
"85","S85","","renovation","carbon","","0.75","0.75","FALSE"
"86","S86","EUETS","renovation","carbon","","0.75","0.75","FALSE"
"87","S87","social","renovation","carbon","","0.75","0.75","FALSE"
"88","S88","","deep_renovation","carbon","","0.75","0.75","FALSE"
"89","S89","EUETS","deep_renovation","carbon","","0.75","0.75","FALSE"
"90","S90","social","deep_renovation","carbon","","0.75","0.75","FALSE"
"91","S91","","","","constant","1","1","FALSE"
"92","S92","EUETS","","","constant","1","1","FALSE"
"93","S93","social","","","constant","1","1","FALSE"
"94","S94","","renovation","","constant","1","1","FALSE"
"95","S95","EUETS","renovation","","constant","1","1","FALSE"
"96","S96","social","renovation","","constant","1","1","FALSE"
"97","S97","","deep_renovation","","constant","1","1","FALSE"
"98","S98","EUETS","deep_renovation","","constant","1","1","FALSE"
"99","S99","social","deep_renovation","","constant","1","1","FALSE"
"100","S100","","","half_carbon","constant","1","1","FALSE"
"101","S101","EUETS","","half_carbon","constant","1","1","FALSE"
"102","S102","social","","half_carbon","constant","1","1","FALSE"
"103","S103","","renovation","half_carbon","constant","1","1","FALSE"
"104","S104","EUETS","renovation","half_carbon","constant","1","1","FALSE"
"105","S105","social","renovation","half_carbon","constant","1","1","FALSE"
"106","S106","","deep_renovation","half_carbon","constant","1","1","FALSE"
"107","S107","EUETS","deep_renovation","half_carbon","constant","1","1","FALSE"
"108","S108","social","deep_renovation","half_carbon","constant","1","1","FALSE"
"109","S109","","","carbon","constant","1","1","FALSE"
"110","S110","EUETS","","carbon","constant","1","1","FALSE"
"111","S111","social","","carbon","constant","1","1","FALSE"
"112","S112","","renovation","carbon","constant","1","1","FALSE"
"113","S113","EUETS","renovation","carbon","constant","1","1","FALSE"
"114","S114","social","renovation","carbon","constant","1","1","FALSE"
"115","S115","","deep_renovation","carbon","constant","1","1","FALSE"
"116","S116","EUETS","deep_renovation","carbon","constant","1","1","FALSE"
"117","S117","social","deep_renovation","carbon","constant","1","1","FALSE"
"118","S118","","","","","1","1","FALSE"
"119","S119","EUETS","","","","1","1","FALSE"
"120","S120","social","","","","1","1","FALSE"
"121","S121","","renovation","","","1","1","FALSE"
"122","S122","EUETS","renovation","","","1","1","FALSE"
"123","S123","social","renovation","","","1","1","FALSE"
"124","S124","","deep_renovation","","","1","1","FALSE"
"125","S125","EUETS","deep_renovation","","","1","1","FALSE"
"126","S126","social","deep_renovation","","","1","1","FALSE"
"127","S127","","","half_carbon","","1","1","FALSE"
"128","S128","EUETS","","half_carbon","","1","1","FALSE"
"129","S129","social","","half_carbon","","1","1","FALSE"
"130","S130","","renovation","half_carbon","","1","1","FALSE"
"131","S131","EUETS","renovation","half_carbon","","1","1","FALSE"
"132","S132","social","renovation","half_carbon","","1","1","FALSE"
"133","S133","","deep_renovation","half_carbon","","1","1","FALSE"
"134","S134","EUETS","deep_renovation","half_carbon","","1","1","FALSE"
"135","S135","social","deep_renovation","half_carbon","","1","1","FALSE"
"136","S136","","","carbon","","1","1","FALSE"
"137","S137","EUETS","","carbon","","1","1","FALSE"
"138","S138","social","","carbon","","1","1","FALSE"
"139","S139","","renovation","carbon","","1","1","FALSE"
"140","S140","EUETS","renovation","carbon","","1","1","FALSE"
"141","S141","social","renovation","carbon","","1","1","FALSE"
"142","S142","","deep_renovation","carbon","","1","1","FALSE"
"143","S143","EUETS","deep_renovation","carbon","","1","1","FALSE"
"144","S144","social","deep_renovation","carbon","","1","1","FALSE"
"145","S145","","renovation","","constant","0.75","1","FALSE"
"146","S146","EUETS","renovation","","constant","0.75","1","FALSE"
"147","S147","social","renovation","","constant","0.75","1","FALSE"
"148","S148","","deep_renovation","","constant","0.75","1","FALSE"
"149","S149","EUETS","deep_renovation","","constant","0.75","1","FALSE"
"150","S150","social","deep_renovation","","constant","0.75","1","FALSE"
"151","S151","","renovation","half_carbon","constant","0.75","1","FALSE"
"152","S152","EUETS","renovation","half_carbon","constant","0.75","1","FALSE"
"153","S153","social","renovation","half_carbon","constant","0.75","1","FALSE"
"154","S154","","deep_renovation","half_carbon","constant","0.75","1","FALSE"
"155","S155","EUETS","deep_renovation","half_carbon","constant","0.75","1","FALSE"
"156","S156","social","deep_renovation","half_carbon","constant","0.75","1","FALSE"
"157","S157","","renovation","carbon","constant","0.75","1","FALSE"
"158","S158","EUETS","renovation","carbon","constant","0.75","1","FALSE"
"159","S159","social","renovation","carbon","constant","0.75","1","FALSE"
"160","S160","","deep_renovation","carbon","constant","0.75","1","FALSE"
"161","S161","EUETS","deep_renovation","carbon","constant","0.75","1","FALSE"
"162","S162","social","deep_renovation","carbon","constant","0.75","1","FALSE"
"163","S163","","renovation","","","0.75","1","FALSE"
"164","S164","EUETS","renovation","","","0.75","1","FALSE"
"165","S165","social","renovation","","","0.75","1","FALSE"
"166","S166","","deep_renovation","","","0.75","1","FALSE"
"167","S167","EUETS","deep_renovation","","","0.75","1","FALSE"
"168","S168","social","deep_renovation","","","0.75","1","FALSE"
"169","S169","","renovation","half_carbon","","0.75","1","FALSE"
"170","S170","EUETS","renovation","half_carbon","","0.75","1","FALSE"
"171","S171","social","renovation","half_carbon","","0.75","1","FALSE"
"172","S172","","deep_renovation","half_carbon","","0.75","1","FALSE"
"173","S173","EUETS","deep_renovation","half_carbon","","0.75","1","FALSE"
"174","S174","social","deep_renovation","half_carbon","","0.75","1","FALSE"
"175","S175","","renovation","carbon","","0.75","1","FALSE"
"176","S176","EUETS","renovation","carbon","","0.75","1","FALSE"
"177","S177","social","renovation","carbon","","0.75","1","FALSE"
"178","S178","","deep_renovation","carbon","","0.75","1","FALSE"
"179","S179","EUETS","deep_renovation","carbon","","0.75","1","FALSE"
"180","S180","social","deep_renovation","carbon","","0.75","1","FALSE"
"181","S181","","","","constant","1","0.75","TRUE"
"182","S182","EUETS","","","constant","1","0.75","TRUE"
"183","S183","social","","","constant","1","0.75","TRUE"
"184","S184","","renovation","","constant","1","0.75","TRUE"
"185","S185","EUETS","renovation","","constant","1","0.75","TRUE"
"186","S186","social","renovation","","constant","1","0.75","TRUE"
"187","S187","","deep_renovation","","constant","1","0.75","TRUE"
"188","S188","EUETS","deep_renovation","","constant","1","0.75","TRUE"
"189","S189","social","deep_renovation","","constant","1","0.75","TRUE"
"190","S190","","","half_carbon","constant","1","0.75","TRUE"
"191","S191","EUETS","","half_carbon","constant","1","0.75","TRUE"
"192","S192","social","","half_carbon","constant","1","0.75","TRUE"
"193","S193","","renovation","half_carbon","constant","1","0.75","TRUE"
"194","S194","EUETS","renovation","half_carbon","constant","1","0.75","TRUE"
"195","S195","social","renovation","half_carbon","constant","1","0.75","TRUE"
"196","S196","","deep_renovation","half_carbon","constant","1","0.75","TRUE"
"197","S197","EUETS","deep_renovation","half_carbon","constant","1","0.75","TRUE"
"198","S198","social","deep_renovation","half_carbon","constant","1","0.75","TRUE"
"199","S199","","","carbon","constant","1","0.75","TRUE"
"200","S200","EUETS","","carbon","constant","1","0.75","TRUE"
"201","S201","social","","carbon","constant","1","0.75","TRUE"
"202","S202","","renovation","carbon","constant","1","0.75","TRUE"
"203","S203","EUETS","renovation","carbon","constant","1","0.75","TRUE"
"204","S204","social","renovation","carbon","constant","1","0.75","TRUE"
"205","S205","","deep_renovation","carbon","constant","1","0.75","TRUE"
"206","S206","EUETS","deep_renovation","carbon","constant","1","0.75","TRUE"
"207","S207","social","deep_renovation","carbon","constant","1","0.75","TRUE"
"208","S208","","","","","1","0.75","TRUE"
"209","S209","EUETS","","","","1","0.75","TRUE"
"210","S210","social","","","","1","0.75","TRUE"
"211","S211","","renovation","","","1","0.75","TRUE"
"212","S212","EUETS","renovation","","","1","0.75","TRUE"
"213","S213","social","renovation","","","1","0.75","TRUE"
"214","S214","","deep_renovation","","","1","0.75","TRUE"
"215","S215","EUETS","deep_renovation","","","1","0.75","TRUE"
"216","S216","social","deep_renovation","","","1","0.75","TRUE"
"217","S217","","","half_carbon","","1","0.75","TRUE"
"218","S218","EUETS","","half_carbon","","1","0.75","TRUE"
"219","S219","social","","half_carbon","","1","0.75","TRUE"
"220","S220","","renovation","half_carbon","","1","0.75","TRUE"
"221","S221","EUETS","renovation","half_carbon","","1","0.75","TRUE"
"222","S222","social","renovation","half_carbon","","1","0.75","TRUE"
"223","S223","","deep_renovation","half_carbon","","1","0.75","TRUE"
"224","S224","EUETS","deep_renovation","half_carbon","","1","0.75","TRUE"
"225","S225","social","deep_renovation","half_carbon","","1","0.75","TRUE"
"226","S226","","","carbon","","1","0.75","TRUE"
"227","S227","EUETS","","carbon","","1","0.75","TRUE"
"228","S228","social","","carbon","","1","0.75","TRUE"
"229","S229","","renovation","carbon","","1","0.75","TRUE"
"230","S230","EUETS","renovation","carbon","","1","0.75","TRUE"
"231","S231","social","renovation","carbon","","1","0.75","TRUE"
"232","S232","","deep_renovation","carbon","","1","0.75","TRUE"
"233","S233","EUETS","deep_renovation","carbon","","1","0.75","TRUE"
"234","S234","social","deep_renovation","carbon","","1","0.75","TRUE"
"235","S235","","renovation","","constant","0.75","0.75","TRUE"
"236","S236","EUETS","renovation","","constant","0.75","0.75","TRUE"
"237","S237","social","renovation","","constant","0.75","0.75","TRUE"
"238","S238","","deep_renovation","","constant","0.75","0.75","TRUE"
"239","S239","EUETS","deep_renovation","","constant","0.75","0.75","TRUE"
"240","S240","social","deep_renovation","","constant","0.75","0.75","TRUE"
"241","S241","","renovation","half_carbon","constant","0.75","0.75","TRUE"
"242","S242","EUETS","renovation","half_carbon","constant","0.75","0.75","TRUE"
"243","S243","social","renovation","half_carbon","constant","0.75","0.75","TRUE"
"244","S244","","deep_renovation","half_carbon","constant","0.75","0.75","TRUE"
"245","S245","EUETS","deep_renovation","half_carbon","constant","0.75","0.75","TRUE"
"246","S246","social","deep_renovation","half_carbon","constant","0.75","0.75","TRUE"
"247","S247","","renovation","carbon","constant","0.75","0.75","TRUE"
"248","S248","EUETS","renovation","carbon","constant","0.75","0.75","TRUE"
"249","S249","social","renovation","carbon","constant","0.75","0.75","TRUE"
"250","S250","","deep_renovation","carbon","constant","0.75","0.75","TRUE"
"251","S251","EUETS","deep_renovation","carbon","constant","0.75","0.75","TRUE"
"252","S252","social","deep_renovation","carbon","constant","0.75","0.75","TRUE"
"253","S253","","renovation","","","0.75","0.75","TRUE"
"254","S254","EUETS","renovation","","","0.75","0.75","TRUE"
"255","S255","social","renovation","","","0.75","0.75","TRUE"
"256","S256","","deep_renovation","","","0.75","0.75","TRUE"
"257","S257","EUETS","deep_renovation","","","0.75","0.75","TRUE"
"258","S258","social","deep_renovation","","","0.75","0.75","TRUE"
"259","S259","","renovation","half_carbon","","0.75","0.75","TRUE"
"260","S260","EUETS","renovation","half_carbon","","0.75","0.75","TRUE"
"261","S261","social","renovation","half_carbon","","0.75","0.75","TRUE"
"262","S262","","deep_renovation","half_carbon","","0.75","0.75","TRUE"
"263","S263","EUETS","deep_renovation","half_carbon","","0.75","0.75","TRUE"
"264","S264","social","deep_renovation","half_carbon","","0.75","0.75","TRUE"
"265","S265","","renovation","carbon","","0.75","0.75","TRUE"
"266","S266","EUETS","renovation","carbon","","0.75","0.75","TRUE"
"267","S267","social","renovation","carbon","","0.75","0.75","TRUE"
"268","S268","","deep_renovation","carbon","","0.75","0.75","TRUE"
"269","S269","EUETS","deep_renovation","carbon","","0.75","0.75","TRUE"
"270","S270","social","deep_renovation","carbon","","0.75","0.75","TRUE"
"271","S271","","","","constant","1","1","TRUE"
"272","S272","EUETS","","","constant","1","1","TRUE"
"273","S273","social","","","constant","1","1","TRUE"
"274","S274","","renovation","","constant","1","1","TRUE"
"275","S275","EUETS","renovation","","constant","1","1","TRUE"
"276","S276","social","renovation","","constant","1","1","TRUE"
"277","S277","","deep_renovation","","constant","1","1","TRUE"
"278","S278","EUETS","deep_renovation","","constant","1","1","TRUE"
"279","S279","social","deep_renovation","","constant","1","1","TRUE"
"280","S280","","","half_carbon","constant","1","1","TRUE"
"281","S281","EUETS","","half_carbon","constant","1","1","TRUE"
"282","S282","social","","half_carbon","constant","1","1","TRUE"
"283","S283","","renovation","half_carbon","constant","1","1","TRUE"
"284","S284","EUETS","renovation","half_carbon","constant","1","1","TRUE"
"285","S285","social","renovation","half_carbon","constant","1","1","TRUE"
"286","S286","","deep_renovation","half_carbon","constant","1","1","TRUE"
"287","S287","EUETS","deep_renovation","half_carbon","constant","1","1","TRUE"
"288","S288","social","deep_renovation","half_carbon","constant","1","1","TRUE"
"289","S289","","","carbon","constant","1","1","TRUE"
"290","S290","EUETS","","carbon","constant","1","1","TRUE"
"291","S291","social","","carbon","constant","1","1","TRUE"
"292","S292","","renovation","carbon","constant","1","1","TRUE"
"293","S293","EUETS","renovation","carbon","constant","1","1","TRUE"
"294","S294","social","renovation","carbon","constant","1","1","TRUE"
"295","S295","","deep_renovation","carbon","constant","1","1","TRUE"
"296","S296","EUETS","deep_renovation","carbon","constant","1","1","TRUE"
"297","S297","social","deep_renovation","carbon","constant","1","1","TRUE"
"298","S298","","","","","1","1","TRUE"
"299","S299","EUETS","","","","1","1","TRUE"
"300","S300","social","","","","1","1","TRUE"
"301","S301","","renovation","","","1","1","TRUE"
"302","S302","EUETS","renovation","","","1","1","TRUE"
"303","S303","social","renovation","","","1","1","TRUE"
"304","S304","","deep_renovation","","","1","1","TRUE"
"305","S305","EUETS","deep_renovation","","","1","1","TRUE"
"306","S306","social","deep_renovation","","","1","1","TRUE"
"307","S307","","","half_carbon","","1","1","TRUE"
"308","S308","EUETS","","half_carbon","","1","1","TRUE"
"309","S309","social","","half_carbon","","1","1","TRUE"
"310","S310","","renovation","half_carbon","","1","1","TRUE"
"311","S311","EUETS","renovation","half_carbon","","1","1","TRUE"
"312","S312","social","renovation","half_carbon","","1","1","TRUE"
"313","S313","","deep_renovation","half_carbon","","1","1","TRUE"
"314","S314","EUETS","deep_renovation","half_carbon","","1","1","TRUE"
"315","S315","social","deep_renovation","half_carbon","","1","1","TRUE"
"316","S316","","","carbon","","1","1","TRUE"
"317","S317","EUETS","","carbon","","1","1","TRUE"
"318","S318","social","","carbon","","1","1","TRUE"
"319","S319","","renovation","carbon","","1","1","TRUE"
"320","S320","EUETS","renovation","carbon","","1","1","TRUE"
"321","S321","social","renovation","carbon","","1","1","TRUE"
"322","S322","","deep_renovation","carbon","","1","1","TRUE"
"323","S323","EUETS","deep_renovation","carbon","","1","1","TRUE"
"324","S324","social","deep_renovation","carbon","","1","1","TRUE"
"325","S325","","renovation","","constant","0.75","1","TRUE"
"326","S326","EUETS","renovation","","constant","0.75","1","TRUE"
"327","S327","social","renovation","","constant","0.75","1","TRUE"
"328","S328","","deep_renovation","","constant","0.75","1","TRUE"
"329","S329","EUETS","deep_renovation","","constant","0.75","1","TRUE"
"330","S330","social","deep_renovation","","constant","0.75","1","TRUE"
"331","S331","","renovation","half_carbon","constant","0.75","1","TRUE"
"332","S332","EUETS","renovation","half_carbon","constant","0.75","1","TRUE"
"333","S333","social","renovation","half_carbon","constant","0.75","1","TRUE"
"334","S334","","deep_renovation","half_carbon","constant","0.75","1","TRUE"
"335","S335","EUETS","deep_renovation","half_carbon","constant","0.75","1","TRUE"
"336","S336","social","deep_renovation","half_carbon","constant","0.75","1","TRUE"
"337","S337","","renovation","carbon","constant","0.75","1","TRUE"
"338","S338","EUETS","renovation","carbon","constant","0.75","1","TRUE"
"339","S339","social","renovation","carbon","constant","0.75","1","TRUE"
"340","S340","","deep_renovation","carbon","constant","0.75","1","TRUE"
"341","S341","EUETS","deep_renovation","carbon","constant","0.75","1","TRUE"
"342","S342","social","deep_renovation","carbon","constant","0.75","1","TRUE"
"343","S343","","renovation","","","0.75","1","TRUE"
"344","S344","EUETS","renovation","","","0.75","1","TRUE"
"345","S345","social","renovation","","","0.75","1","TRUE"
"346","S346","","deep_renovation","","","0.75","1","TRUE"
"347","S347","EUETS","deep_renovation","","","0.75","1","TRUE"
"348","S348","social","deep_renovation","","","0.75","1","TRUE"
"349","S349","","renovation","half_carbon","","0.75","1","TRUE"
"350","S350","EUETS","renovation","half_carbon","","0.75","1","TRUE"
"351","S351","social","renovation","half_carbon","","0.75","1","TRUE"
"352","S352","","deep_renovation","half_carbon","","0.75","1","TRUE"
"353","S353","EUETS","deep_renovation","half_carbon","","0.75","1","TRUE"
"354","S354","social","deep_renovation","half_carbon","","0.75","1","TRUE"
"355","S355","","renovation","carbon","","0.75","1","TRUE"
"356","S356","EUETS","renovation","carbon","","0.75","1","TRUE"
"357","S357","social","renovation","carbon","","0.75","1","TRUE"
"358","S358","","deep_renovation","carbon","","0.75","1","TRUE"
"359","S359","EUETS","deep_renovation","carbon","","0.75","1","TRUE"
"360","S360","social","deep_renovation","carbon","","0.75","1","TRUE"
