region_bld,urt,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
C-WEU-DEU,rur,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095
C-WEU-DEU,urb,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095,2.095
C-WEU-DNK,rur,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425
C-WEU-DNK,urb,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425
C-WEU-ESP,rur,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667
C-WEU-ESP,urb,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667
C-WEU-FIN,rur,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07
C-WEU-FIN,urb,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07
C-WEU-FRA,rur,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22
C-WEU-FRA,urb,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22
C-WEU-GBR,rur,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31
C-WEU-GBR,urb,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31
C-WEU-GRC,rur,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
C-WEU-GRC,urb,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
C-WEU-IRL,rur,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77
C-WEU-IRL,urb,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77,2.77
C-WEU-ISL,rur,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425
C-WEU-ISL,urb,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425
C-WEU-ITA,rur,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
C-WEU-ITA,urb,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
C-WEU-LUX,rur,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41
C-WEU-LUX,urb,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41
C-WEU-MLT,rur,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76
C-WEU-MLT,urb,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76,2.76
C-WEU-NLD,rur,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23
C-WEU-NLD,urb,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23
C-WEU-NOR,rur,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22
C-WEU-NOR,urb,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22
C-WEU-PRT,rur,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667
C-WEU-PRT,urb,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667,2.616666667
C-WEU-SWE,rur,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425
C-WEU-SWE,urb,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425,2.3425
R32ANUZ,rur,2.5732555,2.57284015,2.572551899,2.572383073,2.572322398,2.572357267,2.57247266,2.572657618,2.572915083,2.573253973,2.573709709,2.574284364,2.574974007,2.575770778,2.576666421,2.577672566,2.578814622,2.580066929
R32ANUZ,urb,2.568776959,2.568456346,2.568130161,2.56781024,2.567501329,2.567203511,2.566912466,2.566625547,2.566349618,2.56609435,2.565886806,2.565726908,2.565609621,2.565527169,2.565471889,2.565449207,2.565472274,2.56552218
R32BRA,rur,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31
R32BRA,urb,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31
R32CAN,rur,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
R32CAN,urb,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
R32CAS-CAU,rur,4.091459291,4.108292893,4.123193443,4.137043487,4.150840228,4.164893196,4.178742496,4.192156302,4.205064386,4.217601197,4.229128969,4.23952849,4.248840552,4.257244123,4.264938043,4.271896287,4.277861763,4.282553781
R32CAS-CAU,urb,4.045929615,4.067487434,4.085181171,4.100210593,4.11395887,4.12703461,4.139169398,4.150286503,4.160444736,4.169916344,4.178127819,4.185045123,4.190762799,4.195487105,4.199437357,4.202578258,4.204615744,4.205203079
R32CAS-OTH,rur,4.798248586,4.808292649,4.815913626,4.820472942,4.821827221,4.820940818,4.818530987,4.814743154,4.809664287,4.803045401,4.796226159,4.789397601,4.782862282,4.776601364,4.770462953,4.764702421,4.759559146,4.755316902
R32CAS-OTH,urb,4.410899488,4.423603401,4.436673146,4.44856704,4.458326251,4.466607598,4.474072391,4.480646048,4.48609586,4.489955802,4.493704551,4.49750885,4.501709458,4.506239929,4.510848877,4.515882907,4.52161409,4.528349714
R32CHN,rur,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38
R32CHN,urb,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.38
R32EEU,rur,2.901638783,2.90169194,2.90177662,2.901849679,2.901935258,2.902055903,2.902198178,2.902356409,2.902520059,2.902677656,2.902844813,2.902979802,2.903047822,2.903041426,2.902968515,2.902865996,2.902790405,2.90279704
R32EEU,urb,2.900069107,2.901409622,2.902423309,2.903119573,2.90356977,2.903841984,2.903970468,2.903990852,2.903928592,2.903801659,2.903649625,2.903442853,2.903155169,2.902786953,2.902351094,2.901886006,2.901445165,2.901078722
R32EEU-FSU,rur,2.502147935,2.50097017,2.499637272,2.498208348,2.49666107,2.494992394,2.493264419,2.491533034,2.489838798,2.488186532,2.486733404,2.485435217,2.484269951,2.483257885,2.482433535,2.481826772,2.481448447,2.48128448
R32EEU-FSU,urb,2.477305674,2.477436993,2.477395009,2.477206968,2.476865083,2.476373189,2.475770433,2.47509583,2.474381124,2.473638504,2.472955744,2.47231786,2.471719937,2.47117797,2.470713834,2.470344781,2.470077063,2.469903517
R32IDN,rur,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86
R32IDN,urb,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86
R32IND,rur,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57
R32IND,urb,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57
R32JPN,rur,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33
R32JPN,urb,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33
R32KOR,rur,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53
R32KOR,urb,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53
R32LAM-L,rur,4.621177653,4.625794658,4.629986313,4.633876666,4.637351796,4.640274498,4.642972993,4.64548725,4.647788557,4.649930707,4.652094011,4.654325847,4.656452808,4.65846743,4.660323153,4.662076703,4.663602907,4.664909352
R32LAM-L,urb,4.618467756,4.618903674,4.619756879,4.621002576,4.622401925,4.623688704,4.625099703,4.626616063,4.628152301,4.629730649,4.631492406,4.633461359,4.635422827,4.637348005,4.639166096,4.64092153,4.642460719,4.643787095
R32LAM-M,rur,3.636521401,3.638191154,3.639666087,3.64103355,3.642411644,3.643832947,3.64527961,3.646797769,3.648434571,3.650073293,3.651760191,3.653419654,3.655029032,3.656601706,3.658114328,3.659487818,3.660728037,3.661867889
R32LAM-M,urb,3.640755271,3.645191427,3.64910386,3.652593726,3.655659709,3.658347339,3.660782032,3.662986559,3.665039055,3.666898116,3.668497677,3.669807774,3.6708276,3.671679127,3.672295444,3.672658371,3.67279862,3.672767671
R32MEA-H,rur,5.047830873,5.036041514,5.025712135,5.015019518,5.003012183,4.989809289,4.974967029,4.958392394,4.940051329,4.919991962,4.896620511,4.869773198,4.839246032,4.805322937,4.768001457,4.72718167,4.682429765,4.633874641
R32MEA-H,urb,4.774250757,4.777702086,4.781081938,4.783963451,4.785865536,4.786759563,4.786494407,4.785346431,4.783489868,4.780973274,4.776657301,4.770658411,4.763147022,4.754509863,4.744894043,4.734309648,4.722576083,4.709781664
R32MEA-M,rur,5.482984324,5.525116248,5.564294436,5.600550736,5.633561433,5.663319957,5.690129293,5.714631221,5.73724043,5.758470404,5.778845931,5.79874402,5.817685252,5.835426782,5.85136417,5.864949351,5.876256441,5.885784886
R32MEA-M,urb,5.048399526,5.1086955,5.167583066,5.224952312,5.278527759,5.327469738,5.372025638,5.413437106,5.453060489,5.491474689,5.528808594,5.565561468,5.601032909,5.634760621,5.665507467,5.692382209,5.715462913,5.735396118
R32MEX,rur,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74
R32MEX,urb,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74
R32NAF,rur,4.502802329,4.493814168,4.485915074,4.478486576,4.471531424,4.46523095,4.459551449,4.454348883,4.449126989,4.443796678,4.438698298,4.434097983,4.430128667,4.426632922,4.423769728,4.421534196,4.420018491,4.418974832
R32NAF,urb,4.68958333,4.677793067,4.666430775,4.655173002,4.644242558,4.633982359,4.624455818,4.615541062,4.606705751,4.597871412,4.589430824,4.581683593,4.57479693,4.568571754,4.563127663,4.558450781,4.554628444,4.55134941
R32OAS-CPA,rur,4.016221523,4.018762497,4.021606682,4.024709248,4.027727757,4.03088036,4.034616512,4.039161084,4.043920658,4.048614095,4.053345923,4.058257538,4.063555492,4.069310113,4.075450782,4.081631045,4.087693555,4.093581253
R32OAS-CPA,urb,4.0048345,4.008089427,4.011214059,4.014161052,4.016656432,4.019031896,4.021753396,4.025178608,4.028763114,4.032227914,4.035717977,4.039369872,4.043468648,4.048103393,4.053152558,4.058276802,4.063265509,4.06806687
R32OAS-L-PAS,rur,4.329525365,4.335468913,4.341398068,4.347297515,4.352898627,4.357898044,4.362438587,4.366495515,4.370041008,4.372956166,4.375383659,4.377237027,4.378669976,4.379761126,4.380477402,4.380841708,4.380882449,4.380747389
R32OAS-L-PAS,urb,4.254591375,4.256762628,4.259116162,4.261653383,4.264274336,4.266880712,4.269487895,4.272081423,4.274610043,4.276999026,4.279299031,4.281460433,4.283514896,4.285462758,4.287273928,4.288936403,4.290451124,4.291864571
R32OAS-L-SAS,rur,4.425486754,4.423723742,4.421977686,4.420289946,4.418591195,4.416880269,4.415171444,4.413514338,4.411922445,4.41043896,4.409133341,4.408019678,4.407095203,4.40639538,4.405918116,4.405672683,4.405606043,4.40570634
R32OAS-L-SAS,urb,4.441940387,4.440948897,4.439871508,4.438731378,4.437476897,4.436104533,4.434622949,4.433068148,4.431452707,4.429813231,4.428209447,4.426662357,4.425180857,4.423804557,4.422544182,4.421419475,4.420397948,4.419479171
R32OAS-M-PAS,rur,3.822983474,3.825675717,3.828304951,3.830808107,3.833191198,3.835322352,3.837311481,3.839107909,3.840585564,3.841647212,3.842421531,3.84286507,3.842924967,3.842469121,3.841542563,3.840147389,3.838418637,3.836419152
R32OAS-M-PAS,urb,4.016166272,4.019423985,4.022728374,4.026068913,4.029612184,4.033235004,4.037201339,4.041474565,4.045842267,4.050123292,4.054671154,4.059430528,4.064268384,4.068919278,4.073386251,4.077608994,4.081791449,4.086058678
R32OAS-M-SAS,rur,5.588098435,5.588121137,5.588137846,5.588155832,5.588174207,5.588184348,5.58818125,5.588167603,5.588147865,5.588126129,5.588104414,5.588081888,5.588060366,5.588041879,5.588027548,5.588018933,5.588010635,5.587996341
R32OAS-M-SAS,urb,5.58283542,5.582853992,5.582922635,5.58305623,5.583239364,5.583431368,5.583607526,5.583771295,5.583932433,5.584099192,5.584272906,5.584447725,5.584625806,5.584809842,5.585000088,5.585197999,5.585389051,5.585558951
R32PAK,rur,7.032729204,7.04351843,7.055653283,7.069082165,7.082585891,7.095234627,7.106927982,7.117852468,7.128629513,7.13914741,7.149240179,7.158575719,7.167218442,7.175393249,7.182853074,7.189858895,7.196099022,7.201751802
R32PAK,urb,6.933805523,6.941367266,6.950148765,6.960151156,6.970591002,6.980820098,6.990718615,7.000362496,7.010149657,7.019969078,7.029664856,7.038949529,7.04782837,7.056437715,7.064554919,7.072355705,7.079568085,7.086310679
R32RUS,rur,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58
R32RUS,urb,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58
R32SAF,rur,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36
R32SAF,urb,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36
R32SSA-L,rur,4.875489419,4.876459331,4.877594466,4.878708691,4.879792309,4.88086714,4.882116195,4.883598284,4.885099937,4.886451183,4.887908807,4.889536805,4.891181483,4.892793162,4.894387983,4.896039791,4.897690809,4.899264579
R32SSA-L,urb,4.941508457,4.944478567,4.946881108,4.948568171,4.949604915,4.950032167,4.950144048,4.950045559,4.949850231,4.949424149,4.949038227,4.948783111,4.948586209,4.94849499,4.948490711,4.948671875,4.948949215,4.949270246
R32SSA-M,rur,4.569037083,4.581450357,4.592886381,4.603176427,4.61240254,4.621070482,4.629065641,4.636404938,4.642910043,4.648668934,4.654019934,4.659134523,4.663944066,4.668586743,4.673096074,4.677260674,4.681169164,4.684805701
R32SSA-M,urb,4.591171103,4.606416719,4.619372472,4.630164087,4.639070161,4.646764231,4.653333915,4.658968598,4.663583948,4.667348045,4.670671742,4.673772834,4.676616104,4.67931793,4.681953891,4.684319108,4.686518355,4.688547461
R32TUR,rur,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07
R32TUR,urb,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07,4.07
R32USA,rur,2.490036135,2.490026065,2.490020766,2.490017433,2.490015122,2.490013418,2.490012091,2.490011025,2.490010135,2.490009375,2.490008754,2.490008257,2.490007867,2.490007573,2.490007362,2.49000722,2.49000714,2.490007103
R32USA,urb,2.49242599,2.492262633,2.492105337,2.491956533,2.491816312,2.491684656,2.491559725,2.491441809,2.491329377,2.491222762,2.491127238,2.491043126,2.490969998,2.490907133,2.490853292,2.490806999,2.490767026,2.490731406
