region_bld,ssp,urt,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
C-WEU-FIN,SSP2,urb,4.736719838,4.902661487,5.063301673,5.209175733,5.336780716,5.451828633,5.564535622,5.68164187,5.803964201,5.928039733,6.045082458,6.15351964,6.253296757,6.342241672,6.420221938,6.48598557,6.536330209,6.563618723
C-WEU-FRA,SSP2,rur,8.777020032,8.337372544,7.932518907,7.553848052,7.197381991,6.858180948,6.530877934,6.215207847,5.914762995,5.632025755,5.362145432,5.10555936,4.86075073,4.624783265,4.395755251,4.166333142,3.940462321,3.720431625
C-WEU-FRA,SSP2,urb,55.91879635,58.27175219,60.56658822,62.77047203,64.87362501,66.84924847,68.65427489,70.28866868,71.79975693,73.23422202,74.54788607,75.75966493,76.86109894,77.81570956,78.59488697,79.05971365,79.26538567,79.24922867
C-WEU-GBR,SSP2,rur,11.7475905,10.98570956,10.33119759,9.750717091,9.231285442,8.77013585,8.362974138,7.995873397,7.657640087,7.342838691,7.043497285,6.762588546,6.499636693,6.24989518,6.009412713,5.777033871,5.553305257,5.334620242
C-WEU-GBR,SSP2,urb,52.43028769,55.22289517,57.85961654,60.28599586,62.51852189,64.62566649,66.66258267,68.59564512,70.38558126,72.02435509,73.46567639,74.76562416,75.9484021,76.98526743,77.84644127,78.53060318,79.05811296,79.38928426
C-WEU-GRC,SSP2,rur,4.092625186,3.79327961,3.521303822,3.278067157,3.061632389,2.865785803,2.684340162,2.512278285,2.349088604,2.196359643,2.05094265,1.914540263,1.787563927,1.670042628,1.561518362,1.461538197,1.368092998,1.277960712
C-WEU-GRC,SSP2,urb,7.35657815,7.63692379,7.881095421,8.101290472,8.3043889,8.484796405,8.63244357,8.736191791,8.797362648,8.825831906,8.81346964,8.771359081,8.706677589,8.625533088,8.531803634,8.429206078,8.311771527,8.163565219
C-WEU-IRL,SSP2,rur,1.678846819,1.644570202,1.603310314,1.558403313,1.513913602,1.471164966,1.428915826,1.384993252,1.338770906,1.291206563,1.241876818,1.192526856,1.144043505,1.096748246,1.050702071,1.005732487,0.961677776,0.917967237
C-WEU-IRL,SSP2,urb,3.088621998,3.392173263,3.680494843,3.954964287,4.222176977,4.484606479,4.73783451,4.972965759,5.184792484,5.374014014,5.536306303,5.677184096,5.799968299,5.906111818,5.996075612,6.069075478,6.124243785,6.157815047
C-WEU-ISL,SSP2,rur,0.014248997,0.011857846,0.010647257,0.009930695,0.0094811,0.009207634,0.009049806,0.00896205,0.008913965,0.008889194,0.00887028,0.008857861,0.008850902,0.008841676,0.008822628,0.00879075,0.008736436,0.008661058
C-WEU-ISL,SSP2,urb,0.330687046,0.356886727,0.381105241,0.403282139,0.424016899,0.444307852,0.464238926,0.483303368,0.500993197,0.51712516,0.531189676,0.543588367,0.554564479,0.563882725,0.571250136,0.576620078,0.579481962,0.580021863
C-WEU-ITA,SSP2,rur,18.43108462,17.50969641,16.59690965,15.71241585,14.85361933,14.01299395,13.17542421,12.33854965,11.50870331,10.70127747,9.915358612,9.168297053,8.46963707,7.820944233,7.218695223,6.647642026,6.100249895,5.579587613
C-WEU-ITA,SSP2,urb,43.04940401,44.19204462,45.24262828,46.24151186,47.17486717,48.00948912,48.6759506,49.13726794,49.38795614,49.4693216,49.36047857,49.13624862,48.85386476,48.53990924,48.1942425,47.73069451,47.09492888,46.30556658
C-WEU-LUX,SSP2,rur,0.07371979,0.070941852,0.067926106,0.064647575,0.061114741,0.05738348,0.053525379,0.049606407,0.04568521,0.041824661,0.03798866,0.034248273,0.030659723,0.027266618,0.024102812,0.021189279,0.018528362,0.016095852
C-WEU-LUX,SSP2,urb,0.479328265,0.522099888,0.5663744,0.611243441,0.655766384,0.699271475,0.741240631,0.781150416,0.818466582,0.852890508,0.882135986,0.905953963,0.924205655,0.936904301,0.944302341,0.946763536,0.944354574,0.935976313
C-WEU-MLT,SSP2,rur,0.01653543,0.012863365,0.010269026,0.008324474,0.006811212,0.005609928,0.004649831,0.003877787,0.003250967,0.002735754,0.002302334,0.001934938,0.001622756,0.001358583,0.001136752,9.52E-04,7.98E-04,6.69E-04
C-WEU-MLT,SSP2,urb,0.408521128,0.420320974,0.42963301,0.436064469,0.439530228,0.440534319,0.440158089,0.43919773,0.437915264,0.436154272,0.432692511,0.427255218,0.419838788,0.410882623,0.401098426,0.391073341,0.381276009,0.371768096
C-WEU-NLD,SSP2,rur,2.672227178,2.499627938,2.330230623,2.161727608,1.993206384,1.82737953,1.667197412,1.515729547,1.374592757,1.244302211,1.123730716,1.01260665,0.910437685,0.816323877,0.729722511,0.650247721,0.577699769,0.510773862
C-WEU-NLD,SSP2,urb,14.2649091,14.763948,15.25864899,15.72252347,16.13041342,16.48217345,16.78564756,17.05939011,17.3174994,17.56869459,17.8019531,18.01711882,18.21132879,18.37261874,18.49348919,18.56929718,18.60147311,18.55443728
C-WEU-NOR,SSP2,rur,0.955412514,0.913438633,0.879554592,0.84977974,0.821890861,0.795799537,0.772149865,0.751054942,0.73202072,0.714167322,0.695672498,0.676641775,0.657413252,0.638074095,0.618438444,0.598369263,0.577565894,0.555452831
C-WEU-NOR,SSP2,urb,4.196658079,4.512449334,4.835734018,5.153739825,5.457043488,5.746944181,6.030546601,6.312252084,6.591471116,6.862883484,7.109522776,7.330916418,7.5295436,7.705718575,7.856531155,7.979275542,8.068626319,8.114482998
C-WEU-PRT,SSP2,rur,3.936025824,3.691985978,3.465843755,3.259420273,3.071949543,2.899419591,2.737896246,2.585649475,2.440659309,2.303541549,2.171099334,2.04452337,1.924501706,1.811989736,1.707205537,1.60924459,1.51684709,1.427007748
C-WEU-PRT,SSP2,urb,6.868971341,7.218001426,7.533358241,7.822940541,8.091261578,8.334352416,8.545881644,8.724022687,8.864893985,8.973387459,9.039677864,9.070370651,9.071339686,9.05087905,9.01477401,8.963096741,8.893042494,8.789784662
C-WEU-SWE,SSP2,rur,1.375816936,1.319845325,1.26753166,1.213637983,1.159720178,1.109750537,1.064910236,1.023981167,0.984817071,0.946017559,0.905865855,0.865737452,0.826417334,0.787689733,0.748987888,0.710108492,0.671249268,0.632134448
C-WEU-SWE,SSP2,urb,8.399717527,8.86569782,9.336258726,9.772639621,10.18115591,10.59535123,11.03248293,11.48773473,11.94180451,12.37783569,12.76914075,13.12843427,13.46423469,13.77096965,14.03535492,14.24825137,14.40759025,14.50108346
R32ANUZ,SSP2,rur,3.00627248,2.968085542,2.915991672,2.845222199,2.761148836,2.67035571,2.575303508,2.475969115,2.372237244,2.264655975,2.150090446,2.031668512,1.911637331,1.790971648,1.670601894,1.551045499,1.433187509,1.318772407
R32ANUZ,SSP2,urb,25.74501437,27.87074289,29.98241659,31.99639481,33.92721331,35.820108,37.68419872,39.49654618,41.2267058,42.84995641,44.25905555,45.46180556,46.46063586,47.23709362,47.77541984,48.0473246,48.03441031,47.7678212
R32BRA,SSP2,rur,24.93320245,23.79553596,22.77039015,21.79530224,20.85697121,19.94965654,19.06557638,18.18608357,17.30324235,16.4377075,15.59047438,14.76507224,13.9621248,13.19038566,12.45474885,11.76170846,11.11309928,10.50706447
R32BRA,SSP2,urb,178.2169127,186.9471105,194.649923,201.0237864,206.0841235,209.890937,212.4658545,213.6820852,213.4992056,212.2272344,209.9572381,206.8155152,202.8909013,198.3927382,193.4846026,188.3612299,183.1484662,177.908342
R32CAN,SSP2,rur,6.350539632,6.097780018,5.834395128,5.550748717,5.254399839,4.959789498,4.673657058,4.397999588,4.130218272,3.871017939,3.612900344,3.359110658,3.11172337,2.870770576,2.636593428,2.410642185,2.191989265,1.982587852
R32CAN,SSP2,urb,29.50768978,31.66642044,33.80680417,35.83284233,37.73738157,39.58047737,41.3944654,43.1868049,44.9223702,46.59388706,48.08703087,49.40255998,50.53500653,51.45110097,52.12020974,52.53463834,52.63855575,52.440966
R32CAS-CAU,SSP2,rur,7.22393768,6.842332291,6.436931164,6.041650227,5.678350551,5.342487199,5.019479833,4.706928308,4.410645719,4.139029211,3.891533294,3.661573121,3.44470242,3.241853952,3.057671823,2.894754115,2.749898371,2.616300636
R32CAS-CAU,SSP2,urb,9.817035873,10.46196615,10.9608586,11.35025117,11.66740018,11.9110748,12.05750047,12.10580335,12.07720681,12.00443096,11.90082708,11.75876416,11.57391932,11.35824813,11.13754329,10.93277158,10.74376082,10.55404099
R32CAS-OTH,SSP2,rur,35.09551221,34.66460382,33.94119831,32.95176382,31.78367273,30.5299488,29.19989907,27.78161322,26.304849,24.80984847,23.37337468,21.9976845,20.6820071,19.42612063,18.24230895,17.1449514,16.13643168,15.20711878
R32CAS-OTH,SSP2,urb,28.81410414,32.06719473,35.13041245,37.93925179,40.50622309,42.86495265,44.95808886,46.69973745,48.07911518,49.12915882,49.94636328,50.5343824,50.89426123,51.03419797,51.00672269,50.87357598,50.67034506,50.39896016
R32CHN,SSP2,rur,668.1249032,625.2286868,582.1542882,539.4857007,497.5390202,456.7883511,417.8030212,380.8603655,346.2576253,314.2168752,284.9480294,258.5181305,234.6367094,212.9701343,193.4159651,176.0473387,160.8029747,147.4430095
R32CHN,SSP2,urb,695.2950767,754.0003376,802.9910687,841.1655437,867.7360148,882.7986017,887.3171197,882.2777295,869.1449793,849.5775324,825.4956196,798.6281141,769.63968,738.8575644,707.2204674,676.2712055,647.0608884,619.8318109
R32EEU,SSP2,rur,9.935653029,9.225872816,8.606029649,8.056782787,7.55930066,7.104745436,6.688201861,6.306785443,5.958007847,5.636731982,5.321883971,5.012722411,4.711798738,4.423014619,4.150079981,3.894837933,3.655961521,3.431948484
