region_bld,fuel_heat,value
C-EEU-EST,oil,0.005435133
C-WEU-GRC,heat_pump,0.048463528
C-WEU-GRC,biomass_solid,0.266180974
C-WEU-GRC,coal,0
C-WEU-GRC,district_heat,0.022317576
C-WEU-GRC,electricity,0.019203849
C-WEU-GRC,gas,0.103944927
C-WEU-GRC,oil,0.539889145
C-WEU-ESP,heat_pump,0.084027674
C-WEU-ESP,biomass_solid,0.250423033
C-WEU-ESP,coal,0.010317784
C-WEU-ESP,district_heat,0
C-WEU-ESP,electricity,0.129982675
C-WEU-ESP,gas,0.270581175
C-WEU-ESP,oil,0.254667659
C-WEU-FIN,heat_pump,0.242806825
C-WEU-FIN,biomass_solid,0.193798033
C-WEU-FIN,coal,0.000691626
C-WEU-FIN,district_heat,0.394034824
C-WEU-FIN,electricity,0.079884524
C-WEU-FIN,gas,0.005029202
C-WEU-FIN,oil,0.083754965
C-WEU-FRA,heat_pump,0.056671008
C-WEU-FRA,biomass_solid,0.226107203
C-WEU-FRA,coal,0.001136776
C-WEU-FRA,district_heat,0.067185609
C-WEU-FRA,electricity,0.088834269
C-WEU-FRA,gas,0.343386794
C-WEU-FRA,oil,0.216678341
C-EEU-HUN,heat_pump,0.002149694
C-EEU-HUN,biomass_solid,0.336415373
C-EEU-HUN,coal,0.017217654
C-EEU-HUN,district_heat,0.126882786
C-EEU-HUN,electricity,0.005834376
C-EEU-HUN,gas,0.507232659
C-EEU-HUN,oil,0.004267458
C-WEU-IRL,heat_pump,0.020143256
C-WEU-IRL,biomass_solid,0.013674442
C-WEU-IRL,coal,0.164410081
C-WEU-IRL,district_heat,0
C-WEU-IRL,electricity,0.059326896
C-WEU-IRL,gas,0.256454735
C-WEU-IRL,oil,0.48599059
C-WEU-ITA,heat_pump,0.005883926
C-WEU-ITA,biomass_solid,0.229878279
C-WEU-ITA,coal,0
C-WEU-ITA,district_heat,0.049847453
C-WEU-ITA,electricity,0.001649377
C-WEU-ITA,gas,0.645724722
C-WEU-ITA,oil,0.067016244
C-EEU-LTU,heat_pump,0
C-EEU-LTU,biomass_solid,0.359264842
C-EEU-LTU,coal,0.038537453
C-EEU-LTU,district_heat,0.48693483
C-EEU-LTU,electricity,1.00E-02
C-EEU-LTU,gas,0.09738253
C-EEU-LTU,oil,0.007856156
C-WEU-LUX,heat_pump,0.053232645
C-WEU-LUX,biomass_solid,0.039492058
C-WEU-LUX,coal,0.002446896
C-WEU-LUX,district_heat,0
C-WEU-LUX,electricity,0.015736073
C-WEU-LUX,gas,0.510346573
C-WEU-LUX,oil,0.378745755
C-EEU-LVA,heat_pump,0
C-EEU-LVA,biomass_solid,0.396263796
C-EEU-LVA,coal,0.010309427
C-EEU-LVA,district_heat,0.458523825
C-EEU-LVA,electricity,0.006303685
C-EEU-LVA,gas,0.097332556
C-EEU-LVA,oil,0.031266711
C-WEU-NLD,heat_pump,0.01796849
C-WEU-NLD,biomass_solid,0.051650105
C-WEU-NLD,coal,7.15E-05
C-WEU-NLD,district_heat,0.051799216
C-WEU-NLD,electricity,0.011168988
C-WEU-NLD,gas,0.865554218
C-WEU-NLD,oil,0.001787523
C-EEU-POL,heat_pump,0.002526073
C-EEU-POL,biomass_solid,0.139556893
C-EEU-POL,coal,0.323728997
C-EEU-POL,district_heat,0.331942985
C-EEU-POL,electricity,0.00360086
C-EEU-POL,gas,0.193953517
C-EEU-POL,oil,0.004690675
C-WEU-PRT,heat_pump,0.01575419
C-WEU-PRT,biomass_solid,0.690496123
C-WEU-PRT,coal,0
C-WEU-PRT,district_heat,0.00125014
C-WEU-PRT,electricity,0.027505264
C-WEU-PRT,gas,0.157581184
C-WEU-PRT,oil,0.1074131
C-EEU-ROU,heat_pump,0.00356587
C-EEU-ROU,biomass_solid,0.40370264
C-EEU-ROU,coal,0.01449893
C-EEU-ROU,district_heat,0.189566054
C-EEU-ROU,electricity,0.015582071
C-EEU-ROU,gas,0.36733362
C-EEU-ROU,oil,0.005750815
C-WEU-SWE,heat_pump,0.344639036
C-WEU-SWE,biomass_solid,0.099684245
C-WEU-SWE,coal,0
C-WEU-SWE,district_heat,0.419686874
C-WEU-SWE,electricity,0.122705769
C-WEU-SWE,gas,0.009482398
C-WEU-SWE,oil,0.003801678
C-EEU-SVN,heat_pump,0.028017906
C-EEU-SVN,biomass_solid,0.504895069
C-EEU-SVN,coal,0
C-EEU-SVN,district_heat,0.128160777
C-EEU-SVN,electricity,0.055229387
C-EEU-SVN,gas,0.123475887
C-EEU-SVN,oil,0.160220973
C-EEU-SVK,heat_pump,0.019235192
C-EEU-SVK,biomass_solid,0.012330792
C-EEU-SVK,coal,0.011877564
C-EEU-SVK,district_heat,0.338637115
C-EEU-SVK,electricity,0.033695796
C-EEU-SVK,gas,0.584223542
C-EEU-SVK,oil,0
C-WEU-GBR,heat_pump,0.022157482
C-WEU-GBR,biomass_solid,0.050522527
C-WEU-GBR,coal,0.017443252
C-WEU-GBR,district_heat,0.002129194
C-WEU-GBR,electricity,0.102465998
C-WEU-GBR,gas,0.73292888
C-WEU-GBR,oil,0.072352667
