region_gea,urt,mat,arch,scenario,ssp,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
EEU,rur,perm,sfh,MFH,nsp,0.78884423,0.766305823,0.743767417,0.72122901,0.698690604,0.676152197,0.65361379,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384
EEU,rur,perm,mfh,MFH,nsp,0.21115577,0.233694177,0.256232583,0.27877099,0.301309396,0.323847803,0.34638621,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616
EEU,rur,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EEU,urb,perm,sfh,MFH,nsp,0.292417361,0.284062579,0.275707797,0.267353016,0.258998234,0.250643452,0.24228867,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889
EEU,urb,perm,mfh,MFH,nsp,0.707582639,0.715937421,0.724292203,0.732646984,0.741001766,0.749356548,0.75771133,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111
EEU,urb,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSU,rur,perm,sfh,MFH,nsp,0.78884423,0.766305823,0.743767417,0.72122901,0.698690604,0.676152197,0.65361379,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384,0.631075384
FSU,rur,perm,mfh,MFH,nsp,0.21115577,0.233694177,0.256232583,0.27877099,0.301309396,0.323847803,0.34638621,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616,0.368924616
FSU,rur,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSU,urb,perm,sfh,MFH,nsp,0.292417361,0.284062579,0.275707797,0.267353016,0.258998234,0.250643452,0.24228867,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889,0.233933889
FSU,urb,perm,mfh,MFH,nsp,0.707582639,0.715937421,0.724292203,0.732646984,0.741001766,0.749356548,0.75771133,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111,0.766066111
FSU,urb,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LAC,rur,perm,sfh,MFH,nsp,0.99193434,0.963593359,0.935252378,0.906911396,0.878570415,0.850229434,0.821888453,0.793547472,0.793547472,0.793547472,0.793547472,0.793547472,0.793547472,0.793547472,0.793547472,0.793547472,0.793547472,0.793547472
LAC,rur,perm,mfh,MFH,nsp,0.00806566,0.036406641,0.064747622,0.093088604,0.121429585,0.149770566,0.178111547,0.206452528,0.206452528,0.206452528,0.206452528,0.206452528,0.206452528,0.206452528,0.206452528,0.206452528,0.206452528,0.206452528
LAC,rur,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LAC,urb,perm,sfh,MFH,nsp,0.879047501,0.853931858,0.828816215,0.803700572,0.77858493,0.753469287,0.728353644,0.703238001,0.703238001,0.703238001,0.703238001,0.703238001,0.703238001,0.703238001,0.703238001,0.703238001,0.703238001,0.703238001
LAC,urb,perm,mfh,MFH,nsp,0.120952499,0.146068142,0.171183785,0.196299428,0.22141507,0.246530713,0.271646356,0.296761999,0.296761999,0.296761999,0.296761999,0.296761999,0.296761999,0.296761999,0.296761999,0.296761999,0.296761999,0.296761999
LAC,urb,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MEA,rur,perm,sfh,MFH,nsp,0.926230082,0.899766366,0.873302649,0.846838932,0.820375216,0.793911499,0.767447782,0.740984066,0.740984066,0.740984066,0.740984066,0.740984066,0.740984066,0.740984066,0.740984066,0.740984066,0.740984066,0.740984066
MEA,rur,perm,mfh,MFH,nsp,0.073769918,0.100233634,0.126697351,0.153161068,0.179624784,0.206088501,0.232552218,0.259015934,0.259015934,0.259015934,0.259015934,0.259015934,0.259015934,0.259015934,0.259015934,0.259015934,0.259015934,0.259015934
MEA,rur,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MEA,urb,perm,sfh,MFH,nsp,0.851362739,0.827038089,0.80271344,0.77838879,0.75406414,0.729739491,0.705414841,0.681090191,0.681090191,0.681090191,0.681090191,0.681090191,0.681090191,0.681090191,0.681090191,0.681090191,0.681090191,0.681090191
MEA,urb,perm,mfh,MFH,nsp,0.148637261,0.172961911,0.19728656,0.22161121,0.24593586,0.270260509,0.294585159,0.318909809,0.318909809,0.318909809,0.318909809,0.318909809,0.318909809,0.318909809,0.318909809,0.318909809,0.318909809,0.318909809
MEA,urb,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NAM,rur,perm,sfh,MFH,nsp,0.966275902,0.938668019,0.911060136,0.883452253,0.85584437,0.828236488,0.800628605,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722
NAM,rur,perm,mfh,MFH,nsp,0.033724098,0.061331981,0.088939864,0.116547747,0.14415563,0.171763512,0.199371395,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278
NAM,rur,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NAM,urb,perm,sfh,MFH,nsp,0.693780519,0.673958218,0.654135917,0.634313617,0.614491316,0.594669016,0.574846715,0.555024415,0.555024415,0.555024415,0.555024415,0.555024415,0.555024415,0.555024415,0.555024415,0.555024415,0.555024415,0.555024415
NAM,urb,perm,mfh,MFH,nsp,0.306219481,0.326041782,0.345864083,0.365686383,0.385508684,0.405330984,0.425153285,0.444975585,0.444975585,0.444975585,0.444975585,0.444975585,0.444975585,0.444975585,0.444975585,0.444975585,0.444975585,0.444975585
NAM,urb,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAO,rur,perm,sfh,MFH,nsp,0.966275902,0.938668019,0.911060136,0.883452253,0.85584437,0.828236488,0.800628605,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722,0.773020722
PAO,rur,perm,mfh,MFH,nsp,0.033724098,0.061331981,0.088939864,0.116547747,0.14415563,0.171763512,0.199371395,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278,0.226979278
PAO,rur,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAO,urb,perm,sfh,MFH,nsp,0.537454121,0.522098289,0.506742457,0.491386625,0.476030793,0.460674961,0.445319129,0.429963297,0.429963297,0.429963297,0.429963297,0.429963297,0.429963297,0.429963297,0.429963297,0.429963297,0.429963297,0.429963297
PAO,urb,perm,mfh,MFH,nsp,0.462545879,0.477901711,0.493257543,0.508613375,0.523969207,0.539325039,0.554680871,0.570036703,0.570036703,0.570036703,0.570036703,0.570036703,0.570036703,0.570036703,0.570036703,0.570036703,0.570036703,0.570036703
PAO,urb,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAS,rur,perm,sfh,MFH,nsp,0.869700919,0.844852322,0.820003724,0.795155126,0.770306529,0.745457931,0.720609333,0.695760735,0.695760735,0.695760735,0.695760735,0.695760735,0.695760735,0.695760735,0.695760735,0.695760735,0.695760735,0.695760735
PAS,rur,perm,mfh,MFH,nsp,0.130299081,0.155147678,0.179996276,0.204844874,0.229693471,0.254542069,0.279390667,0.304239265,0.304239265,0.304239265,0.304239265,0.304239265,0.304239265,0.304239265,0.304239265,0.304239265,0.304239265,0.304239265
PAS,rur,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAS,urb,perm,sfh,MFH,nsp,0.779711543,0.757434071,0.735156598,0.712879125,0.690601653,0.66832418,0.646046707,0.623769235,0.623769235,0.623769235,0.623769235,0.623769235,0.623769235,0.623769235,0.623769235,0.623769235,0.623769235,0.623769235
PAS,urb,perm,mfh,MFH,nsp,0.220288457,0.242565929,0.264843402,0.287120875,0.309398347,0.33167582,0.353953293,0.376230765,0.376230765,0.376230765,0.376230765,0.376230765,0.376230765,0.376230765,0.376230765,0.376230765,0.376230765,0.376230765
PAS,urb,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAS,rur,perm,sfh,MFH,nsp,0.957943925,0.930574099,0.903204272,0.875834446,0.848464619,0.821094793,0.793724967,0.76635514,0.76635514,0.76635514,0.76635514,0.76635514,0.76635514,0.76635514,0.76635514,0.76635514,0.76635514,0.76635514
SAS,rur,perm,mfh,MFH,nsp,0.042056075,0.069425901,0.096795728,0.124165554,0.151535381,0.178905207,0.206275033,0.23364486,0.23364486,0.23364486,0.23364486,0.23364486,0.23364486,0.23364486,0.23364486,0.23364486,0.23364486,0.23364486
SAS,rur,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAS,urb,perm,sfh,MFH,nsp,0.704242424,0.684121212,0.664,0.643878788,0.623757576,0.603636364,0.583515152,0.563393939,0.563393939,0.563393939,0.563393939,0.563393939,0.563393939,0.563393939,0.563393939,0.563393939,0.563393939,0.563393939
SAS,urb,perm,mfh,MFH,nsp,0.295757576,0.315878788,0.336,0.356121212,0.376242424,0.396363636,0.416484848,0.436606061,0.436606061,0.436606061,0.436606061,0.436606061,0.436606061,0.436606061,0.436606061,0.436606061,0.436606061,0.436606061
SAS,urb,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WEU,rur,perm,sfh,MFH,nsp,0.961316338,0.933850157,0.906383976,0.878917795,0.851451614,0.823985432,0.796519251,0.76905307,0.76905307,0.76905307,0.76905307,0.76905307,0.76905307,0.76905307,0.76905307,0.76905307,0.76905307,0.76905307
WEU,rur,perm,mfh,MFH,nsp,0.038683662,0.066149843,0.093616024,0.121082205,0.148548386,0.176014568,0.203480749,0.23094693,0.23094693,0.23094693,0.23094693,0.23094693,0.23094693,0.23094693,0.23094693,0.23094693,0.23094693,0.23094693
WEU,rur,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WEU,urb,perm,sfh,MFH,nsp,0.474132962,0.460586306,0.44703965,0.433492994,0.419946338,0.406399682,0.392853026,0.37930637,0.37930637,0.37930637,0.37930637,0.37930637,0.37930637,0.37930637,0.37930637,0.37930637,0.37930637,0.37930637
WEU,urb,perm,mfh,MFH,nsp,0.525867038,0.539413694,0.55296035,0.566507006,0.580053662,0.593600318,0.607146974,0.62069363,0.62069363,0.62069363,0.62069363,0.62069363,0.62069363,0.62069363,0.62069363,0.62069363,0.62069363,0.62069363
WEU,urb,sub,inf,MFH,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
