region_gea,urt,mat,tenr,scenario,ssp,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
FSU,rur,perm,own,nsp,nsp,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798,0.960519798
FSU,rur,perm,rent,nsp,nsp,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202,0.039480202
FSU,urb,perm,own,nsp,nsp,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008,0.950228008
FSU,urb,perm,rent,nsp,nsp,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992,0.049771992
LAC,rur,perm,own,nsp,nsp,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488,0.968082488
LAC,rur,perm,rent,nsp,nsp,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512,0.031917512
LAC,urb,perm,own,nsp,nsp,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786,0.816654786
LAC,urb,perm,rent,nsp,nsp,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214,0.183345214
MEA,rur,perm,own,nsp,nsp,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842,0.971342842
MEA,rur,perm,rent,nsp,nsp,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158,0.028657158
MEA,urb,perm,own,nsp,nsp,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578,0.82730578
MEA,urb,perm,rent,nsp,nsp,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422,0.17269422
NAM,rur,perm,own,nsp,nsp,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771
NAM,rur,perm,rent,nsp,nsp,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229
NAM,urb,perm,own,nsp,nsp,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102,0.59300102
NAM,urb,perm,rent,nsp,nsp,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898,0.40699898
PAO,rur,perm,own,nsp,nsp,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771,0.863649771
PAO,rur,perm,rent,nsp,nsp,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229,0.136350229
PAO,urb,perm,own,nsp,nsp,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356,0.632425356
PAO,urb,perm,rent,nsp,nsp,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644,0.367574644
PAS,rur,perm,own,nsp,nsp,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315
PAS,rur,perm,rent,nsp,nsp,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685
PAS,urb,perm,own,nsp,nsp,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212
PAS,urb,perm,rent,nsp,nsp,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788
SAS,rur,perm,own,nsp,nsp,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315,0.9733315
SAS,rur,perm,rent,nsp,nsp,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685,0.0266685
SAS,urb,perm,own,nsp,nsp,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212,0.824368212
SAS,urb,perm,rent,nsp,nsp,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788,0.175631788
WEU,rur,perm,own,nsp,nsp,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717,0.883761717
WEU,rur,perm,rent,nsp,nsp,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283,0.116238283
WEU,urb,perm,own,nsp,nsp,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989,0.631295989
WEU,urb,perm,rent,nsp,nsp,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011,0.368704011
AFR,rur,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AFR,rur,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFR,urb,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AFR,urb,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPA,rur,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CPA,rur,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPA,urb,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CPA,urb,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EEU,rur,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EEU,rur,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EEU,urb,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EEU,urb,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSU,rur,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSU,rur,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSU,urb,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FSU,urb,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,rur,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LAC,rur,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAC,urb,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LAC,urb,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEA,rur,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MEA,rur,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEA,urb,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MEA,urb,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,rur,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NAM,rur,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,urb,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NAM,urb,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAO,rur,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAO,rur,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAO,urb,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAO,urb,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAS,rur,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAS,rur,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAS,urb,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAS,urb,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAS,rur,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAS,rur,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAS,urb,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAS,urb,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEU,rur,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WEU,rur,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEU,urb,sub,own,nsp,nsp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WEU,urb,sub,rent,nsp,nsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
