region_bld,arch,bld_age,value
C-EEU-SVK,mfh,p1,212.2279672
C-WEU-GBR,mfh,p1,1942.677211
C-WEU-AUT,sfh,p2,1002.051812
C-WEU-BEL,sfh,p2,1525.710492
C-EEU-BGR,sfh,p2,1056.35347
C-WEU-CYP,sfh,p2,93.46665565
C-EEU-CZE,sfh,p2,1049.591356
C-WEU-DEU,sfh,p2,11121.19392
C-WEU-DNK,sfh,p2,767.0819346
C-EEU-EST,sfh,p2,113.6222175
C-WEU-GRC,sfh,p2,1134.911592
C-WEU-ESP,sfh,p2,2704.336647
C-WEU-FIN,sfh,p2,869.0565539
C-WEU-FRA,sfh,p2,8012.746762
C-EEU-HUN,sfh,p2,1538.98599
C-WEU-IRL,sfh,p2,577.2927799
C-WEU-ITA,sfh,p2,4606.485652
C-EEU-LTU,sfh,p2,343.6716292
C-WEU-LUX,sfh,p2,61.23789957
C-EEU-LVA,sfh,p2,200.7453728
C-WEU-MLT,sfh,p2,58.76895803
C-WEU-NLD,sfh,p2,2764.576753
C-EEU-POL,sfh,p2,2673.470468
C-WEU-PRT,sfh,p2,1263.569911
C-EEU-ROU,sfh,p2,3414.01707
C-WEU-SWE,sfh,p2,980.3710998
C-EEU-SVN,sfh,p2,136.575944
C-EEU-SVK,sfh,p2,495.6650057
C-WEU-GBR,sfh,p2,9287.040496
C-WEU-AUT,mfh,p2,990.3090177
C-WEU-BEL,mfh,p2,544.7656981
C-EEU-BGR,mfh,p2,862.0998607
C-WEU-CYP,mfh,p2,36.49650335
C-EEU-CZE,mfh,p2,1416.722861
C-WEU-DEU,mfh,p2,13011.41819
C-WEU-DNK,mfh,p2,535.3542064
C-EEU-EST,mfh,p2,339.2857735
C-WEU-GRC,mfh,p2,1670.264735
C-WEU-ESP,mfh,p2,6422.233944
C-WEU-FIN,mfh,p2,692.4397781
C-WEU-FRA,mfh,p2,6191.894806
C-EEU-HUN,mfh,p2,961.6334406
C-WEU-IRL,mfh,p2,73.35468207
C-WEU-ITA,mfh,p2,13384.11435
C-EEU-LTU,mfh,p2,635.4130078
C-WEU-LUX,mfh,p2,34.70147643
C-EEU-LVA,mfh,p2,448.3968352
C-WEU-MLT,mfh,p2,19.52812197
C-WEU-NLD,mfh,p2,1196.784513
C-EEU-POL,mfh,p2,3937.310782
C-WEU-PRT,mfh,p2,878.074006
C-EEU-ROU,mfh,p2,2586.01293
C-WEU-SWE,mfh,p2,1364.018574
C-EEU-SVN,mfh,p2,242.435745
C-EEU-SVK,mfh,p2,513.7634923
C-WEU-GBR,mfh,p2,2140.717248
C-WEU-AUT,sfh,p3,357.7488637
C-WEU-BEL,sfh,p3,488.4168433
C-EEU-BGR,sfh,p3,400.6798344
C-WEU-CYP,sfh,p3,115.1687734
C-EEU-CZE,sfh,p3,239.6694281
C-WEU-DEU,sfh,p3,3040.071139
C-WEU-DNK,sfh,p3,241.1565455
C-EEU-EST,sfh,p3,19.19660258
C-WEU-GRC,sfh,p3,292.0400152
C-WEU-ESP,sfh,p3,1608.672702
C-WEU-FIN,sfh,p3,325.7327226
C-WEU-FRA,sfh,p3,3180.410264
C-EEU-HUN,sfh,p3,467.0406693
C-WEU-IRL,sfh,p3,639.6192258
C-WEU-ITA,sfh,p3,630.2404469
C-EEU-LTU,sfh,p3,56.98326452
C-WEU-LUX,sfh,p3,24.78769468
C-EEU-LVA,sfh,p3,40.91739982
C-WEU-MLT,sfh,p3,24.45279143
C-WEU-NLD,sfh,p3,1002.684201
C-EEU-POL,sfh,p3,1643.613424
C-WEU-PRT,sfh,p3,671.31342
C-EEU-ROU,sfh,p3,339.7261158
C-WEU-SWE,sfh,p3,200.5505124
C-EEU-SVN,sfh,p3,51.41466298
C-EEU-SVK,sfh,p3,148.5832396
C-WEU-GBR,sfh,p3,3022.04378
C-WEU-AUT,mfh,p3,353.5564943
C-WEU-BEL,mfh,p3,174.3926807
C-EEU-BGR,mfh,p3,326.9985276
C-WEU-CYP,mfh,p3,44.97066357
C-EEU-CZE,mfh,p3,323.5022429
C-WEU-DEU,mfh,p3,3556.779714
C-WEU-DNK,mfh,p3,168.3055815
C-EEU-EST,mfh,p3,57.32271642
C-WEU-GRC,mfh,p3,429.7992388
C-WEU-ESP,mfh,p3,3820.261223
C-WEU-FIN,mfh,p3,259.5346564
C-WEU-FRA,mfh,p3,2457.679792
C-EEU-HUN,mfh,p3,291.8297687
C-WEU-IRL,mfh,p3,81.27429718
C-WEU-ITA,mfh,p3,1831.159553
C-EEU-LTU,mfh,p3,105.3561145
C-WEU-LUX,mfh,p3,14.04636032
C-EEU-LVA,mfh,p3,91.39554418
C-WEU-MLT,mfh,p3,8.12532857
C-WEU-NLD,mfh,p3,434.0617135
C-EEU-POL,mfh,p3,2420.605326
C-WEU-PRT,mfh,p3,466.505936
C-EEU-ROU,mfh,p3,257.3320842
C-WEU-SWE,mfh,p3,279.0317096
C-EEU-SVN,mfh,p3,91.26608802
C-EEU-SVK,mfh,p3,154.0085404
C-WEU-GBR,mfh,p3,696.5987978
