region_bld,ssp,scenario,urt,arch,mat,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
C-EEU-ROU,SSP2,nsp,rur,sfh,perm,30.9353296,33.45245798,35.93576026,38.3532623,40.67657629,42.88194413,44.95101841,46.87108273,48.63492795,50.24033435,51.68934249,52.98742058,54.14259786,55.16460666,56.06422528,56.85266157,57.54104584,58.14021134
C-EEU-ROU,SSP2,nsp,urb,mfh,perm,17.40061185,18.81645499,20.2132715,21.57307646,22.8799022,24.12038517,25.28420528,26.36420973,27.35634353,28.25935811,29.07440125,29.80454874,30.45431687,31.02917994,31.53520055,31.97868294,32.36588772,32.70290842
C-EEU-ROU,SSP2,nsp,urb,sfh,perm,30.39700325,32.8703294,35.31041808,37.68585155,39.968736,42.13572675,44.16879569,46.05544769,47.78859906,49.36606871,50.78986169,52.06535106,53.20042633,54.20465047,55.08861423,55.8633304,56.53973564,57.12847466
C-EEU-SVK,SSP2,nsp,rur,mfh,perm,21.18354096,22.46924127,23.73463594,24.96426811,26.14447565,27.26383727,28.31359485,29.2877091,30.18283342,30.99804833,31.73450343,32.39503856,32.98371243,33.50544068,33.96561613,34.36984959,34.72371071,35.03261552
C-EEU-SVK,SSP2,nsp,rur,sfh,perm,35.41370261,37.56307927,39.67850986,41.73415429,43.70717282,45.57847184,47.33340992,48.96189085,50.45831992,51.82115999,53.0523329,54.15658618,55.14070501,56.01290712,56.78220799,57.45798752,58.04955683,58.56597016
C-EEU-SVK,SSP2,nsp,urb,mfh,perm,19.91962269,21.12861155,22.31850631,23.47477235,24.58456268,25.63713746,26.62426114,27.54025477,28.3819714,29.14854642,29.84106084,30.46218507,31.01573566,31.50633493,31.93905397,32.31916879,32.65191675,32.94239072
C-EEU-SVK,SSP2,nsp,urb,sfh,perm,34.7974451,36.90941902,38.98803758,41.00791037,42.94659509,44.78533039,46.50972962,48.10987226,49.58026097,50.91938535,52.1291338,53.21417123,54.18116475,55.03818908,55.79410284,56.45812268,57.03939769,57.54682457
C-EEU-SVN,SSP2,nsp,rur,mfh,perm,18.08331222,19.56791353,21.04369,22.49040257,23.88978515,25.22629139,26.48763695,27.66497955,28.75287438,29.74898169,30.65363853,31.46936113,32.20032159,32.85182585,33.42990899,33.94095381,34.39137458,34.787473
C-EEU-SVN,SSP2,nsp,rur,sfh,perm,30.23087795,32.71276846,35.179906,37.59845579,39.93788142,42.17219317,44.28085464,46.24908369,48.06777792,49.73302587,51.24539098,52.60907979,53.831067,54.92022288,55.88663659,56.74097862,57.49397205,58.15615179
C-EEU-SVN,SSP2,nsp,urb,mfh,perm,17.00436944,18.40039185,19.78811596,21.14851026,22.46439853,23.72116198,24.90724922,26.01434555,27.03733101,27.97400547,28.82468586,29.59173829,30.27908591,30.8917181,31.43530985,31.91586312,32.33940949,32.71187465
C-EEU-SVN,SSP2,nsp,urb,sfh,perm,29.70481023,32.14351171,34.56771694,36.94417993,39.24289565,41.43832665,43.51029389,45.44427247,47.23131839,48.86758824,50.35363568,51.69359403,52.89431662,53.96451938,54.91411587,55.75359092,56.49348101,57.14413772
C-WEU-AUT,SSP2,nsp,rur,mfh,perm,32.38979084,32.61214338,32.8282516,33.03722777,33.23830581,33.43086872,33.61446516,33.78881417,33.95379881,34.10945099,34.25593034,34.39349989,34.5225013,34.64333145,34.75642178,34.86222093,34.96118093,35.05374665
C-WEU-AUT,SSP2,nsp,rur,sfh,perm,54.14781327,54.51953238,54.8808125,55.23016958,55.56632291,55.88824102,56.1951694,56.48663833,56.76245231,57.02266472,57.26754238,57.49752505,57.71318387,57.91518234,58.10424173,58.28111206,58.446549,58.60129625
C-WEU-AUT,SSP2,nsp,urb,mfh,perm,29.47989527,29.68227169,29.87896476,30.06916654,30.25217975,30.42744282,30.59454498,30.75323049,30.90339292,31.04506133,31.17838099,31.30359131,31.42100324,31.53097802,31.63390833,31.7302025,31.82027194,31.90452157
C-WEU-AUT,SSP2,nsp,urb,sfh,perm,51.49821627,51.85174617,52.19534788,52.52760999,52.84731444,53.15348024,53.44538979,53.72259637,53.98491404,54.23239356,54.46528871,54.6840177,54.88912376,55.08123791,55.26104612,55.42926172,55.58660338,55.73377844
C-WEU-BEL,SSP2,nsp,rur,mfh,perm,27.20716444,27.96806826,28.71869824,29.44928732,30.15110998,30.81686656,31.44092314,32.01939957,32.55011968,33.03245295,33.46708386,33.85574533,34.2009472,34.50572277,34.77340796,35.00745995,35.21131652,35.38829328
C-WEU-BEL,SSP2,nsp,rur,sfh,perm,45.48372872,46.75577392,48.01064377,49.23201014,50.40528608,51.51826835,52.56153842,53.52860961,54.41584391,55.22218723,55.94878388,56.59853086,57.17562402,57.68513428,58.13263848,58.5239162,58.86471456,59.16057643
