ssp,scenario,region_gea,eneff,mat,eneff_f,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
SSP1,BLDC_R,CPA,s2,perm,sr22_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,CPA,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,CPA,s3,perm,sr31_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,CPA,s3,perm,sr32_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,EEU,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,EEU,s1,perm,sr11_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,EEU,s1,perm,sr12_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,EEU,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,EEU,s2,perm,sr21_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,EEU,s2,perm,sr22_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,EEU,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,EEU,s3,perm,sr31_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,EEU,s3,perm,sr32_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,FSU,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,FSU,s1,perm,sr11_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,FSU,s1,perm,sr12_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,FSU,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,FSU,s2,perm,sr21_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,FSU,s2,perm,sr22_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,FSU,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,FSU,s3,perm,sr31_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,FSU,s3,perm,sr32_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,LAC,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,LAC,s1,perm,sr11_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,LAC,s1,perm,sr12_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,LAC,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,LAC,s2,perm,sr21_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,LAC,s2,perm,sr22_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,LAC,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,LAC,s3,perm,sr31_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,LAC,s3,perm,sr32_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,MEA,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,MEA,s1,perm,sr11_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,MEA,s1,perm,sr12_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,MEA,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,MEA,s2,perm,sr21_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,MEA,s2,perm,sr22_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,MEA,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,MEA,s3,perm,sr31_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,MEA,s3,perm,sr32_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,NAM,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,NAM,s1,perm,sr11_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,NAM,s1,perm,sr12_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,NAM,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,NAM,s2,perm,sr21_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,NAM,s2,perm,sr22_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,NAM,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,NAM,s3,perm,sr31_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,NAM,s3,perm,sr32_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,PAO,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,PAO,s1,perm,sr11_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,PAO,s1,perm,sr12_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,PAO,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,PAO,s2,perm,sr21_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,PAO,s2,perm,sr22_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,PAO,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,PAO,s3,perm,sr31_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,PAO,s3,perm,sr32_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,PAS,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,PAS,s1,perm,sr11_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,PAS,s1,perm,sr12_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,PAS,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,PAS,s2,perm,sr21_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,PAS,s2,perm,sr22_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,PAS,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,PAS,s3,perm,sr31_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,PAS,s3,perm,sr32_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,SAS,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,SAS,s1,perm,sr11_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,SAS,s1,perm,sr12_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,SAS,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,SAS,s2,perm,sr21_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,SAS,s2,perm,sr22_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,SAS,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,SAS,s3,perm,sr31_std,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,SAS,s3,perm,sr32_low,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
SSP1,BLDC_R,WEU,s1,perm,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,WEU,s1,perm,sr11_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,WEU,s1,perm,sr12_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,WEU,s2,perm,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,WEU,s2,perm,sr21_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,WEU,s2,perm,sr22_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
SSP1,BLDC_R,WEU,s3,perm,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSP1,BLDC_R,WEU,s3,perm,sr31_std,0,0,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SSP1,BLDC_R,WEU,s3,perm,sr32_low,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
