region_bld,urt,arch,mat,bld_age,year,value
C-EEU-BGR,urb,mfh,perm,p2,2100,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2015,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2020,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2025,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2030,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2035,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2040,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2045,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2050,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2055,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2060,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2070,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2080,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2090,18.78262378
C-EEU-BGR,urb,mfh,perm,p3,2100,18.78262378
C-EEU-BGR,urb,mfh,perm,p5,2015,18.78262378
C-EEU-BGR,urb,mfh,perm,p5,2020,44.04728349
C-EEU-BGR,urb,mfh,perm,p5,2025,44.70914564
C-EEU-BGR,urb,mfh,perm,p5,2030,45.44842701
C-EEU-BGR,urb,mfh,perm,p5,2035,46.22934953
C-EEU-BGR,urb,mfh,perm,p5,2040,46.92894584
C-EEU-BGR,urb,mfh,perm,p5,2045,47.53164129
C-EEU-BGR,urb,mfh,perm,p5,2050,48.08412789
C-EEU-BGR,urb,mfh,perm,p5,2055,48.64203457
C-EEU-BGR,urb,mfh,perm,p5,2060,49.24379997
C-EEU-BGR,urb,mfh,perm,p5,2070,50.70220431
C-EEU-BGR,urb,mfh,perm,p5,2080,52.39523917
C-EEU-BGR,urb,mfh,perm,p5,2090,54.01800851
C-EEU-BGR,urb,mfh,perm,p5,2100,55.58740866
C-EEU-BGR,urb,sfh,perm,p1,2015,32.81122991
C-EEU-BGR,urb,sfh,perm,p1,2020,32.81122991
C-EEU-BGR,urb,sfh,perm,p1,2025,32.81122991
C-EEU-BGR,urb,sfh,perm,p1,2030,32.81122991
C-EEU-BGR,urb,sfh,perm,p1,2035,32.81122991
C-EEU-BGR,urb,sfh,perm,p1,2040,32.81122991
C-EEU-BGR,urb,sfh,perm,p1,2045,32.81122991
C-EEU-BGR,urb,sfh,perm,p1,2050,32.81122991
C-EEU-BGR,urb,sfh,perm,p1,2055,32.81122991
C-EEU-BGR,urb,sfh,perm,p1,2060,32.81122991
C-EEU-BGR,urb,sfh,perm,p1,2070,32.81122991
C-EEU-BGR,urb,sfh,perm,p1,2080,32.81122991
C-EEU-BGR,urb,sfh,perm,p1,2090,32.81122991
C-EEU-BGR,urb,sfh,perm,p1,2100,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2015,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2020,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2025,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2030,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2035,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2040,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2045,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2050,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2055,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2060,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2070,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2080,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2090,32.81122991
C-EEU-BGR,urb,sfh,perm,p2,2100,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2015,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2020,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2025,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2030,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2035,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2040,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2045,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2050,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2055,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2060,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2070,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2080,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2090,32.81122991
C-EEU-BGR,urb,sfh,perm,p3,2100,32.81122991
C-EEU-BGR,urb,sfh,perm,p5,2015,32.81122991
C-EEU-BGR,urb,sfh,perm,p5,2020,76.94588159
C-EEU-BGR,urb,sfh,perm,p5,2025,78.10208381
C-EEU-BGR,urb,sfh,perm,p5,2030,79.39352909
C-EEU-BGR,urb,sfh,perm,p5,2035,80.75771702
C-EEU-BGR,urb,sfh,perm,p5,2040,81.97983676
C-EEU-BGR,urb,sfh,perm,p5,2045,83.03268108
C-EEU-BGR,urb,sfh,perm,p5,2050,83.99781594
C-EEU-BGR,urb,sfh,perm,p5,2055,84.97241908
C-EEU-BGR,urb,sfh,perm,p5,2060,86.02363873
C-EEU-BGR,urb,sfh,perm,p5,2070,88.57131474
C-EEU-BGR,urb,sfh,perm,p5,2080,91.52886512
C-EEU-BGR,urb,sfh,perm,p5,2090,94.36366916
C-EEU-BGR,urb,sfh,perm,p5,2100,97.10524297
C-EEU-CZE,rur,mfh,perm,p1,2015,30.07225274
C-EEU-CZE,rur,mfh,perm,p1,2020,30.07225274
C-EEU-CZE,rur,mfh,perm,p1,2025,30.07225274
C-EEU-CZE,rur,mfh,perm,p1,2030,30.07225274
C-EEU-CZE,rur,mfh,perm,p1,2035,30.07225274
C-EEU-CZE,rur,mfh,perm,p1,2040,30.07225274
C-EEU-CZE,rur,mfh,perm,p1,2045,30.07225274
C-EEU-CZE,rur,mfh,perm,p1,2050,30.07225274
C-EEU-CZE,rur,mfh,perm,p1,2055,30.07225274
C-EEU-CZE,rur,mfh,perm,p1,2060,30.07225274
C-EEU-CZE,rur,mfh,perm,p1,2070,30.07225274
C-EEU-CZE,rur,mfh,perm,p1,2080,30.07225274
C-EEU-CZE,rur,mfh,perm,p1,2090,30.07225274
C-EEU-CZE,rur,mfh,perm,p1,2100,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2015,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2020,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2025,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2030,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2035,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2040,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2045,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2050,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2055,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2060,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2070,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2080,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2090,30.07225274
C-EEU-CZE,rur,mfh,perm,p2,2100,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2015,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2020,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2025,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2030,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2035,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2040,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2045,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2050,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2055,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2060,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2070,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2080,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2090,30.07225274
C-EEU-CZE,rur,mfh,perm,p3,2100,30.07225274
C-EEU-CZE,rur,mfh,perm,p5,2015,30.07225274
C-EEU-CZE,rur,mfh,perm,p5,2020,52.36332969
C-EEU-CZE,rur,mfh,perm,p5,2025,52.94729244
C-EEU-CZE,rur,mfh,perm,p5,2030,53.59956237
C-EEU-CZE,rur,mfh,perm,p5,2035,54.2885724
C-EEU-CZE,rur,mfh,perm,p5,2040,54.9058281
C-EEU-CZE,rur,mfh,perm,p5,2045,55.43758791
C-EEU-CZE,rur,mfh,perm,p5,2050,55.92504832
C-EEU-CZE,rur,mfh,perm,p5,2055,56.41729087
C-EEU-CZE,rur,mfh,perm,p5,2060,56.9482301
C-EEU-CZE,rur,mfh,perm,p5,2070,58.23498416
C-EEU-CZE,rur,mfh,perm,p5,2080,59.72875335
C-EEU-CZE,rur,mfh,perm,p5,2090,61.16052708
C-EEU-CZE,rur,mfh,perm,p5,2100,62.54521304
C-EEU-CZE,rur,sfh,perm,p1,2015,50.27345606
C-EEU-CZE,rur,sfh,perm,p1,2020,50.27345606
C-EEU-CZE,rur,sfh,perm,p1,2025,50.27345606
C-EEU-CZE,rur,sfh,perm,p1,2030,50.27345606
C-EEU-CZE,rur,sfh,perm,p1,2035,50.27345606
C-EEU-CZE,rur,sfh,perm,p1,2040,50.27345606
C-EEU-CZE,rur,sfh,perm,p1,2045,50.27345606
C-EEU-CZE,rur,sfh,perm,p1,2050,50.27345606
C-EEU-CZE,rur,sfh,perm,p1,2055,50.27345606
C-EEU-CZE,rur,sfh,perm,p1,2060,50.27345606
C-EEU-CZE,rur,sfh,perm,p1,2070,50.27345606
C-EEU-CZE,rur,sfh,perm,p1,2080,50.27345606
C-EEU-CZE,rur,sfh,perm,p1,2090,50.27345606
C-EEU-CZE,rur,sfh,perm,p1,2100,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2015,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2020,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2025,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2030,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2035,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2040,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2045,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2050,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2055,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2060,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2070,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2080,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2090,50.27345606
C-EEU-CZE,rur,sfh,perm,p2,2100,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2015,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2020,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2025,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2030,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2035,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2040,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2045,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2050,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2055,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2060,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2070,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2080,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2090,50.27345606
C-EEU-CZE,rur,sfh,perm,p3,2100,50.27345606
C-EEU-CZE,rur,sfh,perm,p5,2015,50.27345606
C-EEU-CZE,rur,sfh,perm,p5,2020,87.53868812
C-EEU-CZE,rur,sfh,perm,p5,2025,88.5149311
C-EEU-CZE,rur,sfh,perm,p5,2030,89.60536699
C-EEU-CZE,rur,sfh,perm,p5,2035,90.75722336
C-EEU-CZE,rur,sfh,perm,p5,2040,91.78912401
C-EEU-CZE,rur,sfh,perm,p5,2045,92.67809643
C-EEU-CZE,rur,sfh,perm,p5,2050,93.49301108
C-EEU-CZE,rur,sfh,perm,p5,2055,94.31592031
C-EEU-CZE,rur,sfh,perm,p5,2060,95.20352093
C-EEU-CZE,rur,sfh,perm,p5,2070,97.35465919
C-EEU-CZE,rur,sfh,perm,p5,2080,99.85187616
C-EEU-CZE,rur,sfh,perm,p5,2090,102.2454519
C-EEU-CZE,rur,sfh,perm,p5,2100,104.5603083
C-EEU-CZE,urb,mfh,perm,p1,2015,23.91347745
C-EEU-CZE,urb,mfh,perm,p1,2020,23.91347745
C-EEU-CZE,urb,mfh,perm,p1,2025,23.91347745
C-EEU-CZE,urb,mfh,perm,p1,2030,23.91347745
C-EEU-CZE,urb,mfh,perm,p1,2035,23.91347745
C-EEU-CZE,urb,mfh,perm,p1,2040,23.91347745
C-EEU-CZE,urb,mfh,perm,p1,2045,23.91347745
C-EEU-CZE,urb,mfh,perm,p1,2050,23.91347745
C-EEU-CZE,urb,mfh,perm,p1,2055,23.91347745
C-EEU-CZE,urb,mfh,perm,p1,2060,23.91347745
C-EEU-CZE,urb,mfh,perm,p1,2070,23.91347745
C-EEU-CZE,urb,mfh,perm,p1,2080,23.91347745
C-EEU-CZE,urb,mfh,perm,p1,2090,23.91347745
C-EEU-CZE,urb,mfh,perm,p1,2100,23.91347745
C-EEU-CZE,urb,mfh,perm,p2,2015,23.91347745
C-EEU-CZE,urb,mfh,perm,p2,2020,23.91347745
C-EEU-CZE,urb,mfh,perm,p2,2025,23.91347745
