ssp,scenario,region_gea,eneff,eneff_f,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
nsp,nsp,LAC,s3,sr31_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,LAC,s3,sr32_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,MEA,s1,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,MEA,s1,sr11_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,MEA,s1,sr12_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,MEA,s2,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,MEA,s2,sr21_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,MEA,s2,sr22_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,MEA,s3,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,MEA,s3,sr31_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,MEA,s3,sr32_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,NAM,s1,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,NAM,s1,sr11_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,NAM,s1,sr12_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,NAM,s2,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,NAM,s2,sr21_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,NAM,s2,sr22_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,NAM,s3,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,NAM,s3,sr31_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,NAM,s3,sr32_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,PAO,s1,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,PAO,s1,sr11_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,PAO,s1,sr12_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,PAO,s2,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,PAO,s2,sr21_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,PAO,s2,sr22_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,PAO,s3,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,PAO,s3,sr31_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,PAO,s3,sr32_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,PAS,s1,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,PAS,s1,sr11_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,PAS,s1,sr12_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,PAS,s2,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,PAS,s2,sr21_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,PAS,s2,sr22_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,PAS,s3,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,PAS,s3,sr31_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,PAS,s3,sr32_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,SAS,s1,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,SAS,s1,sr11_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,SAS,s1,sr12_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,SAS,s2,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,SAS,s2,sr21_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,SAS,s2,sr22_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,SAS,s3,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,SAS,s3,sr31_std,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404,146.9274404
nsp,nsp,SAS,s3,sr32_low,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607,220.3911607
nsp,nsp,WEU,s1,s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,WEU,s1,sr11_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,WEU,s1,sr12_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,WEU,s2,s2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,WEU,s2,sr21_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,WEU,s2,sr22_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
nsp,nsp,WEU,s3,s3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsp,nsp,WEU,s3,sr31_std,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952,487.1747952
nsp,nsp,WEU,s3,sr32_low,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928,730.7621928
