region_bld,mat,inc_cl,tenr,arch,value
C-EEU-BGR,perm,q2,own,mfh,0
C-EEU-BGR,perm,q2,own,sfh,0.014
C-EEU-CZE,perm,q2,own,mfh,0
C-EEU-CZE,perm,q2,own,sfh,0.017
C-EEU-EST,perm,q2,own,mfh,0
C-EEU-EST,perm,q2,own,sfh,0.008
C-EEU-HUN,perm,q2,own,mfh,0
C-EEU-HUN,perm,q2,own,sfh,0.01
C-EEU-LTU,perm,q2,own,mfh,0
C-EEU-LTU,perm,q2,own,sfh,0.009
C-EEU-LVA,perm,q2,own,mfh,0
C-EEU-LVA,perm,q2,own,sfh,0.009
C-EEU-POL,perm,q2,own,mfh,0
C-EEU-POL,perm,q2,own,sfh,0.015
C-EEU-ROU,perm,q2,own,mfh,0
C-EEU-ROU,perm,q2,own,sfh,0.014
C-EEU-SVK,perm,q2,own,mfh,0
C-EEU-SVK,perm,q2,own,sfh,0.011
C-EEU-SVN,perm,q2,own,mfh,0
C-EEU-SVN,perm,q2,own,sfh,0.014
C-WEU-AUT,perm,q2,own,mfh,0
C-WEU-AUT,perm,q2,own,sfh,0.019
C-WEU-BEL,perm,q2,own,mfh,0
C-WEU-BEL,perm,q2,own,sfh,0.012
C-WEU-CYP,perm,q2,own,mfh,0
C-WEU-CYP,perm,q2,own,sfh,0.024
C-WEU-DEU,perm,q2,own,mfh,0
C-WEU-DEU,perm,q2,own,sfh,0.01
C-WEU-DNK,perm,q2,own,mfh,0
C-WEU-DNK,perm,q2,own,sfh,0.006
C-WEU-ESP,perm,q2,own,mfh,0
C-WEU-ESP,perm,q2,own,sfh,0.02
C-WEU-FIN,perm,q2,own,mfh,0
C-WEU-FIN,perm,q2,own,sfh,0.003
C-WEU-FRA,perm,q2,own,mfh,0
C-WEU-FRA,perm,q2,own,sfh,0.012
C-WEU-GBR,perm,q2,own,mfh,0
C-WEU-GBR,perm,q2,own,sfh,0.012
C-WEU-GRC,perm,q2,own,mfh,0
C-WEU-GRC,perm,q2,own,sfh,0.013
C-WEU-IRL,perm,q2,own,mfh,0
C-WEU-IRL,perm,q2,own,sfh,0.007
C-WEU-ITA,perm,q2,own,mfh,0
C-WEU-ITA,perm,q2,own,sfh,0.018
C-WEU-LUX,perm,q2,own,mfh,0
C-WEU-LUX,perm,q2,own,sfh,0.005
C-WEU-NLD,perm,q2,own,mfh,0
C-WEU-NLD,perm,q2,own,sfh,0.009
C-WEU-PRT,perm,q2,own,mfh,0
C-WEU-PRT,perm,q2,own,sfh,0.014
C-WEU-SWE,perm,q2,own,mfh,0
C-WEU-SWE,perm,q2,own,sfh,0.008
C-EEU-BGR,perm,q3,own,mfh,0
C-EEU-BGR,perm,q3,own,sfh,0.014
C-EEU-CZE,perm,q3,own,mfh,0
C-EEU-CZE,perm,q3,own,sfh,0.017
C-EEU-EST,perm,q3,own,mfh,0
C-EEU-EST,perm,q3,own,sfh,0.008
C-EEU-HUN,perm,q3,own,mfh,0
C-EEU-HUN,perm,q3,own,sfh,0.01
C-EEU-LTU,perm,q3,own,mfh,0
C-EEU-LTU,perm,q3,own,sfh,0.009
C-EEU-LVA,perm,q3,own,mfh,0
C-EEU-LVA,perm,q3,own,sfh,0.009
C-EEU-POL,perm,q3,own,mfh,0
C-EEU-POL,perm,q3,own,sfh,0.015
C-EEU-ROU,perm,q3,own,mfh,0
C-EEU-ROU,perm,q3,own,sfh,0.014
C-EEU-SVK,perm,q3,own,mfh,0
C-EEU-SVK,perm,q3,own,sfh,0.011
C-EEU-SVN,perm,q3,own,mfh,0
C-EEU-SVN,perm,q3,own,sfh,0.014
C-WEU-AUT,perm,q3,own,mfh,0
C-WEU-AUT,perm,q3,own,sfh,0.019
C-WEU-BEL,perm,q3,own,mfh,0
C-WEU-BEL,perm,q3,own,sfh,0.012
C-WEU-CYP,perm,q3,own,mfh,0
C-WEU-CYP,perm,q3,own,sfh,0.024
C-WEU-DEU,perm,q3,own,mfh,0
C-WEU-DEU,perm,q3,own,sfh,0.01
C-WEU-DNK,perm,q3,own,mfh,0
C-WEU-DNK,perm,q3,own,sfh,0.006
C-WEU-ESP,perm,q3,own,mfh,0
C-WEU-ESP,perm,q3,own,sfh,0.02
C-WEU-FIN,perm,q3,own,mfh,0
C-WEU-FIN,perm,q3,own,sfh,0.003
C-WEU-FRA,perm,q3,own,mfh,0
C-WEU-FRA,perm,q3,own,sfh,0.012
C-WEU-GBR,perm,q3,own,mfh,0
C-WEU-GBR,perm,q3,own,sfh,0.012
C-WEU-GRC,perm,q3,own,mfh,0
C-WEU-GRC,perm,q3,own,sfh,0.013
C-WEU-IRL,perm,q3,own,mfh,0
C-WEU-IRL,perm,q3,own,sfh,0.007
C-WEU-ITA,perm,q3,own,mfh,0
C-WEU-ITA,perm,q3,own,sfh,0.018
C-WEU-LUX,perm,q3,own,mfh,0
C-WEU-LUX,perm,q3,own,sfh,0.005
C-WEU-NLD,perm,q3,own,mfh,0
C-WEU-NLD,perm,q3,own,sfh,0.009
C-WEU-PRT,perm,q3,own,mfh,0
C-WEU-PRT,perm,q3,own,sfh,0.014
C-WEU-SWE,perm,q3,own,mfh,0
C-WEU-SWE,perm,q3,own,sfh,0.008
C-EEU-BGR,perm,q1,rent,mfh,0
C-EEU-BGR,perm,q1,rent,sfh,0.014
C-EEU-CZE,perm,q1,rent,mfh,0
C-EEU-CZE,perm,q1,rent,sfh,0.017
C-EEU-EST,perm,q1,rent,mfh,0
C-EEU-EST,perm,q1,rent,sfh,0.008
C-EEU-HUN,perm,q1,rent,mfh,0
C-EEU-HUN,perm,q1,rent,sfh,0.01
C-EEU-LTU,perm,q1,rent,mfh,0
C-EEU-LTU,perm,q1,rent,sfh,0.009
C-EEU-LVA,perm,q1,rent,mfh,0
C-EEU-LVA,perm,q1,rent,sfh,0.009
C-EEU-POL,perm,q1,rent,mfh,0
C-EEU-POL,perm,q1,rent,sfh,0.015
C-EEU-ROU,perm,q1,rent,mfh,0
C-EEU-ROU,perm,q1,rent,sfh,0.014
C-EEU-SVK,perm,q1,rent,mfh,0
C-EEU-SVK,perm,q1,rent,sfh,0.011
C-EEU-SVN,perm,q1,rent,mfh,0
C-EEU-SVN,perm,q1,rent,sfh,0.014
C-WEU-AUT,perm,q1,rent,mfh,0
C-WEU-AUT,perm,q1,rent,sfh,0.019
C-WEU-BEL,perm,q1,rent,mfh,0
C-WEU-BEL,perm,q1,rent,sfh,0.012
C-WEU-CYP,perm,q1,rent,mfh,0
C-WEU-CYP,perm,q1,rent,sfh,0.024
C-WEU-DEU,perm,q1,rent,mfh,0
C-WEU-DEU,perm,q1,rent,sfh,0.01
C-WEU-DNK,perm,q1,rent,mfh,0
C-WEU-DNK,perm,q1,rent,sfh,0.006
C-WEU-ESP,perm,q1,rent,mfh,0
C-WEU-ESP,perm,q1,rent,sfh,0.02
C-WEU-FIN,perm,q1,rent,mfh,0
C-WEU-FIN,perm,q1,rent,sfh,0.003
C-WEU-FRA,perm,q1,rent,mfh,0
C-WEU-FRA,perm,q1,rent,sfh,0.012
C-WEU-GBR,perm,q1,rent,mfh,0
C-WEU-GBR,perm,q1,rent,sfh,0.012
C-WEU-GRC,perm,q1,rent,mfh,0
C-WEU-GRC,perm,q1,rent,sfh,0.013
C-WEU-IRL,perm,q1,rent,mfh,0
C-WEU-IRL,perm,q1,rent,sfh,0.007
C-WEU-ITA,perm,q1,rent,mfh,0
C-WEU-ITA,perm,q1,rent,sfh,0.018
C-WEU-LUX,perm,q1,rent,mfh,0
C-WEU-LUX,perm,q1,rent,sfh,0.005
C-WEU-NLD,perm,q1,rent,mfh,0
C-WEU-NLD,perm,q1,rent,sfh,0.009
C-WEU-PRT,perm,q1,rent,mfh,0
C-WEU-PRT,perm,q1,rent,sfh,0.014
C-WEU-SWE,perm,q1,rent,mfh,0
C-WEU-SWE,perm,q1,rent,sfh,0.008
C-EEU-BGR,perm,q2,rent,mfh,0
C-EEU-BGR,perm,q2,rent,sfh,0.014
C-EEU-CZE,perm,q2,rent,mfh,0
C-EEU-CZE,perm,q2,rent,sfh,0.017
C-EEU-EST,perm,q2,rent,mfh,0
C-EEU-EST,perm,q2,rent,sfh,0.008
C-EEU-HUN,perm,q2,rent,mfh,0
C-EEU-HUN,perm,q2,rent,sfh,0.01
C-EEU-LTU,perm,q2,rent,mfh,0
C-EEU-LTU,perm,q2,rent,sfh,0.009
C-EEU-LVA,perm,q2,rent,mfh,0
C-EEU-LVA,perm,q2,rent,sfh,0.009
C-EEU-POL,perm,q2,rent,mfh,0
C-EEU-POL,perm,q2,rent,sfh,0.015
C-EEU-ROU,perm,q2,rent,mfh,0
C-EEU-ROU,perm,q2,rent,sfh,0.014
C-EEU-SVK,perm,q2,rent,mfh,0
C-EEU-SVK,perm,q2,rent,sfh,0.011
C-EEU-SVN,perm,q2,rent,mfh,0
C-EEU-SVN,perm,q2,rent,sfh,0.014
C-WEU-AUT,perm,q2,rent,mfh,0
C-WEU-AUT,perm,q2,rent,sfh,0.019
C-WEU-BEL,perm,q2,rent,mfh,0
C-WEU-BEL,perm,q2,rent,sfh,0.012
C-WEU-CYP,perm,q2,rent,mfh,0
C-WEU-CYP,perm,q2,rent,sfh,0.024
C-WEU-DEU,perm,q2,rent,mfh,0
C-WEU-DEU,perm,q2,rent,sfh,0.01
C-WEU-DNK,perm,q2,rent,mfh,0
C-WEU-DNK,perm,q2,rent,sfh,0.006
C-WEU-ESP,perm,q2,rent,mfh,0
C-WEU-ESP,perm,q2,rent,sfh,0.02
C-WEU-FIN,perm,q2,rent,mfh,0
C-WEU-FIN,perm,q2,rent,sfh,0.003
C-WEU-FRA,perm,q2,rent,mfh,0
C-WEU-FRA,perm,q2,rent,sfh,0.012
C-WEU-GBR,perm,q2,rent,mfh,0
C-WEU-GBR,perm,q2,rent,sfh,0.012
C-WEU-GRC,perm,q2,rent,mfh,0
C-WEU-GRC,perm,q2,rent,sfh,0.013
C-WEU-IRL,perm,q2,rent,mfh,0
C-WEU-IRL,perm,q2,rent,sfh,0.007
C-WEU-ITA,perm,q2,rent,mfh,0
C-WEU-ITA,perm,q2,rent,sfh,0.018
C-WEU-LUX,perm,q2,rent,mfh,0
C-WEU-LUX,perm,q2,rent,sfh,0.005
C-WEU-NLD,perm,q2,rent,mfh,0
C-WEU-NLD,perm,q2,rent,sfh,0.009
C-WEU-PRT,perm,q2,rent,mfh,0
C-WEU-PRT,perm,q2,rent,sfh,0.014
C-WEU-SWE,perm,q2,rent,mfh,0
C-WEU-SWE,perm,q2,rent,sfh,0.008
C-EEU-BGR,perm,q3,rent,mfh,0
C-EEU-BGR,perm,q3,rent,sfh,0.014
C-EEU-CZE,perm,q3,rent,mfh,0
C-EEU-CZE,perm,q3,rent,sfh,0.017
C-EEU-EST,perm,q3,rent,mfh,0
C-EEU-EST,perm,q3,rent,sfh,0.008
C-EEU-HUN,perm,q3,rent,mfh,0
C-EEU-HUN,perm,q3,rent,sfh,0.01
C-EEU-LTU,perm,q3,rent,mfh,0
C-EEU-LTU,perm,q3,rent,sfh,0.009
C-EEU-LVA,perm,q3,rent,mfh,0
C-EEU-LVA,perm,q3,rent,sfh,0.009
C-EEU-POL,perm,q3,rent,mfh,0
C-EEU-POL,perm,q3,rent,sfh,0.015
C-EEU-ROU,perm,q3,rent,mfh,0
C-EEU-ROU,perm,q3,rent,sfh,0.014
C-EEU-SVK,perm,q3,rent,mfh,0
C-EEU-SVK,perm,q3,rent,sfh,0.011
C-EEU-SVN,perm,q3,rent,mfh,0
C-EEU-SVN,perm,q3,rent,sfh,0.014
C-WEU-AUT,perm,q3,rent,mfh,0
C-WEU-AUT,perm,q3,rent,sfh,0.019
C-WEU-BEL,perm,q3,rent,mfh,0
C-WEU-BEL,perm,q3,rent,sfh,0.012
C-WEU-CYP,perm,q3,rent,mfh,0
C-WEU-CYP,perm,q3,rent,sfh,0.024
C-WEU-DEU,perm,q3,rent,mfh,0
C-WEU-DEU,perm,q3,rent,sfh,0.01
C-WEU-DNK,perm,q3,rent,mfh,0
C-WEU-DNK,perm,q3,rent,sfh,0.006
C-WEU-ESP,perm,q3,rent,mfh,0
C-WEU-ESP,perm,q3,rent,sfh,0.02
C-WEU-FIN,perm,q3,rent,mfh,0
C-WEU-FIN,perm,q3,rent,sfh,0.003
C-WEU-FRA,perm,q3,rent,mfh,0
C-WEU-FRA,perm,q3,rent,sfh,0.012
C-WEU-GBR,perm,q3,rent,mfh,0
C-WEU-GBR,perm,q3,rent,sfh,0.012
C-WEU-GRC,perm,q3,rent,mfh,0
C-WEU-GRC,perm,q3,rent,sfh,0.013
C-WEU-IRL,perm,q3,rent,mfh,0
C-WEU-IRL,perm,q3,rent,sfh,0.007
C-WEU-ITA,perm,q3,rent,mfh,0
C-WEU-ITA,perm,q3,rent,sfh,0.018
C-WEU-LUX,perm,q3,rent,mfh,0
C-WEU-LUX,perm,q3,rent,sfh,0.005
C-WEU-NLD,perm,q3,rent,mfh,0
C-WEU-NLD,perm,q3,rent,sfh,0.009
C-WEU-PRT,perm,q3,rent,mfh,0
C-WEU-PRT,perm,q3,rent,sfh,0.014
C-WEU-SWE,perm,q3,rent,mfh,0
C-WEU-SWE,perm,q3,rent,sfh,0.008
