year,region_bld,clim,arch,urt,value,region_gea
2020,C-WEU-FIN,Zone_6A Cold Humid,sfh,rur,5787,WEU
2020,C-WEU-FIN,Zone_6A Cold Humid,sfh,urb,23470,WEU
2020,C-WEU-FIN,Zone_7A Very cold Humid,mfh,rur,57315,WEU
2020,C-WEU-FIN,Zone_7A Very cold Humid,mfh,urb,91240,WEU
2020,C-WEU-FIN,Zone_7A Very cold Humid,sfh,rur,26734,WEU
2020,C-WEU-FIN,Zone_7A Very cold Humid,sfh,urb,31027,WEU
2020,C-WEU-FRA,Zone_0A Extremely hot Humid,mfh,urb,0,WEU
2020,C-WEU-FRA,Zone_0A Extremely hot Humid,sfh,urb,0,WEU
2020,C-WEU-FRA,Zone_1A Very hot Humid,mfh,urb,59690,WEU
2020,C-WEU-FRA,Zone_1A Very hot Humid,sfh,urb,66963,WEU
2020,C-WEU-FRA,Zone_2A Hot Humid,mfh,urb,18915,WEU
2020,C-WEU-FRA,Zone_2A Hot Humid,sfh,urb,28328,WEU
2020,C-WEU-FRA,Zone_3A Warm Humid,mfh,rur,104708,WEU
2020,C-WEU-FRA,Zone_3A Warm Humid,mfh,urb,638602,WEU
2020,C-WEU-FRA,Zone_3A Warm Humid,sfh,rur,190983,WEU
2020,C-WEU-FRA,Zone_3A Warm Humid,sfh,urb,380907,WEU
2020,C-WEU-FRA,Zone_3C Warm Marine,mfh,urb,226021,WEU
2020,C-WEU-FRA,Zone_3C Warm Marine,sfh,urb,37069,WEU
2020,C-WEU-FRA,Zone_4A Mixed Humid,mfh,rur,580492,WEU
2020,C-WEU-FRA,Zone_4A Mixed Humid,mfh,urb,1436102,WEU
2020,C-WEU-FRA,Zone_4A Mixed Humid,sfh,rur,1253180,WEU
2020,C-WEU-FRA,Zone_4A Mixed Humid,sfh,urb,815395,WEU
2020,C-WEU-FRA,Zone_4C Mixed Marine,mfh,rur,58350,WEU
2020,C-WEU-FRA,Zone_4C Mixed Marine,sfh,rur,45760,WEU
2020,C-WEU-FRA,Zone_5A Cool Humid,mfh,rur,73681,WEU
2020,C-WEU-FRA,Zone_5A Cool Humid,mfh,urb,205365,WEU
2020,C-WEU-FRA,Zone_5A Cool Humid,sfh,rur,161842,WEU
2020,C-WEU-FRA,Zone_5A Cool Humid,sfh,urb,96103,WEU
2020,C-WEU-FRA,Zone_7A Very cold Humid,mfh,urb,121260,WEU
2020,C-WEU-FRA,Zone_7A Very cold Humid,sfh,urb,32175,WEU
2020,C-WEU-GRC,Zone_3A Warm Humid,mfh,rur,354535,WEU
2020,C-WEU-GRC,Zone_3A Warm Humid,mfh,urb,535886,WEU
2020,C-WEU-GRC,Zone_3A Warm Humid,sfh,rur,424655,WEU
2020,C-WEU-GRC,Zone_3A Warm Humid,sfh,urb,272845,WEU
2020,C-WEU-GRC,Zone_4A Mixed Humid,mfh,rur,88215,WEU
2020,C-WEU-GRC,Zone_4A Mixed Humid,mfh,urb,232439,WEU
2020,C-WEU-GRC,Zone_4A Mixed Humid,sfh,rur,144335,WEU
2020,C-WEU-GRC,Zone_4A Mixed Humid,sfh,urb,161133,WEU
2020,C-WEU-GRC,Zone_4C Mixed Marine,mfh,urb,7278,WEU
2020,C-WEU-GRC,Zone_4C Mixed Marine,sfh,urb,7576,WEU
2020,C-WEU-GRC,Zone_5A Cool Humid,mfh,rur,4231,WEU
2020,C-WEU-GRC,Zone_5A Cool Humid,mfh,urb,5122,WEU
2020,C-WEU-GRC,Zone_5A Cool Humid,sfh,rur,6072,WEU
2020,C-WEU-GRC,Zone_5A Cool Humid,sfh,urb,4363,WEU
2020,C-WEU-GRC,Zone_5C Cool Marine,mfh,urb,16119,WEU
2020,C-WEU-GRC,Zone_5C Cool Marine,sfh,urb,12453,WEU
2020,C-WEU-IRL,Zone_4A Mixed Humid,mfh,rur,7203,WEU
2020,C-WEU-IRL,Zone_4A Mixed Humid,sfh,rur,41993,WEU
2020,C-WEU-IRL,Zone_5A Cool Humid,mfh,rur,23643,WEU
2020,C-WEU-IRL,Zone_5A Cool Humid,mfh,urb,26534,WEU
2020,C-WEU-IRL,Zone_5A Cool Humid,sfh,rur,132098,WEU
2020,C-WEU-IRL,Zone_5A Cool Humid,sfh,urb,44122,WEU
2020,C-WEU-ITA,Zone_3A Warm Humid,mfh,rur,397029,WEU
2020,C-WEU-ITA,Zone_3A Warm Humid,mfh,urb,3095047,WEU
2020,C-WEU-ITA,Zone_3A Warm Humid,sfh,rur,183329,WEU
2020,C-WEU-ITA,Zone_3A Warm Humid,sfh,urb,921095,WEU
2020,C-WEU-ITA,Zone_4A Mixed Humid,mfh,rur,340871,WEU
2020,C-WEU-ITA,Zone_4A Mixed Humid,mfh,urb,2050940,WEU
2020,C-WEU-ITA,Zone_4A Mixed Humid,sfh,rur,149315,WEU
2020,C-WEU-ITA,Zone_4A Mixed Humid,sfh,urb,474494,WEU
2020,C-WEU-ITA,Zone_4C Mixed Marine,mfh,rur,21178,WEU
2020,C-WEU-ITA,Zone_4C Mixed Marine,mfh,urb,631663,WEU
2020,C-WEU-ITA,Zone_4C Mixed Marine,sfh,rur,11087,WEU
2020,C-WEU-ITA,Zone_4C Mixed Marine,sfh,urb,114584,WEU
2020,C-WEU-ITA,Zone_5A Cool Humid,mfh,urb,417198,WEU
2020,C-WEU-ITA,Zone_5A Cool Humid,sfh,urb,109420,WEU
2020,C-WEU-ITA,Zone_5C Cool Marine,mfh,urb,81959,WEU
2020,C-WEU-ITA,Zone_5C Cool Marine,sfh,urb,36323,WEU
2020,C-WEU-ITA,Zone_6A Cold Humid,mfh,urb,63728,WEU
2020,C-WEU-ITA,Zone_6A Cold Humid,sfh,urb,12220,WEU
2020,C-WEU-ITA,Zone_7A Very cold Humid,mfh,rur,68741,WEU
2020,C-WEU-ITA,Zone_7A Very cold Humid,mfh,urb,307583,WEU
2020,C-WEU-ITA,Zone_7A Very cold Humid,sfh,rur,17215,WEU
2020,C-WEU-ITA,Zone_7A Very cold Humid,sfh,urb,76753,WEU
2020,C-WEU-LUX,Zone_5A Cool Humid,mfh,urb,15101,WEU
2020,C-WEU-LUX,Zone_5A Cool Humid,sfh,urb,236,WEU
2020,C-WEU-MLT,Zone_3A Warm Humid,mfh,urb,0,WEU
2020,C-WEU-MLT,Zone_3A Warm Humid,sfh,urb,0,WEU
2020,C-WEU-NLD,Zone_4A Mixed Humid,mfh,rur,1100,WEU
2020,C-WEU-NLD,Zone_4A Mixed Humid,mfh,urb,147468,WEU
2020,C-WEU-NLD,Zone_4A Mixed Humid,sfh,rur,4647,WEU
2020,C-WEU-NLD,Zone_4A Mixed Humid,sfh,urb,97505,WEU
2020,C-WEU-NLD,Zone_5A Cool Humid,mfh,urb,29505,WEU
2020,C-WEU-NLD,Zone_5A Cool Humid,sfh,urb,42356,WEU
2020,C-WEU-PRT,Zone_3A Warm Humid,mfh,rur,142019,WEU
2020,C-WEU-PRT,Zone_3A Warm Humid,mfh,urb,340950,WEU
2020,C-WEU-PRT,Zone_3A Warm Humid,sfh,rur,478394,WEU
2020,C-WEU-PRT,Zone_3A Warm Humid,sfh,urb,162610,WEU
2020,C-WEU-PRT,Zone_3C Warm Marine,mfh,rur,26393,WEU
2020,C-WEU-PRT,Zone_3C Warm Marine,mfh,urb,133047,WEU
2020,C-WEU-PRT,Zone_3C Warm Marine,sfh,rur,109203,WEU
2020,C-WEU-PRT,Zone_3C Warm Marine,sfh,urb,195635,WEU
2020,C-WEU-PRT,Zone_4A Mixed Humid,mfh,rur,7997,WEU
2020,C-WEU-PRT,Zone_4A Mixed Humid,sfh,rur,33686,WEU
2020,C-WEU-PRT,Zone_4C Mixed Marine,mfh,rur,13089,WEU
