region_bld,region_gea,urt,arch,material,value
C-EEU-EST,EEU,rur,sfh,glass,5.786343562
C-EEU-EST,EEU,rur,sfh,steel,10.47057021
C-EEU-EST,EEU,rur,sfh,wood,39.26943787
C-EEU-EST,EEU,urb,mfh,aluminum,0.49
C-EEU-EST,EEU,urb,mfh,brick,257.375
C-EEU-EST,EEU,urb,mfh,concrete,958.7756324
C-EEU-EST,EEU,urb,mfh,copper,0.182895495
C-EEU-EST,EEU,urb,mfh,glass,3
C-EEU-EST,EEU,urb,mfh,steel,52.60229133
C-EEU-EST,EEU,urb,mfh,wood,19
C-EEU-EST,EEU,urb,sfh,aluminum,0.49
C-EEU-EST,EEU,urb,sfh,brick,693.3333333
C-EEU-EST,EEU,urb,sfh,concrete,621.1197847
C-EEU-EST,EEU,urb,sfh,copper,0.182895495
C-EEU-EST,EEU,urb,sfh,glass,5.786343562
C-EEU-EST,EEU,urb,sfh,steel,10.47057021
C-EEU-EST,EEU,urb,sfh,wood,39.26943787
C-EEU-HRV,EEU,rur,mfh,aluminum,0.49
C-EEU-HRV,EEU,rur,mfh,brick,257.375
C-EEU-HRV,EEU,rur,mfh,concrete,961.2234494
C-EEU-HRV,EEU,rur,mfh,copper,0.182895495
C-EEU-HRV,EEU,rur,mfh,glass,3
C-EEU-HRV,EEU,rur,mfh,steel,52.60229133
C-EEU-HRV,EEU,rur,mfh,wood,19
C-EEU-HRV,EEU,rur,sfh,aluminum,0.49
C-EEU-HRV,EEU,rur,sfh,brick,693.3333333
C-EEU-HRV,EEU,rur,sfh,concrete,608.9187123
C-EEU-HRV,EEU,rur,sfh,copper,0.182895495
C-EEU-HRV,EEU,rur,sfh,glass,5.786343562
C-EEU-HRV,EEU,rur,sfh,steel,10.47057021
C-EEU-HRV,EEU,rur,sfh,wood,38.8856369
C-EEU-HRV,EEU,urb,mfh,aluminum,0.49
C-EEU-HRV,EEU,urb,mfh,brick,257.375
C-EEU-HRV,EEU,urb,mfh,concrete,961.2234494
C-EEU-HRV,EEU,urb,mfh,copper,0.182895495
C-EEU-HRV,EEU,urb,mfh,glass,3
C-EEU-HRV,EEU,urb,mfh,steel,52.60229133
C-EEU-HRV,EEU,urb,mfh,wood,19
C-EEU-HRV,EEU,urb,sfh,aluminum,0.49
C-EEU-HRV,EEU,urb,sfh,brick,693.3333333
C-EEU-HRV,EEU,urb,sfh,concrete,608.9187123
C-EEU-HRV,EEU,urb,sfh,copper,0.182895495
C-EEU-HRV,EEU,urb,sfh,glass,5.786343562
C-EEU-HRV,EEU,urb,sfh,steel,10.47057021
C-EEU-HRV,EEU,urb,sfh,wood,38.8856369
C-EEU-HUN,EEU,rur,mfh,aluminum,0.49
C-EEU-HUN,EEU,rur,mfh,brick,257.375
C-EEU-HUN,EEU,rur,mfh,concrete,958.7756324
C-EEU-HUN,EEU,rur,mfh,copper,0.182895495
C-EEU-HUN,EEU,rur,mfh,glass,3
C-EEU-HUN,EEU,rur,mfh,steel,52.60229133
C-EEU-HUN,EEU,rur,mfh,wood,19
C-EEU-HUN,EEU,rur,sfh,aluminum,0.49
C-EEU-HUN,EEU,rur,sfh,brick,693.3333333
C-EEU-HUN,EEU,rur,sfh,concrete,621.1197847
C-EEU-HUN,EEU,rur,sfh,copper,0.182895495
C-EEU-HUN,EEU,rur,sfh,glass,5.786343562
C-EEU-HUN,EEU,rur,sfh,steel,10.47057021
C-EEU-HUN,EEU,rur,sfh,wood,39.26943787
C-EEU-HUN,EEU,urb,mfh,aluminum,0.49
C-EEU-HUN,EEU,urb,mfh,brick,257.375
C-EEU-HUN,EEU,urb,mfh,concrete,958.7756324
C-EEU-HUN,EEU,urb,mfh,copper,0.182895495
C-EEU-HUN,EEU,urb,mfh,glass,3
C-EEU-HUN,EEU,urb,mfh,steel,52.60229133
C-EEU-HUN,EEU,urb,mfh,wood,19
C-EEU-HUN,EEU,urb,sfh,aluminum,0.49
C-EEU-HUN,EEU,urb,sfh,brick,693.3333333
C-EEU-HUN,EEU,urb,sfh,concrete,621.1197847
C-EEU-HUN,EEU,urb,sfh,copper,0.182895495
C-EEU-HUN,EEU,urb,sfh,glass,5.786343562
C-EEU-HUN,EEU,urb,sfh,steel,10.47057021
C-EEU-HUN,EEU,urb,sfh,wood,39.26943787
C-EEU-LTU,EEU,rur,mfh,aluminum,0.49
C-EEU-LTU,EEU,rur,mfh,brick,257.375
C-EEU-LTU,EEU,rur,mfh,concrete,961.2234494
C-EEU-LTU,EEU,rur,mfh,copper,0.182895495
C-EEU-LTU,EEU,rur,mfh,glass,3
C-EEU-LTU,EEU,rur,mfh,steel,52.60229133
C-EEU-LTU,EEU,rur,mfh,wood,19
C-EEU-LTU,EEU,rur,sfh,aluminum,0.49
C-EEU-LTU,EEU,rur,sfh,brick,693.3333333
C-EEU-LTU,EEU,rur,sfh,concrete,608.9187123
C-EEU-LTU,EEU,rur,sfh,copper,0.182895495
C-EEU-LTU,EEU,rur,sfh,glass,5.786343562
C-EEU-LTU,EEU,rur,sfh,steel,10.47057021
C-EEU-LTU,EEU,rur,sfh,wood,38.8856369
C-EEU-LTU,EEU,urb,mfh,aluminum,0.49
C-EEU-LTU,EEU,urb,mfh,brick,257.375
C-EEU-LTU,EEU,urb,mfh,concrete,961.2234494
C-EEU-LTU,EEU,urb,mfh,copper,0.182895495
C-EEU-LTU,EEU,urb,mfh,glass,3
C-EEU-LTU,EEU,urb,mfh,steel,52.60229133
C-EEU-LTU,EEU,urb,mfh,wood,19
C-EEU-LTU,EEU,urb,sfh,aluminum,0.49
C-EEU-LTU,EEU,urb,sfh,brick,693.3333333
C-EEU-LTU,EEU,urb,sfh,concrete,608.9187123
C-EEU-LTU,EEU,urb,sfh,copper,0.182895495
C-EEU-LTU,EEU,urb,sfh,glass,5.786343562
C-EEU-LTU,EEU,urb,sfh,steel,10.47057021
C-EEU-LTU,EEU,urb,sfh,wood,38.8856369
C-EEU-LVA,EEU,rur,mfh,aluminum,0.49
C-EEU-LVA,EEU,rur,mfh,brick,257.375
C-EEU-LVA,EEU,rur,mfh,concrete,961.2234494
C-EEU-LVA,EEU,rur,mfh,copper,0.182895495
C-EEU-LVA,EEU,rur,mfh,glass,3
C-EEU-LVA,EEU,rur,mfh,steel,52.60229133
C-EEU-LVA,EEU,rur,mfh,wood,19
C-EEU-LVA,EEU,rur,sfh,aluminum,0.49
C-EEU-LVA,EEU,rur,sfh,brick,693.3333333
C-EEU-LVA,EEU,rur,sfh,concrete,608.9187123
C-EEU-LVA,EEU,rur,sfh,copper,0.182895495
C-EEU-LVA,EEU,rur,sfh,glass,5.786343562
C-EEU-LVA,EEU,rur,sfh,steel,10.47057021
C-EEU-LVA,EEU,rur,sfh,wood,38.8856369
C-EEU-LVA,EEU,urb,mfh,aluminum,0.49
C-EEU-LVA,EEU,urb,mfh,brick,257.375
C-EEU-LVA,EEU,urb,mfh,concrete,961.2234494
C-EEU-LVA,EEU,urb,mfh,copper,0.182895495
C-EEU-LVA,EEU,urb,mfh,glass,3
C-EEU-LVA,EEU,urb,mfh,steel,52.60229133
C-EEU-LVA,EEU,urb,mfh,wood,19
C-EEU-LVA,EEU,urb,sfh,aluminum,0.49
C-EEU-LVA,EEU,urb,sfh,brick,693.3333333
C-EEU-LVA,EEU,urb,sfh,concrete,608.9187123
C-EEU-LVA,EEU,urb,sfh,copper,0.182895495
C-EEU-LVA,EEU,urb,sfh,glass,5.786343562
C-EEU-LVA,EEU,urb,sfh,steel,10.47057021
C-EEU-LVA,EEU,urb,sfh,wood,38.8856369
C-EEU-POL,EEU,rur,mfh,aluminum,0.49
C-EEU-POL,EEU,rur,mfh,brick,257.375
C-EEU-POL,EEU,rur,mfh,concrete,958.7756324
C-EEU-POL,EEU,rur,mfh,copper,0.182895495
C-EEU-POL,EEU,rur,mfh,glass,3
C-EEU-POL,EEU,rur,mfh,steel,52.60229133
C-EEU-POL,EEU,rur,mfh,wood,19
C-EEU-POL,EEU,rur,sfh,aluminum,0.49
C-EEU-POL,EEU,rur,sfh,brick,693.3333333
C-EEU-POL,EEU,rur,sfh,concrete,621.1197847
C-EEU-POL,EEU,rur,sfh,copper,0.182895495
C-EEU-POL,EEU,rur,sfh,glass,5.786343562
C-EEU-POL,EEU,rur,sfh,steel,10.47057021
C-EEU-POL,EEU,rur,sfh,wood,39.26943787
C-EEU-POL,EEU,urb,mfh,aluminum,0.49
C-EEU-POL,EEU,urb,mfh,brick,257.375
C-EEU-POL,EEU,urb,mfh,concrete,958.7756324
C-EEU-POL,EEU,urb,mfh,copper,0.182895495
C-EEU-POL,EEU,urb,mfh,glass,3
C-EEU-POL,EEU,urb,mfh,steel,52.60229133
C-EEU-POL,EEU,urb,mfh,wood,19
C-EEU-POL,EEU,urb,sfh,aluminum,0.49
C-EEU-POL,EEU,urb,sfh,brick,693.3333333
C-EEU-POL,EEU,urb,sfh,concrete,621.1197847
C-EEU-POL,EEU,urb,sfh,copper,0.182895495
C-EEU-POL,EEU,urb,sfh,glass,5.786343562
C-EEU-POL,EEU,urb,sfh,steel,10.47057021
C-EEU-POL,EEU,urb,sfh,wood,39.26943787
C-EEU-ROU,EEU,rur,mfh,aluminum,0.49
C-EEU-ROU,EEU,rur,mfh,brick,257.375
C-EEU-ROU,EEU,rur,mfh,concrete,961.2234494
C-EEU-ROU,EEU,rur,mfh,copper,0.182895495
C-EEU-ROU,EEU,rur,mfh,glass,3
C-EEU-ROU,EEU,rur,mfh,steel,52.60229133
C-EEU-ROU,EEU,rur,mfh,wood,19
C-EEU-ROU,EEU,rur,sfh,aluminum,0.49
C-EEU-ROU,EEU,rur,sfh,brick,693.3333333
C-EEU-ROU,EEU,rur,sfh,concrete,608.9187123
C-EEU-ROU,EEU,rur,sfh,copper,0.182895495
C-EEU-ROU,EEU,rur,sfh,glass,5.786343562
C-EEU-ROU,EEU,rur,sfh,steel,10.47057021
C-EEU-ROU,EEU,rur,sfh,wood,38.8856369
C-EEU-ROU,EEU,urb,mfh,aluminum,0.49
C-EEU-ROU,EEU,urb,mfh,brick,257.375
C-EEU-ROU,EEU,urb,mfh,concrete,961.2234494
C-EEU-ROU,EEU,urb,mfh,copper,0.182895495
C-EEU-ROU,EEU,urb,mfh,glass,3
C-EEU-ROU,EEU,urb,mfh,steel,52.60229133
C-EEU-ROU,EEU,urb,mfh,wood,19
C-EEU-ROU,EEU,urb,sfh,aluminum,0.49
C-EEU-ROU,EEU,urb,sfh,brick,693.3333333
C-EEU-ROU,EEU,urb,sfh,concrete,608.9187123
C-EEU-ROU,EEU,urb,sfh,copper,0.182895495
C-EEU-ROU,EEU,urb,sfh,glass,5.786343562
C-EEU-ROU,EEU,urb,sfh,steel,10.47057021
C-EEU-ROU,EEU,urb,sfh,wood,38.8856369
C-EEU-SVK,EEU,rur,mfh,aluminum,0.49
C-EEU-SVK,EEU,rur,mfh,brick,257.375
C-EEU-SVK,EEU,rur,mfh,concrete,958.7756324
C-EEU-SVK,EEU,rur,mfh,copper,0.182895495
C-EEU-SVK,EEU,rur,mfh,glass,3
C-EEU-SVK,EEU,rur,mfh,steel,52.60229133
C-EEU-SVK,EEU,rur,mfh,wood,19
C-EEU-SVK,EEU,rur,sfh,aluminum,0.49
C-EEU-SVK,EEU,rur,sfh,brick,693.3333333
C-EEU-SVK,EEU,rur,sfh,concrete,621.1197847
C-EEU-SVK,EEU,rur,sfh,copper,0.182895495
C-EEU-SVK,EEU,rur,sfh,glass,5.786343562
C-EEU-SVK,EEU,rur,sfh,steel,10.47057021
C-EEU-SVK,EEU,rur,sfh,wood,39.26943787
C-EEU-SVK,EEU,urb,mfh,aluminum,0.49
C-EEU-SVK,EEU,urb,mfh,brick,257.375
C-EEU-SVK,EEU,urb,mfh,concrete,958.7756324
C-EEU-SVK,EEU,urb,mfh,copper,0.182895495
C-EEU-SVK,EEU,urb,mfh,glass,3
C-EEU-SVK,EEU,urb,mfh,steel,52.60229133
C-EEU-SVK,EEU,urb,mfh,wood,19
C-EEU-SVK,EEU,urb,sfh,aluminum,0.49
C-EEU-SVK,EEU,urb,sfh,brick,693.3333333
C-EEU-SVK,EEU,urb,sfh,concrete,621.1197847
C-EEU-SVK,EEU,urb,sfh,copper,0.182895495
C-EEU-SVK,EEU,urb,sfh,glass,5.786343562
C-EEU-SVK,EEU,urb,sfh,steel,10.47057021
C-EEU-SVK,EEU,urb,sfh,wood,39.26943787
C-EEU-SVN,EEU,rur,mfh,aluminum,0.49
C-EEU-SVN,EEU,rur,mfh,brick,257.375
C-EEU-SVN,EEU,rur,mfh,concrete,958.7756324
C-EEU-SVN,EEU,rur,mfh,copper,0.182895495
C-EEU-SVN,EEU,rur,mfh,glass,3
C-EEU-SVN,EEU,rur,mfh,steel,52.60229133
C-EEU-SVN,EEU,rur,mfh,wood,19
C-EEU-SVN,EEU,rur,sfh,aluminum,0.49
C-EEU-SVN,EEU,rur,sfh,brick,693.3333333
C-EEU-SVN,EEU,rur,sfh,concrete,621.1197847
C-EEU-SVN,EEU,rur,sfh,copper,0.182895495
C-EEU-SVN,EEU,rur,sfh,glass,5.786343562
C-EEU-SVN,EEU,rur,sfh,steel,10.47057021
C-EEU-SVN,EEU,rur,sfh,wood,39.26943787
C-EEU-SVN,EEU,urb,mfh,aluminum,0.49
C-EEU-SVN,EEU,urb,mfh,brick,257.375
C-EEU-SVN,EEU,urb,mfh,concrete,958.7756324
C-EEU-SVN,EEU,urb,mfh,copper,0.182895495
C-EEU-SVN,EEU,urb,mfh,glass,3
C-EEU-SVN,EEU,urb,mfh,steel,52.60229133
C-EEU-SVN,EEU,urb,mfh,wood,19
C-EEU-SVN,EEU,urb,sfh,aluminum,0.49
C-EEU-SVN,EEU,urb,sfh,brick,693.3333333
C-EEU-SVN,EEU,urb,sfh,concrete,621.1197847
C-EEU-SVN,EEU,urb,sfh,copper,0.182895495
C-EEU-SVN,EEU,urb,sfh,glass,5.786343562
C-EEU-SVN,EEU,urb,sfh,steel,10.47057021
C-EEU-SVN,EEU,urb,sfh,wood,39.26943787
C-WEU-AUT,WEU,rur,mfh,aluminum,0.496117796
C-WEU-AUT,WEU,rur,mfh,brick,268.75
C-WEU-AUT,WEU,rur,mfh,concrete,932.544757
C-WEU-AUT,WEU,rur,mfh,copper,0.182895495
C-WEU-AUT,WEU,rur,mfh,glass,3.1
C-WEU-AUT,WEU,rur,mfh,steel,52.60229133
C-WEU-AUT,WEU,rur,mfh,wood,9.897435898
C-WEU-AUT,WEU,rur,sfh,aluminum,0.493058898
C-WEU-AUT,WEU,rur,sfh,brick,693.3333333
C-WEU-AUT,WEU,rur,sfh,concrete,621.0010894
C-WEU-AUT,WEU,rur,sfh,copper,0.182895495
C-WEU-AUT,WEU,rur,sfh,glass,1.600848731
C-WEU-AUT,WEU,rur,sfh,steel,36.20977778
C-WEU-AUT,WEU,rur,sfh,wood,20.30456853
C-WEU-AUT,WEU,urb,mfh,aluminum,0.496117796
C-WEU-AUT,WEU,urb,mfh,brick,268.75
C-WEU-AUT,WEU,urb,mfh,concrete,932.544757
C-WEU-AUT,WEU,urb,mfh,copper,0.182895495
C-WEU-AUT,WEU,urb,mfh,glass,3.1
C-WEU-AUT,WEU,urb,mfh,steel,52.60229133
C-WEU-AUT,WEU,urb,mfh,wood,9.897435898
C-WEU-AUT,WEU,urb,sfh,aluminum,0.493058898
C-WEU-AUT,WEU,urb,sfh,brick,693.3333333
C-WEU-AUT,WEU,urb,sfh,concrete,621.0010894
C-WEU-AUT,WEU,urb,sfh,copper,0.182895495
C-WEU-AUT,WEU,urb,sfh,glass,1.600848731
C-WEU-AUT,WEU,urb,sfh,steel,36.20977778
C-WEU-AUT,WEU,urb,sfh,wood,20.30456853
C-WEU-BEL,WEU,rur,mfh,aluminum,0.496117796
C-WEU-BEL,WEU,rur,mfh,brick,268.75
C-WEU-BEL,WEU,rur,mfh,concrete,932.544757
C-WEU-BEL,WEU,rur,mfh,copper,0.182895495
C-WEU-BEL,WEU,rur,mfh,glass,3.1
C-WEU-BEL,WEU,rur,mfh,steel,52.60229133
C-WEU-BEL,WEU,rur,mfh,wood,9.897435898
C-WEU-BEL,WEU,rur,sfh,aluminum,0.493058898
C-WEU-BEL,WEU,rur,sfh,brick,693.3333333
C-WEU-BEL,WEU,rur,sfh,concrete,621.0010894
C-WEU-BEL,WEU,rur,sfh,copper,0.182895495
C-WEU-BEL,WEU,rur,sfh,glass,1.600848731
C-WEU-BEL,WEU,rur,sfh,steel,36.20977778
C-WEU-BEL,WEU,rur,sfh,wood,20.30456853
C-WEU-BEL,WEU,urb,mfh,aluminum,0.496117796
C-WEU-BEL,WEU,urb,mfh,brick,268.75
C-WEU-BEL,WEU,urb,mfh,concrete,932.544757
C-WEU-BEL,WEU,urb,mfh,copper,0.182895495
C-WEU-BEL,WEU,urb,mfh,glass,3.1
C-WEU-BEL,WEU,urb,mfh,steel,52.60229133
C-WEU-BEL,WEU,urb,mfh,wood,9.897435898
C-WEU-BEL,WEU,urb,sfh,aluminum,0.493058898
C-WEU-BEL,WEU,urb,sfh,brick,693.3333333
C-WEU-BEL,WEU,urb,sfh,concrete,621.0010894
C-WEU-BEL,WEU,urb,sfh,copper,0.182895495
C-WEU-BEL,WEU,urb,sfh,glass,1.600848731
C-WEU-BEL,WEU,urb,sfh,steel,36.20977778
C-WEU-BEL,WEU,urb,sfh,wood,20.30456853
C-WEU-CHE,WEU,rur,mfh,aluminum,0.49
C-WEU-CHE,WEU,rur,mfh,brick,257.375
C-WEU-CHE,WEU,rur,mfh,concrete,940
C-WEU-CHE,WEU,rur,mfh,copper,0.182895495
C-WEU-CHE,WEU,rur,mfh,glass,3
C-WEU-CHE,WEU,rur,mfh,steel,52.60229133
C-WEU-CHE,WEU,rur,mfh,wood,25.17067308
C-WEU-CHE,WEU,rur,sfh,aluminum,0.49
C-WEU-CHE,WEU,rur,sfh,brick,693.3333333
C-WEU-CHE,WEU,rur,sfh,concrete,621.1197847
C-WEU-CHE,WEU,rur,sfh,copper,0.182895495
C-WEU-CHE,WEU,rur,sfh,glass,5.786343562
C-WEU-CHE,WEU,rur,sfh,steel,10.47057021
C-WEU-CHE,WEU,rur,sfh,wood,38.41683348
C-WEU-CHE,WEU,urb,mfh,aluminum,0.49
C-WEU-CHE,WEU,urb,mfh,brick,257.375
C-WEU-CHE,WEU,urb,mfh,concrete,940
C-WEU-CHE,WEU,urb,mfh,copper,0.182895495
C-WEU-CHE,WEU,urb,mfh,glass,3
C-WEU-CHE,WEU,urb,mfh,steel,52.60229133
C-WEU-CHE,WEU,urb,mfh,wood,25.17067308
C-WEU-CHE,WEU,urb,sfh,aluminum,0.49
C-WEU-CHE,WEU,urb,sfh,brick,693.3333333
C-WEU-CHE,WEU,urb,sfh,concrete,621.1197847
C-WEU-CHE,WEU,urb,sfh,copper,0.182895495
C-WEU-CHE,WEU,urb,sfh,glass,5.786343562
C-WEU-CHE,WEU,urb,sfh,steel,10.47057021
C-WEU-CHE,WEU,urb,sfh,wood,38.41683348
C-WEU-CYP,WEU,rur,mfh,aluminum,0.49
C-WEU-CYP,WEU,rur,mfh,brick,257.375
C-WEU-CYP,WEU,rur,mfh,concrete,958.7756324
C-WEU-CYP,WEU,rur,mfh,copper,0.182895495
C-WEU-CYP,WEU,rur,mfh,glass,3
C-WEU-CYP,WEU,rur,mfh,steel,52.60229133
C-WEU-CYP,WEU,rur,mfh,wood,19
C-WEU-CYP,WEU,rur,sfh,aluminum,0.49
C-WEU-CYP,WEU,rur,sfh,brick,693.3333333
C-WEU-CYP,WEU,rur,sfh,concrete,621.1197847
C-WEU-CYP,WEU,rur,sfh,copper,0.182895495
C-WEU-CYP,WEU,rur,sfh,glass,5.786343562
C-WEU-CYP,WEU,rur,sfh,steel,10.47057021
C-WEU-CYP,WEU,rur,sfh,wood,39.26943787
C-WEU-CYP,WEU,urb,mfh,aluminum,0.49
C-WEU-CYP,WEU,urb,mfh,brick,257.375
C-WEU-CYP,WEU,urb,mfh,concrete,958.7756324
C-WEU-CYP,WEU,urb,mfh,copper,0.182895495
C-WEU-CYP,WEU,urb,mfh,glass,3
C-WEU-CYP,WEU,urb,mfh,steel,52.60229133
C-WEU-CYP,WEU,urb,mfh,wood,19
C-WEU-CYP,WEU,urb,sfh,aluminum,0.49
C-WEU-CYP,WEU,urb,sfh,brick,693.3333333
C-WEU-CYP,WEU,urb,sfh,concrete,621.1197847
C-WEU-CYP,WEU,urb,sfh,copper,0.182895495
C-WEU-CYP,WEU,urb,sfh,glass,5.786343562
C-WEU-CYP,WEU,urb,sfh,steel,10.47057021
C-WEU-CYP,WEU,urb,sfh,wood,39.26943787
C-WEU-DEU,WEU,rur,mfh,aluminum,0.496117796
C-WEU-DEU,WEU,rur,mfh,brick,268.75
C-WEU-DEU,WEU,rur,mfh,concrete,932.544757
C-WEU-DEU,WEU,rur,mfh,copper,0.182895495
C-WEU-DEU,WEU,rur,mfh,glass,3.1
C-WEU-DEU,WEU,rur,mfh,steel,52.60229133
C-WEU-DEU,WEU,rur,mfh,wood,9.897435898
C-WEU-DEU,WEU,rur,sfh,aluminum,0.493058898
C-WEU-DEU,WEU,rur,sfh,brick,693.3333333
C-WEU-DEU,WEU,rur,sfh,concrete,621.0010894
C-WEU-DEU,WEU,rur,sfh,copper,0.182895495
C-WEU-DEU,WEU,rur,sfh,glass,1.600848731
C-WEU-DEU,WEU,rur,sfh,steel,36.20977778
C-WEU-DEU,WEU,rur,sfh,wood,20.30456853
C-WEU-DEU,WEU,urb,mfh,aluminum,0.496117796
C-WEU-DEU,WEU,urb,mfh,brick,268.75
C-WEU-DEU,WEU,urb,mfh,concrete,932.544757
C-WEU-DEU,WEU,urb,mfh,copper,0.182895495
C-WEU-DEU,WEU,urb,mfh,glass,3.1
C-WEU-DEU,WEU,urb,mfh,steel,52.60229133
C-WEU-DEU,WEU,urb,mfh,wood,9.897435898
C-WEU-DEU,WEU,urb,sfh,aluminum,0.493058898
C-WEU-DEU,WEU,urb,sfh,brick,693.3333333
C-WEU-DEU,WEU,urb,sfh,concrete,621.0010894
C-WEU-DEU,WEU,urb,sfh,copper,0.182895495
C-WEU-DEU,WEU,urb,sfh,glass,1.600848731
C-WEU-DEU,WEU,urb,sfh,steel,36.20977778
C-WEU-DEU,WEU,urb,sfh,wood,20.30456853
C-WEU-DNK,WEU,rur,mfh,aluminum,0.496117796
C-WEU-DNK,WEU,rur,mfh,brick,268.75
C-WEU-DNK,WEU,rur,mfh,concrete,932.544757
C-WEU-DNK,WEU,rur,mfh,copper,0.182895495
C-WEU-DNK,WEU,rur,mfh,glass,3.1
C-WEU-DNK,WEU,rur,mfh,steel,52.60229133
C-WEU-DNK,WEU,rur,mfh,wood,9.897435898
C-WEU-DNK,WEU,rur,sfh,aluminum,0.493058898
C-WEU-DNK,WEU,rur,sfh,brick,693.3333333
C-WEU-DNK,WEU,rur,sfh,concrete,621.0010894
C-WEU-DNK,WEU,rur,sfh,copper,0.182895495
C-WEU-DNK,WEU,rur,sfh,glass,1.600848731
C-WEU-DNK,WEU,rur,sfh,steel,36.20977778
C-WEU-DNK,WEU,rur,sfh,wood,20.30456853
C-WEU-DNK,WEU,urb,mfh,aluminum,0.496117796
C-WEU-DNK,WEU,urb,mfh,brick,268.75
C-WEU-DNK,WEU,urb,mfh,concrete,932.544757
C-WEU-DNK,WEU,urb,mfh,copper,0.182895495
C-WEU-DNK,WEU,urb,mfh,glass,3.1
C-WEU-DNK,WEU,urb,mfh,steel,52.60229133
C-WEU-DNK,WEU,urb,mfh,wood,9.897435898
C-WEU-DNK,WEU,urb,sfh,aluminum,0.493058898
C-WEU-DNK,WEU,urb,sfh,brick,693.3333333
C-WEU-DNK,WEU,urb,sfh,concrete,621.0010894
C-WEU-DNK,WEU,urb,sfh,copper,0.182895495
