region_gea,material,year,eol_treat,value
AFR,glass,2055,reuse,0.06285714285714286
AFR,glass,2055,recycling,0.13571428571428573
AFR,glass,2055,downcycling,0.45
AFR,glass,2055,others,0.3514285714285714
AFR,glass,2060,reuse,0.07
AFR,glass,2060,recycling,0.15000000000000002
AFR,glass,2060,downcycling,0.45
AFR,glass,2060,others,0.32999999999999996
AFR,glass,2065,reuse,0.07
AFR,glass,2065,recycling,0.15000000000000002
AFR,glass,2065,downcycling,0.45
AFR,glass,2065,others,0.32999999999999996
AFR,glass,2070,reuse,0.07
AFR,glass,2070,recycling,0.15000000000000002
AFR,glass,2070,downcycling,0.45
AFR,glass,2070,others,0.32999999999999996
AFR,glass,2075,reuse,0.07
AFR,glass,2075,recycling,0.15000000000000002
AFR,glass,2075,downcycling,0.45
AFR,glass,2075,others,0.32999999999999996
AFR,glass,2080,reuse,0.07
AFR,glass,2080,recycling,0.15000000000000002
AFR,glass,2080,downcycling,0.45
AFR,glass,2080,others,0.32999999999999996
AFR,glass,2085,reuse,0.07
AFR,glass,2085,recycling,0.15000000000000002
AFR,glass,2085,downcycling,0.45
AFR,glass,2085,others,0.32999999999999996
AFR,glass,2090,reuse,0.07
AFR,glass,2090,recycling,0.15000000000000002
AFR,glass,2090,downcycling,0.45
AFR,glass,2090,others,0.32999999999999996
AFR,glass,2095,reuse,0.07
AFR,glass,2095,recycling,0.15000000000000002
AFR,glass,2095,downcycling,0.45
AFR,glass,2095,others,0.32999999999999996
AFR,glass,2100,reuse,0.07
AFR,glass,2100,recycling,0.15000000000000002
AFR,glass,2100,downcycling,0.45
AFR,glass,2100,others,0.32999999999999996
AFR,steel,2015,reuse,0.08
AFR,steel,2015,recycling,0.88
AFR,steel,2015,downcycling,0
AFR,steel,2015,others,0.040000000000000036
AFR,steel,2020,reuse,0.08
AFR,steel,2020,recycling,0.88
AFR,steel,2020,downcycling,0
AFR,steel,2020,others,0.040000000000000036
AFR,steel,2025,reuse,0.08
AFR,steel,2025,recycling,0.88
AFR,steel,2025,downcycling,0
AFR,steel,2025,others,0.040000000000000036
AFR,steel,2030,reuse,0.08
AFR,steel,2030,recycling,0.88
AFR,steel,2030,downcycling,0
AFR,steel,2030,others,0.040000000000000036
AFR,steel,2035,reuse,0.08
AFR,steel,2035,recycling,0.88
AFR,steel,2035,downcycling,0
AFR,steel,2035,others,0.040000000000000036
AFR,steel,2040,reuse,0.08
AFR,steel,2040,recycling,0.88
AFR,steel,2040,downcycling,0
AFR,steel,2040,others,0.040000000000000036
AFR,steel,2045,reuse,0.08
AFR,steel,2045,recycling,0.88
AFR,steel,2045,downcycling,0
AFR,steel,2045,others,0.040000000000000036
AFR,steel,2050,reuse,0.08
AFR,steel,2050,recycling,0.88
AFR,steel,2050,downcycling,0
AFR,steel,2050,others,0.040000000000000036
AFR,steel,2055,reuse,0.08
AFR,steel,2055,recycling,0.88
AFR,steel,2055,downcycling,0
AFR,steel,2055,others,0.040000000000000036
AFR,steel,2060,reuse,0.08
AFR,steel,2060,recycling,0.88
AFR,steel,2060,downcycling,0
AFR,steel,2060,others,0.040000000000000036
AFR,steel,2065,reuse,0.08
AFR,steel,2065,recycling,0.88
AFR,steel,2065,downcycling,0
AFR,steel,2065,others,0.040000000000000036
AFR,steel,2070,reuse,0.08
AFR,steel,2070,recycling,0.88
AFR,steel,2070,downcycling,0
AFR,steel,2070,others,0.040000000000000036
AFR,steel,2075,reuse,0.08
AFR,steel,2075,recycling,0.88
AFR,steel,2075,downcycling,0
AFR,steel,2075,others,0.040000000000000036
AFR,steel,2080,reuse,0.08
AFR,steel,2080,recycling,0.88
AFR,steel,2080,downcycling,0
AFR,steel,2080,others,0.040000000000000036
AFR,steel,2085,reuse,0.08
AFR,steel,2085,recycling,0.88
AFR,steel,2085,downcycling,0
AFR,steel,2085,others,0.040000000000000036
AFR,steel,2090,reuse,0.08
AFR,steel,2090,recycling,0.88
AFR,steel,2090,downcycling,0
AFR,steel,2090,others,0.040000000000000036
AFR,steel,2095,reuse,0.08
AFR,steel,2095,recycling,0.88
AFR,steel,2095,downcycling,0
AFR,steel,2095,others,0.040000000000000036
AFR,steel,2100,reuse,0.08
AFR,steel,2100,recycling,0.88
AFR,steel,2100,downcycling,0
AFR,steel,2100,others,0.040000000000000036
AFR,wood,2015,reuse,0.1
AFR,wood,2015,recycling,0
AFR,wood,2015,downcycling,0.35
AFR,wood,2015,others,0.55
AFR,wood,2020,reuse,0.1
AFR,wood,2020,recycling,0
AFR,wood,2020,downcycling,0.35
AFR,wood,2020,others,0.55
AFR,wood,2025,reuse,0.1
AFR,wood,2025,recycling,0
AFR,wood,2025,downcycling,0.35
AFR,wood,2025,others,0.55
AFR,wood,2030,reuse,0.1142857142857143
AFR,wood,2030,recycling,0
AFR,wood,2030,downcycling,0.35
AFR,wood,2030,others,0.5357142857142858
AFR,wood,2035,reuse,0.1285714285714286
AFR,wood,2035,recycling,0
AFR,wood,2035,downcycling,0.35
AFR,wood,2035,others,0.5214285714285715
AFR,wood,2040,reuse,0.14285714285714285
AFR,wood,2040,recycling,0
AFR,wood,2040,downcycling,0.35
AFR,wood,2040,others,0.5071428571428572
AFR,wood,2045,reuse,0.15714285714285714
AFR,wood,2045,recycling,0
AFR,wood,2045,downcycling,0.35
AFR,wood,2045,others,0.4928571428571429
AFR,wood,2050,reuse,0.17142857142857143
AFR,wood,2050,recycling,0
AFR,wood,2050,downcycling,0.35
AFR,wood,2050,others,0.4785714285714286
AFR,wood,2055,reuse,0.18571428571428572
AFR,wood,2055,recycling,0
AFR,wood,2055,downcycling,0.35
AFR,wood,2055,others,0.4642857142857143
AFR,wood,2060,reuse,0.2
AFR,wood,2060,recycling,0
AFR,wood,2060,downcycling,0.35
AFR,wood,2060,others,0.45000000000000007
AFR,wood,2065,reuse,0.2
AFR,wood,2065,recycling,0
AFR,wood,2065,downcycling,0.35
AFR,wood,2065,others,0.45000000000000007
AFR,wood,2070,reuse,0.2
AFR,wood,2070,recycling,0
AFR,wood,2070,downcycling,0.35
AFR,wood,2070,others,0.45000000000000007
AFR,wood,2075,reuse,0.2
AFR,wood,2075,recycling,0
AFR,wood,2075,downcycling,0.35
AFR,wood,2075,others,0.45000000000000007
AFR,wood,2080,reuse,0.2
AFR,wood,2080,recycling,0
AFR,wood,2080,downcycling,0.35
AFR,wood,2080,others,0.45000000000000007
AFR,wood,2085,reuse,0.2
AFR,wood,2085,recycling,0
AFR,wood,2085,downcycling,0.35
AFR,wood,2085,others,0.45000000000000007
AFR,wood,2090,reuse,0.2
AFR,wood,2090,recycling,0
AFR,wood,2090,downcycling,0.35
AFR,wood,2090,others,0.45000000000000007
AFR,wood,2095,reuse,0.2
AFR,wood,2095,recycling,0
AFR,wood,2095,downcycling,0.35
AFR,wood,2095,others,0.45000000000000007
AFR,wood,2100,reuse,0.2
AFR,wood,2100,recycling,0
AFR,wood,2100,downcycling,0.35
AFR,wood,2100,others,0.45000000000000007
CPA,aluminum,2015,reuse,0
CPA,aluminum,2015,recycling,0.8
CPA,aluminum,2015,downcycling,0
CPA,aluminum,2015,others,0.19999999999999996
CPA,aluminum,2020,reuse,0
CPA,aluminum,2020,recycling,0.8
CPA,aluminum,2020,downcycling,0
CPA,aluminum,2020,others,0.19999999999999996
CPA,aluminum,2025,reuse,0
CPA,aluminum,2025,recycling,0.8
CPA,aluminum,2025,downcycling,0
CPA,aluminum,2025,others,0.19999999999999996
CPA,aluminum,2030,reuse,0
CPA,aluminum,2030,recycling,0.81
CPA,aluminum,2030,downcycling,0
CPA,aluminum,2030,others,0.18999999999999995
CPA,aluminum,2035,reuse,0
CPA,aluminum,2035,recycling,0.8200000000000001
CPA,aluminum,2035,downcycling,0
CPA,aluminum,2035,others,0.17999999999999994
CPA,aluminum,2040,reuse,0
CPA,aluminum,2040,recycling,0.8300000000000001
CPA,aluminum,2040,downcycling,0
CPA,aluminum,2040,others,0.16999999999999996
CPA,aluminum,2045,reuse,0
CPA,aluminum,2045,recycling,0.8400000000000001
CPA,aluminum,2045,downcycling,0
CPA,aluminum,2045,others,0.15999999999999995
CPA,aluminum,2050,reuse,0
CPA,aluminum,2050,recycling,0.8500000000000001
CPA,aluminum,2050,downcycling,0
CPA,aluminum,2050,others,0.14999999999999997
CPA,aluminum,2055,reuse,0
CPA,aluminum,2055,recycling,0.8500000000000001
CPA,aluminum,2055,downcycling,0
CPA,aluminum,2055,others,0.14999999999999997
CPA,aluminum,2060,reuse,0
CPA,aluminum,2060,recycling,0.8500000000000001
CPA,aluminum,2060,downcycling,0
CPA,aluminum,2060,others,0.14999999999999997
CPA,aluminum,2065,reuse,0
CPA,aluminum,2065,recycling,0.8500000000000001
CPA,aluminum,2065,downcycling,0
CPA,aluminum,2065,others,0.14999999999999997
CPA,aluminum,2070,reuse,0
CPA,aluminum,2070,recycling,0.8500000000000001
CPA,aluminum,2070,downcycling,0
CPA,aluminum,2070,others,0.14999999999999997
CPA,aluminum,2075,reuse,0
CPA,aluminum,2075,recycling,0.8500000000000001
CPA,aluminum,2075,downcycling,0
CPA,aluminum,2075,others,0.14999999999999997
CPA,aluminum,2080,reuse,0
CPA,aluminum,2080,recycling,0.8500000000000001
CPA,aluminum,2080,downcycling,0
CPA,aluminum,2080,others,0.14999999999999997
CPA,aluminum,2085,reuse,0
CPA,aluminum,2085,recycling,0.8500000000000001
CPA,aluminum,2085,downcycling,0
CPA,aluminum,2085,others,0.14999999999999997
CPA,aluminum,2090,reuse,0
CPA,aluminum,2090,recycling,0.8500000000000001
CPA,aluminum,2090,downcycling,0
CPA,aluminum,2090,others,0.14999999999999997
CPA,aluminum,2095,reuse,0
CPA,aluminum,2095,recycling,0.8500000000000001
CPA,aluminum,2095,downcycling,0
CPA,aluminum,2095,others,0.14999999999999997
CPA,aluminum,2100,reuse,0
CPA,aluminum,2100,recycling,0.8500000000000001
CPA,aluminum,2100,downcycling,0
CPA,aluminum,2100,others,0.14999999999999997
CPA,concrete,2015,reuse,0.02
CPA,concrete,2015,recycling,0.01
CPA,concrete,2015,downcycling,0.65
CPA,concrete,2015,others,0.31999999999999995
CPA,concrete,2020,reuse,0.02
CPA,concrete,2020,recycling,0.01
CPA,concrete,2020,downcycling,0.65
CPA,concrete,2020,others,0.31999999999999995
CPA,concrete,2025,reuse,0.02
CPA,concrete,2025,recycling,0.01
CPA,concrete,2025,downcycling,0.65
CPA,concrete,2025,others,0.31999999999999995
CPA,concrete,2030,reuse,0.030000000000000002
CPA,concrete,2030,recycling,0.030000000000000006
CPA,concrete,2030,downcycling,0.65
CPA,concrete,2030,others,0.2899999999999999
CPA,concrete,2035,reuse,0.04000000000000001
CPA,concrete,2035,recycling,0.05000000000000001
CPA,concrete,2035,downcycling,0.65
CPA,concrete,2035,others,0.25999999999999995
CPA,concrete,2040,reuse,0.05
CPA,concrete,2040,recycling,0.06999999999999999
CPA,concrete,2040,downcycling,0.65
CPA,concrete,2040,others,0.22999999999999993
CPA,concrete,2045,reuse,0.06000000000000001
CPA,concrete,2045,recycling,0.09000000000000001
CPA,concrete,2045,downcycling,0.65
CPA,concrete,2045,others,0.19999999999999993
CPA,concrete,2050,reuse,0.07
CPA,concrete,2050,recycling,0.11
CPA,concrete,2050,downcycling,0.65
CPA,concrete,2050,others,0.16999999999999993
CPA,concrete,2055,reuse,0.07
CPA,concrete,2055,recycling,0.11
CPA,concrete,2055,downcycling,0.65
CPA,concrete,2055,others,0.16999999999999993
CPA,concrete,2060,reuse,0.07
CPA,concrete,2060,recycling,0.11
CPA,concrete,2060,downcycling,0.65
CPA,concrete,2060,others,0.16999999999999993
CPA,concrete,2065,reuse,0.07
CPA,concrete,2065,recycling,0.11
CPA,concrete,2065,downcycling,0.65
CPA,concrete,2065,others,0.16999999999999993
CPA,concrete,2070,reuse,0.07
CPA,concrete,2070,recycling,0.11
CPA,concrete,2070,downcycling,0.65
CPA,concrete,2070,others,0.16999999999999993
CPA,concrete,2075,reuse,0.07
CPA,concrete,2075,recycling,0.11
CPA,concrete,2075,downcycling,0.65
CPA,concrete,2075,others,0.16999999999999993
CPA,concrete,2080,reuse,0.07
CPA,concrete,2080,recycling,0.11
CPA,concrete,2080,downcycling,0.65
CPA,concrete,2080,others,0.16999999999999993
CPA,concrete,2085,reuse,0.07
CPA,concrete,2085,recycling,0.11
CPA,concrete,2085,downcycling,0.65
CPA,concrete,2085,others,0.16999999999999993
CPA,concrete,2090,reuse,0.07
CPA,concrete,2090,recycling,0.11
CPA,concrete,2090,downcycling,0.65
CPA,concrete,2090,others,0.16999999999999993
CPA,concrete,2095,reuse,0.07
CPA,concrete,2095,recycling,0.11
CPA,concrete,2095,downcycling,0.65
CPA,concrete,2095,others,0.16999999999999993
CPA,concrete,2100,reuse,0.07
CPA,concrete,2100,recycling,0.11
CPA,concrete,2100,downcycling,0.65
CPA,concrete,2100,others,0.16999999999999993
CPA,copper,2015,reuse,0
CPA,copper,2015,recycling,0.38
CPA,copper,2015,downcycling,0
CPA,copper,2015,others,0.62
CPA,copper,2020,reuse,0
CPA,copper,2020,recycling,0.38
CPA,copper,2020,downcycling,0
CPA,copper,2020,others,0.62
CPA,copper,2025,reuse,0
CPA,copper,2025,recycling,0.38
CPA,copper,2025,downcycling,0
CPA,copper,2025,others,0.62
CPA,copper,2030,reuse,0.010000000000000002
CPA,copper,2030,recycling,0.41000000000000003
CPA,copper,2030,downcycling,0
CPA,copper,2030,others,0.58
CPA,copper,2035,reuse,0.020000000000000004
CPA,copper,2035,recycling,0.44
CPA,copper,2035,downcycling,0
CPA,copper,2035,others,0.54
CPA,copper,2040,reuse,0.03
CPA,copper,2040,recycling,0.47
CPA,copper,2040,downcycling,0
CPA,copper,2040,others,0.5
CPA,copper,2045,reuse,0.04000000000000001
CPA,copper,2045,recycling,0.5
CPA,copper,2045,downcycling,0
CPA,copper,2045,others,0.45999999999999996
CPA,copper,2050,reuse,0.05
CPA,copper,2050,recycling,0.53
CPA,copper,2050,downcycling,0
CPA,copper,2050,others,0.42
CPA,copper,2055,reuse,0.05
CPA,copper,2055,recycling,0.53
CPA,copper,2055,downcycling,0
CPA,copper,2055,others,0.42
CPA,copper,2060,reuse,0.05
CPA,copper,2060,recycling,0.53
CPA,copper,2060,downcycling,0
CPA,copper,2060,others,0.42
CPA,copper,2065,reuse,0.05
CPA,copper,2065,recycling,0.53
CPA,copper,2065,downcycling,0
CPA,copper,2065,others,0.42
CPA,copper,2070,reuse,0.05
CPA,copper,2070,recycling,0.53
CPA,copper,2070,downcycling,0
CPA,copper,2070,others,0.42
CPA,copper,2075,reuse,0.05
CPA,copper,2075,recycling,0.53
CPA,copper,2075,downcycling,0
CPA,copper,2075,others,0.42
CPA,copper,2080,reuse,0.05
CPA,copper,2080,recycling,0.53
CPA,copper,2080,downcycling,0
CPA,copper,2080,others,0.42
CPA,copper,2085,reuse,0.05
CPA,copper,2085,recycling,0.53
CPA,copper,2085,downcycling,0
CPA,copper,2085,others,0.42
CPA,copper,2090,reuse,0.05
CPA,copper,2090,recycling,0.53
CPA,copper,2090,downcycling,0
CPA,copper,2090,others,0.42
CPA,copper,2095,reuse,0.05
CPA,copper,2095,recycling,0.53
CPA,copper,2095,downcycling,0
CPA,copper,2095,others,0.42
CPA,copper,2100,reuse,0.05
