region_bld,region_gea,mat,arch,bld_age,year,parameter,value
C-EEU-CZE,EEU,perm,mfh,p3,2100,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p5,2020,scale,135.24725975832334
C-EEU-CZE,EEU,perm,mfh,p5,2020,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p5,2025,scale,135.24725975832334
C-EEU-CZE,EEU,perm,mfh,p5,2025,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p5,2030,scale,159.59176651482153
C-EEU-CZE,EEU,perm,mfh,p5,2030,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p5,2035,scale,183.93627327131975
C-EEU-CZE,EEU,perm,mfh,p5,2035,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p5,2040,scale,208.28078002781794
C-EEU-CZE,EEU,perm,mfh,p5,2040,shape,2.5
C-EEU-CZE,EEU,perm,mfh,p5,2045,scale,232.62528678431616
