clim_policy,region_gea,fuel,year,value
1p5C,MEA,gas,2015,56.1
1p5C,MEA,gas,2020,56.1
1p5C,MEA,gas,2025,56.1
1p5C,MEA,gas,2030,56.1
1p5C,MEA,gas,2035,56.1
1p5C,MEA,gas,2040,56.1
1p5C,MEA,gas,2045,56.1
1p5C,MEA,gas,2050,56.1
1p5C,MEA,gas,2055,56.1
1p5C,MEA,gas,2060,56.1
1p5C,MEA,gas,2070,56.1
1p5C,MEA,gas,2080,56.1
1p5C,MEA,gas,2090,56.1
1p5C,MEA,gas,2100,56.1
1p5C,MEA,oil,2015,73.3
1p5C,MEA,oil,2020,73.3
1p5C,MEA,oil,2025,73.3
1p5C,MEA,oil,2030,73.3
1p5C,MEA,oil,2035,73.3
1p5C,MEA,oil,2040,73.3
1p5C,MEA,oil,2045,73.3
1p5C,MEA,oil,2050,73.3
1p5C,MEA,oil,2055,73.3
1p5C,MEA,oil,2060,73.3
1p5C,MEA,oil,2070,73.3
1p5C,MEA,oil,2080,73.3
1p5C,MEA,oil,2090,73.3
1p5C,MEA,oil,2100,73.3
1p5C,"NAM",biomass_solid,2015,0
1p5C,"NAM",biomass_solid,2020,0
1p5C,"NAM",biomass_solid,2025,0
1p5C,"NAM",biomass_solid,2030,0
1p5C,"NAM",biomass_solid,2035,0
1p5C,"NAM",biomass_solid,2040,0
1p5C,"NAM",biomass_solid,2045,0
1p5C,"NAM",biomass_solid,2050,0
1p5C,"NAM",biomass_solid,2055,0
1p5C,"NAM",biomass_solid,2060,0
1p5C,"NAM",biomass_solid,2070,0
1p5C,"NAM",biomass_solid,2080,0
1p5C,"NAM",biomass_solid,2090,0
1p5C,"NAM",biomass_solid,2100,0
1p5C,"NAM",coal,2015,94.6
1p5C,"NAM",coal,2020,94.6
1p5C,"NAM",coal,2025,94.6
1p5C,"NAM",coal,2030,94.6
1p5C,"NAM",coal,2035,94.6
1p5C,"NAM",coal,2040,94.6
1p5C,"NAM",coal,2045,94.6
1p5C,"NAM",coal,2050,94.6
1p5C,"NAM",coal,2055,94.6
1p5C,"NAM",coal,2060,94.6
1p5C,"NAM",coal,2070,94.6
1p5C,"NAM",coal,2080,94.6
1p5C,"NAM",coal,2090,94.6
1p5C,"NAM",coal,2100,94.6
1p5C,"NAM",district_heat,2015,47.62487512
1p5C,"NAM",district_heat,2020,36.37876908
1p5C,"NAM",district_heat,2025,0
1p5C,"NAM",district_heat,2030,0
1p5C,"NAM",district_heat,2035,0
1p5C,"NAM",district_heat,2040,0
1p5C,"NAM",district_heat,2045,0
1p5C,"NAM",district_heat,2050,0
1p5C,"NAM",district_heat,2055,0
1p5C,"NAM",district_heat,2060,0
1p5C,"NAM",district_heat,2070,0.070955232
1p5C,"NAM",district_heat,2080,0.034536108
1p5C,"NAM",district_heat,2090,0.015947832
1p5C,"NAM",district_heat,2100,0
1p5C,"NAM",electricity,2015,112.1882625
1p5C,"NAM",electricity,2020,106.0953652
1p5C,"NAM",electricity,2025,43.3113973
1p5C,"NAM",electricity,2030,16.83004653
1p5C,"NAM",electricity,2035,2.070311293
1p5C,"NAM",electricity,2040,-0.037739921
1p5C,"NAM",electricity,2045,-0.779881264
1p5C,"NAM",electricity,2050,-0.949408258
1p5C,"NAM",electricity,2055,-0.732802937
1p5C,"NAM",electricity,2060,-0.454796738
1p5C,"NAM",electricity,2070,0.203452436
1p5C,"NAM",electricity,2080,0.30977004
1p5C,"NAM",electricity,2090,0.290721779
1p5C,"NAM",electricity,2100,0.339534136
1p5C,"NAM",gas,2015,56.1
1p5C,"NAM",gas,2020,56.1
1p5C,"NAM",gas,2025,56.1
1p5C,"NAM",gas,2030,56.1
1p5C,"NAM",gas,2035,56.1
1p5C,"NAM",gas,2040,56.1
1p5C,"NAM",gas,2045,56.1
1p5C,"NAM",gas,2050,56.1
1p5C,"NAM",gas,2055,56.1
1p5C,"NAM",gas,2060,56.1
1p5C,"NAM",gas,2070,56.1
1p5C,"NAM",gas,2080,56.1
1p5C,"NAM",gas,2090,56.1
1p5C,"NAM",gas,2100,56.1
1p5C,"NAM",oil,2015,73.3
1p5C,"NAM",oil,2020,73.3
1p5C,"NAM",oil,2025,73.3
1p5C,"NAM",oil,2030,73.3
1p5C,"NAM",oil,2035,73.3
1p5C,"NAM",oil,2040,73.3
1p5C,"NAM",oil,2045,73.3
1p5C,"NAM",oil,2050,73.3
1p5C,"NAM",oil,2055,73.3
1p5C,"NAM",oil,2060,73.3
1p5C,"NAM",oil,2070,73.3
1p5C,"NAM",oil,2080,73.3
1p5C,"NAM",oil,2090,73.3
