region_gea,fuel_cool,year,value
PAS,electricity,NA,3.023529412
PAS,electricity,NA,3.147058824
PAS,electricity,NA,3.270588235
PAS,electricity,NA,3.394117647
PAS,electricity,NA,3.517647059
PAS,electricity,NA,3.641176471
PAS,electricity,NA,3.764705882
PAS,electricity,NA,3.888235294
PAS,electricity,NA,4.011764706
PAS,electricity,NA,4.135294118
PAS,electricity,NA,4.258823529
PAS,electricity,NA,4.382352941
PAS,electricity,NA,4.505882353
PAS,electricity,NA,4.629411765
PAS,electricity,NA,4.752941176
PAS,electricity,NA,4.876470588
PAS,electricity,NA,5
SAS,electricity,NA,2.9
SAS,electricity,NA,3.023529412
SAS,electricity,NA,3.147058824
SAS,electricity,NA,3.270588235
SAS,electricity,NA,3.394117647
SAS,electricity,NA,3.517647059
SAS,electricity,NA,3.641176471
SAS,electricity,NA,3.764705882
SAS,electricity,NA,3.888235294
SAS,electricity,NA,4.011764706
SAS,electricity,NA,4.135294118
SAS,electricity,NA,4.258823529
SAS,electricity,NA,4.382352941
SAS,electricity,NA,4.505882353
SAS,electricity,NA,4.629411765
SAS,electricity,NA,4.752941176
SAS,electricity,NA,4.876470588
SAS,electricity,NA,5
WEU,electricity,NA,3
WEU,electricity,NA,3.117647059
WEU,electricity,NA,3.235294118
WEU,electricity,NA,3.352941176
WEU,electricity,NA,3.470588235
WEU,electricity,NA,3.588235294
WEU,electricity,NA,3.705882353
WEU,electricity,NA,3.823529412
WEU,electricity,NA,3.941176471
WEU,electricity,NA,4.058823529
WEU,electricity,NA,4.176470588
WEU,electricity,NA,4.294117647
WEU,electricity,NA,4.411764706
WEU,electricity,NA,4.529411765
WEU,electricity,NA,4.647058824
WEU,electricity,NA,4.764705882
WEU,electricity,NA,4.882352941
WEU,electricity,NA,5
