region_bld,clim,urt,arch,eneff,en_dem_heat_sim,en_dem_cool_sim,n_days_cool
C-EEU-POL,Zone_5A Cool Humid,urb,comm,s51_std,113.628824,7.424055339,18.75914634
C-EEU-POL,Zone_5A Cool Humid,urb,comm,s52_low,53.85295825,11.21144942,27.15091463
C-EEU-POL,Zone_5A Cool Humid,urb,comm,sr11_std,255.1263589,5.353109627,12.41768293
C-EEU-POL,Zone_5A Cool Humid,urb,comm,sr12_low,255.1263589,5.353109627,12.41768293
C-EEU-POL,Zone_5A Cool Humid,urb,comm,sr21_std,243.746921,5.058613467,12.2347561
C-EEU-POL,Zone_5A Cool Humid,urb,comm,sr22_low,243.746921,5.058613467,12.2347561
C-EEU-POL,Zone_5A Cool Humid,urb,comm,sr31_std,153.1586413,6.311279091,15.83993902
C-EEU-POL,Zone_5A Cool Humid,urb,comm,sr32_low,153.1586413,6.311279091,15.83993902
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,s1,204.3504822,22.16671019,41.68055556
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,s2,195.2569238,20.94286043,41.20138889
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,s3,122.1170661,22.2194685,47.63194444
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,s51_std,89.78121459,23.77558017,52.125
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,s52_low,40.57281875,28.69093466,61.85416667
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,sr11_std,204.3504822,22.16671019,41.68055556
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,sr12_low,204.3504822,22.16671019,41.68055556
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,sr21_std,195.2569238,20.94286043,41.20138889
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,sr22_low,195.2569238,20.94286043,41.20138889
C-EEU-ROU,Zone_4A Mixed Humid,rur,comm,sr31_std,122.1170661,22.2194685,47.63194444
