id,ISO,NAME,CZ,CLIMATE_ZONE,GLOBAL_SOUTH,REGION_GEA,t_bal_H,pop,popsum,sdd_h,sdd_h_avg
107,TUR,Turkey,12.0,Zone_4A Mixed Humid,0,WEU,20,total,21033105.0,60743257010.51265,2887.98334865502
107,TUR,Turkey,13.0,Zone_4B Mixed Dry,0,WEU,20,total,981219.0,3181435049.0184174,3242.3292343691037
107,TUR,Turkey,14.0,Zone_4C Mixed Marine,0,WEU,20,total,6379520.0,21373590547.40323,3350.3446258344247
107,TUR,Turkey,15.0,Zone_5A Cool Humid,0,WEU,20,total,8209120.0,34050335592.563522,4147.866713187714
107,TUR,Turkey,17.0,Zone_5C Cool Marine,0,WEU,20,total,6531647.0,24844418288.647232,3803.698866250309
107,TUR,Turkey,18.0,Zone_6A Cold Humid,0,WEU,20,total,2643524.0,13141576045.401047,4971.233870167643
107,TUR,Turkey,21.0,Zone_7A Very cold Humid,0,WEU,20,total,798174.0,4678160867.254547,5861.078996878559
108,TKM,Turkmenistan,7.0,Zone_2B Hot Dry,0,FSU,20,total,35491.0,69025925.79568481,1944.8853454589844
108,TKM,Turkmenistan,10.0,Zone_3B Warm Dry,0,FSU,20,total,3105804.0,7032443255.636093,2264.2907458539216
108,TKM,Turkmenistan,12.0,Zone_4A Mixed Humid,0,FSU,20,total,82836.0,219579366.0866089,2650.772201538086
108,TKM,Turkmenistan,13.0,Zone_4B Mixed Dry,0,FSU,20,total,2591754.0,7841021255.49617,3025.3724911763115
108,TKM,Turkmenistan,16.0,Zone_5B Cool Dry,0,FSU,20,total,81393.0,291752463.02064514,3584.4908409893374
109,UGA,Uganda,3.0,Zone_1A Very hot Humid,1,AFR,20,total,12886025.0,785751.2349090576,0.06097700686666816
109,UGA,Uganda,6.0,Zone_2A Hot Humid,1,AFR,20,total,15922368.0,654503205.3434601,41.10589614204747
109,UGA,Uganda,7.0,Zone_2B Hot Dry,1,AFR,20,total,60368.0,585832.8625488281,9.704360961914062
109,UGA,Uganda,9.0,Zone_3A Warm Humid,1,AFR,20,total,623515.0,539857670.1128387,865.8294830322266
11,IDN,Indonesia,0.0,Zone_0A Extremely hot Humid,1,PAS,20,total,146769488.0,0.0,0.0
11,IDN,Indonesia,3.0,Zone_1A Very hot Humid,1,PAS,20,total,87381177.0,0.0,0.0
11,IDN,Indonesia,6.0,Zone_2A Hot Humid,1,PAS,20,total,2939854.0,23725925.40461731,8.070443431754539
11,IDN,Indonesia,9.0,Zone_3A Warm Humid,1,PAS,20,total,104237.0,47293086.39884949,453.7072862692661
110,UKR,Ukraine,12.0,Zone_4A Mixed Humid,0,FSU,20,total,1578182.0,5179561910.465179,3281.980095112718
110,UKR,Ukraine,15.0,Zone_5A Cool Humid,0,FSU,20,total,42265347.0,177659955699.78442,4203.442496279148
110,UKR,Ukraine,18.0,Zone_6A Cold Humid,0,FSU,20,total,1359174.0,6783047824.604034,4990.566200209859
111,ARE,United Arab Emirates,1.0,Zone_0B Extremely hot Dry,1,MEA,20,total,5432425.0,730658836.1005249,134.49957175672466
111,ARE,United Arab Emirates,4.0,Zone_1B Very hot Dry,1,MEA,20,total,455854.0,125302001.41793823,274.8730984436645
112,GBR,U.K. of Great Britain and Northern Ireland,12.0,Zone_4A Mixed Humid,0,WEU,20,total,26628132.0,99844412678.47197,3749.5838115295496
112,GBR,U.K. of Great Britain and Northern Ireland,15.0,Zone_5A Cool Humid,0,WEU,20,total,33903868.0,139759049571.6219,4122.215482068946
112,GBR,U.K. of Great Britain and Northern Ireland,17.0,Zone_5C Cool Marine,0,WEU,20,total,40.0,157054.7869873047,3926.369674682617
112,GBR,U.K. of Great Britain and Northern Ireland,18.0,Zone_6A Cold Humid,0,WEU,20,total,216838.0,1111483560.5544434,5125.870744770028
113,TZA,United Republic of Tanzania,0.0,Zone_0A Extremely hot Humid,1,AFR,20,total,385785.0,0.0,0.0
113,TZA,United Republic of Tanzania,3.0,Zone_1A Very hot Humid,1,AFR,20,total,10785578.0,9850018.598754883,0.9132582972145659
113,TZA,United Republic of Tanzania,4.0,Zone_1B Very hot Dry,1,AFR,20,total,450057.0,1816088.1691589355,4.035240356574691
113,TZA,United Republic of Tanzania,6.0,Zone_2A Hot Humid,1,AFR,20,total,28593430.0,1975980417.284134,69.10609945306086
113,TZA,United Republic of Tanzania,7.0,Zone_2B Hot Dry,1,AFR,20,total,2663313.0,209770419.48298645,78.76296157567153
113,TZA,United Republic of Tanzania,8.0,Zone_2C Hot Marine,1,AFR,20,total,1121669.0,402141042.57629395,358.5202431165468
113,TZA,United Republic of Tanzania,9.0,Zone_3A Warm Humid,1,AFR,20,total,476854.0,252230139.17218018,528.9462585449219
113,TZA,United Republic of Tanzania,11.0,Zone_3C Warm Marine,1,AFR,20,total,2247173.0,1676117331.3293457,745.878190655257
114,USA,United States of America,3.0,Zone_1A Very hot Humid,0,NAM,20,total,6808196.0,1400577904.0433502,205.719386463514
114,USA,United States of America,4.0,Zone_1B Very hot Dry,0,NAM,20,total,184968.0,111919170.32572937,605.0731495487294
114,USA,United States of America,6.0,Zone_2A Hot Humid,0,NAM,20,total,34106158.0,33573321484.53517,984.3771170160876
114,USA,United States of America,7.0,Zone_2B Hot Dry,0,NAM,20,total,4843606.0,5175713603.133774,1068.5661887308286
114,USA,United States of America,9.0,Zone_3A Warm Humid,0,NAM,20,total,50137381.0,100582489146.70036,2006.1376789246403
114,USA,United States of America,10.0,Zone_3B Warm Dry,0,NAM,20,total,7686641.0,13587940131.561218,1767.7344540432184
114,USA,United States of America,11.0,Zone_3C Warm Marine,0,NAM,20,total,20479365.0,40760079489.923294,1990.2999673048112
114,USA,United States of America,12.0,Zone_4A Mixed Humid,0,NAM,20,total,72124063.0,229550430049.12045,3182.716287754344
114,USA,United States of America,13.0,Zone_4B Mixed Dry,0,NAM,20,total,1656084.0,5679365270.957123,3429.394445545711
114,USA,United States of America,14.0,Zone_4C Mixed Marine,0,NAM,20,total,9328843.0,30744470497.341827,3295.635964432227
114,USA,United States of America,15.0,Zone_5A Cool Humid,0,NAM,20,total,70178393.0,287454434134.26483,4096.053241547791
114,USA,United States of America,16.0,Zone_5B Cool Dry,0,NAM,20,total,494689.0,1944174167.7067719,3930.093791668648
114,USA,United States of America,17.0,Zone_5C Cool Marine,0,NAM,20,total,5094218.0,21101868491.54631,4142.317523817455
114,USA,United States of America,18.0,Zone_6A Cold Humid,0,NAM,20,total,19783452.0,99578213492.30246,5033.4094116791375
114,USA,United States of America,19.0,Zone_6B Cold Dry,0,NAM,20,total,154385.0,785559941.2410889,5088.317785025028
114,USA,United States of America,20.0,Zone_6C Cold Marine,0,NAM,20,total,138350.0,699581489.005661,5056.60635349231
114,USA,United States of America,21.0,Zone_7A Very cold Humid,0,NAM,20,total,2131355.0,13309786011.403076,6244.753225719355
114,USA,United States of America,22.0,Zone_7B Very cold Dry,0,NAM,20,total,8537.0,49488641.87213135,5796.959338424663
114,USA,United States of America,24.0,Zone_8A Subarctic/arctic Humid,0,NAM,20,total,118677.0,977021386.9279175,8232.609409809125
115,BLR,Belarus,15.0,Zone_5A Cool Humid,0,FSU,20,total,2380831.0,11020633913.205627,4628.902224981794
115,BLR,Belarus,18.0,Zone_6A Cold Humid,0,FSU,20,total,6669950.0,32696538472.942383,4902.066503188537
116,URY,Uruguay,6.0,Zone_2A Hot Humid,1,LAC,20,total,73558.0,60415960.84146118,821.3377313339295
116,URY,Uruguay,9.0,Zone_3A Warm Humid,1,LAC,20,total,3560955.0,4937765046.223587,1386.640675387245
117,UZB,Uzbekistan,9.0,Zone_3A Warm Humid,0,FSU,20,total,683096.0,1695064726.5145264,2481.4443746040474
117,UZB,Uzbekistan,10.0,Zone_3B Warm Dry,0,FSU,20,total,1434578.0,3285707692.5971985,2290.365314815366
117,UZB,Uzbekistan,12.0,Zone_4A Mixed Humid,0,FSU,20,total,7958404.0,21923693309.49472,2754.78516917396
117,UZB,Uzbekistan,13.0,Zone_4B Mixed Dry,0,FSU,20,total,6386888.0,18354705864.093567,2873.8105105481054
117,UZB,Uzbekistan,15.0,Zone_5A Cool Humid,0,FSU,20,total,2448666.0,9483723907.8497,3873.016535472662
117,UZB,Uzbekistan,16.0,Zone_5B Cool Dry,0,FSU,20,total,715195.0,2610586995.9551697,3650.1751214076858
117,UZB,Uzbekistan,18.0,Zone_6A Cold Humid,0,FSU,20,total,509061.0,2699185604.2129364,5302.283231700988
117,UZB,Uzbekistan,21.0,Zone_7A Very cold Humid,0,FSU,20,total,111433.0,757918775.9137268,6801.564849853516
118,VUT,Vanuatu,0.0,Zone_0A Extremely hot Humid,1,PAS,20,total,116.0,0.0,0.0
118,VUT,Vanuatu,3.0,Zone_1A Very hot Humid,1,PAS,20,total,170822.0,75875.51162719727,0.4441788038261891
118,VUT,Vanuatu,6.0,Zone_2A Hot Humid,1,PAS,20,total,56141.0,1165907.5204620361,20.76748758415483
119,VEN,Venezuela,0.0,Zone_0A Extremely hot Humid,1,LAC,20,total,9893103.0,0.0,0.0
119,VEN,Venezuela,1.0,Zone_0B Extremely hot Dry,1,LAC,20,total,447419.0,0.0,0.0
119,VEN,Venezuela,3.0,Zone_1A Very hot Humid,1,LAC,20,total,13437682.0,4.0513916015625,3.014948263817004e-07
119,VEN,Venezuela,4.0,Zone_1B Very hot Dry,1,LAC,20,total,245946.0,0.0,0.0
119,VEN,Venezuela,6.0,Zone_2A Hot Humid,1,LAC,20,total,5272544.0,219502225.09062195,41.63117938714631
119,VEN,Venezuela,9.0,Zone_3A Warm Humid,1,LAC,20,total,227881.0,76483628.49177551,335.6296860720091
119,VEN,Venezuela,11.0,Zone_3C Warm Marine,1,LAC,20,total,288016.0,284029162.49427795,986.1575832393962
12,IRN,Iran  (Islamic Republic of),1.0,Zone_0B Extremely hot Dry,1,MEA,20,total,276333.0,82305841.35108948,297.8502073624557
12,IRN,Iran  (Islamic Republic of),4.0,Zone_1B Very hot Dry,1,MEA,20,total,6060810.0,4283764804.2313232,706.7974089653567
12,IRN,Iran  (Islamic Republic of),6.0,Zone_2A Hot Humid,1,MEA,20,total,4521532.0,6832303017.150116,1511.0593084711368
12,IRN,Iran  (Islamic Republic of),7.0,Zone_2B Hot Dry,1,MEA,20,total,7252499.0,10190646432.196136,1405.1220733978917
12,IRN,Iran  (Islamic Republic of),9.0,Zone_3A Warm Humid,1,MEA,20,total,4217991.0,9019868978.91507,2138.4277441357913
12,IRN,Iran  (Islamic Republic of),10.0,Zone_3B Warm Dry,1,MEA,20,total,8046030.0,17639991463.547745,2192.3845006230085
12,IRN,Iran  (Islamic Republic of),12.0,Zone_4A Mixed Humid,1,MEA,20,total,22073553.0,71541644516.32674,3241.057047604739
12,IRN,Iran  (Islamic Republic of),13.0,Zone_4B Mixed Dry,1,MEA,20,total,11830590.0,36098136158.58197,3051.254092871274
12,IRN,Iran  (Islamic Republic of),15.0,Zone_5A Cool Humid,1,MEA,20,total,7291903.0,30597600425.875397,4196.106342319063
12,IRN,Iran  (Islamic Republic of),16.0,Zone_5B Cool Dry,1,MEA,20,total,2988228.0,12611566144.868576,4220.416295165087
12,IRN,Iran  (Islamic Republic of),18.0,Zone_6A Cold Humid,1,MEA,20,total,554620.0,2849204544.2841644,5137.219256940183
120,VNM,Viet Nam,0.0,Zone_0A Extremely hot Humid,1,CPA,20,total,33220682.0,21097750.650756836,0.6350787937091971
120,VNM,Viet Nam,3.0,Zone_1A Very hot Humid,1,CPA,20,total,46185718.0,9285589655.340988,201.04894017975403
120,VNM,Viet Nam,6.0,Zone_2A Hot Humid,1,CPA,20,total,8430594.0,3249042149.6201935,385.38709723421545
120,VNM,Viet Nam,9.0,Zone_3A Warm Humid,1,CPA,20,total,704096.0,700406290.1390991,994.7596494499318
121,MNE,Montenegro,12.0,Zone_4A Mixed Humid,0,EEU,20,total,176531.0,543892725.4073181,3081.0040469227392
121,MNE,Montenegro,15.0,Zone_5A Cool Humid,0,EEU,20,total,332655.0,1400804756.9817352,4210.983622617232
121,MNE,Montenegro,17.0,Zone_5C Cool Marine,0,EEU,20,total,201763.0,897813610.3682404,4449.842688541707
121,MNE,Montenegro,18.0,Zone_6A Cold Humid,0,EEU,20,total,204186.0,993928741.0041656,4867.761457710938
122,SRB,Serbia,12.0,Zone_4A Mixed Humid,0,EEU,20,total,4119002.0,13632841727.51416,3309.743896097686
122,SRB,Serbia,15.0,Zone_5A Cool Humid,0,EEU,20,total,4030798.0,16209780824.641632,4021.4818069875078
122,SRB,Serbia,18.0,Zone_6A Cold Humid,0,EEU,20,total,288615.0,1414921116.723404,4902.451766967773
123,PSE,Palestinian Territories,6.0,Zone_2A Hot Humid,1,MEA,20,total,4870840.0,4984065300.697479,1023.2455389003702
123,PSE,Palestinian Territories,9.0,Zone_3A Warm Humid,1,MEA,20,total,1223591.0,1555771236.7355347,1271.4797973632812
124,ESH,Western Sahara,1.0,Zone_0B Extremely hot Dry,1,AFR,20,total,1440.0,112864.20776367188,78.37792205810547
124,ESH,Western Sahara,4.0,Zone_1B Very hot Dry,1,AFR,20,total,75780.0,16569917.344528198,218.6581861246793
124,ESH,Western Sahara,7.0,Zone_2B Hot Dry,1,AFR,20,total,331822.0,131709085.18972778,396.926922234595
124,ESH,Western Sahara,8.0,Zone_2C Hot Marine,1,AFR,20,total,0.0,0.0,
125,YEM,Yemen,1.0,Zone_0B Extremely hot Dry,1,MEA,20,total,4815867.0,246590.3485107422,0.051203728946572276
125,YEM,Yemen,4.0,Zone_1B Very hot Dry,1,MEA,20,total,1749816.0,97114490.24964905,55.4998298390511
125,YEM,Yemen,7.0,Zone_2B Hot Dry,1,MEA,20,total,7600705.0,2009501673.2867584,264.38358984946245
125,YEM,Yemen,10.0,Zone_3B Warm Dry,1,MEA,20,total,3745937.0,3465247160.1409454,925.0681899190898
125,YEM,Yemen,11.0,Zone_3C Warm Marine,1,MEA,20,total,6638240.0,9534403692.55098,1436.284872579325
126,BEL,Belgium,12.0,Zone_4A Mixed Humid,0,WEU,20,total,12304498.0,44622182996.90216,3626.4935795757096
126,BEL,Belgium,15.0,Zone_5A Cool Humid,0,WEU,20,total,379094.0,1434483582.7877197,3783.9785984154846
127,ZMB,Zambia,3.0,Zone_1A Very hot Humid,1,AFR,20,total,255466.0,13229555.86743164,51.78597491420244
127,ZMB,Zambia,6.0,Zone_2A Hot Humid,1,AFR,20,total,11697095.0,3863814314.0190887,330.3225556447211
127,ZMB,Zambia,7.0,Zone_2B Hot Dry,1,AFR,20,total,384890.0,126654468.84909058,329.0666654085338
128,ZWE,Zimbabwe,3.0,Zone_1A Very hot Humid,1,AFR,20,total,199393.0,23803641.460906982,119.38052720460088
128,ZWE,Zimbabwe,4.0,Zone_1B Very hot Dry,1,AFR,20,total,533380.0,77751506.19198608,145.77131911955095
128,ZWE,Zimbabwe,6.0,Zone_2A Hot Humid,1,AFR,20,total,2251534.0,1146552715.5660095,509.2318017698198
128,ZWE,Zimbabwe,7.0,Zone_2B Hot Dry,1,AFR,20,total,6591263.0,4340117692.350021,658.4652580772488
128,ZWE,Zimbabwe,9.0,Zone_3A Warm Humid,1,AFR,20,total,1931296.0,1653859927.5121918,856.3472028690536
128,ZWE,Zimbabwe,10.0,Zone_3B Warm Dry,1,AFR,20,total,130017.0,115568570.95137024,888.8727701098336
128,ZWE,Zimbabwe,11.0,Zone_3C Warm Marine,1,AFR,20,total,614073.0,610415603.5563965,994.0440363871991
129,BLZ,Belize,0.0,Zone_0A Extremely hot Humid,1,LAC,20,total,629.0,0.0,0.0
129,BLZ,Belize,3.0,Zone_1A Very hot Humid,1,LAC,20,total,428036.0,3096086.3560943604,7.233238223173659
129,BLZ,Belize,6.0,Zone_2A Hot Humid,1,LAC,20,total,29037.0,1173113.2316894531,40.400634765625
13,IRQ,Iraq,4.0,Zone_1B Very hot Dry,1,MEA,20,total,13867394.0,13810567751.546173,995.9021681756625
13,IRQ,Iraq,6.0,Zone_2A Hot Humid,1,MEA,20,total,1795919.0,3162089247.1241302,1760.7081650810144
13,IRQ,Iraq,7.0,Zone_2B Hot Dry,1,MEA,20,total,13388845.0,18127358026.673782,1353.9149961534233
13,IRQ,Iraq,9.0,Zone_3A Warm Humid,1,MEA,20,total,1227554.0,2977588591.6833954,2425.6273790671494
13,IRQ,Iraq,10.0,Zone_3B Warm Dry,1,MEA,20,total,95080.0,172701785.12953186,1816.3839412024806
13,IRQ,Iraq,12.0,Zone_4A Mixed Humid,1,MEA,20,total,832783.0,2728073964.409607,3275.8521300382054
13,IRQ,Iraq,15.0,Zone_5A Cool Humid,1,MEA,20,total,104064.0,437111055.3574219,4200.406051635742
130,BEN,Benin,0.0,Zone_0A Extremely hot Humid,1,AFR,20,total,7889961.0,0.0,0.0
130,BEN,Benin,1.0,Zone_0B Extremely hot Dry,1,AFR,20,total,61485.0,0.0,0.0
131,ALB,Albania,9.0,Zone_3A Warm Humid,0,EEU,20,total,1927679.0,4369128135.694885,2266.52266051292
131,ALB,Albania,14.0,Zone_4C Mixed Marine,0,EEU,20,total,208693.0,766100844.8537598,3670.946533203125
131,ALB,Albania,17.0,Zone_5C Cool Marine,0,EEU,20,total,491152.0,1951333448.4256592,3972.9726203408704
131,ALB,Albania,18.0,Zone_6A Cold Humid,0,EEU,20,total,104013.0,537692865.6833954,5169.477523803711
131,ALB,Albania,20.0,Zone_6C Cold Marine,0,EEU,20,total,148674.0,717621728.0662537,4826.813888549805
132,BTN,Bhutan,9.0,Zone_3A Warm Humid,1,SAS,20,total,58099.0,71005739.48097229,1222.1508026123047
132,BTN,Bhutan,11.0,Zone_3C Warm Marine,1,SAS,20,total,129318.0,278352339.7366028,2152.4640014275105
132,BTN,Bhutan,14.0,Zone_4C Mixed Marine,1,SAS,20,total,453660.0,1341027679.5193481,2956.0192203838737
