region_gea,mat,arch,bld_age,parameter,value
EEU,perm,mfh,p2,scale,53.6
"NAM",perm,mfh,p2,shape,4.16
"NAM",perm,mfh,p2,scale,85.19
WEU,perm,mfh,p2,shape,2.95
WEU,perm,mfh,p2,scale,70.82
LAC,perm,mfh,p2,shape,1.97
LAC,perm,mfh,p2,scale,68.24
PAO,perm,mfh,p2,shape,1.97
PAO,perm,mfh,p2,scale,94
FSU,perm,mfh,p2,shape,2.5
FSU,perm,mfh,p2,scale,53.6
AFR,perm,mfh,p2,shape,1.97
AFR,perm,mfh,p2,scale,67.34
MEA,perm,mfh,p2,shape,1.97
MEA,perm,mfh,p2,scale,67.34
SAS,perm,mfh,p2,shape,1.97
SAS,perm,mfh,p2,scale,67.34
PAS,perm,sfh,p2,shape,1.88
PAS,perm,sfh,p2,scale,41.23
CPA,perm,sfh,p2,shape,2
CPA,perm,sfh,p2,scale,33.85
EEU,perm,sfh,p2,shape,2.5
EEU,perm,sfh,p2,scale,73.26
"NAM",perm,sfh,p2,shape,4.16
"NAM",perm,sfh,p2,scale,85.19
WEU,perm,sfh,p2,shape,2.95
WEU,perm,sfh,p2,scale,70.82
LAC,perm,sfh,p2,shape,1.97
LAC,perm,sfh,p2,scale,68.24
PAO,perm,sfh,p2,shape,1.97
PAO,perm,sfh,p2,scale,94
FSU,perm,sfh,p2,shape,2.5
FSU,perm,sfh,p2,scale,73.26
AFR,perm,sfh,p2,shape,1.97
AFR,perm,sfh,p2,scale,67.34
MEA,perm,sfh,p2,shape,1.97
MEA,perm,sfh,p2,scale,67.34
SAS,perm,sfh,p2,shape,1.97
SAS,perm,sfh,p2,scale,67.34
PAS,perm,mfh,p3,shape,1.9
PAS,perm,mfh,p3,scale,43.95
CPA,perm,mfh,p3,shape,2
CPA,perm,mfh,p3,scale,31.03
EEU,perm,mfh,p3,shape,2.5
EEU,perm,mfh,p3,scale,53.6
"NAM",perm,mfh,p3,shape,4.16
"NAM",perm,mfh,p3,scale,85.19
WEU,perm,mfh,p3,shape,2.95
WEU,perm,mfh,p3,scale,70.82
LAC,perm,mfh,p3,shape,1.97
LAC,perm,mfh,p3,scale,68.24
PAO,perm,mfh,p3,shape,1.97
PAO,perm,mfh,p3,scale,94
FSU,perm,mfh,p3,shape,2.5
FSU,perm,mfh,p3,scale,53.6
AFR,perm,mfh,p3,shape,1.97
AFR,perm,mfh,p3,scale,67.34
MEA,perm,mfh,p3,shape,1.97
MEA,perm,mfh,p3,scale,67.34
SAS,perm,mfh,p3,shape,1.97
SAS,perm,mfh,p3,scale,67.34
PAS,perm,sfh,p3,shape,1.88
PAS,perm,sfh,p3,scale,41.23
CPA,perm,sfh,p3,shape,2
CPA,perm,sfh,p3,scale,33.85
EEU,perm,sfh,p3,shape,2.5
EEU,perm,sfh,p3,scale,73.26
"NAM",perm,sfh,p3,shape,4.16
"NAM",perm,sfh,p3,scale,85.19
WEU,perm,sfh,p3,shape,2.95
WEU,perm,sfh,p3,scale,70.82
LAC,perm,sfh,p3,shape,1.97
LAC,perm,sfh,p3,scale,68.24
PAO,perm,sfh,p3,shape,1.97
PAO,perm,sfh,p3,scale,94
FSU,perm,sfh,p3,shape,2.5
FSU,perm,sfh,p3,scale,73.26
AFR,perm,sfh,p3,shape,1.97
AFR,perm,sfh,p3,scale,67.34
MEA,perm,sfh,p3,shape,1.97
MEA,perm,sfh,p3,scale,67.34
SAS,perm,sfh,p3,shape,1.97
SAS,perm,sfh,p3,scale,67.34
PAS,perm,mfh,p5,shape,1.9
PAS,perm,mfh,p5,scale,43.95
CPA,perm,mfh,p5,shape,2
CPA,perm,mfh,p5,scale,31.03
EEU,perm,mfh,p5,shape,2.5
EEU,perm,mfh,p5,scale,53.6
"NAM",perm,mfh,p5,shape,4.16
"NAM",perm,mfh,p5,scale,85.19
WEU,perm,mfh,p5,shape,2.95
WEU,perm,mfh,p5,scale,70.82
LAC,perm,mfh,p5,shape,1.97
LAC,perm,mfh,p5,scale,68.24
PAO,perm,mfh,p5,shape,1.97
PAO,perm,mfh,p5,scale,94
FSU,perm,mfh,p5,shape,2.5
FSU,perm,mfh,p5,scale,53.6
AFR,perm,mfh,p5,shape,1.97
AFR,perm,mfh,p5,scale,67.34
MEA,perm,mfh,p5,shape,1.97
MEA,perm,mfh,p5,scale,67.34
SAS,perm,mfh,p5,shape,1.97
SAS,perm,mfh,p5,scale,67.34
PAS,perm,sfh,p5,shape,1.88
PAS,perm,sfh,p5,scale,41.23
CPA,perm,sfh,p5,shape,2
CPA,perm,sfh,p5,scale,33.85
EEU,perm,sfh,p5,shape,2.5
EEU,perm,sfh,p5,scale,73.26
"NAM",perm,sfh,p5,shape,4.16
"NAM",perm,sfh,p5,scale,85.19
WEU,perm,sfh,p5,shape,2.95
WEU,perm,sfh,p5,scale,70.82
LAC,perm,sfh,p5,shape,1.97
LAC,perm,sfh,p5,scale,68.24
PAO,perm,sfh,p5,shape,1.97
PAO,perm,sfh,p5,scale,94
FSU,perm,sfh,p5,shape,2.5
FSU,perm,sfh,p5,scale,73.26
AFR,perm,sfh,p5,shape,1.97
AFR,perm,sfh,p5,scale,67.34
MEA,perm,sfh,p5,shape,1.97
MEA,perm,sfh,p5,scale,67.34
SAS,perm,sfh,p5,shape,1.97
SAS,perm,sfh,p5,scale,67.34
