region_gea,eneff,eneff_f,year,value
LAC,s2,s2,2070,0
LAC,s2,s2,2075,0
LAC,s2,s2,2080,0
LAC,s2,s2,2085,0
LAC,s2,s2,2090,0
LAC,s2,s2,2095,0
LAC,s2,s2,2100,0
LAC,s2,sr21_std,2020,146.9274404
LAC,s2,sr21_std,2025,146.9274404
LAC,s2,sr21_std,2030,146.9274404
LAC,s2,sr21_std,2035,146.9274404
LAC,s2,sr21_std,2040,146.9274404
LAC,s2,sr21_std,2045,146.9274404
LAC,s2,sr21_std,2050,146.9274404
LAC,s2,sr21_std,2055,146.9274404
LAC,s2,sr21_std,2060,146.9274404
LAC,s2,sr21_std,2065,146.9274404
LAC,s2,sr21_std,2070,146.9274404
LAC,s2,sr21_std,2075,146.9274404
LAC,s2,sr21_std,2080,146.9274404
LAC,s2,sr21_std,2085,146.9274404
LAC,s2,sr21_std,2090,146.9274404
LAC,s2,sr21_std,2095,146.9274404
LAC,s2,sr21_std,2100,146.9274404
LAC,s2,sr22_low,2020,220.3911607
LAC,s2,sr22_low,2025,220.3911607
LAC,s2,sr22_low,2030,220.3911607
LAC,s2,sr22_low,2035,220.3911607
LAC,s2,sr22_low,2040,220.3911607
LAC,s2,sr22_low,2045,220.3911607
LAC,s2,sr22_low,2050,220.3911607
LAC,s2,sr22_low,2055,220.3911607
LAC,s2,sr22_low,2060,220.3911607
LAC,s2,sr22_low,2065,220.3911607
LAC,s2,sr22_low,2070,220.3911607
