region_gea,fuel,year,1p5C,NPi,diff_1p5C_vs_NPi,pct_diff_1p5C_vs_NPi
PAO,oil,2025,73.3,73.3,0,0
PAS,biomass_solid,2020,0,0,0,NA
PAS,biomass_solid,2025,0,0,0,NA
PAS,coal,2020,94.6,94.6,0,0
PAS,coal,2025,94.6,94.6,0,0
PAS,district_heat,2020,26.767020861424967,26.767020861424967,0,0
PAS,district_heat,2025,22.614547065089106,22.614547065089106,0,0
PAS,electricity,2020,150.33456004407526,150.33456004407526,0,0
PAS,electricity,2025,146.26837388806234,146.26837388806234,0,0
PAS,gas,2020,56.1,56.1,0,0
PAS,gas,2025,56.1,56.1,0,0
PAS,oil,2020,73.3,73.3,0,0
PAS,oil,2025,73.3,73.3,0,0
SAS,biomass_solid,2020,0,0,0,NA
SAS,biomass_solid,2025,0,0,0,NA
SAS,coal,2020,94.6,94.6,0,0
SAS,coal,2025,94.6,94.6,0,0
SAS,district_heat,2020,36.55185093242053,36.55185093242053,0,0
SAS,district_heat,2025,53.020020673428334,53.020020673428334,0,0
SAS,electricity,2020,218.07771784790663,218.07771784790663,0,0
SAS,electricity,2025,161.8088577869567,161.8088577869567,0,0
SAS,gas,2020,56.1,56.1,0,0
SAS,gas,2025,56.1,56.1,0,0
SAS,oil,2020,73.3,73.3,0,0
SAS,oil,2025,73.3,73.3,0,0
WEU,biomass_solid,2020,0,0,0,NA
WEU,biomass_solid,2025,0,0,0,NA
WEU,coal,2020,94.6,94.6,0,0
WEU,coal,2025,94.6,94.6,0,0
WEU,district_heat,2020,12.39672575327918,12.39672575327918,0,0
WEU,district_heat,2025,2.9639857549995123,2.9639857549995123,0,0
WEU,electricity,2020,59.22610915051116,59.22610915051116,0,0
WEU,electricity,2025,59.206655657633405,59.206655657633405,0,0
WEU,gas,2020,56.1,56.1,0,0
WEU,gas,2025,56.1,56.1,0,0
WEU,oil,2020,73.3,73.3,0,0
WEU,oil,2025,73.3,73.3,0,0
