region_bld,region_gea,urt,clim,arch,year,value
C-WEU-BEL,WEU,urb,Zone_4A Mixed Humid,mfh,2020,845733.2711145016
C-WEU-BEL,WEU,urb,Zone_4A Mixed Humid,sfh,2020,762531.1949966096
C-WEU-CHE,WEU,rur,Zone_5A Cool Humid,mfh,2020,11981.919298276793
C-WEU-CHE,WEU,rur,Zone_5A Cool Humid,sfh,2020,297759.16204704146
C-WEU-CHE,WEU,urb,Zone_5A Cool Humid,mfh,2020,515145.20247960655
C-WEU-CHE,WEU,urb,Zone_5A Cool Humid,sfh,2020,464465.92591290275
C-WEU-CYP,WEU,rur,Zone_3A Warm Humid,mfh,2020,1777.9972333669762
C-WEU-CYP,WEU,rur,Zone_3A Warm Humid,sfh,2020,44184.487739409815
C-WEU-CYP,WEU,urb,Zone_3A Warm Humid,mfh,2020,54329.86310866088
C-WEU-CYP,WEU,urb,Zone_3A Warm Humid,sfh,2020,48984.96589315399
C-WEU-DEU,WEU,rur,Zone_4A Mixed Humid,mfh,2020,3270.333231773543
C-WEU-DEU,WEU,rur,Zone_4A Mixed Humid,sfh,2020,81270.09191653694
C-WEU-DEU,WEU,rur,Zone_5A Cool Humid,mfh,2020,102638.94932063863
C-WEU-DEU,WEU,rur,Zone_5A Cool Humid,sfh,2020,2550650.4243854666
C-WEU-DEU,WEU,urb,Zone_4A Mixed Humid,mfh,2020,1369689.7966867127
C-WEU-DEU,WEU,urb,Zone_4A Mixed Humid,sfh,2020,1234941.5981540354
C-WEU-DEU,WEU,urb,Zone_5A Cool Humid,mfh,2020,4157594.6137931743
C-WEU-DEU,WEU,urb,Zone_5A Cool Humid,sfh,2020,3748576.1734185815
C-WEU-DNK,WEU,rur,Zone_5A Cool Humid,mfh,2020,3618.260928879863
C-WEU-DNK,WEU,rur,Zone_5A Cool Humid,sfh,2020,89916.3410661397
C-WEU-DNK,WEU,urb,Zone_5A Cool Humid,mfh,2020,385632.5790881671
C-WEU-DNK,WEU,urb,Zone_5A Cool Humid,sfh,2020,347694.576298528
C-WEU-ESP,WEU,rur,Zone_3A Warm Humid,mfh,2020,21851.374864169426
C-WEU-ESP,WEU,rur,Zone_3A Warm Humid,sfh,2020,543022.1074904595
C-WEU-ESP,WEU,rur,Zone_3B Warm Dry,mfh,2020,5635.707129261311
C-WEU-ESP,WEU,rur,Zone_3B Warm Dry,sfh,2020,140051.3048516962
C-WEU-ESP,WEU,rur,Zone_3C Warm Marine,mfh,2020,2011.1619545638273
C-WEU-ESP,WEU,rur,Zone_3C Warm Marine,sfh,2020,49978.79583598423
C-WEU-ESP,WEU,rur,Zone_4A Mixed Humid,mfh,2020,7443.727716945076
C-WEU-ESP,WEU,rur,Zone_4A Mixed Humid,sfh,2020,184981.89416303812
C-WEU-ESP,WEU,rur,Zone_4C Mixed Marine,mfh,2020,6530.7292248307285
C-WEU-ESP,WEU,rur,Zone_4C Mixed Marine,sfh,2020,162293.23642843985
C-WEU-ESP,WEU,urb,Zone_3A Warm Humid,mfh,2020,1131492.3151742448
C-WEU-ESP,WEU,urb,Zone_3A Warm Humid,sfh,2020,1020177.6572917702
C-WEU-ESP,WEU,urb,Zone_3B Warm Dry,mfh,2020,624844.6556084275
C-WEU-ESP,WEU,urb,Zone_3B Warm Dry,sfh,2020,563373.2977070407
C-WEU-ESP,WEU,urb,Zone_3C Warm Marine,mfh,2020,144148.98908922827
C-WEU-ESP,WEU,urb,Zone_3C Warm Marine,sfh,2020,129967.80978347128
C-WEU-ESP,WEU,urb,Zone_4A Mixed Humid,mfh,2020,487485.52491881937
C-WEU-ESP,WEU,urb,Zone_4A Mixed Humid,sfh,2020,439527.369391585
C-WEU-ESP,WEU,urb,Zone_4C Mixed Marine,mfh,2020,191665.90196687408
C-WEU-ESP,WEU,urb,Zone_4C Mixed Marine,sfh,2020,172810.07411983036
C-WEU-FIN,WEU,rur,Zone_6A Cold Humid,mfh,2020,811.872925061915
C-WEU-FIN,WEU,rur,Zone_6A Cold Humid,sfh,2020,20175.61592906764
C-WEU-FIN,WEU,rur,Zone_7A Very cold Humid,mfh,2020,3796.3464580044442
C-WEU-FIN,WEU,rur,Zone_7A Very cold Humid,sfh,2020,94341.89231588528
C-WEU-FIN,WEU,urb,Zone_6A Cold Humid,mfh,2020,258110.00000764968
C-WEU-FIN,WEU,urb,Zone_6A Cold Humid,sfh,2020,232717.49317257456
C-WEU-FIN,WEU,urb,Zone_7A Very cold Humid,mfh,2020,147124.51396371992
C-WEU-FIN,WEU,urb,Zone_7A Very cold Humid,sfh,2020,132650.6066128999
C-WEU-FRA,WEU,rur,Zone_3A Warm Humid,mfh,2020,7105.3254632143635
C-WEU-FRA,WEU,rur,Zone_3A Warm Humid,sfh,2020,176572.35901284078
C-WEU-FRA,WEU,rur,Zone_4A Mixed Humid,mfh,2020,52803.54427879967
C-WEU-FRA,WEU,rur,Zone_4A Mixed Humid,sfh,2020,1312205.3909869378
C-WEU-FRA,WEU,rur,Zone_5A Cool Humid,mfh,2020,9683.430256642803
C-WEU-FRA,WEU,rur,Zone_5A Cool Humid,sfh,2020,240640.08504660858
C-WEU-FRA,WEU,urb,Zone_3A Warm Humid,mfh,2020,603575.1520520475
C-WEU-FRA,WEU,urb,Zone_3A Warm Humid,sfh,2020,544196.2586596608
C-WEU-FRA,WEU,urb,Zone_4A Mixed Humid,mfh,2020,3152543.9130162187
C-WEU-FRA,WEU,urb,Zone_4A Mixed Humid,sfh,2020,2842400.9783884753
C-WEU-FRA,WEU,urb,Zone_5A Cool Humid,mfh,2020,387361.6294060927
C-WEU-FRA,WEU,urb,Zone_5A Cool Humid,sfh,2020,349253.52502405184
C-WEU-GBR,WEU,rur,Zone_4A Mixed Humid,mfh,2020,29168.249787077795
C-WEU-GBR,WEU,rur,Zone_4A Mixed Humid,sfh,2020,724851.6200762717
C-WEU-GBR,WEU,rur,Zone_5A Cool Humid,mfh,2020,31203.339350996077
C-WEU-GBR,WEU,rur,Zone_5A Cool Humid,sfh,2020,775425.0339140809
C-WEU-GBR,WEU,urb,Zone_4A Mixed Humid,mfh,2020,1828139.5583019818
C-WEU-GBR,WEU,urb,Zone_4A Mixed Humid,sfh,2020,1648289.702704451
C-WEU-GBR,WEU,urb,Zone_5A Cool Humid,mfh,2020,2431601.9669909133
C-WEU-GBR,WEU,urb,Zone_5A Cool Humid,sfh,2020,2192384.309538009
C-WEU-GRC,WEU,rur,Zone_3A Warm Humid,mfh,2020,7249.056873105608
C-WEU-GRC,WEU,rur,Zone_3A Warm Humid,sfh,2020,180144.18612197612
C-WEU-GRC,WEU,rur,Zone_4A Mixed Humid,mfh,2020,3834.8158879898933
C-WEU-GRC,WEU,rur,Zone_4A Mixed Humid,sfh,2020,95297.8848369284
C-WEU-GRC,WEU,urb,Zone_3A Warm Humid,mfh,2020,518716.53294740786
C-WEU-GRC,WEU,urb,Zone_3A Warm Humid,sfh,2020,467685.9138007525
C-WEU-GRC,WEU,urb,Zone_4A Mixed Humid,mfh,2020,69861.93182001577
C-WEU-GRC,WEU,urb,Zone_4A Mixed Humid,sfh,2020,62989.011045157255
C-WEU-IRL,WEU,rur,Zone_5A Cool Humid,mfh,2020,7962.863757410699
C-WEU-IRL,WEU,rur,Zone_5A Cool Humid,sfh,2020,197882.79163609102
C-WEU-IRL,WEU,urb,Zone_5A Cool Humid,mfh,2020,203417.43193409595
C-WEU-IRL,WEU,urb,Zone_5A Cool Humid,sfh,2020,183405.50473016396
C-WEU-ISL,WEU,rur,Zone_7A Very cold Humid,mfh,2020,118.28411577938239
C-WEU-ISL,WEU,rur,Zone_7A Very cold Humid,sfh,2020,2939.4438671448406
C-WEU-ISL,WEU,urb,Zone_7A Very cold Humid,mfh,2020,25654.81474179741
C-WEU-ISL,WEU,urb,Zone_7A Very cold Humid,sfh,2020,23130.9293492734
C-WEU-ITA,WEU,rur,Zone_3A Warm Humid,mfh,2020,40028.98066045057
C-WEU-ITA,WEU,rur,Zone_3A Warm Humid,sfh,2020,994748.4574334553
C-WEU-ITA,WEU,rur,Zone_4A Mixed Humid,mfh,2020,40030.2573849288
C-WEU-ITA,WEU,rur,Zone_4A Mixed Humid,sfh,2020,994780.184938986
C-WEU-ITA,WEU,rur,Zone_4C Mixed Marine,mfh,2020,5205.907320315628
C-WEU-ITA,WEU,rur,Zone_4C Mixed Marine,sfh,2020,129370.47586480339
C-WEU-ITA,WEU,rur,Zone_5A Cool Humid,mfh,2020,6883.860642233791
C-WEU-ITA,WEU,rur,Zone_5A Cool Humid,sfh,2020,171068.8017048261
C-WEU-ITA,WEU,urb,Zone_3A Warm Humid,mfh,2020,1513460.5155420594
C-WEU-ITA,WEU,urb,Zone_3A Warm Humid,sfh,2020,1364568.3514090185
C-WEU-ITA,WEU,urb,Zone_4A Mixed Humid,mfh,2020,1348585.9870301033
C-WEU-ITA,WEU,urb,Zone_4A Mixed Humid,sfh,2020,1215913.9522684375
C-WEU-ITA,WEU,urb,Zone_4C Mixed Marine,mfh,2020,147949.3222243946
C-WEU-ITA,WEU,urb,Zone_4C Mixed Marine,sfh,2020,133394.27137120662
C-WEU-ITA,WEU,urb,Zone_5A Cool Humid,mfh,2020,93251.91816807937
C-WEU-ITA,WEU,urb,Zone_5A Cool Humid,sfh,2020,84077.922703368
C-WEU-LUX,WEU,rur,Zone_5A Cool Humid,mfh,2020,301.7127939480298
C-WEU-LUX,WEU,rur,Zone_5A Cool Humid,sfh,2020,7497.776146577555
C-WEU-LUX,WEU,urb,Zone_5A Cool Humid,mfh,2020,41435.24557834504
C-WEU-LUX,WEU,urb,Zone_5A Cool Humid,sfh,2020,37358.90310215287
C-WEU-MLT,WEU,rur,Zone_3A Warm Humid,mfh,2020,125.56102624113208
C-WEU-MLT,WEU,rur,Zone_3A Warm Humid,sfh,2020,3120.2802346284334
C-WEU-MLT,WEU,urb,Zone_3A Warm Humid,mfh,2020,30657.186754660223
C-WEU-MLT,WEU,urb,Zone_3A Warm Humid,sfh,2020,27641.17488302094
C-WEU-NLD,WEU,rur,Zone_4A Mixed Humid,mfh,2020,3843.2866203053145
C-WEU-NLD,WEU,rur,Zone_4A Mixed Humid,sfh,2020,95508.3885211359
C-WEU-NLD,WEU,rur,Zone_5A Cool Humid,mfh,2020,4886.972472428306
C-WEU-NLD,WEU,rur,Zone_5A Cool Humid,sfh,2020,121444.71950720655
C-WEU-NLD,WEU,urb,Zone_4A Mixed Humid,mfh,2020,1099594.0382358262
C-WEU-NLD,WEU,urb,Zone_4A Mixed Humid,sfh,2020,991417.48897046
C-WEU-NLD,WEU,urb,Zone_5A Cool Humid,mfh,2020,149631.5870554892
C-WEU-NLD,WEU,urb,Zone_5A Cool Humid,sfh,2020,134911.03730175225
C-WEU-NOR,WEU,rur,Zone_6A Cold Humid,mfh,2020,5431.686947670272
C-WEU-NOR,WEU,rur,Zone_6A Cold Humid,sfh,2020,134981.2591604379
C-WEU-NOR,WEU,urb,Zone_6A Cold Humid,mfh,2020,350009.3450530989
C-WEU-NOR,WEU,urb,Zone_6A Cold Humid,sfh,2020,315575.90703699103
C-WEU-PRT,WEU,rur,Zone_3A Warm Humid,mfh,2020,9541.111422296584
C-WEU-PRT,WEU,rur,Zone_3A Warm Humid,sfh,2020,237103.3614380181
C-WEU-PRT,WEU,rur,Zone_3C Warm Marine,mfh,2020,7684.123383602222
C-WEU-PRT,WEU,rur,Zone_3C Warm Marine,sfh,2020,190955.89636432705
C-WEU-PRT,WEU,urb,Zone_3A Warm Humid,mfh,2020,229969.19086778548
C-WEU-PRT,WEU,urb,Zone_3A Warm Humid,sfh,2020,207345.13813525325
C-WEU-PRT,WEU,urb,Zone_3C Warm Marine,mfh,2020,225754.40114925877
C-WEU-PRT,WEU,urb,Zone_3C Warm Marine,sfh,2020,203544.99363284733
C-WEU-SWE,WEU,rur,Zone_5A Cool Humid,mfh,2020,919.8947268100607
C-WEU-SWE,WEU,rur,Zone_5A Cool Humid,sfh,2020,22860.03404027669
C-WEU-SWE,WEU,rur,Zone_6A Cold Humid,mfh,2020,5833.181468331136
C-WEU-SWE,WEU,rur,Zone_6A Cold Humid,sfh,2020,144958.68173043057
C-WEU-SWE,WEU,urb,Zone_5A Cool Humid,mfh,2020,284972.3144747599
C-WEU-SWE,WEU,urb,Zone_5A Cool Humid,sfh,2020,256937.13008479797
C-WEU-SWE,WEU,urb,Zone_6A Cold Humid,mfh,2020,395576.3881049368
C-WEU-SWE,WEU,urb,Zone_6A Cold Humid,sfh,2020,356660.12705944735
R32ANUZ,PAO,rur,Zone_2A Hot Humid,mfh,2020,2542.561221698596
R32ANUZ,PAO,rur,Zone_2A Hot Humid,sfh,2020,72850.44770914357
R32ANUZ,PAO,rur,Zone_3A Warm Humid,mfh,2020,14713.439654638074
R32ANUZ,PAO,rur,Zone_3A Warm Humid,sfh,2020,421575.1648511985
R32ANUZ,PAO,urb,Zone_2A Hot Humid,mfh,2020,249459.00620524184
R32ANUZ,PAO,urb,Zone_2A Hot Humid,sfh,2020,289858.31890974817
R32ANUZ,PAO,urb,Zone_3A Warm Humid,mfh,2020,1348588.5608972441
R32ANUZ,PAO,urb,Zone_3A Warm Humid,sfh,2020,1566989.3787718369
R32BRA,LAC,rur,Zone_0A Extremely hot Humid,mfh,2020,6185.324503029246
R32BRA,LAC,rur,Zone_0A Extremely hot Humid,sfh,2020,760686.1408239552
R32BRA,LAC,rur,Zone_1A Very hot Humid,mfh,2020,7653.103686147944
R32BRA,LAC,rur,Zone_1A Very hot Humid,sfh,2020,941197.1684735939
R32BRA,LAC,rur,Zone_1B Very hot Dry,mfh,2020,1159.394187613967
R32BRA,LAC,rur,Zone_1B Very hot Dry,sfh,2020,142585.09635797894
R32BRA,LAC,rur,Zone_2A Hot Humid,mfh,2020,5435.052853305957
R32BRA,LAC,rur,Zone_2A Hot Humid,sfh,2020,668415.9219343689
R32BRA,LAC,rur,Zone_3A Warm Humid,mfh,2020,1585.9757586987246
R32BRA,LAC,rur,Zone_3A Warm Humid,sfh,2020,195047.12788052292
R32BRA,LAC,urb,Zone_0A Extremely hot Humid,inf,2020,462606.2494584529
R32BRA,LAC,urb,Zone_0A Extremely hot Humid,mfh,2020,202742.8195335081
R32BRA,LAC,urb,Zone_0A Extremely hot Humid,sfh,2020,1473475.7060011155
R32BRA,LAC,urb,Zone_1A Very hot Humid,inf,2020,817256.5177126683
R32BRA,LAC,urb,Zone_1A Very hot Humid,mfh,2020,358172.6162955431
R32BRA,LAC,urb,Zone_1A Very hot Humid,sfh,2020,2603094.155840708
R32BRA,LAC,urb,Zone_1B Very hot Dry,inf,2020,32321.254449982815
R32BRA,LAC,urb,Zone_1B Very hot Dry,mfh,2020,14165.18316758707
R32BRA,LAC,urb,Zone_1B Very hot Dry,sfh,2020,102948.42163347677
R32BRA,LAC,urb,Zone_2A Hot Humid,inf,2020,2441254.1111038886
R32BRA,LAC,urb,Zone_2A Hot Humid,mfh,2020,1069909.3284242847
R32BRA,LAC,urb,Zone_2A Hot Humid,sfh,2020,7775789.084340915
R32BRA,LAC,urb,Zone_3A Warm Humid,inf,2020,286076.3907136326
R32BRA,LAC,urb,Zone_3A Warm Humid,mfh,2020,125376.46026863801
R32BRA,LAC,urb,Zone_3A Warm Humid,sfh,2020,911199.5617665744
R32CAN,NAM,rur,Zone_5A Cool Humid,mfh,2020,2342.285333711514
R32CAN,NAM,rur,Zone_5A Cool Humid,sfh,2020,67112.06549018639
R32CAN,NAM,rur,Zone_6A Cold Humid,mfh,2020,12554.296005721168
R32CAN,NAM,rur,Zone_6A Cold Humid,sfh,2020,359710.5457617641
R32CAN,NAM,rur,Zone_7A Very cold Humid,mfh,2020,15189.42182660514
R32CAN,NAM,rur,Zone_7A Very cold Humid,sfh,2020,435213.1901752084
R32CAN,NAM,urb,Zone_5A Cool Humid,mfh,2020,450536.7552815033
R32CAN,NAM,urb,Zone_5A Cool Humid,sfh,2020,1020750.2895864985
R32CAN,NAM,urb,Zone_6A Cold Humid,mfh,2020,489047.9172486176
R32CAN,NAM,urb,Zone_6A Cold Humid,sfh,2020,1108002.3933703129
R32CAN,NAM,urb,Zone_7A Very cold Humid,mfh,2020,360333.3020691951
R32CAN,NAM,urb,Zone_7A Very cold Humid,sfh,2020,816382.4995920165
R32CAS-CAU,FSU,rur,Zone_4A Mixed Humid,mfh,2020,42853.63796562803
R32CAS-CAU,FSU,rur,Zone_4A Mixed Humid,sfh,2020,160094.346669734
R32CAS-CAU,FSU,rur,Zone_4B Mixed Dry,mfh,2020,26416.805501435207
R32CAS-CAU,FSU,rur,Zone_4B Mixed Dry,sfh,2020,98688.96594603796
R32CAS-CAU,FSU,rur,Zone_5A Cool Humid,mfh,2020,30173.25958124925
R32CAS-CAU,FSU,rur,Zone_5A Cool Humid,sfh,2020,112722.47839100342
R32CAS-CAU,FSU,rur,Zone_6A Cold Humid,mfh,2020,16482.344450810746
R32CAS-CAU,FSU,rur,Zone_6A Cold Humid,sfh,2020,61575.40623632769
R32CAS-CAU,FSU,urb,Zone_4A Mixed Humid,mfh,2020,144279.32219298146
R32CAS-CAU,FSU,urb,Zone_4A Mixed Humid,sfh,2020,59625.231481322946
R32CAS-CAU,FSU,urb,Zone_4B Mixed Dry,mfh,2020,176825.12271082657
R32CAS-CAU,FSU,urb,Zone_4B Mixed Dry,sfh,2020,73075.18993778064
R32CAS-CAU,FSU,urb,Zone_5A Cool Humid,mfh,2020,141694.27294495195
R32CAS-CAU,FSU,urb,Zone_5A Cool Humid,sfh,2020,58556.92760061706
R32CAS-CAU,FSU,urb,Zone_6A Cold Humid,mfh,2020,122216.71925568447
R32CAS-CAU,FSU,urb,Zone_6A Cold Humid,sfh,2020,50507.5853264754
R32CAS-OTH,FSU,rur,Zone_3B Warm Dry,mfh,2020,17746.290463575056
R32CAS-OTH,FSU,rur,Zone_3B Warm Dry,sfh,2020,66297.30665704852
R32CAS-OTH,FSU,rur,Zone_4A Mixed Humid,mfh,2020,96586.27982350238
R32CAS-OTH,FSU,rur,Zone_4A Mixed Humid,sfh,2020,360830.9142389777
R32CAS-OTH,FSU,rur,Zone_4B Mixed Dry,mfh,2020,182972.77731822827
R32CAS-OTH,FSU,rur,Zone_4B Mixed Dry,sfh,2020,683557.0708513401
R32CAS-OTH,FSU,rur,Zone_5A Cool Humid,mfh,2020,119734.80474573537
R32CAS-OTH,FSU,rur,Zone_5A Cool Humid,sfh,2020,447310.1059651364
R32CAS-OTH,FSU,rur,Zone_6A Cold Humid,mfh,2020,15785.911749969913
R32CAS-OTH,FSU,rur,Zone_6A Cold Humid,sfh,2020,58973.644903253036
R32CAS-OTH,FSU,rur,Zone_7A Very cold Humid,mfh,2020,96756.6873725233
R32CAS-OTH,FSU,rur,Zone_7A Very cold Humid,sfh,2020,361467.5296238832
R32CAS-OTH,FSU,urb,Zone_3B Warm Dry,mfh,2020,129139.92071672675
R32CAS-OTH,FSU,urb,Zone_3B Warm Dry,sfh,2020,53368.68477878872
R32CAS-OTH,FSU,urb,Zone_4A Mixed Humid,mfh,2020,491084.6725460161
R32CAS-OTH,FSU,urb,Zone_4A Mixed Humid,sfh,2020,202946.87299903523
R32CAS-OTH,FSU,urb,Zone_4B Mixed Dry,mfh,2020,364777.01007732475
R32CAS-OTH,FSU,urb,Zone_4B Mixed Dry,sfh,2020,150748.65430705078
R32CAS-OTH,FSU,urb,Zone_5A Cool Humid,mfh,2020,249236.08954404166
R32CAS-OTH,FSU,urb,Zone_5A Cool Humid,sfh,2020,102999.92616188026
R32CAS-OTH,FSU,urb,Zone_6A Cold Humid,mfh,2020,54966.95328539793
R32CAS-OTH,FSU,urb,Zone_6A Cold Humid,sfh,2020,22715.779805793605
R32CAS-OTH,FSU,urb,Zone_7A Very cold Humid,mfh,2020,734036.3913064387
R32CAS-OTH,FSU,urb,Zone_7A Very cold Humid,sfh,2020,303349.70446298947
R32CHN,CPA,rur,Zone_1A Very hot Humid,mfh,2020,375437.1787383396
