country,sector,scenario,material,year,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
HUN,Residential,N_r,wood,2050,10.254786087325199,0.04336313748393095,0.08932910155487052
HUN,Residential,N_r,wood,2055,10.229367543566054,0.05950076497506465,0.08837379956777469
HUN,Residential,N_r,wood,2060,10.175617752428632,0.05626941567872478,0.08692453423085998
HUN,Residential,N_r,wood,2070,9.930410894141724,0.04825816102551798,0.08690575894561273
HUN,Residential,N_r,wood,2080,9.602281827889438,0.03891646884922245,0.07921463738430157
HUN,Residential,N_r,wood,2090,9.262969484835901,0.032986822113028134,0.07003494449751893
HUN,Residential,N_r,wood,2100,8.877409258525287,0.022890814833443053,0.060783552956275605
LTU,Residential,N_r,aluminum,2025,0.04541729861984317,2.167981711599657e-4,4.176627100465968e-4
LTU,Residential,N_r,aluminum,2030,0.04331532297536202,1.454140807764833e-4,4.191386491257097e-4
LTU,Residential,N_r,aluminum,2035,0.041249958705119,1.3658713493016407e-4,4.096877399222466e-4
LTU,Residential,N_r,aluminum,2040,0.03923917536833624,1.285990288787304e-4,3.9483289261826724e-4
LTU,Residential,N_r,aluminum,2045,0.03734169944851671,1.256416833794056e-4,3.758188084710172e-4
LTU,Residential,N_r,aluminum,2050,0.03551644558970892,1.1974146334215448e-4,3.5388453622931144e-4
LTU,Residential,N_r,aluminum,2055,0.034646201465238176,1.1223907964423105e-4,3.371037228198948e-4
LTU,Residential,N_r,aluminum,2060,0.033728457571935246,9.78794165778867e-5,3.192483686980959e-4
LTU,Residential,N_r,aluminum,2070,0.03213280085204592,1.0842356351109422e-4,3.012288314169291e-4
LTU,Residential,N_r,aluminum,2080,0.030920201774923644,1.100473551050919e-4,2.5233745408248894e-4
LTU,Residential,N_r,aluminum,2090,0.029953107825837103,9.9603782853273e-5,2.055096114216742e-4
LTU,Residential,N_r,aluminum,2100,0.029198394921167856,9.032647228918034e-5,1.6607536234447578e-4
LTU,Residential,N_r,brick,2025,47.367356980409724,0.1707372193484649,0.3933404245099174
LTU,Residential,N_r,brick,2030,44.082123998105196,0.07585673905420326,0.39665164456488383
LTU,Residential,N_r,brick,2035,40.43934298789594,0.0700811864371374,0.38202945268217897
LTU,Residential,N_r,brick,2040,36.87487815696733,0.06466680901266267,0.36039417676386015
LTU,Residential,N_r,brick,2045,33.76142554039931,0.06210263280165027,0.33620959302264025
LTU,Residential,N_r,brick,2050,31.290599572869386,0.05875579202516175,0.31354817054587075
LTU,Residential,N_r,brick,2055,30.326334281284783,0.09229204547148696,0.2978348682754993
LTU,Residential,N_r,brick,2060,29.33817105980311,0.08091994023573829,0.2815371877655543
LTU,Residential,N_r,brick,2070,27.619884281829865,0.08793892547911365,0.26420564425759807
LTU,Residential,N_r,brick,2080,26.287383658990667,0.08759453647325414,0.2192048213468362
LTU,Residential,N_r,brick,2090,25.210025471563707,0.07844688952568736,0.17693525562956164
LTU,Residential,N_r,brick,2100,24.350265740900394,0.07084535054670027,0.14183540367591757
LTU,Residential,N_r,concrete,2025,70.09406630633963,0.37933697043514303,0.6787402332261336
LTU,Residential,N_r,concrete,2030,66.81273724276005,0.2826247910458339,0.6706937488280792
LTU,Residential,N_r,concrete,2035,62.78279456974935,0.25957538264214536,0.6394280904716656
LTU,Residential,N_r,concrete,2040,58.63927054902495,0.23777171258376367,0.5986820410996634
LTU,Residential,N_r,concrete,2045,54.990356252513706,0.22688255910535327,0.5563476896948305
LTU,Residential,N_r,concrete,2050,52.21441010608478,0.2140613508030279,0.5188226181887025
