Model,Scenario,Region,Variable,Unit,2020,2025
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Energy Service|Residential|Single-family|Floor Space,bn m2,0.03092,0.03174
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.42911,0.46276
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Energy Service|Residential|Single-family|Floor Space,bn m2,0.62255,0.64108
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.20043,0.21595
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Energy Service|Residential|Single-family|Floor Space,bn m2,0.30881,0.3177
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVK,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.06027,0.06575
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVK,Energy Service|Residential|Single-family|Floor Space,bn m2,0.09807,0.10199
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVN,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.01851,0.02071
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVN,Energy Service|Residential|Single-family|Floor Space,bn m2,0.03276,0.03473
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.09184,0.09635
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Energy Service|Residential|Single-family|Floor Space,bn m2,0.26265,0.26602
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.13879,0.14657
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Energy Service|Residential|Single-family|Floor Space,bn m2,0.23939,0.25136
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-CYP,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.01189,0.01319
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-CYP,Energy Service|Residential|Single-family|Floor Space,bn m2,0.02948,0.03176
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Energy Service|Residential|Multi-family|Floor Space,bn m2,1.04448,1.06816
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Energy Service|Residential|Single-family|Floor Space,bn m2,2.59434,2.55951
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DNK,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.10975,0.11147
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DNK,Energy Service|Residential|Single-family|Floor Space,bn m2,0.21697,0.21712
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ESP,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.48617,0.51809
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ESP,Energy Service|Residential|Single-family|Floor Space,bn m2,1.1348,1.17074
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.09568,0.09786
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Energy Service|Residential|Single-family|Floor Space,bn m2,0.19521,0.19577
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.82609,0.87432
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Energy Service|Residential|Single-family|Floor Space,bn m2,1.70347,1.76578
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.83197,0.88301
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Energy Service|Residential|Single-family|Floor Space,bn m2,1.77345,1.83075
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GRC,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.09343,0.09941
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GRC,Energy Service|Residential|Single-family|Floor Space,bn m2,0.29128,0.29438
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-IRL,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.05538,0.0603
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-IRL,Energy Service|Residential|Single-family|Floor Space,bn m2,0.16605,0.17241
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ITA,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.56664,0.59398
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ITA,Energy Service|Residential|Single-family|Floor Space,bn m2,1.6737,1.69243
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-LUX,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.01009,0.01086
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-LUX,Energy Service|Residential|Single-family|Floor Space,bn m2,0.0201,0.02111
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.27835,0.28572
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Energy Service|Residential|Single-family|Floor Space,bn m2,0.57116,0.57273
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-PRT,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.10256,0.10872
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-PRT,Energy Service|Residential|Single-family|Floor Space,bn m2,0.31539,0.31789
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-SWE,Energy Service|Residential|Multi-family|Floor Space,bn m2,0.15563,0.16375
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-SWE,Energy Service|Residential|Single-family|Floor Space,bn m2,0.32189,0.33155
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-CZE,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVK,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVN,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-CYP,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DEU,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-DNK,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ESP,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FIN,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-FRA,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GBR,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-GRC,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-IRL,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-ITA,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-LUX,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-NLD,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-PRT,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-SWE,Energy Service|Residential|Renovation rate,%/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Final Energy|Residential|Cooling,EJ/yr,2.2e-4,2.7e-4
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Final Energy|Residential|Electricity,EJ/yr,0.006999999999999999,0.00723
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Final Energy|Residential|Gases,EJ/yr,0.00238,0.0025
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Final Energy|Residential|Heat,EJ/yr,0.01927,0.02007
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Final Energy|Residential|Heating|Space,EJ/yr,0.0587,0.05966
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Final Energy|Residential|Heating|Water,EJ/yr,0.01964,0.02149
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Final Energy|Residential|Liquids,EJ/yr,4.5e-4,4.8e-4
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Final Energy|Residential|Solids|Biomass,EJ/yr,0.04251,0.04411
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-BGR,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00694,0.00704
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-CZE,Final Energy|Residential|Cooling,EJ/yr,5e-5,6e-5
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-CZE,Final Energy|Residential|Electricity,EJ/yr,0.00855,0.00916
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-CZE,Final Energy|Residential|Gases,EJ/yr,0.05146,0.05413
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-CZE,Final Energy|Residential|Heat,EJ/yr,0.03288,0.03388
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-CZE,Final Energy|Residential|Heating|Space,EJ/yr,0.13732,0.13941
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-CZE,Final Energy|Residential|Heating|Water,EJ/yr,0.03098,0.03526
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-CZE,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-CZE,Final Energy|Residential|Solids|Biomass,EJ/yr,0.05265,0.05449
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-CZE,Final Energy|Residential|Solids|Fossil,EJ/yr,0.0228,0.02307
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Final Energy|Residential|Cooling,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Final Energy|Residential|Electricity,EJ/yr,2.6e-4,2.6e-4
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Final Energy|Residential|Gases,EJ/yr,0.00143,0.00149
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Final Energy|Residential|Heat,EJ/yr,0.00923,0.00961
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Final Energy|Residential|Heating|Space,EJ/yr,0.01803,0.01859
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Final Energy|Residential|Heating|Water,EJ/yr,0.00353,0.00393
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Final Energy|Residential|Liquids,EJ/yr,1.3e-4,1.4e-4
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Final Energy|Residential|Solids|Biomass,EJ/yr,0.01034,0.01085
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-EST,Final Energy|Residential|Solids|Fossil,EJ/yr,1.7e-4,1.7e-4
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Final Energy|Residential|Cooling,EJ/yr,2.3e-4,2.6e-4
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Final Energy|Residential|Electricity,EJ/yr,0.00117,0.00123
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Final Energy|Residential|Gases,EJ/yr,0.0816,0.08478
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Final Energy|Residential|Heat,EJ/yr,0.01292,0.0128
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Final Energy|Residential|Heating|Space,EJ/yr,0.1159,0.11556
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Final Energy|Residential|Heating|Water,EJ/yr,0.02803,0.031
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Final Energy|Residential|Liquids,EJ/yr,5.6e-4,5.6e-4
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Final Energy|Residential|Solids|Biomass,EJ/yr,0.04556,0.04513
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-HUN,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00234,0.00233
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Final Energy|Residential|Cooling,EJ/yr,1e-5,1e-5
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Final Energy|Residential|Electricity,EJ/yr,4.5000000000000004e-4,4.8e-4
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Final Energy|Residential|Gases,EJ/yr,0.00498,0.00519
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Final Energy|Residential|Heat,EJ/yr,0.01932,0.02002
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Final Energy|Residential|Heating|Space,EJ/yr,0.03723,0.03799
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Final Energy|Residential|Heating|Water,EJ/yr,0.00858,0.00941
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Final Energy|Residential|Liquids,EJ/yr,3.6e-4,3.7e-4
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Final Energy|Residential|Solids|Biomass,EJ/yr,0.01886,0.01948
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LTU,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00184,0.00187
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Final Energy|Residential|Cooling,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Final Energy|Residential|Electricity,EJ/yr,1.4e-4,1.4e-4
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Final Energy|Residential|Gases,EJ/yr,0.00325,0.00337
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Final Energy|Residential|Heat,EJ/yr,0.01313,0.01376
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Final Energy|Residential|Heating|Space,EJ/yr,0.02407,0.0246
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Final Energy|Residential|Heating|Water,EJ/yr,0.00566,0.00618
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Final Energy|Residential|Liquids,EJ/yr,0.00109,0.00114
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Final Energy|Residential|Solids|Biomass,EJ/yr,0.0118,0.01202
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-LVA,Final Energy|Residential|Solids|Fossil,EJ/yr,3.3e-4,3.4e-4
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Final Energy|Residential|Cooling,EJ/yr,1.6e-4,1.9e-4
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Final Energy|Residential|Electricity,EJ/yr,0.00264,0.0027500000000000003
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Final Energy|Residential|Gases,EJ/yr,0.10887,0.11373
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Final Energy|Residential|Heat,EJ/yr,0.15415,0.16132
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Final Energy|Residential|Heating|Space,EJ/yr,0.41709,0.42434
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Final Energy|Residential|Heating|Water,EJ/yr,0.11656,0.1299
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Final Energy|Residential|Liquids,EJ/yr,0.00239,0.00241
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Final Energy|Residential|Solids|Biomass,EJ/yr,0.08317,0.08665
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-POL,Final Energy|Residential|Solids|Fossil,EJ/yr,0.18257,0.18758
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Final Energy|Residential|Cooling,EJ/yr,2.5e-4,3.3e-4
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Final Energy|Residential|Electricity,EJ/yr,0.00502,0.00549
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Final Energy|Residential|Gases,EJ/yr,0.1073,0.11362
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Final Energy|Residential|Heat,EJ/yr,0.03814,0.03844
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Final Energy|Residential|Heating|Space,EJ/yr,0.2077,0.2113
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Final Energy|Residential|Heating|Water,EJ/yr,0.05874,0.06469
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Final Energy|Residential|Liquids,EJ/yr,0.0022,0.00245
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Final Energy|Residential|Solids|Biomass,EJ/yr,0.10837,0.11002
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-ROU,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00567,0.0063
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVK,Final Energy|Residential|Cooling,EJ/yr,3e-5,4e-5
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVK,Final Energy|Residential|Electricity,EJ/yr,0.00494,0.00555
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVK,Final Energy|Residential|Gases,EJ/yr,0.05361,0.05564
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVK,Final Energy|Residential|Heat,EJ/yr,0.02434,0.02497
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVK,Final Energy|Residential|Heating|Space,EJ/yr,0.07037,0.07174
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVK,Final Energy|Residential|Heating|Water,EJ/yr,0.0147,0.01661
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVK,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVK,Final Energy|Residential|Solids|Biomass,EJ/yr,0.00113,0.00114
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVK,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00108,0.0011
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVN,Final Energy|Residential|Cooling,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVN,Final Energy|Residential|Electricity,EJ/yr,0.00189,0.00202
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVN,Final Energy|Residential|Gases,EJ/yr,0.00408,0.0045
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVN,Final Energy|Residential|Heat,EJ/yr,0.00328,0.00357
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVN,Final Energy|Residential|Heating|Space,EJ/yr,0.02267,0.02357
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVN,Final Energy|Residential|Heating|Water,EJ/yr,0.00595,0.00672
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVN,Final Energy|Residential|Liquids,EJ/yr,0.00433,0.00444
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVN,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-EEU-SVN,Final Energy|Residential|Solids|Biomass,EJ/yr,0.01503,0.01576
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Final Energy|Residential|Cooling,EJ/yr,1.3e-4,1.4e-4
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Final Energy|Residential|Electricity,EJ/yr,0.02176,0.021150000000000002
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Final Energy|Residential|Gases,EJ/yr,0.05792,0.05699
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Final Energy|Residential|Heat,EJ/yr,0.04341,0.04204
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Final Energy|Residential|Heating|Space,EJ/yr,0.21604,0.21114
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Final Energy|Residential|Heating|Water,EJ/yr,0.04267,0.04366
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Final Energy|Residential|Liquids,EJ/yr,0.05237,0.0522
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Final Energy|Residential|Other,EJ/yr,0,0
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Final Energy|Residential|Solids|Biomass,EJ/yr,0.08213,0.08134
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-AUT,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00125,0.00121
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Final Energy|Residential|Cooling,EJ/yr,6e-5,6e-5
MESSAGEix-Buildings,EU_implementation,R12_C-WEU-BEL,Final Energy|Residential|Electricity,EJ/yr,0.010549999999999999,0.011
