Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,SSP1,R12_AFR,Final Energy|Residential|Solids|Biomass,EJ/yr,0.95833,0.94648,0.90106,0.85301,0.80201,0.74997
MESSAGEix-Buildings,SSP1,R12_AFR,Final Energy|Residential|Solids|Fossil,EJ/yr,0.22875,0.22711,0.22488,0.22044,0.21495,0.20838
MESSAGEix-Buildings,SSP1,R12_CHN,Final Energy|Residential|Cooling,EJ/yr,0.37268,0.37839,0.37448,0.37159,0.36876,0.35308
MESSAGEix-Buildings,SSP1,R12_CHN,Final Energy|Residential|Electricity,EJ/yr,3.0073399999999997,2.84526,2.6325000000000003,2.4352799999999997,2.2720000000000002,2.13315
MESSAGEix-Buildings,SSP1,R12_CHN,Final Energy|Residential|Gases,EJ/yr,0.84769,1.41801,1.85335,2.15415,2.33217,2.40559
MESSAGEix-Buildings,SSP1,R12_CHN,Final Energy|Residential|Heat,EJ/yr,1.28332,1.54152,1.72858,1.85429,1.92307,1.93858
MESSAGEix-Buildings,SSP1,R12_CHN,Final Energy|Residential|Heating|Space,EJ/yr,4.12101,3.4956,2.95563,2.53932,2.23254,1.98938
MESSAGEix-Buildings,SSP1,R12_CHN,Final Energy|Residential|Heating|Water,EJ/yr,6.23708,6.40031,6.36489,6.23386,6.05172,5.79469
MESSAGEix-Buildings,SSP1,R12_CHN,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0
MESSAGEix-Buildings,SSP1,R12_CHN,Final Energy|Residential|Solids|Biomass,EJ/yr,2.19161,1.66215,1.22033,0.87899,0.65553,0.4602
MESSAGEix-Buildings,SSP1,R12_CHN,Final Energy|Residential|Solids|Fossil,EJ/yr,3.40081,2.80736,2.26023,1.82206,1.47025,1.19962
MESSAGEix-Buildings,SSP1,R12_EEU,Final Energy|Residential|Cooling,EJ/yr,0.0018,0.00208,0.0023,0.00246,0.00261,0.00266
