Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Energy Service|Residential|Renovation rate,%/yr,0.13699999999999998,0.132,0.14300000000000002,0.11299999999999999,0.147,0.13,0.121
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Energy Service|Residential|Renovation rate,%/yr,1.248,1.064,1.367,1.114,0.8099999999999999,0.588,0.40800000000000003
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Energy Service|Residential|Renovation rate,%/yr,0.6709999999999999,0.596,0.784,0.635,0.534,0.411,0.359
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Energy Service|Residential|Renovation rate,%/yr,0.06999999999999999,0.046,0.034999999999999996,0.026,0.025,0.012,0.012
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Energy Service|Residential|Renovation rate,%/yr,0.006999999999999999,0.006999999999999999,0.006,0.006,0.006,0.004,0.006
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_SAS,Energy Service|Residential|Renovation rate,%/yr,0.023,0.019,0.015,0.013,0.013,0.012,0.01
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_WEU,Energy Service|Residential|Renovation rate,%/yr,0.918,0.8630000000000001,1,0.787,0.625,0.5329999999999999,0.35300000000000004
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Final Energy|Residential|Cooling,EJ/yr,0.00472,0.01069,0.02893,0.05437,0.0902,0.13911,0.20663
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Final Energy|Residential|Electricity,EJ/yr,0.17585,0.1951,0.22743000000000002,0.26774,0.32066,0.38507,0.47012
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Final Energy|Residential|Gases,EJ/yr,0.04488,0.09839,0.1528,0.21604,0.2842,0.36023,0.4431
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Final Energy|Residential|Heating|Space,EJ/yr,0.14239,0.16119,0.18091,0.20019,0.2189,0.2355,0.25142
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Final Energy|Residential|Heating|Water,EJ/yr,1.23516,1.28274,1.3389,1.39864,1.47327,1.56368,1.67237
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Final Energy|Residential|Liquids,EJ/yr,0.14636,0.15803,0.17503,0.1929,0.2144,0.23865,0.26506
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0,0
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Final Energy|Residential|Solids|Biomass,EJ/yr,0.82431,0.81365,0.80562,0.79025,0.7779,0.76944,0.76636
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_AFR,Final Energy|Residential|Solids|Fossil,EJ/yr,0.19088,0.18944,0.18785,0.18627,0.18521,0.1849,0.18578
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Final Energy|Residential|Cooling,EJ/yr,0.31255,0.36577,0.3812,0.3821,0.38518,0.40818,0.41926
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Final Energy|Residential|Electricity,EJ/yr,2.85802,3.02357,3.0054100000000004,2.95331,2.85638,2.7480700000000002,2.618
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Final Energy|Residential|Gases,EJ/yr,0.07125,0.31749,0.59223,0.80847,0.97396,1.1147,1.25311
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_CHN,Final Energy|Residential|Heat,EJ/yr,0.75515,0.95022,1.13167,1.27662,1.39085,1.47452,1.52809
