country,clim,urt,value
CAN,Zone_6A Cold Humid,urb,0.376214443417373
CAN,Zone_6A Cold Humid,rur,0.417280285901324
CAN,Zone_7A Very cold Humid,urb,0.277196953098565
CAN,Zone_7A Very cold Humid,rur,0.504866723082381
CHE,Zone_5A Cool Humid,urb,1
CHE,Zone_5A Cool Humid,rur,1
CHL,Zone_3C Warm Marine,urb,0.705929550976005
CHL,Zone_3C Warm Marine,rur,0.39474694386396
CHL,Zone_4C Mixed Marine,urb,0.294070449023995
CHL,Zone_4C Mixed Marine,rur,0.60525305613604
CHN,Zone_1A Very hot Humid,urb,0.00555128643340792
CHN,Zone_1A Very hot Humid,rur,0.0115907323160167
CHN,Zone_2A Hot Humid,urb,0.146872584553099
CHN,Zone_2A Hot Humid,rur,0.0971424200329535
CHN,Zone_3A Warm Humid,urb,0.370670586866915
CHN,Zone_3A Warm Humid,rur,0.397201570138069
CHN,Zone_3C Warm Marine,urb,0.00823822886262842
CHN,Zone_3C Warm Marine,rur,0.0338543639835942
CHN,Zone_4A Mixed Humid,urb,0.262805612182349
CHN,Zone_4A Mixed Humid,rur,0.145453289477112
CHN,Zone_4B Mixed Dry,urb,0.0855315419304909
CHN,Zone_4B Mixed Dry,rur,0.0398615546541902
CHN,Zone_4C Mixed Marine,urb,0.00188645120844752
CHN,Zone_4C Mixed Marine,rur,0.0195922446190578
CHN,Zone_5A Cool Humid,urb,0.0341324834140037
CHN,Zone_5A Cool Humid,rur,0.0490782746204647
CHN,Zone_5B Cool Dry,urb,0.0142382488264297
CHN,Zone_5B Cool Dry,rur,0.0288816333978784
CHN,Zone_5C Cool Marine,urb,0.00164698831991823
CHN,Zone_5C Cool Marine,rur,0.00596070854927978
CHN,Zone_6A Cold Humid,urb,0.0388147455139717
CHN,Zone_6A Cold Humid,rur,0.0594457386668459
CHN,Zone_6B Cold Dry,urb,0.0081904971711616
CHN,Zone_6B Cold Dry,rur,0.0262405618859437
CHN,Zone_7A Very cold Humid,urb,0.021289639816928
CHN,Zone_7A Very cold Humid,rur,0.0720113236986755
CHN,Zone_7B Very cold Dry,urb,1.10731771492712e-4
