region_bld,urt,clim,value
R32IDN,urb,Zone_1A Very hot Humid,0.3181417050000001
R32IDN,urb,Zone_2A Hot Humid,0
R32IND,rur,Zone_0A Extremely hot Humid,0.24596370924596372
R32IND,rur,Zone_0B Extremely hot Dry,0.10479911910479912
R32IND,rur,Zone_1A Very hot Humid,0.40072872140072874
R32IND,rur,Zone_1B Very hot Dry,0.1784591651784592
R32IND,rur,Zone_2A Hot Humid,0.04754069304754069
R32IND,rur,Zone_2B Hot Dry,0.00256557900256557
R32IND,rur,Zone_3A Warm Humid,0.00725783500725783
R32IND,rur,Zone_3C Warm Marine,0.00357588100357588
R32IND,rur,Zone_4C Mixed Marine,0.00743207900743207
R32IND,rur,Zone_5C Cool Marine,0.00167721800167721
R32IND,urb,Zone_0A Extremely hot Humid,0.39969134004631063
R32IND,urb,Zone_0B Extremely hot Dry,0.05130315606008147
R32IND,urb,Zone_1A Very hot Humid,0.3434911758940416
R32IND,urb,Zone_1B Very hot Dry,0.15904774307990105
R32IND,urb,Zone_2A Hot Humid,0.03514334095561391
R32IND,urb,Zone_2B Hot Dry,0.00473886921838236
R32IND,urb,Zone_3A Warm Humid,0.00291872367085851
R32IND,urb,Zone_3C Warm Marine,8.349993336705317e-4
R32IND,urb,Zone_4C Mixed Marine,4.629996305262948e-4
R32IND,urb,Zone_5C Cool Marine,0.00236765211061361
R32JPN,rur,Zone_3A Warm Humid,0.32397825267602176
R32JPN,rur,Zone_4A Mixed Humid,0.37412775762587225
R32JPN,rur,Zone_5A Cool Humid,0.23703174076296823
R32JPN,rur,Zone_6A Cold Humid,0.06486224893513774
R32JPN,urb,Zone_3A Warm Humid,0.668478081
R32JPN,urb,Zone_4A Mixed Humid,0.239647497
R32JPN,urb,Zone_5A Cool Humid,0.059567069
R32JPN,urb,Zone_6A Cold Humid,0.032307353
R32KOR,rur,Zone_4A Mixed Humid,0.508489285
R32KOR,rur,Zone_5A Cool Humid,0.491510715
R32KOR,urb,Zone_4A Mixed Humid,0.683891436
R32KOR,urb,Zone_5A Cool Humid,0.31610856400000004
R32LAM-L,rur,Zone_0A Extremely hot Humid,0.052584113
R32LAM-L,rur,Zone_1A Very hot Humid,0.388930192
R32LAM-L,rur,Zone_2A Hot Humid,0.3603210429999999
R32LAM-L,rur,Zone_3C Warm Marine,0.19816465199999997
R32LAM-L,urb,Zone_0A Extremely hot Humid,0.104416589
R32LAM-L,urb,Zone_1A Very hot Humid,0.40385427000000007
R32LAM-L,urb,Zone_2A Hot Humid,0.25853533199999995
R32LAM-L,urb,Zone_3C Warm Marine,0.23319380899999995
R32LAM-M,rur,Zone_0A Extremely hot Humid,0.1310293691310294
R32LAM-M,rur,Zone_1A Very hot Humid,0.4287569514287569
R32LAM-M,rur,Zone_2A Hot Humid,0.14305602314305602
R32LAM-M,rur,Zone_2B Hot Dry,0.03314056203314056
R32LAM-M,rur,Zone_3A Warm Humid,0.05753909905753909
R32LAM-M,rur,Zone_3B Warm Dry,0.01783044601783044
R32LAM-M,rur,Zone_3C Warm Marine,0.1468102831468103
R32LAM-M,rur,Zone_4C Mixed Marine,0.04183726604183726
R32LAM-M,urb,Zone_0A Extremely hot Humid,0.08538597900000001
R32LAM-M,urb,Zone_1A Very hot Humid,0.275395016
R32LAM-M,urb,Zone_2A Hot Humid,0.138552993
R32LAM-M,urb,Zone_2B Hot Dry,0.024291015
R32LAM-M,urb,Zone_3A Warm Humid,0.224656968
R32LAM-M,urb,Zone_3B Warm Dry,0.060486227
R32LAM-M,urb,Zone_3C Warm Marine,0.150843897
R32LAM-M,urb,Zone_4C Mixed Marine,0.040387905
R32MEA-H,rur,Zone_0B Extremely hot Dry,0.472828196
R32MEA-H,rur,Zone_1B Very hot Dry,0.2929357590000001
R32MEA-H,rur,Zone_2B Hot Dry,0.15374926800000005
R32MEA-H,rur,Zone_3A Warm Humid,0.080486777
R32MEA-H,urb,Zone_0B Extremely hot Dry,0.3840570870000001
R32MEA-H,urb,Zone_1B Very hot Dry,0.390065815
R32MEA-H,urb,Zone_2B Hot Dry,0.07606840300000002
R32MEA-H,urb,Zone_3A Warm Humid,0.149808695
R32MEA-M,rur,Zone_0A Extremely hot Humid,0.04644332404644332
R32MEA-M,rur,Zone_0B Extremely hot Dry,0.26334981226334986
R32MEA-M,rur,Zone_1B Very hot Dry,0.11506635111506636
R32MEA-M,rur,Zone_2A Hot Humid,0.0183172070183172
R32MEA-M,rur,Zone_2B Hot Dry,0.2145297612145298
R32MEA-M,rur,Zone_3A Warm Humid,0.04301358104301359
R32MEA-M,rur,Zone_3B Warm Dry,0.13772677713772677
R32MEA-M,rur,Zone_3C Warm Marine,0.05462378005462377
R32MEA-M,rur,Zone_4A Mixed Humid,0.02657944902657945
