region_bld,year,pop
C-WEU-FRA,2035,67.148971
C-WEU-FRA,2040,68.47138000000001
C-WEU-FRA,2045,69.749571
C-WEU-FRA,2050,70.983476
C-WEU-FRA,2055,72.224368
C-WEU-FRA,2060,73.647593
C-WEU-FRA,2065,75.3033320000001
C-WEU-FRA,2070,77.206743
C-WEU-FRA,2075,79.33641
C-WEU-FRA,2080,81.633244
C-WEU-FRA,2085,84.0537720000001
C-WEU-FRA,2090,86.63044600000012
C-WEU-FRA,2095,89.392391
C-WEU-FRA,2100,92.2797259999999
C-WEU-GBR,2020,66.95117200000001
C-WEU-GBR,2025,67.712392
C-WEU-GBR,2030,68.591025
C-WEU-GBR,2035,69.596073
C-WEU-GBR,2040,70.81578400000001
C-WEU-GBR,2045,72.2002029999999
C-WEU-GBR,2050,73.7783730000001
C-WEU-GBR,2055,75.2460129999999
C-WEU-GBR,2060,76.731901
C-WEU-GBR,2065,78.35279200000002
C-WEU-GBR,2070,80.234792
C-WEU-GBR,2075,82.3547020000001
C-WEU-GBR,2080,84.57853
C-WEU-GBR,2085,86.79921700000001
C-WEU-GBR,2090,89.03034600000011
C-WEU-GBR,2095,91.37259099999999
C-WEU-GBR,2100,93.8985989999999
C-WEU-GRC,2020,10.543345
C-WEU-GRC,2025,10.364919
C-WEU-GRC,2030,10.221530000000001
C-WEU-GRC,2035,10.114842000000001
C-WEU-GRC,2040,10.047775000000001
C-WEU-GRC,2045,9.994215
C-WEU-GRC,2050,9.94814499999999
C-WEU-GRC,2055,9.883101
C-WEU-GRC,2060,9.810808999999999
C-WEU-GRC,2065,9.740932
C-WEU-GRC,2070,9.689475
C-WEU-GRC,2075,9.664056
C-WEU-GRC,2080,9.668385
C-WEU-GRC,2085,9.699557
C-WEU-GRC,2090,9.74917
C-WEU-GRC,2095,9.805486000000013
C-WEU-GRC,2100,9.858967000000002
C-WEU-IRL,2020,4.925076
C-WEU-IRL,2025,5.108973
C-WEU-IRL,2030,5.246095
C-WEU-IRL,2035,5.401050000000001
C-WEU-IRL,2040,5.582062
C-WEU-IRL,2045,5.7744849999999985
C-WEU-IRL,2050,5.9718870000000095
C-WEU-IRL,2055,6.148184
C-WEU-IRL,2060,6.309246
C-WEU-IRL,2065,6.463749
C-WEU-IRL,2070,6.625965000000001
C-WEU-IRL,2075,6.802503
C-WEU-IRL,2080,6.995315
C-WEU-IRL,2085,7.202266
C-WEU-IRL,2090,7.416327000000001
C-WEU-IRL,2095,7.629151
C-WEU-IRL,2100,7.83680700000001
C-WEU-ISL,2020,0.36433
C-WEU-ISL,2025,0.377171
C-WEU-ISL,2030,0.38937700000000003
C-WEU-ISL,2035,0.40158699999999997
C-WEU-ISL,2040,0.413632
C-WEU-ISL,2045,0.42503799999999997
C-WEU-ISL,2050,0.436675
C-WEU-ISL,2055,0.448143999999999
C-WEU-ISL,2060,0.46031299999999997
C-WEU-ISL,2065,0.47314699999999993
C-WEU-ISL,2070,0.486450999999999
C-WEU-ISL,2075,0.49990699999999993
C-WEU-ISL,2080,0.513293
C-WEU-ISL,2085,0.526599999999999
C-WEU-ISL,2090,0.540079
C-WEU-ISL,2095,0.554348
C-WEU-ISL,2100,0.5701240000000001
C-WEU-ITA,2020,59.639898
C-WEU-ITA,2025,58.799926
C-WEU-ITA,2030,58.003037
C-WEU-ITA,2035,57.351146
C-WEU-ITA,2040,56.850804000000004
C-WEU-ITA,2045,56.392191
C-WEU-ITA,2050,55.95776999999999
C-WEU-ITA,2055,55.335793
C-WEU-ITA,2060,54.60845900000001
C-WEU-ITA,2065,53.891956
C-WEU-ITA,2070,53.374125
C-WEU-ITA,2075,53.162848000000004
C-WEU-ITA,2080,53.251508
C-WEU-ITA,2085,53.535332999999895
C-WEU-ITA,2090,53.893564000000005
C-WEU-ITA,2095,54.269980000000004
C-WEU-ITA,2100,54.658195
C-WEU-LUX,2020,0.626072
C-WEU-LUX,2025,0.649155
C-WEU-LUX,2030,0.6655460000000001
C-WEU-LUX,2035,0.681329
C-WEU-LUX,2040,0.697334
C-WEU-LUX,2045,0.713905
C-WEU-LUX,2050,0.732529
C-WEU-LUX,2055,0.750188
C-WEU-LUX,2060,0.767215999999999
C-WEU-LUX,2065,0.782653
C-WEU-LUX,2070,0.79713
C-WEU-LUX,2075,0.811232
C-WEU-LUX,2080,0.8254299999999991
C-WEU-LUX,2085,0.839659
C-WEU-LUX,2090,0.853642999999999
C-WEU-LUX,2095,0.867462
C-WEU-LUX,2100,0.881406999999999
C-WEU-MLT,2020,0.509586
C-WEU-MLT,2025,0.5160689999999999
C-WEU-MLT,2030,0.519276
C-WEU-MLT,2035,0.519088
C-WEU-MLT,2040,0.5166040000000002
C-WEU-MLT,2045,0.513904
C-WEU-MLT,2050,0.513536
C-WEU-MLT,2055,0.5137480000000001
C-WEU-MLT,2060,0.513942
C-WEU-MLT,2065,0.512662
C-WEU-MLT,2070,0.509322
C-WEU-MLT,2075,0.503921
C-WEU-MLT,2080,0.49723799999999996
C-WEU-MLT,2085,0.49012400000000006
C-WEU-MLT,2090,0.483517
C-WEU-MLT,2095,0.478421
C-WEU-MLT,2100,0.47558100000000003
C-WEU-NLD,2020,17.402279
C-WEU-NLD,2025,17.588444
C-WEU-NLD,2030,17.761159
C-WEU-NLD,2035,17.930549
C-WEU-NLD,2040,18.078504000000002
C-WEU-NLD,2045,18.188657
C-WEU-NLD,2050,18.310151000000005
C-WEU-NLD,2055,18.437448
C-WEU-NLD,2060,18.61114
C-WEU-NLD,2065,18.845213
C-WEU-NLD,2070,19.15186
C-WEU-NLD,2075,19.512927999999995
C-WEU-NLD,2080,19.895674
C-WEU-NLD,2085,20.279526
C-WEU-NLD,2090,20.670244
C-WEU-NLD,2095,21.081084999999998
C-WEU-NLD,2100,21.51481
C-WEU-NOR,2020,5.367948
C-WEU-NOR,2025,5.487071
C-WEU-NOR,2030,5.595027
C-WEU-NOR,2035,5.7121710000000006
C-WEU-NOR,2040,5.840395000000011
C-WEU-NOR,2045,5.972245
C-WEU-NOR,2050,6.118916
C-WEU-NOR,2055,6.254148000000001
C-WEU-NOR,2060,6.391859999999999
C-WEU-NOR,2065,6.537575
C-WEU-NOR,2070,6.70021
C-WEU-NOR,2075,6.88007
C-WEU-NOR,2080,7.067653
C-WEU-NOR,2085,7.252712000000001
C-WEU-NOR,2090,7.436278000000001
C-WEU-NOR,2095,7.628534
C-WEU-NOR,2100,7.835627000000011
C-WEU-PRT,2020,10.298400999999998
C-WEU-PRT,2025,10.202664
C-WEU-PRT,2030,10.097147000000001
C-WEU-PRT,2035,10.024823000000001
