sector,scenario,scenario_name,year,embodied_MtCO2e,operational_MtCO2e,total_MtCO2e
Commercial,E_tp,Efficiency TP,2070,67.1732234857449,298.94021347764,366.11343696338486
Commercial,E_tp,Efficiency TP,2080,73.66363043052975,248.65329048612773,322.31692091665747
Commercial,E_tp,Efficiency TP,2090,76.08361257487996,215.97684063699484,292.0604532118748
Commercial,E_tp,Efficiency TP,2100,64.72587490087902,190.747853445235,255.473728346114
Commercial,N_r,Narrow R,2020,NA,899.0160490980055,NA
Commercial,N_r,Narrow R,2025,755.1852230967793,866.6481834528458,1621.8334065496251
Commercial,N_r,Narrow R,2030,544.1776236665777,822.0585351157815,1366.2361587823593
Commercial,N_r,Narrow R,2035,452.82319782975895,760.0497089503863,1212.8729067801453
Commercial,N_r,Narrow R,2040,386.74303040810423,669.8622299229294,1056.6052603310336
Commercial,N_r,Narrow R,2045,337.21484356423355,623.378038989193,960.5928825534265
Commercial,N_r,Narrow R,2050,309.63620997128714,613.1482341673802,922.7844441386674
Commercial,N_r,Narrow R,2055,280.72710776350425,568.87075146047,849.5978592239743
Commercial,N_r,Narrow R,2060,258.159273711158,526.8614057799764,785.0206794911344
Commercial,N_r,Narrow R,2070,244.04775596548103,425.43705628699183,669.4848122524729
Commercial,N_r,Narrow R,2080,240.8962996541042,368.7562987358648,609.652598389969
Commercial,N_r,Narrow R,2090,226.60499454653052,328.33616324258026,554.9411577891108
Commercial,N_r,Narrow R,2100,187.44813920753364,294.40037053276006,481.8485097402937
Commercial,N_tp,Narrow TP,2020,NA,899.0160490980055,NA
Commercial,N_tp,Narrow TP,2025,755.1852230967793,866.6481834528458,1621.8334065496251
Commercial,N_tp,Narrow TP,2030,435.0570671847236,818.3918942489655,1253.4489614336892
Commercial,N_tp,Narrow TP,2035,340.76513898430323,754.1359778753462,1094.9011168596494
Commercial,N_tp,Narrow TP,2040,263.2733183334539,663.5248301420344,926.7981484754882
Commercial,N_tp,Narrow TP,2045,206.4875739778637,616.1303406010563,822.61791457892
Commercial,N_tp,Narrow TP,2050,181.35477961484062,604.295680263117,785.6504598779576
Commercial,N_tp,Narrow TP,2055,166.17629250662932,560.0673888362379,726.2436813428673
Commercial,N_tp,Narrow TP,2060,153.73646990759056,518.2538527246019,671.9903226321924
Commercial,N_tp,Narrow TP,2070,145.72150188982272,418.0724622799422,563.7939641697649
Commercial,N_tp,Narrow TP,2080,143.00110565707746,361.86412745054423,504.8652331076217
Commercial,N_tp,Narrow TP,2090,133.43375007922376,321.6560578952188,455.0898079744426
Commercial,N_tp,Narrow TP,2100,109.60332164209325,287.9837786411448,397.58710028323804
Commercial,R,Reference,2020,NA,899.0160490980055,NA
Commercial,R,Reference,2025,755.1852230967793,866.6481834528458,1621.8334065496251
Commercial,R,Reference,2030,605.2430419555257,824.2585196358714,1429.5015615913971
Commercial,R,Reference,2035,506.0302256297656,763.5979475954105,1269.628173225176
Commercial,R,Reference,2040,435.90989423236704,673.6646697914678,1109.5745640238347
Commercial,R,Reference,2045,382.3620952078506,627.7266580220751,1010.0887532299257
Commercial,R,Reference,2050,350.34501724428986,618.4597665099395,968.8047837542294
Commercial,R,Reference,2055,315.6739711471679,574.1527690350102,889.8267401821781
Commercial,R,Reference,2060,289.2155017128968,532.0259376132009,821.2414393260976
Commercial,R,Reference,2070,272.8786668277451,429.85581269122287,702.734479518968
Commercial,R,Reference,2080,270.1465453301358,372.8916015070547,643.0381468371904
Commercial,R,Reference,2090,255.18892638692708,332.34422645099687,587.5331528379239
Commercial,R,Reference,2100,211.8580670310109,298.2503256677296,510.10839269874054
Commercial,S_r,Slow R,2020,NA,899.0160490980055,NA
Commercial,S_r,Slow R,2025,755.1852230967793,866.6481834528458,1621.8334065496251
Commercial,S_r,Slow R,2030,605.2430419555257,824.2585196358714,1429.5015615913971
Commercial,S_r,Slow R,2035,483.50894115366475,765.2562132444913,1248.765154398156
Commercial,S_r,Slow R,2040,393.44050033911077,677.9710091635794,1071.4115095026903
Commercial,S_r,Slow R,2045,321.70487472868086,635.0994425574039,956.8043172860848
Commercial,S_r,Slow R,2050,273.0892104474597,628.914688594645,902.0038990421046
Commercial,S_r,Slow R,2055,222.52134214523204,587.4266850783258,809.9480272235578
Commercial,S_r,Slow R,2060,198.0800980616665,546.9847128640166,745.0648109256831
Commercial,S_r,Slow R,2070,181.73778638123505,445.46428242939226,627.2020688106273
Commercial,S_r,Slow R,2080,187.8906812004802,386.77091961327295,574.6616008137531
Commercial,S_r,Slow R,2090,187.6255639545823,343.35732537911633,530.9828893336986
Commercial,S_r,Slow R,2100,161.0905473012511,306.22667485281215,467.31722215406324
Commercial,S_tp,Slow TP,2020,NA,899.0160490980055,NA
Commercial,S_tp,Slow TP,2025,755.1852230967793,866.6481834528458,1621.8334065496251
Commercial,S_tp,Slow TP,2030,605.2430419555257,824.2585196358714,1429.5015615913971
Commercial,S_tp,Slow TP,2035,462.8641955545753,766.8111145573624,1229.6753101119377
Commercial,S_tp,Slow TP,2040,357.6875104007969,681.8979788179798,1039.5854892187767
Commercial,S_tp,Slow TP,2045,274.85815934110116,641.7049637489772,916.5631230900783
Commercial,S_tp,Slow TP,2050,218.34047424785504,638.2343835945932,856.5748578424482
Commercial,S_tp,Slow TP,2055,162.55809463771115,599.2375722350117,761.7956668727229
Commercial,S_tp,Slow TP,2060,138.8613680991565,560.616171311859,699.4775394110155
Commercial,S_tp,Slow TP,2070,122.76132356979217,460.879056120501,583.6403796902931
Commercial,S_tp,Slow TP,2080,132.89750471000838,402.15545786460416,535.0529625746126
Commercial,S_tp,Slow TP,2090,138.320171113337,357.51151122261314,495.8316823359502
Commercial,S_tp,Slow TP,2100,118.95434501887387,318.49094933306816,437.44529435194204
