sector,scenario,scenario_name,year,operational_MtCO2e
Residential,R,Reference,2035,364.7174889779972
Residential,R,Reference,2040,326.7619628658525
Residential,R,Reference,2045,305.4128903908873
Residential,R,Reference,2050,307.504479444907
Residential,R,Reference,2055,284.3533325645985
Residential,R,Reference,2060,261.50232833793916
Residential,R,Reference,2070,210.66271347358318
Residential,R,Reference,2080,184.09267242663958
Residential,R,Reference,2090,167.1062072401797
Residential,R,Reference,2100,154.1358145042503
Residential,S_r,Slow R,2020,456.84136301865493
Residential,S_r,Slow R,2025,425.9519810515878
Residential,S_r,Slow R,2030,397.2937443730008
Residential,S_r,Slow R,2035,365.37597197883747
Residential,S_r,Slow R,2040,328.58421925188617
Residential,S_r,Slow R,2045,308.77598337240755
Residential,S_r,Slow R,2050,312.80798577154184
Residential,S_r,Slow R,2055,291.43289434767354
Residential,S_r,Slow R,2060,269.83325202450715
Residential,S_r,Slow R,2070,220.2063365269263
Residential,S_r,Slow R,2080,194.2438367211735
Residential,S_r,Slow R,2090,177.35067137028864
Residential,S_r,Slow R,2100,164.03010244832527
Residential,S_tp,Slow TP,2020,456.84136301865493
Residential,S_tp,Slow TP,2025,425.9519810515878
Residential,S_tp,Slow TP,2030,397.2937443730008
Residential,S_tp,Slow TP,2035,366.4552593808624
Residential,S_tp,Slow TP,2040,331.2786346643785
Residential,S_tp,Slow TP,2045,313.16974869880664
Residential,S_tp,Slow TP,2050,318.9144470318219
Residential,S_tp,Slow TP,2055,298.6156659801175
Residential,S_tp,Slow TP,2060,277.62898360746874
Residential,S_tp,Slow TP,2070,228.05507521553903
Residential,S_tp,Slow TP,2080,201.80444814085263
Residential,S_tp,Slow TP,2090,184.43719211810674
Residential,S_tp,Slow TP,2100,170.46616306793445
