region_bld,clim,urt,arch,bld_age,eneff,value
C-EEU-HUN,Zone_5A Cool Humid,rur,mfh,s1,adv,23.325
C-EEU-HUN,Zone_5A Cool Humid,rur,mfh,s2,std,22.9875
C-EEU-HUN,Zone_5A Cool Humid,rur,mfh,s2,adv,22.9875
C-EEU-HUN,Zone_5A Cool Humid,rur,mfh,s3,std,28.8375
C-EEU-HUN,Zone_5A Cool Humid,rur,mfh,s3,adv,28.8375
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,s1,avg,18.225
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,s2,avg,16.4
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,s3,avg,18.95
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,s5,std,20.8625
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,s5,adv,33.1125
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,s1,std,18.225
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,s1,adv,18.225
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,s2,std,16.4
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,s2,adv,16.4
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,s3,std,18.95
C-EEU-HUN,Zone_5A Cool Humid,rur,sfh,s3,adv,18.95
C-EEU-HUN,Zone_5A Cool Humid,urb,inf,ns,avg,18.225
C-EEU-HUN,Zone_5A Cool Humid,urb,mfh,s1,avg,23.325
C-EEU-HUN,Zone_5A Cool Humid,urb,mfh,s2,avg,22.9875
C-EEU-HUN,Zone_5A Cool Humid,urb,mfh,s3,avg,28.8375
C-EEU-HUN,Zone_5A Cool Humid,urb,mfh,s5,std,33
C-EEU-HUN,Zone_5A Cool Humid,urb,mfh,s5,adv,44.9
C-EEU-HUN,Zone_5A Cool Humid,urb,mfh,s1,std,23.325
C-EEU-HUN,Zone_5A Cool Humid,urb,mfh,s1,adv,23.325
C-EEU-HUN,Zone_5A Cool Humid,urb,mfh,s2,std,22.9875
C-EEU-HUN,Zone_5A Cool Humid,urb,mfh,s2,adv,22.9875
C-EEU-HUN,Zone_5A Cool Humid,urb,mfh,s3,std,28.8375
C-EEU-HUN,Zone_5A Cool Humid,urb,mfh,s3,adv,28.8375
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,s1,avg,18.225
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,s2,avg,16.4
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,s3,avg,18.95
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,s5,std,20.8625
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,s5,adv,33.1125
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,s1,std,18.225
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,s1,adv,18.225
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,s2,std,16.4
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,s2,adv,16.4
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,s3,std,18.95
C-EEU-HUN,Zone_5A Cool Humid,urb,sfh,s3,adv,18.95
C-EEU-LTU,Zone_6A Cold Humid,rur,inf,ns,avg,7.266666667
C-EEU-LTU,Zone_6A Cold Humid,rur,mfh,s1,avg,10.13333333
C-EEU-LTU,Zone_6A Cold Humid,rur,mfh,s2,avg,9.958333333
C-EEU-LTU,Zone_6A Cold Humid,rur,mfh,s3,avg,12.825
C-EEU-LTU,Zone_6A Cold Humid,rur,mfh,s5,std,15.51666667
C-EEU-LTU,Zone_6A Cold Humid,rur,mfh,s5,adv,23.68333333
C-EEU-LTU,Zone_6A Cold Humid,rur,mfh,s1,std,10.13333333
C-EEU-LTU,Zone_6A Cold Humid,rur,mfh,s1,adv,10.13333333
C-EEU-LTU,Zone_6A Cold Humid,rur,mfh,s2,std,9.958333333
C-EEU-LTU,Zone_6A Cold Humid,rur,mfh,s2,adv,9.958333333
C-EEU-LTU,Zone_6A Cold Humid,rur,mfh,s3,std,12.825
C-EEU-LTU,Zone_6A Cold Humid,rur,mfh,s3,adv,12.825
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s1,avg,7.266666667
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s2,avg,6.541666667
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s3,avg,7.641666667
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s5,std,8.908333333
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s5,adv,15.54166667
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s1,std,7.266666667
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s1,adv,7.266666667
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s2,std,6.541666667
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s2,adv,6.541666667
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s3,std,7.641666667
C-EEU-LTU,Zone_6A Cold Humid,rur,sfh,s3,adv,7.641666667
C-EEU-LTU,Zone_6A Cold Humid,urb,inf,ns,avg,7.266666667
C-EEU-LTU,Zone_6A Cold Humid,urb,mfh,s1,avg,10.13333333
C-EEU-LTU,Zone_6A Cold Humid,urb,mfh,s2,avg,9.958333333
C-EEU-LTU,Zone_6A Cold Humid,urb,mfh,s3,avg,12.825
C-EEU-LTU,Zone_6A Cold Humid,urb,mfh,s5,std,15.51666667
