scenario,material,year,eol_treat,share
Close TP,Concrete,2025,Reuse,0.0571428571428571
Close TP,Concrete,2030,Downcycling,0.6
Close TP,Concrete,2030,Other,0.272857142857143
Close TP,Concrete,2030,Recycling,0.0514285714285714
Close TP,Concrete,2030,Reuse,0.0757142857142857
Close TP,Concrete,2035,Downcycling,0.6
Close TP,Concrete,2035,Other,0.247142857142857
Close TP,Concrete,2035,Recycling,0.0585714285714286
Close TP,Concrete,2035,Reuse,0.0942857142857143
Close TP,Concrete,2040,Downcycling,0.6
Close TP,Concrete,2040,Other,0.221428571428571
Close TP,Concrete,2040,Recycling,0.0657142857142857
Close TP,Concrete,2040,Reuse,0.112857142857143
Close TP,Concrete,2045,Downcycling,0.6
Close TP,Concrete,2045,Other,0.195714285714286
Close TP,Concrete,2045,Recycling,0.0728571428571429
Close TP,Concrete,2045,Reuse,0.131428571428571
Close TP,Concrete,2050,Downcycling,0.6
Close TP,Concrete,2050,Other,0.17
Close TP,Concrete,2050,Recycling,0.08
Close TP,Concrete,2050,Reuse,0.15
Close TP,Concrete,2055,Downcycling,0.6
Close TP,Concrete,2055,Other,0.17
Close TP,Concrete,2055,Recycling,0.08
Close TP,Concrete,2055,Reuse,0.15
Close TP,Concrete,2060,Downcycling,0.6
Close TP,Concrete,2060,Other,0.17
Close TP,Concrete,2060,Recycling,0.08
Close TP,Concrete,2060,Reuse,0.15
Close TP,Concrete,2065,Downcycling,0.6
Close TP,Concrete,2065,Other,0.17
Close TP,Concrete,2065,Recycling,0.08
Close TP,Concrete,2065,Reuse,0.15
Close TP,Concrete,2070,Downcycling,0.6
Close TP,Concrete,2070,Other,0.17
Close TP,Concrete,2070,Recycling,0.08
Close TP,Concrete,2070,Reuse,0.15
Close TP,Concrete,2075,Downcycling,0.6
Close TP,Concrete,2075,Other,0.17
Close TP,Concrete,2075,Recycling,0.08
Close TP,Concrete,2075,Reuse,0.15
Close TP,Concrete,2080,Downcycling,0.6
Close TP,Concrete,2080,Other,0.17
Close TP,Concrete,2080,Recycling,0.08
Close TP,Concrete,2080,Reuse,0.15
Close TP,Concrete,2085,Downcycling,0.6
Close TP,Concrete,2085,Other,0.17
Close TP,Concrete,2085,Recycling,0.08
Close TP,Concrete,2085,Reuse,0.15
Close TP,Concrete,2090,Downcycling,0.6
Close TP,Concrete,2090,Other,0.17
Close TP,Concrete,2090,Recycling,0.08
Close TP,Concrete,2090,Reuse,0.15
Close TP,Concrete,2095,Downcycling,0.6
Close TP,Concrete,2095,Other,0.17
Close TP,Concrete,2095,Recycling,0.08
Close TP,Concrete,2095,Reuse,0.15
Close TP,Concrete,2100,Downcycling,0.6
Close TP,Concrete,2100,Other,0.17
Close TP,Concrete,2100,Recycling,0.08
Close TP,Concrete,2100,Reuse,0.15
Close TP,Copper,2015,Downcycling,0
Close TP,Copper,2015,Other,0.72
Close TP,Copper,2015,Recycling,0.28
Close TP,Copper,2015,Reuse,0
Close TP,Copper,2020,Downcycling,0
Close TP,Copper,2020,Other,0.672857142857143
Close TP,Copper,2020,Recycling,0.327142857142857
Close TP,Copper,2020,Reuse,0
Close TP,Copper,2025,Downcycling,0
Close TP,Copper,2025,Other,0.625714285714286
Close TP,Copper,2025,Recycling,0.374285714285714
Close TP,Copper,2025,Reuse,0
Close TP,Copper,2030,Downcycling,0
Close TP,Copper,2030,Other,0.578571428571429
Close TP,Copper,2030,Recycling,0.421428571428571
Close TP,Copper,2030,Reuse,0
Close TP,Copper,2035,Downcycling,0
Close TP,Copper,2035,Other,0.531428571428571
Close TP,Copper,2035,Recycling,0.468571428571429
Close TP,Copper,2035,Reuse,0
Close TP,Copper,2040,Downcycling,0
Close TP,Copper,2040,Other,0.484285714285714
Close TP,Copper,2040,Recycling,0.515714285714286
Close TP,Copper,2040,Reuse,0
Close TP,Copper,2045,Downcycling,0
Close TP,Copper,2045,Other,0.437142857142857
Close TP,Copper,2045,Recycling,0.562857142857143
Close TP,Copper,2045,Reuse,0
Close TP,Copper,2050,Downcycling,0
Close TP,Copper,2050,Other,0.39
Close TP,Copper,2050,Recycling,0.61
Close TP,Copper,2050,Reuse,0
Close TP,Copper,2055,Downcycling,0
Close TP,Copper,2055,Other,0.39
Close TP,Copper,2055,Recycling,0.61
Close TP,Copper,2055,Reuse,0
Close TP,Copper,2060,Downcycling,0
Close TP,Copper,2060,Other,0.39
Close TP,Copper,2060,Recycling,0.61
Close TP,Copper,2060,Reuse,0
Close TP,Copper,2065,Downcycling,0
Close TP,Copper,2065,Other,0.39
Close TP,Copper,2065,Recycling,0.61
Close TP,Copper,2065,Reuse,0
Close TP,Copper,2070,Downcycling,0
Close TP,Copper,2070,Other,0.39
Close TP,Copper,2070,Recycling,0.61
Close TP,Copper,2070,Reuse,0
Close TP,Copper,2075,Downcycling,0
Close TP,Copper,2075,Other,0.39
Close TP,Copper,2075,Recycling,0.61
Close TP,Copper,2075,Reuse,0
Close TP,Copper,2080,Downcycling,0
Close TP,Copper,2080,Other,0.39
Close TP,Copper,2080,Recycling,0.61
Close TP,Copper,2080,Reuse,0
Close TP,Copper,2085,Downcycling,0
Close TP,Copper,2085,Other,0.39
Close TP,Copper,2085,Recycling,0.61
Close TP,Copper,2085,Reuse,0
Close TP,Copper,2090,Downcycling,0
Close TP,Copper,2090,Other,0.39
Close TP,Copper,2090,Recycling,0.61
Close TP,Copper,2090,Reuse,0
Close TP,Copper,2095,Downcycling,0
Close TP,Copper,2095,Other,0.39
Close TP,Copper,2095,Recycling,0.61
Close TP,Copper,2095,Reuse,0
Close TP,Copper,2100,Downcycling,0
Close TP,Copper,2100,Other,0.39
Close TP,Copper,2100,Recycling,0.61
Close TP,Copper,2100,Reuse,0
Close TP,Glass,2015,Downcycling,0.45
Close TP,Glass,2015,Other,0.55
Close TP,Glass,2015,Recycling,0
Close TP,Glass,2015,Reuse,0
Close TP,Glass,2020,Downcycling,0.45
Close TP,Glass,2020,Other,0.542857142857143
Close TP,Glass,2020,Recycling,0.00714285714285714
Close TP,Glass,2020,Reuse,0
Close TP,Glass,2025,Downcycling,0.45
Close TP,Glass,2025,Other,0.535714285714286
Close TP,Glass,2025,Recycling,0.0142857142857143
Close TP,Glass,2025,Reuse,0
Close TP,Glass,2030,Downcycling,0.45
Close TP,Glass,2030,Other,0.528571428571429
Close TP,Glass,2030,Recycling,0.0214285714285714
Close TP,Glass,2030,Reuse,0
Close TP,Glass,2035,Downcycling,0.45
Close TP,Glass,2035,Other,0.521428571428571
Close TP,Glass,2035,Recycling,0.0285714285714286
Close TP,Glass,2035,Reuse,0
Close TP,Glass,2040,Downcycling,0.45
Close TP,Glass,2040,Other,0.514285714285714
Close TP,Glass,2040,Recycling,0.0357142857142857
Close TP,Glass,2040,Reuse,0
Close TP,Glass,2045,Downcycling,0.45
Close TP,Glass,2045,Other,0.507142857142857
Close TP,Glass,2045,Recycling,0.0428571428571429
Close TP,Glass,2045,Reuse,0
Close TP,Glass,2050,Downcycling,0.45
Close TP,Glass,2050,Other,0.5
Close TP,Glass,2050,Recycling,0.05
Close TP,Glass,2050,Reuse,0
Close TP,Glass,2055,Downcycling,0.45
Close TP,Glass,2055,Other,0.5
Close TP,Glass,2055,Recycling,0.05
Close TP,Glass,2055,Reuse,0
Close TP,Glass,2060,Downcycling,0.45
Close TP,Glass,2060,Other,0.5
Close TP,Glass,2060,Recycling,0.05
Close TP,Glass,2060,Reuse,0
Close TP,Glass,2065,Downcycling,0.45
Close TP,Glass,2065,Other,0.5
Close TP,Glass,2065,Recycling,0.05
Close TP,Glass,2065,Reuse,0
Close TP,Glass,2070,Downcycling,0.45
Close TP,Glass,2070,Other,0.5
Close TP,Glass,2070,Recycling,0.05
Close TP,Glass,2070,Reuse,0
Close TP,Glass,2075,Downcycling,0.45
Close TP,Glass,2075,Other,0.5
Close TP,Glass,2075,Recycling,0.05
Close TP,Glass,2075,Reuse,0
Close TP,Glass,2080,Downcycling,0.45
Close TP,Glass,2080,Other,0.5
Close TP,Glass,2080,Recycling,0.05
Close TP,Glass,2080,Reuse,0
Close TP,Glass,2085,Downcycling,0.45
Close TP,Glass,2085,Other,0.5
Close TP,Glass,2085,Recycling,0.05
Close TP,Glass,2085,Reuse,0
Close TP,Glass,2090,Downcycling,0.45
Close TP,Glass,2090,Other,0.5
Close TP,Glass,2090,Recycling,0.05
Close TP,Glass,2090,Reuse,0
Close TP,Glass,2095,Downcycling,0.45
Close TP,Glass,2095,Other,0.5
Close TP,Glass,2095,Recycling,0.05
Close TP,Glass,2095,Reuse,0
Close TP,Glass,2100,Downcycling,0.45
Close TP,Glass,2100,Other,0.5
Close TP,Glass,2100,Recycling,0.05
Close TP,Glass,2100,Reuse,0
Close TP,Steel,2015,Downcycling,0
Close TP,Steel,2015,Other,0.43
Close TP,Steel,2015,Recycling,0.52
Close TP,Steel,2015,Reuse,0.05
Close TP,Steel,2020,Downcycling,0
Close TP,Steel,2020,Other,0.382857142857143
Close TP,Steel,2020,Recycling,0.552857142857143
Close TP,Steel,2020,Reuse,0.0642857142857143
Close TP,Steel,2025,Downcycling,0
Close TP,Steel,2025,Other,0.335714285714286
Close TP,Steel,2025,Recycling,0.585714285714286
Close TP,Steel,2025,Reuse,0.0785714285714286
Close TP,Steel,2030,Downcycling,0
Close TP,Steel,2030,Other,0.288571428571429
Close TP,Steel,2030,Recycling,0.618571428571429
Close TP,Steel,2030,Reuse,0.0928571428571429
Close TP,Steel,2035,Downcycling,0
Close TP,Steel,2035,Other,0.241428571428571
Close TP,Steel,2035,Recycling,0.651428571428571
Close TP,Steel,2035,Reuse,0.107142857142857
Close TP,Steel,2040,Downcycling,0
Close TP,Steel,2040,Other,0.194285714285714
Close TP,Steel,2040,Recycling,0.684285714285714
Close TP,Steel,2040,Reuse,0.121428571428571
Close TP,Steel,2045,Downcycling,0
Close TP,Steel,2045,Other,0.147142857142857
Close TP,Steel,2045,Recycling,0.717142857142857
Close TP,Steel,2045,Reuse,0.135714285714286
Close TP,Steel,2050,Downcycling,0
Close TP,Steel,2050,Other,0.1
Close TP,Steel,2050,Recycling,0.75
Close TP,Steel,2050,Reuse,0.15
Close TP,Steel,2055,Downcycling,0
Close TP,Steel,2055,Other,0.1
Close TP,Steel,2055,Recycling,0.75
Close TP,Steel,2055,Reuse,0.15
Close TP,Steel,2060,Downcycling,0
Close TP,Steel,2060,Other,0.1
Close TP,Steel,2060,Recycling,0.75
Close TP,Steel,2060,Reuse,0.15
Close TP,Steel,2065,Downcycling,0
Close TP,Steel,2065,Other,0.1
Close TP,Steel,2065,Recycling,0.75
Close TP,Steel,2065,Reuse,0.15
Close TP,Steel,2070,Downcycling,0
Close TP,Steel,2070,Other,0.1
Close TP,Steel,2070,Recycling,0.75
Close TP,Steel,2070,Reuse,0.15
Close TP,Steel,2075,Downcycling,0
Close TP,Steel,2075,Other,0.1
Close TP,Steel,2075,Recycling,0.75
Close TP,Steel,2075,Reuse,0.15
Close TP,Steel,2080,Downcycling,0
Close TP,Steel,2080,Other,0.1
Close TP,Steel,2080,Recycling,0.75
Close TP,Steel,2080,Reuse,0.15
Close TP,Steel,2085,Downcycling,0
Close TP,Steel,2085,Other,0.1
Close TP,Steel,2085,Recycling,0.75
Close TP,Steel,2085,Reuse,0.15
Close TP,Steel,2090,Downcycling,0
Close TP,Steel,2090,Other,0.1
Close TP,Steel,2090,Recycling,0.75
Close TP,Steel,2090,Reuse,0.15
Close TP,Steel,2095,Downcycling,0
Close TP,Steel,2095,Other,0.1
Close TP,Steel,2095,Recycling,0.75
Close TP,Steel,2095,Reuse,0.15
Close TP,Steel,2100,Downcycling,0
Close TP,Steel,2100,Other,0.1
Close TP,Steel,2100,Recycling,0.75
Close TP,Steel,2100,Reuse,0.15
Close TP,Wood,2015,Downcycling,0.35
Close TP,Wood,2015,Other,0.6
Close TP,Wood,2015,Recycling,0
Close TP,Wood,2015,Reuse,0.05
Close TP,Wood,2020,Downcycling,0.35
Close TP,Wood,2020,Other,0.578571428571429
Close TP,Wood,2020,Recycling,0.00714285714285714
Close TP,Wood,2020,Reuse,0.0642857142857143
Close TP,Wood,2025,Downcycling,0.35
Close TP,Wood,2025,Other,0.557142857142857
Close TP,Wood,2025,Recycling,0.0142857142857143
Close TP,Wood,2025,Reuse,0.0785714285714286
Close TP,Wood,2030,Downcycling,0.35
Close TP,Wood,2030,Other,0.535714285714286
Close TP,Wood,2030,Recycling,0.0214285714285714
Close TP,Wood,2030,Reuse,0.0928571428571429
Close TP,Wood,2035,Downcycling,0.35
Close TP,Wood,2035,Other,0.514285714285714
Close TP,Wood,2035,Recycling,0.0285714285714286
Close TP,Wood,2035,Reuse,0.107142857142857
Close TP,Wood,2040,Downcycling,0.35
Close TP,Wood,2040,Other,0.492857142857143
Close TP,Wood,2040,Recycling,0.0357142857142857
Close TP,Wood,2040,Reuse,0.121428571428571
Close TP,Wood,2045,Downcycling,0.35
Close TP,Wood,2045,Other,0.471428571428571
Close TP,Wood,2045,Recycling,0.0428571428571429
Close TP,Wood,2045,Reuse,0.135714285714286
Close TP,Wood,2050,Downcycling,0.35
Close TP,Wood,2050,Other,0.45
Close TP,Wood,2050,Recycling,0.05
Close TP,Wood,2050,Reuse,0.15
Close TP,Wood,2055,Downcycling,0.35
Close TP,Wood,2055,Other,0.45
Close TP,Wood,2055,Recycling,0.05
Close TP,Wood,2055,Reuse,0.15
Close TP,Wood,2060,Downcycling,0.35
Close TP,Wood,2060,Other,0.45
Close TP,Wood,2060,Recycling,0.05
Close TP,Wood,2060,Reuse,0.15
Close TP,Wood,2065,Downcycling,0.35
Close TP,Wood,2065,Other,0.45
Close TP,Wood,2065,Recycling,0.05
Close TP,Wood,2065,Reuse,0.15
Close TP,Wood,2070,Downcycling,0.35
Close TP,Wood,2070,Other,0.45
Close TP,Wood,2070,Recycling,0.05
Close TP,Wood,2070,Reuse,0.15
Close TP,Wood,2075,Downcycling,0.35
Close TP,Wood,2075,Other,0.45
Close TP,Wood,2075,Recycling,0.05
Close TP,Wood,2075,Reuse,0.15
Close TP,Wood,2080,Downcycling,0.35
Close TP,Wood,2080,Other,0.45
Close TP,Wood,2080,Recycling,0.05
Close TP,Wood,2080,Reuse,0.15
Close TP,Wood,2085,Downcycling,0.35
Close TP,Wood,2085,Other,0.45
Close TP,Wood,2085,Recycling,0.05
Close TP,Wood,2085,Reuse,0.15
Close TP,Wood,2090,Downcycling,0.35
Close TP,Wood,2090,Other,0.45
Close TP,Wood,2090,Recycling,0.05
Close TP,Wood,2090,Reuse,0.15
Close TP,Wood,2095,Downcycling,0.35
Close TP,Wood,2095,Other,0.45
Close TP,Wood,2095,Recycling,0.05
Close TP,Wood,2095,Reuse,0.15
Close TP,Wood,2100,Downcycling,0.35
Close TP,Wood,2100,Other,0.45
Close TP,Wood,2100,Recycling,0.05
Close TP,Wood,2100,Reuse,0.15
Reference,Aluminium,2015,Downcycling,0
Reference,Aluminium,2015,Other,0.61
Reference,Aluminium,2015,Recycling,0.39
Reference,Aluminium,2015,Reuse,0
Reference,Aluminium,2020,Downcycling,0
Reference,Aluminium,2020,Other,0.61
Reference,Aluminium,2020,Recycling,0.39
Reference,Aluminium,2020,Reuse,0
Reference,Aluminium,2025,Downcycling,0
Reference,Aluminium,2025,Other,0.61
Reference,Aluminium,2025,Recycling,0.39
Reference,Aluminium,2025,Reuse,0
Reference,Aluminium,2030,Downcycling,0
Reference,Aluminium,2030,Other,0.61
Reference,Aluminium,2030,Recycling,0.39
Reference,Aluminium,2030,Reuse,0
Reference,Aluminium,2035,Downcycling,0
Reference,Aluminium,2035,Other,0.61
Reference,Aluminium,2035,Recycling,0.39
Reference,Aluminium,2035,Reuse,0
Reference,Aluminium,2040,Downcycling,0
Reference,Aluminium,2040,Other,0.61
Reference,Aluminium,2040,Recycling,0.39
Reference,Aluminium,2040,Reuse,0
Reference,Aluminium,2045,Downcycling,0
Reference,Aluminium,2045,Other,0.61
Reference,Aluminium,2045,Recycling,0.39
Reference,Aluminium,2045,Reuse,0
Reference,Aluminium,2050,Downcycling,0
Reference,Aluminium,2050,Other,0.61
Reference,Aluminium,2050,Recycling,0.39
Reference,Aluminium,2050,Reuse,0
Reference,Aluminium,2055,Downcycling,0
Reference,Aluminium,2055,Other,0.61
Reference,Aluminium,2055,Recycling,0.39
Reference,Aluminium,2055,Reuse,0
Reference,Aluminium,2060,Downcycling,0
Reference,Aluminium,2060,Other,0.61
Reference,Aluminium,2060,Recycling,0.39
Reference,Aluminium,2060,Reuse,0
Reference,Aluminium,2065,Downcycling,0
Reference,Aluminium,2065,Other,0.61
Reference,Aluminium,2065,Recycling,0.39
Reference,Aluminium,2065,Reuse,0
Reference,Aluminium,2070,Downcycling,0
Reference,Aluminium,2070,Other,0.61
Reference,Aluminium,2070,Recycling,0.39
Reference,Aluminium,2070,Reuse,0
Reference,Aluminium,2075,Downcycling,0
Reference,Aluminium,2075,Other,0.61
Reference,Aluminium,2075,Recycling,0.39
Reference,Aluminium,2075,Reuse,0
Reference,Aluminium,2080,Downcycling,0
Reference,Aluminium,2080,Other,0.61
Reference,Aluminium,2080,Recycling,0.39
Reference,Aluminium,2080,Reuse,0
Reference,Aluminium,2085,Downcycling,0
Reference,Aluminium,2085,Other,0.61
Reference,Aluminium,2085,Recycling,0.39
Reference,Aluminium,2085,Reuse,0
Reference,Aluminium,2090,Downcycling,0
Reference,Aluminium,2090,Other,0.61
Reference,Aluminium,2090,Recycling,0.39
Reference,Aluminium,2090,Reuse,0
Reference,Aluminium,2095,Downcycling,0
Reference,Aluminium,2095,Other,0.61
Reference,Aluminium,2095,Recycling,0.39
Reference,Aluminium,2095,Reuse,0
Reference,Aluminium,2100,Downcycling,0
Reference,Aluminium,2100,Other,0.61
Reference,Aluminium,2100,Recycling,0.39
Reference,Aluminium,2100,Reuse,0
Reference,Brick,2015,Downcycling,0.7
Reference,Brick,2015,Other,0.25
Reference,Brick,2015,Recycling,0
Reference,Brick,2015,Reuse,0.05
Reference,Brick,2020,Downcycling,0.7
Reference,Brick,2020,Other,0.25
Reference,Brick,2020,Recycling,0
Reference,Brick,2020,Reuse,0.05
Reference,Brick,2025,Downcycling,0.7
Reference,Brick,2025,Other,0.25
Reference,Brick,2025,Recycling,0
Reference,Brick,2025,Reuse,0.05
Reference,Brick,2030,Downcycling,0.7
Reference,Brick,2030,Other,0.25
Reference,Brick,2030,Recycling,0
Reference,Brick,2030,Reuse,0.05
Reference,Brick,2035,Downcycling,0.7
Reference,Brick,2035,Other,0.25
Reference,Brick,2035,Recycling,0
Reference,Brick,2035,Reuse,0.05
Reference,Brick,2040,Downcycling,0.7
Reference,Brick,2040,Other,0.25
Reference,Brick,2040,Recycling,0
Reference,Brick,2040,Reuse,0.05
Reference,Brick,2045,Downcycling,0.7
Reference,Brick,2045,Other,0.25
Reference,Brick,2045,Recycling,0
Reference,Brick,2045,Reuse,0.05
Reference,Brick,2050,Downcycling,0.7
Reference,Brick,2050,Other,0.25
Reference,Brick,2050,Recycling,0
Reference,Brick,2050,Reuse,0.05
Reference,Brick,2055,Downcycling,0.7
Reference,Brick,2055,Other,0.25
Reference,Brick,2055,Recycling,0
Reference,Brick,2055,Reuse,0.05
Reference,Brick,2060,Downcycling,0.7
Reference,Brick,2060,Other,0.25
Reference,Brick,2060,Recycling,0
Reference,Brick,2060,Reuse,0.05
Reference,Brick,2065,Downcycling,0.7
Reference,Brick,2065,Other,0.25
Reference,Brick,2065,Recycling,0
Reference,Brick,2065,Reuse,0.05
Reference,Brick,2070,Downcycling,0.7
Reference,Brick,2070,Other,0.25
Reference,Brick,2070,Recycling,0
Reference,Brick,2070,Reuse,0.05
Reference,Brick,2075,Downcycling,0.7
Reference,Brick,2075,Other,0.25
Reference,Brick,2075,Recycling,0
Reference,Brick,2075,Reuse,0.05
Reference,Brick,2080,Downcycling,0.7
Reference,Brick,2080,Other,0.25
Reference,Brick,2080,Recycling,0
Reference,Brick,2080,Reuse,0.05
Reference,Brick,2085,Downcycling,0.7
Reference,Brick,2085,Other,0.25
Reference,Brick,2085,Recycling,0
Reference,Brick,2085,Reuse,0.05
Reference,Brick,2090,Downcycling,0.7
Reference,Brick,2090,Other,0.25
Reference,Brick,2090,Recycling,0
Reference,Brick,2090,Reuse,0.05
Reference,Brick,2095,Downcycling,0.7
Reference,Brick,2095,Other,0.25
Reference,Brick,2095,Recycling,0
Reference,Brick,2095,Reuse,0.05
Reference,Brick,2100,Downcycling,0.7
Reference,Brick,2100,Other,0.25
Reference,Brick,2100,Recycling,0
Reference,Brick,2100,Reuse,0.05
Reference,Concrete,2015,Downcycling,0.6
Reference,Concrete,2015,Other,0.35
Reference,Concrete,2015,Recycling,0.03
Reference,Concrete,2015,Reuse,0.02
Reference,Concrete,2020,Downcycling,0.6
Reference,Concrete,2020,Other,0.35
Reference,Concrete,2020,Recycling,0.03
Reference,Concrete,2020,Reuse,0.02
Reference,Concrete,2025,Downcycling,0.6
Reference,Concrete,2025,Other,0.35
Reference,Concrete,2025,Recycling,0.03
Reference,Concrete,2025,Reuse,0.02
Reference,Concrete,2030,Downcycling,0.6
Reference,Concrete,2030,Other,0.35
Reference,Concrete,2030,Recycling,0.03
Reference,Concrete,2030,Reuse,0.02
Reference,Concrete,2035,Downcycling,0.6
Reference,Concrete,2035,Other,0.35
Reference,Concrete,2035,Recycling,0.03
Reference,Concrete,2035,Reuse,0.02
Reference,Concrete,2040,Downcycling,0.6
Reference,Concrete,2040,Other,0.35
Reference,Concrete,2040,Recycling,0.03
Reference,Concrete,2040,Reuse,0.02
Reference,Concrete,2045,Downcycling,0.6
Reference,Concrete,2045,Other,0.35
Reference,Concrete,2045,Recycling,0.03
Reference,Concrete,2045,Reuse,0.02
Reference,Concrete,2050,Downcycling,0.6
Reference,Concrete,2050,Other,0.35
Reference,Concrete,2050,Recycling,0.03
Reference,Concrete,2050,Reuse,0.02
Reference,Concrete,2055,Downcycling,0.6
Reference,Concrete,2055,Other,0.35
Reference,Concrete,2055,Recycling,0.03
Reference,Concrete,2055,Reuse,0.02
Reference,Concrete,2060,Downcycling,0.6
Reference,Concrete,2060,Other,0.35
Reference,Concrete,2060,Recycling,0.03
Reference,Concrete,2060,Reuse,0.02
Reference,Concrete,2065,Downcycling,0.6
Reference,Concrete,2065,Other,0.35
Reference,Concrete,2065,Recycling,0.03
Reference,Concrete,2065,Reuse,0.02
Reference,Concrete,2070,Downcycling,0.6
Reference,Concrete,2070,Other,0.35
Reference,Concrete,2070,Recycling,0.03
Reference,Concrete,2070,Reuse,0.02
Reference,Concrete,2075,Downcycling,0.6
Reference,Concrete,2075,Other,0.35
Reference,Concrete,2075,Recycling,0.03
Reference,Concrete,2075,Reuse,0.02
Reference,Concrete,2080,Downcycling,0.6
Reference,Concrete,2080,Other,0.35
Reference,Concrete,2080,Recycling,0.03
Reference,Concrete,2080,Reuse,0.02
Reference,Concrete,2085,Downcycling,0.6
Reference,Concrete,2085,Other,0.35
Reference,Concrete,2085,Recycling,0.03
Reference,Concrete,2085,Reuse,0.02
Reference,Concrete,2090,Downcycling,0.6
Reference,Concrete,2090,Other,0.35
Reference,Concrete,2090,Recycling,0.03
Reference,Concrete,2090,Reuse,0.02
Reference,Concrete,2095,Downcycling,0.6
Reference,Concrete,2095,Other,0.35
Reference,Concrete,2095,Recycling,0.03
Reference,Concrete,2095,Reuse,0.02
Reference,Concrete,2100,Downcycling,0.6
Reference,Concrete,2100,Other,0.35
Reference,Concrete,2100,Recycling,0.03
Reference,Concrete,2100,Reuse,0.02
Reference,Copper,2015,Downcycling,0
Reference,Copper,2015,Other,0.72
Reference,Copper,2015,Recycling,0.28
Reference,Copper,2015,Reuse,0
Reference,Copper,2020,Downcycling,0
Reference,Copper,2020,Other,0.72
Reference,Copper,2020,Recycling,0.28
Reference,Copper,2020,Reuse,0
Reference,Copper,2025,Downcycling,0
Reference,Copper,2025,Other,0.72
Reference,Copper,2025,Recycling,0.28
Reference,Copper,2025,Reuse,0
Reference,Copper,2030,Downcycling,0
Reference,Copper,2030,Other,0.72
Reference,Copper,2030,Recycling,0.28
Reference,Copper,2030,Reuse,0
Reference,Copper,2035,Downcycling,0
Reference,Copper,2035,Other,0.72
Reference,Copper,2035,Recycling,0.28
Reference,Copper,2035,Reuse,0
Reference,Copper,2040,Downcycling,0
Reference,Copper,2040,Other,0.72
Reference,Copper,2040,Recycling,0.28
Reference,Copper,2040,Reuse,0
Reference,Copper,2045,Downcycling,0
Reference,Copper,2045,Other,0.72
Reference,Copper,2045,Recycling,0.28
Reference,Copper,2045,Reuse,0
Reference,Copper,2050,Downcycling,0
Reference,Copper,2050,Other,0.72
Reference,Copper,2050,Recycling,0.28
Reference,Copper,2050,Reuse,0
Reference,Copper,2055,Downcycling,0
Reference,Copper,2055,Other,0.72
Reference,Copper,2055,Recycling,0.28
Reference,Copper,2055,Reuse,0
Reference,Copper,2060,Downcycling,0
Reference,Copper,2060,Other,0.72
Reference,Copper,2060,Recycling,0.28
Reference,Copper,2060,Reuse,0
Reference,Copper,2065,Downcycling,0
Reference,Copper,2065,Other,0.72
Reference,Copper,2065,Recycling,0.28
Reference,Copper,2065,Reuse,0
Reference,Copper,2070,Downcycling,0
Reference,Copper,2070,Other,0.72
Reference,Copper,2070,Recycling,0.28
Reference,Copper,2070,Reuse,0
Reference,Copper,2075,Downcycling,0
Reference,Copper,2075,Other,0.72
Reference,Copper,2075,Recycling,0.28
Reference,Copper,2075,Reuse,0
Reference,Copper,2080,Downcycling,0
Reference,Copper,2080,Other,0.72
Reference,Copper,2080,Recycling,0.28
Reference,Copper,2080,Reuse,0
Reference,Copper,2085,Downcycling,0
Reference,Copper,2085,Other,0.72
Reference,Copper,2085,Recycling,0.28
Reference,Copper,2085,Reuse,0
Reference,Copper,2090,Downcycling,0
Reference,Copper,2090,Other,0.72
Reference,Copper,2090,Recycling,0.28
Reference,Copper,2090,Reuse,0
Reference,Copper,2095,Downcycling,0
Reference,Copper,2095,Other,0.72
Reference,Copper,2095,Recycling,0.28
Reference,Copper,2095,Reuse,0
Reference,Copper,2100,Downcycling,0
Reference,Copper,2100,Other,0.72
Reference,Copper,2100,Recycling,0.28
Reference,Copper,2100,Reuse,0
Reference,Glass,2015,Downcycling,0.45
Reference,Glass,2015,Other,0.55
Reference,Glass,2015,Recycling,0
Reference,Glass,2015,Reuse,0
Reference,Glass,2020,Downcycling,0.45
Reference,Glass,2020,Other,0.55
Reference,Glass,2020,Recycling,0
Reference,Glass,2020,Reuse,0
Reference,Glass,2025,Downcycling,0.45
Reference,Glass,2025,Other,0.55
Reference,Glass,2025,Recycling,0
Reference,Glass,2025,Reuse,0
Reference,Glass,2030,Downcycling,0.45
Reference,Glass,2030,Other,0.55
Reference,Glass,2030,Recycling,0
Reference,Glass,2030,Reuse,0
Reference,Glass,2035,Downcycling,0.45
Reference,Glass,2035,Other,0.55
Reference,Glass,2035,Recycling,0
Reference,Glass,2035,Reuse,0
Reference,Glass,2040,Downcycling,0.45
Reference,Glass,2040,Other,0.55
Reference,Glass,2040,Recycling,0
Reference,Glass,2040,Reuse,0
Reference,Glass,2045,Downcycling,0.45
Reference,Glass,2045,Other,0.55
Reference,Glass,2045,Recycling,0
Reference,Glass,2045,Reuse,0
Reference,Glass,2050,Downcycling,0.45
Reference,Glass,2050,Other,0.55
Reference,Glass,2050,Recycling,0
Reference,Glass,2050,Reuse,0
Reference,Glass,2055,Downcycling,0.45
Reference,Glass,2055,Other,0.55
Reference,Glass,2055,Recycling,0
Reference,Glass,2055,Reuse,0
Reference,Glass,2060,Downcycling,0.45
Reference,Glass,2060,Other,0.55
Reference,Glass,2060,Recycling,0
Reference,Glass,2060,Reuse,0
Reference,Glass,2065,Downcycling,0.45
