scenario_name,year,eneff,embodied_MtCO2e
Reference,2060,s51_std,52.75362194212732
Reference,2060,s52_low,52.75362194212732
Reference,2060,sr11_std,52.75362194212732
Reference,2060,sr12_low,52.75362194212732
Reference,2060,sr21_std,52.75362194212732
Reference,2060,sr22_low,52.75362194212732
Reference,2060,sr31_std,52.75362194212732
Reference,2060,sr32_low,52.75362194212732
Reference,2080,s1,52.24538470857695
Reference,2080,s2,52.24538470857695
Reference,2080,s3,52.24538470857695
Reference,2080,s51_std,52.24538470857695
Reference,2080,s52_low,52.24538470857695
Reference,2080,sr11_std,52.24538470857695
Reference,2080,sr12_low,52.24538470857695
Reference,2080,sr21_std,52.24538470857695
Reference,2080,sr22_low,52.24538470857695
Reference,2080,sr31_std,52.24538470857695
Reference,2080,sr32_low,52.24538470857695
Reference,2100,s1,46.35941472082706
Reference,2100,s2,46.35941472082706
Reference,2100,s3,46.35941472082706
Reference,2100,s51_std,46.35941472082706
Reference,2100,s52_low,46.35941472082706
Reference,2100,sr11_std,46.35941472082706
Reference,2100,sr12_low,46.35941472082706
Reference,2100,sr21_std,46.35941472082706
Reference,2100,sr22_low,46.35941472082706
Reference,2100,sr31_std,46.35941472082706
Reference,2100,sr32_low,46.35941472082706
Slow R,2025,s1,74.79346133171818
Slow R,2025,s2,74.79346133171818
Slow R,2025,s3,74.79346133171818
Slow R,2025,s51_std,74.79346133171818
Slow R,2025,s52_low,74.79346133171818
Slow R,2025,sr11_std,74.79346133171818
Slow R,2025,sr12_low,74.79346133171818
Slow R,2025,sr21_std,74.79346133171818
Slow R,2025,sr22_low,74.79346133171818
Slow R,2025,sr31_std,74.79346133171818
Slow R,2025,sr32_low,74.79346133171818
Slow R,2030,s1,60.26326412319985
Slow R,2030,s2,60.26326412319985
Slow R,2030,s3,60.26326412319985
Slow R,2030,s51_std,60.26326412319985
Slow R,2030,s52_low,60.26326412319985
Slow R,2030,sr11_std,60.26326412319985
Slow R,2030,sr12_low,60.26326412319985
Slow R,2030,sr21_std,60.26326412319985
Slow R,2030,sr22_low,60.26326412319985
Slow R,2030,sr31_std,60.26326412319985
Slow R,2030,sr32_low,60.26326412319985
Slow R,2050,s1,34.20559370199456
Slow R,2050,s2,34.20559370199456
Slow R,2050,s3,34.20559370199456
Slow R,2050,s51_std,34.20559370199456
Slow R,2050,s52_low,34.20559370199456
Slow R,2050,sr11_std,34.20559370199456
Slow R,2050,sr12_low,34.20559370199456
Slow R,2050,sr21_std,34.20559370199456
Slow R,2050,sr22_low,34.20559370199456
Slow R,2050,sr31_std,34.20559370199456
Slow R,2050,sr32_low,34.20559370199456
Slow R,2060,s1,24.710546030870614
Slow R,2060,s2,24.710546030870614
Slow R,2060,s3,24.710546030870614
Slow R,2060,s51_std,24.710546030870614
Slow R,2060,s52_low,24.710546030870614
Slow R,2060,sr11_std,24.710546030870614
Slow R,2060,sr12_low,24.710546030870614
Slow R,2060,sr21_std,24.710546030870614
Slow R,2060,sr22_low,24.710546030870614
Slow R,2060,sr31_std,24.710546030870614
Slow R,2060,sr32_low,24.710546030870614
Slow R,2080,s1,24.89258479902038
Slow R,2080,s2,24.89258479902038
Slow R,2080,s3,24.89258479902038
Slow R,2080,s51_std,24.89258479902038
Slow R,2080,s52_low,24.89258479902038
Slow R,2080,sr11_std,24.89258479902038
Slow R,2080,sr12_low,24.89258479902038
Slow R,2080,sr21_std,24.89258479902038
Slow R,2080,sr22_low,24.89258479902038
Slow R,2080,sr31_std,24.89258479902038
Slow R,2080,sr32_low,24.89258479902038
Slow R,2100,s1,21.65741053455908
Slow R,2100,s2,21.65741053455908
Slow R,2100,s3,21.65741053455908
Slow R,2100,s51_std,21.65741053455908
Slow R,2100,s52_low,21.65741053455908
Slow R,2100,sr11_std,21.65741053455908
Slow R,2100,sr12_low,21.65741053455908
Slow R,2100,sr21_std,21.65741053455908
Slow R,2100,sr22_low,21.65741053455908
Slow R,2100,sr31_std,21.65741053455908
Slow R,2100,sr32_low,21.65741053455908
