REGNUM,ISO,NAME,GLOBAL_SOUTH,REGION_GEA,CDD (Popwtd),GDPpercap,access_elec,slum_pop,AC_penetr,AC_penetr_R,AC_penetr_U
157,SLB,Solomon Islands,1,PAS,2647,12337,1,0,0.224985918,0.224985918,0.224985918
158,SLE,Sierra Leone,1,AFR,2926,4653,1,0,0.045069791,0.045069791,0.045069791
159,SLV,El Salvador,1,LAC,2258,18161,1,0,0.530480372,0.530480372,0.530480372
160,SOM,Somalia,1,AFR,3200,3317,1,0,0.033299489,0.033299489,0.033299489
161,SRB,Serbia,0,EEU,216,32850,1,0,0.356923388,0.356923388,0.356923388
162,SSD,South Sudan,1,MEA,3577,,1,0,,,
163,STP,Sao Tome and Principe,1,LAC,,,1,0,,,
164,SUR,Suriname,1,LAC,3138,35056,1,0,0.981933073,0.981933073,0.981933073
165,SVK,Slovakia,0,EEU,99,33073,1,0,0.206215855,0.206215855,0.206215855
166,SVN,Slovenia,0,EEU,114,32720,1,0,0.227011419,0.227011419,0.227011419
167,SWE,Sweden,0,WEU,23,82616,1,0,0.090951163,0.090951163,0.090951163
168,SWZ,Swaziland,1,AFR,996,13557,1,0,0.239680262,0.239680262,0.239680262
169,SYC,Seichelles,1,AFR,,,1,0,,,
170,SYR,Syrian Arab Republic,1,MEA,1180,14284,1,0,0.284060773,0.284060773,0.284060773
171,TCD,Chad,1,AFR,3424,4561,1,0,0.044247952,0.044247952,0.044247952
172,TGO,Togo,1,AFR,3244,2100,1,0,0.025171212,0.025171212,0.025171212
173,THA,Thailand,1,PAS,3116,25743,1,0,0.872899287,0.872899287,0.872899287
174,TJK,Tajikistan,0,FSU,603,33632,1,0,0.677826558,0.677826558,0.677826558
175,TKM,Turkmenistan,0,FSU,1207,33475,1,0,0.88061639,0.88061639,0.88061639
176,TLS,East Timor,1,PAS,2459,16904,1,0,0.459196357,0.459196357,0.459196357
177,TON,Tonga,1,PAS,2949,,1,0,,,
178,TTO,Trinidad and Tobago,1,LAC,2949,26785,1,0,0.896454377,0.896454377,0.896454377
179,TUN,Tunisia,1,MEA,1116,20042,1,0,0.569222871,0.569222871,0.569222871
180,TUR,Turkey,0,WEU,403,26175,1,0,0.490312235,0.490312235,0.490312235
181,TWN,Taiwan,1,PAS,1229,,1,0,,,
182,TZA,United Republic of Tanzania,1,AFR,1469,4698,1,0,0.042931773,0.042931773,0.042931773
183,UGA,Uganda,1,AFR,1475,5648,1,0,0.053197309,0.053197309,0.053197309
184,UKR,Ukraine,0,FSU,212,33165,1,0,0.35294207,0.35294207,0.35294207
185,URY,Uruguay,1,LAC,570,30669,1,0,0.644586183,0.644586183,0.644586183
186,USA,United States of America,0,NAM,710,67102,1,0,0.748427242,0.748427242,0.748427242
187,UZB,Uzbekistan,0,FSU,906,34063,1,0,0.809580362,0.809580362,0.809580362
188,VCT,Saint Vincent and the Grenadines,1,LAC,3307,,1,0,,,
189,VEN,Venezuela,1,LAC,2419,31035,1,0,0.951062841,0.951062841,0.951062841
190,VNM,Viet Nam,1,CPA,2641,20492,1,0,0.66465797,0.66465797,0.66465797
191,VUT,Vanuatu,1,PAS,2036,23550,1,0,0.789796686,0.789796686,0.789796686
192,WSM,Samoa,1,PAS,3205,24999,1,0,0.852776746,0.852776746,0.852776746
193,YEM,Yemen,1,MEA,1286,29395,1,0,0.862627281,0.862627281,0.862627281
194,ZAF,South Africa,1,AFR,678,26253,1,0,0.650795508,0.650795508,0.650795508
195,ZMB,Zambia,1,AFR,1333,9140,1,0,0.111228643,0.111228643,0.111228643
196,ZWE,Zimbabwe,1,AFR,1106,1890,1,0,0.021148487,0.021148487,0.021148487
