scenario,ssp,region_gea,urt,arch,material,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
nsp,nsp,EEU,urb,sfh,copper,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862,1.448275862
nsp,nsp,EEU,urb,sfh,glass,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793,28.22163793
nsp,nsp,EEU,urb,sfh,steel,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621,32.67258621
nsp,nsp,EEU,urb,sfh,wood,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207,88.81336207
nsp,nsp,FSU,rur,mfh,aluminum,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667
nsp,nsp,FSU,rur,mfh,concrete,967.35,967.35,967.35,967.35,967.35,967.35,967.35,967.35,967.35,967.35,967.35,967.35,967.35,967.35,967.35,967.35,967.35,967.35
nsp,nsp,FSU,rur,mfh,copper,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
nsp,nsp,FSU,rur,mfh,glass,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667,5.706666667
nsp,nsp,FSU,rur,mfh,steel,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9,103.9
nsp,nsp,FSU,rur,mfh,wood,42.94,42.94,42.94,42.94,42.94,42.94,42.94,42.94,42.94,42.94,42.94,42.94,42.94,42.94,42.94,42.94,42.94,42.94
nsp,nsp,FSU,rur,sfh,aluminum,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912,3.281338912
nsp,nsp,FSU,rur,sfh,concrete,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506,876.6061506
nsp,nsp,FSU,rur,sfh,copper,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946,1.586066946
nsp,nsp,FSU,rur,sfh,glass,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967,2.545271967
nsp,nsp,FSU,rur,sfh,steel,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732,32.65175732
nsp,nsp,FSU,rur,sfh,wood,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565,51.55535565
nsp,nsp,FSU,urb,mfh,aluminum,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268,2.08742268
nsp,nsp,FSU,urb,mfh,concrete,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464,947.3215464
nsp,nsp,FSU,urb,mfh,copper,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907,0.139896907
nsp,nsp,FSU,urb,mfh,glass,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103,5.255670103
nsp,nsp,FSU,urb,mfh,steel,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423,108.4847423
nsp,nsp,FSU,urb,mfh,wood,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845,46.98494845
nsp,nsp,FSU,urb,sfh,aluminum,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
nsp,nsp,FSU,urb,sfh,concrete,966.93,966.93,966.93,966.93,966.93,966.93,966.93,966.93,966.93,966.93,966.93,966.93,966.93,966.93,966.93,966.93,966.93,966.93
nsp,nsp,FSU,urb,sfh,copper,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667,1.156666667
nsp,nsp,FSU,urb,sfh,glass,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333,2.143333333
nsp,nsp,FSU,urb,sfh,steel,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667,32.71666667
nsp,nsp,FSU,urb,sfh,wood,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667,47.03666667
nsp,nsp,LAC,rur,mfh,aluminum,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667,2.026666667
