country,sector,sector_code,scenario,scenario_name,year,floor_total_Mm2,floor_added_Mm2,floor_demolished_Mm2
AUT,Residential,resid,C_tp,Close TP,2080,361.5021341098811,1.121802631015616,0.8803761576065692
AUT,Residential,resid,C_tp,Close TP,2090,355.20750106381774,0.8169826495651621,1.023568159491568
AUT,Residential,resid,C_tp,Close TP,2100,346.20194152426274,0.6582732914547301,1.1831900706455862
AUT,Residential,resid,A_r,Combined R,2025,350.9612267060129,2.876677290679619,0.7993979994757482
AUT,Residential,resid,A_r,Combined R,2030,338.06605757830744,2.096976463748712,0.7294265343946015
AUT,Residential,resid,A_r,Combined R,2035,324.9763880910847,1.765681985551735,0.6437030685902448
AUT,Residential,resid,A_r,Combined R,2040,312.14674232160115,1.4420571229951864,0.5723128639290437
AUT,Residential,resid,A_r,Combined R,2045,299.9940271506303,1.2463555006695277,0.513258868797234
AUT,Residential,resid,A_r,Combined R,2050,287.99178082857935,1.0440571205972609,0.46401759876835397
AUT,Residential,resid,A_r,Combined R,2055,289.06472535522767,0.9337202766031885,0.4414604949334345
AUT,Residential,resid,A_r,Combined R,2060,289.5553895495754,0.7926055587556211,0.44096327756087816
AUT,Residential,resid,A_r,Combined R,2070,289.31480496900497,0.639194036727869,0.4552165210746902
AUT,Residential,resid,A_r,Combined R,2080,287.7826999322645,0.4788357384354921,0.4819474313108193
AUT,Residential,resid,A_r,Combined R,2090,282.90239616348845,0.21415329563731028,0.5274224936284674
AUT,Residential,resid,A_r,Combined R,2100,275.83971811451045,0.06726361237678521,0.5871025473699317
AUT,Residential,resid,A_tp,Combined TP,2025,350.9612267060129,2.876677290679619,0.7993979994757482
AUT,Residential,resid,A_tp,Combined TP,2030,311.27019591593523,2.137174914938838,0.675492533040529
AUT,Residential,resid,A_tp,Combined TP,2035,273.39711767645196,1.7041049724021977,0.523087831577209
AUT,Residential,resid,A_tp,Combined TP,2040,237.6635237349457,1.3465659314110763,0.4036576287130019
AUT,Residential,resid,A_tp,Combined TP,2045,204.59359461696232,0.8409514966802781,0.3094406078999885
AUT,Residential,resid,A_tp,Combined TP,2050,173.23292936190327,0.6178559516338435,0.23619504146225195
AUT,Residential,resid,A_tp,Combined TP,2055,174.35550048352076,0.2144605624603536,0.22024544114346242
AUT,Residential,resid,A_tp,Combined TP,2060,175.08980782760653,0.17601688745491204,0.22011425288580774
AUT,Residential,resid,A_tp,Combined TP,2070,175.71673484889547,0.15343193361745502,0.22355695240765164
AUT,Residential,resid,A_tp,Combined TP,2080,175.43806591928427,0.11153248339361188,0.230230712048408
AUT,Residential,resid,A_tp,Combined TP,2090,173.01045919876717,0.020752602796301204,0.24264942089271327
AUT,Residential,resid,A_tp,Combined TP,2100,169.15069060195717,0,0.25942476246039725
AUT,Commercial,comm,R,Reference,2025,962.00912603327,19.076927907442,5.697474453154
AUT,Commercial,comm,R,Reference,2030,1008.3293286765501,15.47702836673,6.212987838074
AUT,Commercial,comm,R,Reference,2035,1042.88200510925,13.591374363544,6.680839077004
AUT,Commercial,comm,R,Reference,2040,1068.10320237251,12.155441161364,7.111201708712
AUT,Commercial,comm,R,Reference,2045,1086.39825809675,11.169903226348,7.5108920815
AUT,Commercial,comm,R,Reference,2050,1099.36854314465,10.477168852996,7.883111843416
AUT,Commercial,comm,R,Reference,2055,1106.77160079839,9.707539214301999,8.226927683553999
AUT,Commercial,comm,R,Reference,2060,1109.78700695087,9.140062616874,8.536981386378
AUT,Commercial,comm,R,Reference,2070,1107.28964053313,8.899058200135,9.148794841909
AUT,Commercial,comm,R,Reference,2080,1098.14906857961,8.47283758362,9.386894778972
AUT,Commercial,comm,R,Reference,2090,1076.27118749255,7.08189323897,9.269681347676
AUT,Commercial,comm,R,Reference,2100,1046.53025075477,5.848338073191,8.822431746969
AUT,Commercial,comm,N_r,Narrow R,2025,962.00912603327,19.076927907442,5.697474453154
AUT,Commercial,comm,N_r,Narrow R,2030,1002.35432533649,14.282027698718,6.212987838074
AUT,Commercial,comm,N_r,Narrow R,2035,1032.45677823863,12.700849611884,6.680359031456
AUT,Commercial,comm,N_r,Narrow R,2040,1054.50004812899,11.516274754827998,7.107620776756
AUT,Commercial,comm,N_r,Narrow R,2045,1070.69561611649,10.738869714432001,7.499756116932
AUT,Commercial,comm,N_r,Narrow R,2050,1082.29351089377,10.17851877857,7.8589398231139995
AUT,Commercial,comm,N_r,Narrow R,2055,1088.82109843037,9.489560146828,8.184042639508
AUT,Commercial,comm,N_r,Narrow R,2060,1091.32926355529,8.971974188976,8.470341163992
AUT,Commercial,comm,N_r,Narrow R,2070,1088.50970502713,8.756404550754,9.03836040357
AUT,Commercial,comm,N_r,Narrow R,2080,1079.44592328917,8.313727217939,9.220105391735
AUT,Commercial,comm,N_r,Narrow R,2090,1057.92507520097,6.912565447559,9.064650256379
AUT,Commercial,comm,N_r,Narrow R,2100,1028.68852457213,5.683886416803,8.607541479687
AUT,Commercial,comm,N_tp,Narrow TP,2025,962.00912603327,19.076927907442,5.697474453154
AUT,Commercial,comm,N_tp,Narrow TP,2030,992.39598643637,12.290359918694001,6.212987838074
AUT,Commercial,comm,N_tp,Narrow TP,2035,1015.08140012093,11.21664169246,6.679558955548
AUT,Commercial,comm,N_tp,Narrow TP,2040,1031.82812438987,10.450997410624,7.101652556836
AUT,Commercial,comm,N_tp,Narrow TP,2045,1044.52454614943,10.020480527902,7.48119617599
AUT,Commercial,comm,N_tp,Narrow TP,2050,1053.8351238089301,9.680768654522,7.818653122622
AUT,Commercial,comm,N_tp,Narrow TP,2055,1058.90359448369,9.126261701062,8.11256756611
AUT,Commercial,comm,N_tp,Narrow TP,2060,1060.56635789603,8.691826809158,8.35927412669
AUT,Commercial,comm,N_tp,Narrow TP,2070,1057.20981251723,8.518648468459,8.854303006339
AUT,Commercial,comm,N_tp,Narrow TP,2080,1048.27401447167,8.048543275125,8.942123079681
AUT,Commercial,comm,N_tp,Narrow TP,2090,1027.34822138165,6.630352461876,8.722931770878
AUT,Commercial,comm,N_tp,Narrow TP,2100,998.95231426769,5.409800322834,8.24939103423
AUT,Commercial,comm,S_r,Slow R,2025,962.00912603327,19.076927907442,5.697474453154
AUT,Commercial,comm,S_r,Slow R,2030,1008.3293286765501,15.47702836673,6.212987838074
AUT,Commercial,comm,S_r,Slow R,2035,1042.88200510925,12.983952720768,6.073417434227999
AUT,Commercial,comm,S_r,Slow R,2040,1068.10320237251,10.996027271957999,5.951787819306
AUT,Commercial,comm,S_r,Slow R,2045,1086.39825809675,9.496096582706,5.837085437858
AUT,Commercial,comm,S_r,Slow R,2050,1099.36854314465,8.31480832901,5.72075131943
AUT,Commercial,comm,S_r,Slow R,2055,1106.77160079839,7.078411763486001,5.597800232738
AUT,Commercial,comm,S_r,Slow R,2060,1109.78700695087,6.517662334246,5.91458110375
AUT,Commercial,comm,S_r,Slow R,2070,1107.28964053313,6.1884102939279995,6.438146935702
AUT,Commercial,comm,S_r,Slow R,2080,1098.14906857961,5.8769630163399995,6.791020211692
AUT,Commercial,comm,S_r,Slow R,2090,1076.27118749255,4.7663174209440005,6.95410552965
AUT,Commercial,comm,S_r,Slow R,2100,1046.53025075477,3.9766811523729997,6.950774826151
AUT,Commercial,comm,S_tp,Slow TP,2025,962.00912603327,19.076927907442,5.697474453154
AUT,Commercial,comm,S_tp,Slow TP,2030,1008.3293286765501,15.47702836673,6.212987838074
AUT,Commercial,comm,S_tp,Slow TP,2035,1042.88200510925,12.430380986818001,5.519845700277999
AUT,Commercial,comm,S_tp,Slow TP,2040,1068.10320237251,10.024842073302,4.98060262065
AUT,Commercial,comm,S_tp,Slow TP,2045,1086.39825809675,8.204072351306,4.545061206458
AUT,Commercial,comm,S_tp,Slow TP,2050,1099.36854314465,6.776477009014,4.182419999434
AUT,Commercial,comm,S_tp,Slow TP,2055,1106.77160079839,5.353989068386,3.873377537638
AUT,Commercial,comm,S_tp,Slow TP,2060,1109.7870069508701,4.78724022528,4.184158994784
AUT,Commercial,comm,S_tp,Slow TP,2070,1107.28964053313,4.426746129874,4.676482771648
AUT,Commercial,comm,S_tp,Slow TP,2080,1098.14906857961,4.2020135575,5.116070752852
AUT,Commercial,comm,S_tp,Slow TP,2090,1076.27118749255,3.2142996507159998,5.402087759422
AUT,Commercial,comm,S_tp,Slow TP,2100,1046.5302507547701,2.567353726365,5.541447400143
AUT,Commercial,comm,C_r,Close R,2025,962.00912603327,19.076927907442,5.697474453154
AUT,Commercial,comm,C_r,Close R,2030,1008.3293286765501,15.47702836673,6.212987838074
AUT,Commercial,comm,C_r,Close R,2035,1042.88200510925,13.591374363544,6.680839077004
AUT,Commercial,comm,C_r,Close R,2040,1068.10320237251,12.155441161364,7.111201708712
AUT,Commercial,comm,C_r,Close R,2045,1086.39825809675,11.169903226348,7.5108920815
AUT,Commercial,comm,C_r,Close R,2050,1099.36854314465,10.477168852996,7.883111843416
AUT,Commercial,comm,C_r,Close R,2055,1106.77160079839,9.707539214301999,8.226927683553999
AUT,Commercial,comm,C_r,Close R,2060,1109.78700695087,9.140062616874,8.536981386378
AUT,Commercial,comm,C_r,Close R,2070,1107.28964053313,8.899058200135,9.148794841909
AUT,Commercial,comm,C_r,Close R,2080,1098.14906857961,8.47283758362,9.386894778972
AUT,Commercial,comm,C_r,Close R,2090,1076.27118749255,7.08189323897,9.269681347676
AUT,Commercial,comm,C_r,Close R,2100,1046.53025075477,5.848338073191,8.822431746969
AUT,Commercial,comm,C_tp,Close TP,2025,962.00912603327,19.076927907442,5.697474453154
AUT,Commercial,comm,C_tp,Close TP,2030,1008.3293286765501,15.47702836673,6.212987838074
AUT,Commercial,comm,C_tp,Close TP,2035,1042.88200510925,13.591374363544,6.680839077004
AUT,Commercial,comm,C_tp,Close TP,2040,1068.10320237251,12.155441161364,7.111201708712
AUT,Commercial,comm,C_tp,Close TP,2045,1086.39825809675,11.169903226348,7.5108920815
AUT,Commercial,comm,C_tp,Close TP,2050,1099.36854314465,10.477168852996,7.883111843416
AUT,Commercial,comm,C_tp,Close TP,2055,1106.77160079839,9.707539214301999,8.226927683553999
AUT,Commercial,comm,C_tp,Close TP,2060,1109.78700695087,9.140062616874,8.536981386378
AUT,Commercial,comm,C_tp,Close TP,2070,1107.28964053313,8.899058200135,9.148794841909
AUT,Commercial,comm,C_tp,Close TP,2080,1098.14906857961,8.47283758362,9.386894778972
AUT,Commercial,comm,C_tp,Close TP,2090,1076.27118749255,7.08189323897,9.269681347676
AUT,Commercial,comm,C_tp,Close TP,2100,1046.53025075477,5.848338073191,8.822431746969
AUT,Commercial,comm,A_r,Combined R,2025,962.00912603327,19.076927907442,5.697474453154
AUT,Commercial,comm,A_r,Combined R,2030,1002.35432533649,14.282027698718,6.212987838074
AUT,Commercial,comm,A_r,Combined R,2035,1032.45677823863,12.093535713948,6.07304513352
AUT,Commercial,comm,A_r,Combined R,2040,1054.50004812899,10.358242711278,5.949588733206
AUT,Commercial,comm,A_r,Combined R,2045,1070.69561611649,9.070677423464,5.831563825964
AUT,Commercial,comm,A_r,Combined R,2050,1082.29351089377,8.03046273156,5.710883776104
AUT,Commercial,comm,A_r,Combined R,2055,1088.82109843037,6.888608641838,5.583091134518
AUT,Commercial,comm,A_r,Combined R,2060,1091.32926355529,6.392834440342,5.891201415358
AUT,Commercial,comm,A_r,Combined R,2070,1088.50970502713,6.115678155112,6.3976340079280005
AUT,Commercial,comm,A_r,Combined R,2080,1079.44592328917,5.816645036252,6.723023210048
AUT,Commercial,comm,A_r,Combined R,2090,1057.92507520097,4.704575589595,6.856660398415
AUT,Commercial,comm,A_r,Combined R,2100,1028.68852457213,3.9034316953370003,6.827086758221
AUT,Commercial,comm,A_tp,Combined TP,2025,962.00912603327,19.076927907442,5.697474453154
AUT,Commercial,comm,A_tp,Combined TP,2030,992.39598643637,12.290359918694001,6.212987838074
AUT,Commercial,comm,A_tp,Combined TP,2035,1015.08140012093,10.056142780234,5.519060043322
AUT,Commercial,comm,A_tp,Combined TP,2040,1031.82812438987,8.326088334856,4.976743481068
AUT,Commercial,comm,A_tp,Combined TP,2045,1044.52454614943,7.075993829138,4.536709477226
AUT,Commercial,comm,A_tp,Combined TP,2050,1053.8351238089301,6.031319391599999,4.1692038597
AUT,Commercial,comm,A_tp,Combined TP,2055,1058.90359448369,4.869257386242,3.85556325129
AUT,Commercial,comm,A_tp,Combined TP,2060,1060.56635789603,4.488219432978,4.15566675051
AUT,Commercial,comm,A_tp,Combined TP,2070,1057.2098125172301,4.290829256312,4.626483794192
AUT,Commercial,comm,A_tp,Combined TP,2080,1048.2740144716702,4.135923212264,5.02950301682
AUT,Commercial,comm,A_tp,Combined TP,2090,1027.34822138165,3.179261735927,5.271841044928999
AUT,Commercial,comm,A_tp,Combined TP,2100,998.95231426769,2.524842490409,5.364433201805
AUT,Buildings total,total,R,Reference,2025,1312.970352739283,21.95360519812162,6.4968724526297486
AUT,Buildings total,total,R,Reference,2030,1362.1555652972163,17.85184561802922,6.972411872405307
AUT,Buildings total,total,R,Reference,2035,1399.0470493462772,15.762887512795423,7.406020648972111
AUT,Buildings total,total,R,Reference,2040,1426.3383675207926,14.165777077577658,7.811449298872918
AUT,Buildings total,total,R,Reference,2045,1446.828585045711,13.08540700119883,8.196391162067716
AUT,Buildings total,total,R,Reference,2050,1461.8327332391395,12.278433505870671,8.564984777954113
AUT,Buildings total,total,R,Reference,2055,1470.4431056576746,11.313932629512696,8.916568056015585
AUT,Buildings total,total,R,Reference,2060,1473.9443613665862,10.57908131693463,9.24571167251678
AUT,Buildings total,total,R,Reference,2070,1470.912846147689,10.170309809042283,9.922312400406556
AUT,Buildings total,total,R,Reference,2080,1459.6512026894911,9.594640214635616,10.26727093657857
AUT,Buildings total,total,R,Reference,2090,1431.4786885563678,7.898875888535162,10.293249507167568
AUT,Buildings total,total,R,Reference,2100,1392.7321922790327,6.50661136464573,10.005621817614587
AUT,Buildings total,total,N_r,Narrow R,2025,1312.970352739283,21.95360519812162,6.4968724526297486
AUT,Buildings total,total,N_r,Narrow R,2030,1340.4203829147973,16.379004162466714,6.942414372468601
AUT,Buildings total,total,N_r,Narrow R,2035,1357.4331663153248,14.542409238756852,7.346766110590466
AUT,Buildings total,total,N_r,Narrow R,2040,1366.6467879768322,13.104167474406234,7.7226302887016844
AUT,Buildings total,total,N_r,Narrow R,2045,1370.6896414622493,12.196764326892232,8.07529927304181
AUT,Buildings total,total,N_r,Narrow R,2050,1370.285286414654,11.494109653215,8.40608714649718
AUT,Buildings total,total,N_r,Narrow R,2055,1377.8858165763222,10.7802296493726,8.736612778069437
AUT,Buildings total,total,N_r,Narrow R,2060,1380.8846509140517,10.1289539523051,9.038493360531048
AUT,Buildings total,total,N_r,Narrow R,2070,1377.8245027306953,9.779501929011012,9.658608514268215
AUT,Buildings total,total,N_r,Narrow R,2080,1367.2286077823858,9.217426067445292,9.926045292833944
AUT,Buildings total,total,N_r,Narrow R,2090,1340.8274358594704,7.572049938546584,9.88477232651504
AUT,Buildings total,total,N_r,Narrow R,2100,1304.528221917924,6.215136669271957,9.554197434980331
AUT,Buildings total,total,N_tp,Narrow TP,2025,1312.970352739283,21.95360519812162,6.4968724526297486
AUT,Buildings total,total,N_tp,Narrow TP,2030,1303.6661823523052,14.427534833632839,6.888480371114529
AUT,Buildings total,total,N_tp,Narrow TP,2035,1288.478521924667,13.133496293010374,7.239110280806826
AUT,Buildings total,total,N_tp,Narrow TP,2040,1269.4916556586177,12.168544092733718,7.562593095358967
AUT,Buildings total,total,N_tp,Narrow TP,2045,1249.118146643522,11.34631135078111,7.8585849992969194
AUT,Buildings total,total,N_tp,Narrow TP,2050,1227.0680486448985,10.834930526903834,8.127097539602339
AUT,Buildings total,total,N_tp,Narrow TP,2055,1233.259080251866,9.921356806460096,8.42295516999995
AUT,Buildings total,total,N_tp,Narrow TP,2060,1235.6561541392423,9.402314759072766,8.679549166682499
AUT,Buildings total,total,N_tp,Narrow TP,2070,1232.9265560735853,9.144069275571878,9.206411339407527
AUT,Buildings total,total,N_tp,Narrow TP,2080,1223.712089171137,8.598580344265773,9.348282828247818
AUT,Buildings total,total,N_tp,Narrow TP,2090,1200.35867978602,7.0280988522857255,9.20259541604564
AUT,Buildings total,total,N_tp,Narrow TP,2100,1168.1030093555544,5.730846898718458,8.813353746742589
AUT,Buildings total,total,S_r,Slow R,2025,1312.970352739283,21.95360519812162,6.4968724526297486
AUT,Buildings total,total,S_r,Slow R,2030,1362.1555652972163,17.85184561802922,6.972411872405307
AUT,Buildings total,total,S_r,Slow R,2035,1399.0470497235265,15.070338731284611,6.773894794022888
AUT,Buildings total,total,S_r,Slow R,2040,1426.3383679151618,12.836497857516969,6.603451572140747
AUT,Buildings total,total,S_r,Slow R,2045,1446.8285820166518,11.156776289187993,6.4484709987657105
AUT,Buildings total,total,S_r,Slow R,2050,1461.8327312464694,9.775488624252048,6.299129187936332
AUT,Buildings total,total,S_r,Slow R,2055,1470.4431105954623,8.257131070324395,6.148908035815409
AUT,Buildings total,total,S_r,Slow R,2060,1473.9443700088395,7.519366962549636,6.464588134222949
AUT,Buildings total,total,S_r,Slow R,2070,1470.9128460552756,6.9972398034054155,7.005456352976957
AUT,Buildings total,total,S_r,Slow R,2080,1459.6512025496613,6.484672641627661,7.390827975027038
AUT,Buildings total,total,S_r,Slow R,2090,1431.4786887547853,5.040313965025625,7.609888395714153
AUT,Buildings total,total,S_r,Slow R,2100,1392.7322100490023,4.060699236156401,7.68041191693316
AUT,Buildings total,total,S_tp,Slow TP,2025,1312.970352739283,21.95360519812162,6.4968724526297486
AUT,Buildings total,total,S_tp,Slow TP,2030,1362.1555652972163,17.85184561802922,6.972411872405307
AUT,Buildings total,total,S_tp,Slow TP,2035,1399.0470504627665,14.293865376877667,6.197784658573352
AUT,Buildings total,total,S_tp,Slow TP,2040,1426.3383685905756,11.442380878250232,5.594053780460282
AUT,Buildings total,total,S_tp,Slow TP,2045,1446.8285773011137,9.347714562349443,5.107178000946916
AUT,Buildings total,total,S_tp,Slow TP,2050,1461.8327280877647,7.686574952001328,4.702805994798018
AUT,Buildings total,total,S_tp,Slow TP,2055,1470.4431112434586,5.989956128525605,4.358952914263054
AUT,Buildings total,total,S_tp,Slow TP,2060,1473.9443756948785,5.322495285944475,4.6659080628814324
AUT,Buildings total,total,S_tp,Slow TP,2070,1470.9128401473422,4.8861993770481815,5.162314501801061
AUT,Buildings total,total,S_tp,Slow TP,2080,1459.651196597546,4.546396398146345,5.610333723104332
AUT,Buildings total,total,S_tp,Slow TP,2090,1431.4786868353647,3.3208231948424602,5.917422313662992
AUT,Buildings total,total,S_tp,Slow TP,2100,1392.7322086810448,2.567353726365,6.087778516299275
AUT,Buildings total,total,C_r,Close R,2025,1312.970352739283,21.95360519812162,6.4968724526297486
AUT,Buildings total,total,C_r,Close R,2030,1362.1555652972163,17.85184561802922,6.972411872405307
AUT,Buildings total,total,C_r,Close R,2035,1399.0470493462772,15.762887512795423,7.406020648972111
AUT,Buildings total,total,C_r,Close R,2040,1426.3383675207926,14.165777077577658,7.811449298872918
AUT,Buildings total,total,C_r,Close R,2045,1446.828585045711,13.08540700119883,8.196391162067716
AUT,Buildings total,total,C_r,Close R,2050,1461.8327332391395,12.278433505870671,8.564984777954113
AUT,Buildings total,total,C_r,Close R,2055,1470.4431056576746,11.313932629512696,8.916568056015585
AUT,Buildings total,total,C_r,Close R,2060,1473.9443613665862,10.57908131693463,9.24571167251678
AUT,Buildings total,total,C_r,Close R,2070,1470.912846147689,10.170309809042283,9.922312400406556
AUT,Buildings total,total,C_r,Close R,2080,1459.6512026894911,9.594640214635616,10.26727093657857
AUT,Buildings total,total,C_r,Close R,2090,1431.4786885563678,7.898875888535162,10.293249507167568
AUT,Buildings total,total,C_r,Close R,2100,1392.7321922790327,6.50661136464573,10.005621817614587
