"","UC_NM_MN","CTR_MN_ISO","GRGN_L2","lcz","month","delta"
"330","Barcelona","ESP","Southern Europe","Compact lowrise",2,9.23455978187331
"331","Barcelona","ESP","Southern Europe","Compact midrise",2,-1.08676242377501
"332","Barcelona","ESP","Southern Europe","Large lowrise",2,-3.58662937385929
"333","Barcelona","ESP","Southern Europe","Open lowrise",2,-1.3783863535902
"334","Barcelona","ESP","Southern Europe","Open midrise",2,-2.48766002837445
"335","Barcelona","ESP","Southern Europe","Sparsely built",2,-1.36399509960804
"336","Barcelona","ESP","Southern Europe","Compact lowrise",3,8.29342310806148
"337","Barcelona","ESP","Southern Europe","Compact midrise",3,-0.788380366133915
"338","Barcelona","ESP","Southern Europe","Large lowrise",3,-2.54016687913858
"339","Barcelona","ESP","Southern Europe","Open lowrise",3,-0.079507915668262
"340","Barcelona","ESP","Southern Europe","Open midrise",3,-1.39730616756309
"341","Barcelona","ESP","Southern Europe","Sparsely built",3,0.518577968593946
"342","Barcelona","ESP","Southern Europe","Compact lowrise",4,7.12577452853634
"343","Barcelona","ESP","Southern Europe","Compact midrise",4,-0.53312155855027
"344","Barcelona","ESP","Southern Europe","Large lowrise",4,-1.87382045055296
"345","Barcelona","ESP","Southern Europe","Open lowrise",4,0.519059776442624
"346","Barcelona","ESP","Southern Europe","Open midrise",4,-0.716033999597395
"347","Barcelona","ESP","Southern Europe","Sparsely built",4,1.78827794723295
"348","Barcelona","ESP","Southern Europe","Compact lowrise",5,6.33717874505426
"349","Barcelona","ESP","Southern Europe","Compact midrise",5,-0.311201566158829
"350","Barcelona","ESP","Southern Europe","Large lowrise",5,-1.2676845499173
"351","Barcelona","ESP","Southern Europe","Open lowrise",5,0.877627634703397
"352","Barcelona","ESP","Southern Europe","Open midrise",5,-0.266003855001235
"353","Barcelona","ESP","Southern Europe","Sparsely built",5,2.28752955634513
"354","Barcelona","ESP","Southern Europe","Compact lowrise",6,5.4100310234903
"355","Barcelona","ESP","Southern Europe","Compact midrise",6,-0.120182124956265
"356","Barcelona","ESP","Southern Europe","Large lowrise",6,-0.781313825052328
"357","Barcelona","ESP","Southern Europe","Open lowrise",6,1.12975400207337
"358","Barcelona","ESP","Southern Europe","Open midrise",6,0.0921701820743828
"359","Barcelona","ESP","Southern Europe","Sparsely built",6,2.66735147461604
"360","Barcelona","ESP","Southern Europe","Compact lowrise",7,5.1518025506629
"361","Barcelona","ESP","Southern Europe","Compact midrise",7,-0.112970748832345
"362","Barcelona","ESP","Southern Europe","Large lowrise",7,-0.555331738061513
"363","Barcelona","ESP","Southern Europe","Open lowrise",7,1.44776586468562
"364","Barcelona","ESP","Southern Europe","Open midrise",7,0.339927783322826
"365","Barcelona","ESP","Southern Europe","Sparsely built",7,2.95103349645918
"366","Barcelona","ESP","Southern Europe","Compact lowrise",8,4.83894746723079
"367","Barcelona","ESP","Southern Europe","Compact midrise",8,-0.22872993899142
"368","Barcelona","ESP","Southern Europe","Large lowrise",8,-0.721809437204412
"369","Barcelona","ESP","Southern Europe","Open lowrise",8,1.09630118562227
"370","Barcelona","ESP","Southern Europe","Open midrise",8,0.0116145189940867
"371","Barcelona","ESP","Southern Europe","Sparsely built",8,2.52978132920055
"372","Barcelona","ESP","Southern Europe","Compact lowrise",9,4.73140827879746
"373","Barcelona","ESP","Southern Europe","Compact midrise",9,-0.529291699674257
"374","Barcelona","ESP","Southern Europe","Large lowrise",9,-1.35212914464864
