region_gea,mat,eneff,year,value
AFR,perm,s52_low,2075,0
CPA,perm,s51_std,2075,0
CPA,perm,s52_low,2075,1
EEU,perm,s51_std,2075,0
EEU,perm,s52_low,2075,1
FSU,perm,s51_std,2075,0
FSU,perm,s52_low,2075,1
LAC,perm,s51_std,2075,1
LAC,perm,s52_low,2075,0
MEA,perm,s51_std,2075,1
MEA,perm,s52_low,2075,0
NAM,perm,s51_std,2075,0
NAM,perm,s52_low,2075,1
PAO,perm,s51_std,2075,0
PAO,perm,s52_low,2075,1
PAS,perm,s51_std,2075,1
PAS,perm,s52_low,2075,0
SAS,perm,s51_std,2075,1
SAS,perm,s52_low,2075,0
WEU,perm,s51_std,2075,0
WEU,perm,s52_low,2075,1
AFR,perm,s51_std,2080,1
AFR,perm,s52_low,2080,0
CPA,perm,s51_std,2080,0
CPA,perm,s52_low,2080,1
EEU,perm,s51_std,2080,0
EEU,perm,s52_low,2080,1
FSU,perm,s51_std,2080,0
FSU,perm,s52_low,2080,1
LAC,perm,s51_std,2080,1
LAC,perm,s52_low,2080,0
MEA,perm,s51_std,2080,1
MEA,perm,s52_low,2080,0
NAM,perm,s51_std,2080,0
NAM,perm,s52_low,2080,1
PAO,perm,s51_std,2080,0
PAO,perm,s52_low,2080,1
PAS,perm,s51_std,2080,1
PAS,perm,s52_low,2080,0
SAS,perm,s51_std,2080,1
SAS,perm,s52_low,2080,0
WEU,perm,s51_std,2080,0
WEU,perm,s52_low,2080,1
AFR,perm,s51_std,2085,1
AFR,perm,s52_low,2085,0
CPA,perm,s51_std,2085,0
CPA,perm,s52_low,2085,1
EEU,perm,s51_std,2085,0
EEU,perm,s52_low,2085,1
FSU,perm,s51_std,2085,0
FSU,perm,s52_low,2085,1
LAC,perm,s51_std,2085,1
LAC,perm,s52_low,2085,0
MEA,perm,s51_std,2085,1
MEA,perm,s52_low,2085,0
NAM,perm,s51_std,2085,0
NAM,perm,s52_low,2085,1
PAO,perm,s51_std,2085,0
PAO,perm,s52_low,2085,1
PAS,perm,s51_std,2085,1
PAS,perm,s52_low,2085,0
SAS,perm,s51_std,2085,1
SAS,perm,s52_low,2085,0
WEU,perm,s51_std,2085,0
WEU,perm,s52_low,2085,1
AFR,perm,s51_std,2090,1
AFR,perm,s52_low,2090,0
CPA,perm,s51_std,2090,0
CPA,perm,s52_low,2090,1
EEU,perm,s51_std,2090,0
EEU,perm,s52_low,2090,1
FSU,perm,s51_std,2090,0
FSU,perm,s52_low,2090,1
LAC,perm,s51_std,2090,1
LAC,perm,s52_low,2090,0
MEA,perm,s51_std,2090,1
MEA,perm,s52_low,2090,0
NAM,perm,s51_std,2090,0
NAM,perm,s52_low,2090,1
PAO,perm,s51_std,2090,0
PAO,perm,s52_low,2090,1
PAS,perm,s51_std,2090,1
PAS,perm,s52_low,2090,0
SAS,perm,s51_std,2090,1
SAS,perm,s52_low,2090,0
WEU,perm,s51_std,2090,0
WEU,perm,s52_low,2090,1
AFR,perm,s51_std,2095,1
AFR,perm,s52_low,2095,0
CPA,perm,s51_std,2095,0
CPA,perm,s52_low,2095,1
EEU,perm,s51_std,2095,0
EEU,perm,s52_low,2095,1
FSU,perm,s51_std,2095,0
FSU,perm,s52_low,2095,1
LAC,perm,s51_std,2095,1
LAC,perm,s52_low,2095,0
MEA,perm,s51_std,2095,1
MEA,perm,s52_low,2095,0
NAM,perm,s51_std,2095,0
NAM,perm,s52_low,2095,1
PAO,perm,s51_std,2095,0
PAO,perm,s52_low,2095,1
PAS,perm,s51_std,2095,1
PAS,perm,s52_low,2095,0
SAS,perm,s51_std,2095,1
SAS,perm,s52_low,2095,0
WEU,perm,s51_std,2095,0
WEU,perm,s52_low,2095,1
AFR,perm,s51_std,2100,1
AFR,perm,s52_low,2100,0
CPA,perm,s51_std,2100,0
CPA,perm,s52_low,2100,1
EEU,perm,s51_std,2100,0
EEU,perm,s52_low,2100,1
FSU,perm,s51_std,2100,0
FSU,perm,s52_low,2100,1
LAC,perm,s51_std,2100,1
LAC,perm,s52_low,2100,0
MEA,perm,s51_std,2100,1
MEA,perm,s52_low,2100,0
NAM,perm,s51_std,2100,0
NAM,perm,s52_low,2100,1
PAO,perm,s51_std,2100,0
PAO,perm,s52_low,2100,1
PAS,perm,s51_std,2100,1
PAS,perm,s52_low,2100,0
SAS,perm,s51_std,2100,1
SAS,perm,s52_low,2100,0
WEU,perm,s51_std,2100,0
WEU,perm,s52_low,2100,1
