region_bld,year,fuel,value
C-WEU-LUX,2015,district_heat,0.07602381
C-WEU-MLT,2015,district_heat,0.04797619
C-WEU-NLD,2015,district_heat,0.085
C-WEU-PRT,2015,district_heat,0.043547619
C-WEU-SWE,2015,district_heat,0.091
C-EEU-HRV,2015,district_heat,0.057
C-EEU-BGR,2015,biomass_solid,0.046
C-EEU-CZE,2015,biomass_solid,0.025090909
C-EEU-EST,2015,biomass_solid,0.026991736
C-EEU-HUN,2015,biomass_solid,0.023570248
C-EEU-LTU,2015,biomass_solid,0.028132231
C-EEU-LVA,2015,biomass_solid,0.031553719
C-EEU-POL,2015,biomass_solid,0.026991736
C-EEU-ROU,2015,biomass_solid,0.017487603
C-EEU-SVK,2015,biomass_solid,0.02661157
C-EEU-SVN,2015,biomass_solid,0.028892562
C-WEU-AUT,2015,biomass_solid,0.046
C-WEU-BEL,2015,biomass_solid,0.037636364
C-WEU-CYP,2015,biomass_solid,0.028512397
C-WEU-DEU,2015,biomass_solid,0.045619835
C-WEU-DNK,2015,biomass_solid,0.056644628
C-WEU-ESP,2015,biomass_solid,0.031173554
C-WEU-FIN,2015,biomass_solid,0.041438017
C-WEU-FRA,2015,biomass_solid,0.045239669
C-WEU-GBR,2015,biomass_solid,0.044099174
C-WEU-GRC,2015,biomass_solid,0.027752066
C-WEU-IRL,2015,biomass_solid,0.039157025
C-WEU-ITA,2015,biomass_solid,0.030033058
C-WEU-LUX,2015,biomass_solid,0.039157025
C-WEU-MLT,2015,biomass_solid,0.024710744
C-WEU-NLD,2015,biomass_solid,0.049041322
C-WEU-PRT,2015,biomass_solid,0.022429752
C-WEU-SWE,2015,biomass_solid,0.055123967
C-EEU-HRV,2015,biomass_solid,0.025090909
C-EEU-BGR,2015,coal,0.013943662
C-EEU-CZE,2015,coal,0.020450704
C-EEU-EST,2015,coal,0.022
C-EEU-HUN,2015,coal,0.019211268
C-EEU-LTU,2015,coal,0.022929577
C-EEU-LVA,2015,coal,0.02571831
C-EEU-POL,2015,coal,0.022
C-EEU-ROU,2015,coal,0.014253521
C-EEU-SVK,2015,coal,0.021690141
C-EEU-SVN,2015,coal,0.023549296
C-WEU-AUT,2015,coal,0.037492958
C-WEU-BEL,2015,coal,0.030676056
C-WEU-CYP,2015,coal,0.023239437
C-WEU-DEU,2015,coal,0.037183099
C-WEU-DNK,2015,coal,0.046169014
C-WEU-ESP,2015,coal,0.025408451
C-WEU-FIN,2015,coal,0.033774648
C-WEU-FRA,2015,coal,0.036873239
C-WEU-GBR,2015,coal,0.035943662
C-WEU-GRC,2015,coal,0.022619718
C-WEU-IRL,2015,coal,0.031915493
C-WEU-ITA,2015,coal,0.024478873
C-WEU-LUX,2015,coal,0.031915493
C-WEU-MLT,2015,coal,0.020140845
C-WEU-NLD,2015,coal,0.039971831
C-WEU-PRT,2015,coal,0.01828169
C-WEU-SWE,2015,coal,0.044929577
C-EEU-HRV,2015,coal,0.020450704
