ssp,region_gea,fuel,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2070,y2080,y2090,y2100
SSP2,FSU,gas,4.497247272,5.342317491,4.540706344,5.056665648,4.635185332,4.676764032,4.891502102,4.739108189,4.993248716,6.635059359,6.597446089,6.482500167,7.598669839,8.892440685
SSP2,FSU,oil,0,3.945958648,4.444428739,4.118547364,4.642347244,5.189160455,5.461178442,6.278543215,6.201507524,8.002587187,6.873623867,8.173856606,9.313448454,9.224366241
SSP2,FSU,biomass_solid,0.702528708,3.034103681,2.738298182,2.22828581,2.473638698,0.958073086,0.93072579,0.714300025,0.702528708,2.58050981,2.197210615,1.735381658,5.671008562,3.523719789
SSP2,FSU,coal,2.055792743,3.03444618,2.09730818,2.6287015,2.296972321,3.069146868,2.360987114,2.436092823,2.425210405,3.923223901,4.098016266,4.128120209,4.496117806,4.449237258
SSP2,LAC,electricity,12.73904406,13.51431999,16.7082875,16.25459349,17.49303806,17.99536507,17.01905031,17.2316964,17.58707904,20.17002136,17.6352916,18.93085352,19.25900305,19.64978649
SSP2,LAC,gas,3.477048103,3.949621316,4.328111109,4.938794734,4.45731272,5.321324688,5.493029432,6.081685068,6.249803277,6.952519138,7.29090746,8.437921246,8.634609374,8.912025644
SSP2,LAC,oil,4.606865285,2.949741867,4.562488375,4.293851659,4.767965634,5.267131883,5.413673898,6.233533213,6.433189306,7.891390477,6.935691793,8.269753162,9.45403047,9.416067427
SSP2,LAC,biomass_solid,1.922162696,2.004895988,1.588899739,2.683707089,1.846266354,2.661376277,2.068060644,1.485094239,3.392149386,3.777096726,3.749415854,4.231345166,5.487571493,5.298420933
SSP2,LAC,coal,2.212700603,2.461387954,2.993246076,2.526887447,2.757796443,2.954909151,3.073522824,3.369691239,3.831401686,4.138509206,4.764887524,5.686519811,6.072661567,6.548951856
SSP2,MEA,electricity,20.25820941,17.50779955,15.84964003,13.41186512,16.1656427,16.69223504,16.55300171,17.20638914,17.25509208,20.37948705,17.62254245,18.78303204,20.19245243,22.84745417
SSP2,MEA,gas,3.188680732,4.445430736,3.417602214,3.516060658,4.486432528,4.712499151,4.988992281,5.397583525,5.645205278,6.599734448,6.840257235,7.834412233,8.899978741,11.42843905
SSP2,MEA,oil,1.655396171,4.464913598,4.462619528,4.211690175,4.578635153,5.178152581,5.420555797,6.459350218,6.463330937,7.773214614,6.987732414,8.432741155,9.113589821,10.39263607
SSP2,MEA,biomass_solid,0.087816089,1.608239757,1.183418961,1.647630799,2.357649055,2.379710003,2.054190543,2.316753416,2.443422877,4.958591905,3.837085527,5.070325025,6.145133453,7.305483244
SSP2,MEA,coal,0.702528708,4.01412707,3.286254868,2.776190523,3.328316127,3.53288477,3.235345024,3.4097218,3.765753736,4.625715095,4.494359321,7.441127069,9.442927381,7.972749089
SSP2,NAM,electricity,8.642633588,18.07464213,17.50706991,22.48919765,22.81305388,23.307582,23.22567063,23.34719129,23.7957943,26.65708082,23.34711249,24.57643063,24.7713699,26.62358774
SSP2,NAM,gas,5.142708937,6.328477259,6.713137741,7.079007476,7.260403411,8.056693226,7.732826335,8.153474874,9.933882845,9.701647911,9.507607365,10.64607403,10.81910763,10.98004189
SSP2,NAM,oil,4.833256102,4.092869746,5.351046703,4.82642077,7.235986603,7.164243432,7.928169574,8.465429834,8.706125336,9.566844514,9.595452324,10.93714924,12.23836639,12.26892761
SSP2,NAM,biomass_solid,132.8356179,79.67508277,1.4054736,3.295242211,2.200407932,3.183638877,2.989081778,4.003067369,5.280532917,5.119239743,5.352621827,6.166308851,6.456937575,6.288434689
SSP2,NAM,coal,3.293624759,3.226483144,3.253774098,3.481982559,4.67575402,4.196888811,4.040776138,4.694803791,5.583287031,5.873300667,6.164311296,6.569009481,7.010500869,7.366328127
SSP2,PAS,electricity,32.72142027,18.48466259,18.47879093,19.25665843,19.58839455,18.71745602,18.78124922,19.15321567,19.56201533,23.24872479,19.58301052,20.647843,21.24844212,21.9984659
SSP2,PAS,gas,3.320027583,6.056750764,6.228277107,5.644521527,5.526659475,6.424780275,6.669514093,7.153092595,7.524788116,8.543084032,8.267641849,9.42374739,9.486315748,9.729283414
SSP2,PAS,oil,4.608800521,4.412700005,5.405285766,4.922740156,5.390596679,5.931683977,6.214120726,7.089758702,7.196061208,8.749807961,7.637459759,8.998731445,10.18246084,10.10562329
SSP2,PAS,biomass_solid,0.087816089,3.934164116,3.000245761,2.627209268,2.934952346,3.122287957,2.244501683,2.69746349,2.897617711,3.254580595,4.392380156,4.990157384,5.17496207,4.626507224
SSP2,PAS,coal,2.481801709,4.192283115,3.973081975,3.534642989,3.326047793,3.528348102,3.227474389,3.398517197,3.743951963,4.106266796,4.59866999,4.968773575,5.205973429,5.17890247
SSP2,PAO,electricity,11.39179332,16.53405366,18.7915122,21.39799405,22.3115622,21.63162401,21.67607533,22.36150917,22.08148226,24.27087051,20.60587915,20.65288494,20.52559915,22.72802868
SSP2,PAO,gas,4.144717663,5.890516122,5.911542348,5.942569651,6.663336627,6.848177595,7.232058986,8.543715975,7.416278538,8.113975496,7.673809785,7.748709383,7.987228625,8.355005701
SSP2,PAO,oil,3.768252277,3.99006037,5.284120893,4.883601019,5.115098556,5.798238283,5.92998898,7.054939691,7.037594433,8.517100375,7.341615079,8.735142556,9.870135207,8.242354776
SSP2,PAO,biomass_solid,0.702528708,3.470485388,2.511200045,1.93863397,2.737786162,3.214680069,1.625130238,2.346869831,2.226126402,3.966173435,2.687995639,3.621248483,3.722651742,3.229344837
SSP2,PAO,coal,2.932833955,4.448843461,3.76436214,3.135356081,3.220204676,3.388154125,3.124455277,3.189852182,3.558239207,4.360305817,4.1599904,4.149095514,4.271629573,4.406803267
SSP2,SAS,electricity,18.95938281,23.11145926,20.2494016,20.25755447,20.30076352,20.80088048,21.26621686,21.48997643,22.03354844,24.21789834,20.65328967,21.77348761,22.49675582,22.68910742
SSP2,SAS,gas,4.669956125,6.068883224,6.446601903,5.722330435,6.318058042,7.005621209,7.808308756,8.673556367,9.242075329,10.01706535,9.402356795,11.31578109,10.86988119,11.45985236
SSP2,SAS,oil,4.833256102,3.711235135,5.19116753,4.907934936,5.305099613,5.921434637,6.227911138,7.311541222,7.563099997,9.105490151,7.996816368,9.720231593,11.01196071,11.19344404
SSP2,SAS,biomass_solid,3.767963676,4.63253113,3.130393685,2.913052139,3.006196889,3.279985661,3.377761239,4.143537099,4.254434485,5.466052413,3.989942359,5.077543439,4.824333082,5.371522963
SSP2,SAS,coal,2.513440655,3.933038166,3.286254868,3.158171437,3.352467746,3.615125902,3.277346884,3.55737724,3.841991944,4.401798662,5.010694876,6.242352966,5.953420648,6.715209515
SSP2,AFR,electricity,11.77939782,15.0433113,17.81131304,15.54429118,17.54822539,17.75769015,17.77907969,18.17553678,18.35506396,22.14454,19.38080809,21.64972603,23.1657561,23.72199811
SSP2,AFR,gas,3.238066869,6.032748731,6.48248387,4.682474658,5.640111614,7.234835074,5.695370669,5.99113572,6.61595362,7.45853882,8.377841601,10.50954969,13.50138197,14.93552806
SSP2,AFR,oil,0,3.845059305,6.396033045,4.922740156,5.402872639,5.768333217,6.411206457,7.15547493,7.405081057,9.040061498,8.404410791,10.43655852,12.62319855,13.93016728
SSP2,AFR,biomass_solid,0.087816089,6.223068938,6.996823863,2.208029568,2.330607611,2.68517583,2.806188797,2.824902301,3.579888673,4.002975892,4.259255837,6.598746737,7.670496382,9.682806938
SSP2,AFR,coal,0.702528708,2.572362692,4.395720768,2.419973327,2.522196603,2.469148222,2.612597041,2.388037653,3.532109638,4.112409854,4.50021956,6.511257781,8.104087547,10.25402016
SSP2,WEU,electricity,12.0092042,21.55357693,12.08712265,18.72954926,19.87690784,20.61568202,20.34327916,20.53054249,20.78214003,23.66516067,21.43328546,21.63471496,22.50136414,25.75911724
SSP2,WEU,gas,3.507217402,7.871477114,4.768978346,5.227580486,5.39099297,5.947262569,7.234825306,6.049243342,6.288296051,6.838941697,8.018831101,8.240701966,9.203156911,9.781577289
SSP2,WEU,oil,0.026664294,7.58222635,4.966022587,4.941259617,5.380051765,5.752333723,6.122042104,6.994290221,7.291442555,8.663386152,7.585461924,8.89340658,10.0471497,9.937961516
SSP2,WEU,biomass_solid,0.702528708,4.451442595,1.899930243,2.497646792,2.859108725,2.425574563,1.679604615,2.225882774,2.293748579,3.724420681,3.443001907,3.368175019,4.367174908,5.771742543
SSP2,WEU,coal,3.456646947,4.807056867,3.321539518,3.230622002,3.705264674,3.402487204,2.362943271,3.341649202,3.621277519,4.556386386,4.324968974,4.917302222,4.967631146,4.664979119
