region_bld,inc_cl,urt,value
C-WEU-ISL,q2,urb,42803.55876
C-WEU-ISL,q3,urb,73391.14953
C-WEU-ITA,q1,rur,11518.56825
C-WEU-ITA,q2,rur,19842.58751
C-WEU-ITA,q3,rur,36021.18903
C-WEU-ITA,q1,urb,18933.40222
C-WEU-ITA,q2,urb,33310.07084
C-WEU-ITA,q3,urb,62534.42823
C-EEU-LTU,q1,rur,7363.988233
C-EEU-LTU,q2,rur,13781.35138
C-EEU-LTU,q3,rur,28411.92342
C-EEU-LTU,q1,urb,11720.20765
C-EEU-LTU,q2,urb,22729.55963
C-EEU-LTU,q3,urb,48415.01059
C-WEU-LUX,q1,rur,30089.89644
C-WEU-LUX,q2,rur,48465.41431
C-WEU-LUX,q3,rur,81300.49102
C-WEU-LUX,q1,urb,52116.61081
C-WEU-LUX,q2,urb,86245.01059
C-WEU-LUX,q3,urb,150684.5952
C-EEU-LVA,q1,rur,6296.587788
C-EEU-LVA,q2,rur,11892.55292
C-EEU-LVA,q3,rur,23701.24929
C-EEU-LVA,q1,urb,10150.53095
C-EEU-LVA,q2,urb,19594.07816
C-EEU-LVA,q3,urb,41510.05802
C-WEU-MLT,q1,rur,11043.28736
C-WEU-MLT,q2,rur,17782.60007
C-WEU-MLT,q3,rur,30066.52765
C-WEU-MLT,q1,urb,17742.14869
C-WEU-MLT,q2,urb,29655.84122
C-WEU-MLT,q3,urb,51691.19636
C-WEU-NLD,q1,rur,17403.98402
C-WEU-NLD,q2,rur,27654.5026
C-WEU-NLD,q3,rur,46307.67482
C-WEU-NLD,q1,urb,29047.1459
C-WEU-NLD,q2,urb,47062.15075
C-WEU-NLD,q3,urb,79982.11127
C-WEU-NOR,q1,rur,22645.92791
C-WEU-NOR,q2,rur,35195.41149
C-WEU-NOR,q3,rur,57228.60154
C-WEU-NOR,q1,urb,38254.55525
C-WEU-NOR,q2,urb,61014.78711
C-WEU-NOR,q3,urb,101569.3692
C-EEU-POL,q1,rur,7656.436905
C-EEU-POL,q2,rur,14555.03669
C-EEU-POL,q3,rur,30250.6789
C-EEU-POL,q1,urb,12337.99997
C-EEU-POL,q2,urb,24137.10737
C-EEU-POL,q3,urb,52186.62289
C-WEU-PRT,q1,rur,8139.345896
C-WEU-PRT,q2,rur,15430.12543
C-WEU-PRT,q3,rur,31633.14772
C-WEU-PRT,q1,urb,13280.82353
C-WEU-PRT,q2,urb,25867.3633
C-WEU-PRT,q3,urb,54026.62813
C-EEU-ROU,q1,rur,5610.379229
C-EEU-ROU,q2,rur,8954.387156
C-EEU-ROU,q3,rur,15051.64625
C-EEU-ROU,q1,urb,8763.933244
C-EEU-ROU,q2,urb,14316.18364
C-EEU-ROU,q3,urb,24661.26237
C-EEU-SVK,q1,rur,10325.82235
C-EEU-SVK,q2,rur,16691.91245
C-EEU-SVK,q3,rur,28704.01168
C-EEU-SVK,q1,urb,16882.00686
C-EEU-SVK,q2,urb,27921.64767
C-EEU-SVK,q3,urb,48921.62285
C-EEU-SVN,q1,rur,12357.30588
C-EEU-SVN,q2,rur,19018.5736
C-EEU-SVN,q3,rur,30681.24485
C-EEU-SVN,q1,urb,20492.99975
C-EEU-SVN,q2,urb,32432.04361
C-EEU-SVN,q3,urb,53386.70192
C-WEU-SWE,q1,rur,16555.12538
C-WEU-SWE,q2,rur,26519.834
C-WEU-SWE,q3,rur,44429.72869
C-WEU-SWE,q1,urb,27686.12382
C-WEU-SWE,q2,urb,45142.28345
C-WEU-SWE,q3,urb,77325.7348
