region_bld,inc_cl,urt,year,value
C-WEU-ITA,q3,urb,2065,122518.7353
C-WEU-ITA,q1,rur,2070,16493.4019
C-WEU-ITA,q2,rur,2070,32634.64329
C-WEU-ITA,q3,rur,2070,71769.00646
C-WEU-ITA,q1,urb,2070,27926.6188
C-WEU-ITA,q2,urb,2070,56576.19233
C-WEU-ITA,q3,urb,2070,130257.1381
C-WEU-ITA,q1,rur,2075,17233.27946
C-WEU-ITA,q2,rur,2075,34573.90368
C-WEU-ITA,q3,rur,2075,78398.94507
C-WEU-ITA,q1,urb,2075,28688.84121
C-WEU-ITA,q2,urb,2075,59590.95107
C-WEU-ITA,q3,urb,2075,137492.1855
C-WEU-ITA,q1,rur,2080,17618.79891
C-WEU-ITA,q2,rur,2080,35966.0815
C-WEU-ITA,q3,rur,2080,82900.54533
C-WEU-ITA,q1,urb,2080,29920.54248
C-WEU-ITA,q2,urb,2080,62681.44342
C-WEU-ITA,q3,urb,2080,152350.1689
C-WEU-ITA,q1,rur,2085,18159.67423
C-WEU-ITA,q2,rur,2085,37826.52807
C-WEU-ITA,q3,rur,2085,88443.14424
C-WEU-ITA,q1,urb,2085,30502.06546
C-WEU-ITA,q2,urb,2085,66063.70433
C-WEU-ITA,q3,urb,2085,161675.6309
C-WEU-ITA,q1,rur,2090,18456.48365
C-WEU-ITA,q2,rur,2090,39603.8009
C-WEU-ITA,q3,rur,2090,96180.12122
C-WEU-ITA,q1,urb,2090,31226.1661
C-WEU-ITA,q2,urb,2090,69092.60473
C-WEU-ITA,q3,urb,2090,174088.6028
C-WEU-ITA,q1,rur,2095,18863.34418
C-WEU-ITA,q2,rur,2095,40865.95752
C-WEU-ITA,q3,rur,2095,100193.0466
C-WEU-ITA,q1,urb,2095,31742.56902
C-WEU-ITA,q2,urb,2095,71673.15574
C-WEU-ITA,q3,urb,2095,187192.6648
C-WEU-ITA,q1,rur,2100,19988.18946
C-WEU-ITA,q2,rur,2100,43982.39808
C-WEU-ITA,q3,rur,2100,107719.7278
C-WEU-ITA,q1,urb,2100,33472.89445
C-WEU-ITA,q2,urb,2100,75951.14389
C-WEU-ITA,q3,urb,2100,201320.6615
C-EEU-LTU,q1,rur,2015,7260.890609
C-EEU-LTU,q2,rur,2015,13845.5285
C-EEU-LTU,q3,rur,2015,28755.27467
C-EEU-LTU,q1,urb,2015,11762.50194
C-EEU-LTU,q2,urb,2015,22749.12989
C-EEU-LTU,q3,urb,2015,48231.46427
C-EEU-LTU,q1,rur,2020,8439.974148
C-EEU-LTU,q2,rur,2020,16372.20904
C-EEU-LTU,q3,rur,2020,34783.18497
C-EEU-LTU,q1,urb,2020,13598.62324
C-EEU-LTU,q2,urb,2020,27492.65579
C-EEU-LTU,q3,urb,2020,61758.21677
C-EEU-LTU,q1,rur,2025,8848.915053
C-EEU-LTU,q2,rur,2025,17761.95326
C-EEU-LTU,q3,rur,2025,39425.32662
C-EEU-LTU,q1,urb,2025,14600.38765
C-EEU-LTU,q2,urb,2025,29885.73263
C-EEU-LTU,q3,urb,2025,69162.45258
C-EEU-LTU,q1,rur,2030,9210.62553
C-EEU-LTU,q2,rur,2030,18893.41144
C-EEU-LTU,q3,rur,2030,43064.93381
C-EEU-LTU,q1,urb,2030,14816.84633
C-EEU-LTU,q2,urb,2030,31786.02433
C-EEU-LTU,q3,urb,2030,76242.90897
C-EEU-LTU,q1,rur,2035,9584.482241
C-EEU-LTU,q2,rur,2035,20141.37807
C-EEU-LTU,q3,rur,2035,48287.29726
C-EEU-LTU,q1,urb,2035,15553.1878
C-EEU-LTU,q2,urb,2035,34505.20153
C-EEU-LTU,q3,urb,2035,84500.82614
C-EEU-LTU,q1,rur,2040,9926.417781
C-EEU-LTU,q2,rur,2040,21166.44472
C-EEU-LTU,q3,rur,2040,52362.22361
C-EEU-LTU,q1,urb,2040,16142.93756
C-EEU-LTU,q2,urb,2040,36028.73874
C-EEU-LTU,q3,urb,2040,90359.80494
C-EEU-LTU,q1,rur,2045,10142.90147
C-EEU-LTU,q2,rur,2045,22242.48355
C-EEU-LTU,q3,rur,2045,55218.82709
C-EEU-LTU,q1,urb,2045,16680.04408
C-EEU-LTU,q2,urb,2045,37664.22458
C-EEU-LTU,q3,urb,2045,101193.8392
C-EEU-LTU,q1,rur,2050,10157.56827
C-EEU-LTU,q2,rur,2050,22848.26511
C-EEU-LTU,q3,rur,2050,59245.79275
C-EEU-LTU,q1,urb,2050,16688.21968
C-EEU-LTU,q2,urb,2050,38639.08652
C-EEU-LTU,q3,urb,2050,104871.685
C-EEU-LTU,q1,rur,2055,10270.82293
C-EEU-LTU,q2,rur,2055,23315.5538
C-EEU-LTU,q3,rur,2055,60911.86387
C-EEU-LTU,q1,urb,2055,16984.59756
C-EEU-LTU,q2,urb,2055,40149.11628
C-EEU-LTU,q3,urb,2055,112466.5678
C-EEU-LTU,q1,rur,2060,10414.57361
C-EEU-LTU,q2,rur,2060,23904.74184
C-EEU-LTU,q3,rur,2060,64309.89969
C-EEU-LTU,q1,urb,2060,17088.22454
C-EEU-LTU,q2,urb,2060,40985.79786
C-EEU-LTU,q3,urb,2060,118554.382
C-EEU-LTU,q1,rur,2065,10534.2892
C-EEU-LTU,q2,rur,2065,25104.46862
C-EEU-LTU,q3,rur,2065,72319.41388
C-EEU-LTU,q1,urb,2065,17433.6928
C-EEU-LTU,q2,urb,2065,43312.1794
C-EEU-LTU,q3,urb,2065,127916.5789
C-EEU-LTU,q1,rur,2070,10782.44385
C-EEU-LTU,q2,rur,2070,26301.12649
C-EEU-LTU,q3,rur,2070,75075.03281
C-EEU-LTU,q1,urb,2070,17969.99784
C-EEU-LTU,q2,urb,2070,45333.31924
C-EEU-LTU,q3,urb,2070,135957.1511
C-EEU-LTU,q1,rur,2075,11001.45198
C-EEU-LTU,q2,rur,2075,27469.53711
C-EEU-LTU,q3,rur,2075,81194.44865
C-EEU-LTU,q1,urb,2075,18256.75261
C-EEU-LTU,q2,urb,2075,47518.08173
C-EEU-LTU,q3,urb,2075,149856.2351
C-EEU-LTU,q1,rur,2080,11615.43567
C-EEU-LTU,q2,rur,2080,29207.04977
C-EEU-LTU,q3,rur,2080,89294.36
C-EEU-LTU,q1,urb,2080,18504.76417
C-EEU-LTU,q2,urb,2080,48951.69769
C-EEU-LTU,q3,urb,2080,159185.9349
C-EEU-LTU,q1,rur,2085,11487.33064
C-EEU-LTU,q2,rur,2085,29638.76098
C-EEU-LTU,q3,rur,2085,93289.07246
C-EEU-LTU,q1,urb,2085,19251.00184
C-EEU-LTU,q2,urb,2085,51694.28448
C-EEU-LTU,q3,urb,2085,176608.4798
C-EEU-LTU,q1,rur,2090,11516.76577
C-EEU-LTU,q2,rur,2090,30110.48798
C-EEU-LTU,q3,rur,2090,99208.66268
C-EEU-LTU,q1,urb,2090,18659.86127
C-EEU-LTU,q2,urb,2090,52159.49554
C-EEU-LTU,q3,urb,2090,184264.4683
C-EEU-LTU,q1,rur,2095,11704.28685
C-EEU-LTU,q2,rur,2095,31516.23707
C-EEU-LTU,q3,rur,2095,104992.8623
C-EEU-LTU,q1,urb,2095,19049.91585
C-EEU-LTU,q2,urb,2095,53243.30595
C-EEU-LTU,q3,urb,2095,196889.7401
C-EEU-LTU,q1,rur,2100,11896.2646
C-EEU-LTU,q2,rur,2100,32744.93919
C-EEU-LTU,q3,rur,2100,115370.1876
C-EEU-LTU,q1,urb,2100,19049.9024
C-EEU-LTU,q2,urb,2100,55809.63537
C-EEU-LTU,q3,urb,2100,212297.6553
C-WEU-LUX,q1,rur,2015,30396.94384
C-WEU-LUX,q2,rur,2015,48633.37458
C-WEU-LUX,q3,rur,2015,82596.96601
C-WEU-LUX,q1,urb,2015,51789.31171
C-WEU-LUX,q2,urb,2015,86290.86786
C-WEU-LUX,q3,urb,2015,149832.5436
C-WEU-LUX,q1,rur,2020,31671.3803
C-WEU-LUX,q2,rur,2020,51262.29776
C-WEU-LUX,q3,rur,2020,87473.1642
C-WEU-LUX,q1,urb,2020,54465.97944
C-WEU-LUX,q2,urb,2020,90741.95727
C-WEU-LUX,q3,urb,2020,158627.855
C-WEU-LUX,q1,rur,2025,32523.8445
C-WEU-LUX,q2,rur,2025,53618.3061
C-WEU-LUX,q3,rur,2025,92889.94447
C-WEU-LUX,q1,urb,2025,56609.77204
C-WEU-LUX,q2,urb,2025,94774.71378
C-WEU-LUX,q3,urb,2025,170160.7287
C-WEU-LUX,q1,rur,2030,33521.11175
C-WEU-LUX,q2,rur,2030,55493.66177
C-WEU-LUX,q3,rur,2030,97146.50026
C-WEU-LUX,q1,urb,2030,58038.92706
C-WEU-LUX,q2,urb,2030,98394.13009
C-WEU-LUX,q3,urb,2030,176071.4571
C-WEU-LUX,q1,rur,2035,34009.4045
C-WEU-LUX,q2,rur,2035,56436.29806
C-WEU-LUX,q3,rur,2035,99530.58349
C-WEU-LUX,q1,urb,2035,58998.29356
C-WEU-LUX,q2,urb,2035,101007.1849
C-WEU-LUX,q3,urb,2035,183433.5476
C-WEU-LUX,q1,rur,2040,33855.78123
C-WEU-LUX,q2,rur,2040,56816.04179
C-WEU-LUX,q3,rur,2040,102799.9889
C-WEU-LUX,q1,urb,2040,59706.73707
C-WEU-LUX,q2,urb,2040,103478.3649
C-WEU-LUX,q3,urb,2040,189415.4687
C-WEU-LUX,q1,rur,2045,34640.45849
C-WEU-LUX,q2,rur,2045,58287.97332
C-WEU-LUX,q3,rur,2045,105540.108
C-WEU-LUX,q1,urb,2045,59538.09567
C-WEU-LUX,q2,urb,2045,104127.8912
C-WEU-LUX,q3,urb,2045,194302.9441
C-WEU-LUX,q1,rur,2050,34403.74179
C-WEU-LUX,q2,rur,2050,59092.21173
C-WEU-LUX,q3,rur,2050,108011.6512
C-WEU-LUX,q1,urb,2050,59791.35091
C-WEU-LUX,q2,urb,2050,106064.6456
C-WEU-LUX,q3,urb,2050,200213.5255
C-WEU-LUX,q1,rur,2055,34716.98846
C-WEU-LUX,q2,rur,2055,60082.56346
C-WEU-LUX,q3,rur,2055,112645.1764
C-WEU-LUX,q1,urb,2055,60968.69043
C-WEU-LUX,q2,urb,2055,107979.9591
C-WEU-LUX,q3,urb,2055,205546.3684
C-WEU-LUX,q1,rur,2060,35101.75234
C-WEU-LUX,q2,rur,2060,61521.41396
C-WEU-LUX,q3,rur,2060,116665.2682
C-WEU-LUX,q1,urb,2060,61770.48402
C-WEU-LUX,q2,urb,2060,110659.276
C-WEU-LUX,q3,urb,2060,213597.3431
C-WEU-LUX,q1,rur,2065,35201.55049
C-WEU-LUX,q2,rur,2065,62209.88371
C-WEU-LUX,q3,rur,2065,117159.8645
C-WEU-LUX,q1,urb,2065,60753.70499
C-WEU-LUX,q2,urb,2065,110408.2019
C-WEU-LUX,q3,urb,2065,218209.8677
C-WEU-LUX,q1,rur,2070,34821.84237
C-WEU-LUX,q2,rur,2070,62728.52042
C-WEU-LUX,q3,rur,2070,120400.36
C-WEU-LUX,q1,urb,2070,60864.49216
C-WEU-LUX,q2,urb,2070,111229.7899
C-WEU-LUX,q3,urb,2070,223960.0203
C-WEU-LUX,q1,rur,2075,35245.46773
C-WEU-LUX,q2,rur,2075,63706.16562
C-WEU-LUX,q3,rur,2075,124924.5329
C-WEU-LUX,q1,urb,2075,60896.91957
C-WEU-LUX,q2,urb,2075,113588.9625
C-WEU-LUX,q3,urb,2075,228961.5839
C-WEU-LUX,q1,rur,2080,34462.36445
C-WEU-LUX,q2,rur,2080,63795.48761
C-WEU-LUX,q3,rur,2080,129475.0368
C-WEU-LUX,q1,urb,2080,61159.46547
C-WEU-LUX,q2,urb,2080,115789.4605
C-WEU-LUX,q3,urb,2080,241759.7987
C-WEU-LUX,q1,rur,2085,34693.63648
C-WEU-LUX,q2,rur,2085,65195.65777
C-WEU-LUX,q3,rur,2085,132902.8347
C-WEU-LUX,q1,urb,2085,60889.46879
C-WEU-LUX,q2,urb,2085,116559.835
C-WEU-LUX,q3,urb,2085,245412.5245
C-WEU-LUX,q1,rur,2090,34642.56084
C-WEU-LUX,q2,rur,2090,65907.84697
C-WEU-LUX,q3,rur,2090,136216.2923
C-WEU-LUX,q1,urb,2090,59956.12546
C-WEU-LUX,q2,urb,2090,115614.8811
C-WEU-LUX,q3,urb,2090,250818.331
C-WEU-LUX,q1,rur,2095,34470.83608
C-WEU-LUX,q2,rur,2095,66963.27446
C-WEU-LUX,q3,rur,2095,141303.4671
C-WEU-LUX,q1,urb,2095,60336.57389
C-WEU-LUX,q2,urb,2095,120181.2053
C-WEU-LUX,q3,urb,2095,264900.5619
C-WEU-LUX,q1,rur,2100,34668.63383
C-WEU-LUX,q2,rur,2100,68412.82699
C-WEU-LUX,q3,rur,2100,146827.4612
C-WEU-LUX,q1,urb,2100,60549.75237
C-WEU-LUX,q2,urb,2100,121606.081
C-WEU-LUX,q3,urb,2100,271912.2518
C-EEU-LVA,q1,rur,2015,6288.959175
C-EEU-LVA,q2,rur,2015,11868.82219
C-EEU-LVA,q3,rur,2015,24299.28139
C-EEU-LVA,q1,urb,2015,10000.01162
C-EEU-LVA,q2,urb,2015,19517.32741
C-EEU-LVA,q3,urb,2015,41403.1216
C-EEU-LVA,q1,rur,2020,7497.773752
C-EEU-LVA,q2,rur,2020,14082.10184
C-EEU-LVA,q3,rur,2020,29104.07549
C-EEU-LVA,q1,urb,2020,12110.92534
C-EEU-LVA,q2,urb,2020,23556.90937
C-EEU-LVA,q3,urb,2020,50871.57479
C-EEU-LVA,q1,rur,2025,8400.808406
C-EEU-LVA,q2,rur,2025,16137.32502
C-EEU-LVA,q3,rur,2025,33796.58183
C-EEU-LVA,q1,urb,2025,13649.66175
C-EEU-LVA,q2,urb,2025,26690.22262
C-EEU-LVA,q3,urb,2025,58222.65294
C-EEU-LVA,q1,rur,2030,9238.73355
C-EEU-LVA,q2,rur,2030,17766.09422
C-EEU-LVA,q3,rur,2030,37620.32323
C-EEU-LVA,q1,urb,2030,14808.67403
C-EEU-LVA,q2,urb,2030,29774.08448
C-EEU-LVA,q3,urb,2030,66082.26301
C-EEU-LVA,q1,rur,2035,9714.525946
C-EEU-LVA,q2,rur,2035,19101.92718
C-EEU-LVA,q3,rur,2035,40665.68319
C-EEU-LVA,q1,urb,2035,15903.21466
C-EEU-LVA,q2,urb,2035,32149.60778
C-EEU-LVA,q3,urb,2035,71917.83712
C-EEU-LVA,q1,rur,2040,10263.3502
C-EEU-LVA,q2,rur,2040,20244.54345
C-EEU-LVA,q3,rur,2040,43953.96575
C-EEU-LVA,q1,urb,2040,16852.43299
C-EEU-LVA,q2,urb,2040,34129.89891
C-EEU-LVA,q3,urb,2040,76456.81955
C-EEU-LVA,q1,rur,2045,10742.41843
C-EEU-LVA,q2,rur,2045,21320.28058
C-EEU-LVA,q3,rur,2045,46609.40973
C-EEU-LVA,q1,urb,2045,17428.85483
C-EEU-LVA,q2,urb,2045,36145.24195
C-EEU-LVA,q3,urb,2045,82699.71571
C-EEU-LVA,q1,rur,2050,10847.97796
C-EEU-LVA,q2,rur,2050,21651.13296
C-EEU-LVA,q3,rur,2050,48485.28049
C-EEU-LVA,q1,urb,2050,17868.28442
C-EEU-LVA,q2,urb,2050,37382.59842
C-EEU-LVA,q3,urb,2050,86389.42871
C-EEU-LVA,q1,rur,2055,11247.06373
C-EEU-LVA,q2,rur,2055,22600.30207
C-EEU-LVA,q3,rur,2055,50659.45102
C-EEU-LVA,q1,urb,2055,18420.91554
C-EEU-LVA,q2,urb,2055,38503.5774
C-EEU-LVA,q3,urb,2055,90879.9565
C-EEU-LVA,q1,rur,2060,11498.64059
C-EEU-LVA,q2,rur,2060,23501.37206
C-EEU-LVA,q3,rur,2060,53260.91768
C-EEU-LVA,q1,urb,2060,18600.67281
C-EEU-LVA,q2,urb,2060,39367.23555
C-EEU-LVA,q3,urb,2060,95030.22509
C-EEU-LVA,q1,rur,2065,11755.36091
C-EEU-LVA,q2,rur,2065,24425.58523
C-EEU-LVA,q3,rur,2065,55473.7246
C-EEU-LVA,q1,urb,2065,19489.38544
C-EEU-LVA,q2,urb,2065,41460.41671
C-EEU-LVA,q3,urb,2065,100272.7129
C-EEU-LVA,q1,rur,2070,12012.88499
C-EEU-LVA,q2,rur,2070,25616.38931
C-EEU-LVA,q3,rur,2070,60508.39241
C-EEU-LVA,q1,urb,2070,20244.44494
C-EEU-LVA,q2,urb,2070,43179.94461
C-EEU-LVA,q3,urb,2070,107096.8331
C-EEU-LVA,q1,rur,2075,12648.63142
C-EEU-LVA,q2,rur,2075,26824.82699
C-EEU-LVA,q3,rur,2075,63721.24742
C-EEU-LVA,q1,urb,2075,20707.03035
C-EEU-LVA,q2,urb,2075,45195.29813
C-EEU-LVA,q3,urb,2075,114655.4829
C-EEU-LVA,q1,rur,2080,12716.62518
C-EEU-LVA,q2,rur,2080,27615.42817
C-EEU-LVA,q3,rur,2080,65848.55996
C-EEU-LVA,q1,urb,2080,21607.48979
C-EEU-LVA,q2,urb,2080,47318.92873
C-EEU-LVA,q3,urb,2080,124150.0657
C-EEU-LVA,q1,rur,2085,13359.69424
C-EEU-LVA,q2,rur,2085,29036.90317
C-EEU-LVA,q3,rur,2085,70544.65199
C-EEU-LVA,q1,urb,2085,21952.866
C-EEU-LVA,q2,urb,2085,48966.2686
C-EEU-LVA,q3,urb,2085,127277.0809
C-EEU-LVA,q1,rur,2090,13336.62214
C-EEU-LVA,q2,rur,2090,29070.77912
C-EEU-LVA,q3,rur,2090,72852.8171
C-EEU-LVA,q1,urb,2090,22261.25785
C-EEU-LVA,q2,urb,2090,50133.64422
C-EEU-LVA,q3,urb,2090,128661.4682
C-EEU-LVA,q1,rur,2095,13730.0277
C-EEU-LVA,q2,rur,2095,29918.347
C-EEU-LVA,q3,rur,2095,76458.85599
C-EEU-LVA,q1,urb,2095,22449.2869
C-EEU-LVA,q2,urb,2095,52218.72173
C-EEU-LVA,q3,urb,2095,138290.4125
C-EEU-LVA,q1,rur,2100,13937.42459
C-EEU-LVA,q2,rur,2100,31175.84794
