region_gea,mat,arch,bld_age,p_dem_hist,p_ren_hist,dem_k,dem_lambda,n_yrs_nodem,ren_tau,ren_sd,l_new,l_ren
EEU,perm,mfh,p2,0.01,0.01,2.5,53.6,0,40,10,20,20
NAM,perm,mfh,p2,0.01,0.01,4.16,85.19,0,40,10,20,20
WEU,perm,mfh,p2,0.01,0.01,2.95,70.82,0,40,10,20,20
LAC,perm,mfh,p2,0.01,0.01,1.97,68.24,0,40,10,20,20
PAO,perm,mfh,p2,0.01,0.01,1.97,94,0,40,10,20,20
FSU,perm,mfh,p2,0.01,0.01,2.5,53.6,0,40,10,20,20
AFR,perm,mfh,p2,0.01,0.01,1.97,67.34,0,40,10,20,20
MEA,perm,mfh,p2,0.01,0.01,1.97,67.34,0,40,10,20,20
SAS,perm,mfh,p2,0.01,0.01,1.97,67.34,0,40,10,20,20
PAS,perm,sfh,p2,0.01,0.01,1.88,41.23,0,50,10,20,20
CPA,perm,sfh,p2,0.01,0.01,2,33.85,0,40,10,20,20
EEU,perm,sfh,p2,0.01,0.01,2.5,73.26,0,40,10,20,20
NAM,perm,sfh,p2,0.01,0.01,4.16,85.19,0,40,10,20,20
WEU,perm,sfh,p2,0.01,0.01,2.95,70.82,0,40,10,20,20
LAC,perm,sfh,p2,0.01,0.01,1.97,68.24,0,40,10,20,20
PAO,perm,sfh,p2,0.01,0.01,1.97,94,0,40,10,20,20
FSU,perm,sfh,p2,0.01,0.01,2.5,73.26,0,40,10,20,20
AFR,perm,sfh,p2,0.01,0.01,1.97,67.34,0,40,10,20,20
MEA,perm,sfh,p2,0.01,0.01,1.97,67.34,0,40,10,20,20
SAS,perm,sfh,p2,0.01,0.01,1.97,67.34,0,40,10,20,20
PAS,perm,mfh,p3,0.01,0.01,1.9,43.95,0,50,10,20,20
CPA,perm,mfh,p3,0.01,0.01,2,31.03,0,40,10,20,20
EEU,perm,mfh,p3,0.01,0.01,2.5,53.6,0,40,10,20,20
NAM,perm,mfh,p3,0.01,0.01,4.16,85.19,0,40,10,20,20
WEU,perm,mfh,p3,0.01,0.01,2.95,70.82,0,40,10,20,20
LAC,perm,mfh,p3,0.01,0.01,1.97,68.24,0,40,10,20,20
PAO,perm,mfh,p3,0.01,0.01,1.97,94,0,40,10,20,20
FSU,perm,mfh,p3,0.01,0.01,2.5,53.6,0,40,10,20,20
AFR,perm,mfh,p3,0.01,0.01,1.97,67.34,0,40,10,20,20
MEA,perm,mfh,p3,0.01,0.01,1.97,67.34,0,40,10,20,20
SAS,perm,mfh,p3,0.01,0.01,1.97,67.34,0,40,10,20,20
PAS,perm,sfh,p3,0.01,0.01,1.88,41.23,0,50,10,20,20
CPA,perm,sfh,p3,0.01,0.01,2,33.85,0,40,10,20,20
EEU,perm,sfh,p3,0.01,0.01,2.5,73.26,0,40,10,20,20
NAM,perm,sfh,p3,0.01,0.01,4.16,85.19,0,40,10,20,20
WEU,perm,sfh,p3,0.01,0.01,2.95,70.82,0,40,10,20,20
LAC,perm,sfh,p3,0.01,0.01,1.97,68.24,0,40,10,20,20
PAO,perm,sfh,p3,0.01,0.01,1.97,94,0,40,10,20,20
FSU,perm,sfh,p3,0.01,0.01,2.5,73.26,0,40,10,20,20
AFR,perm,sfh,p3,0.01,0.01,1.97,67.34,0,40,10,20,20
MEA,perm,sfh,p3,0.01,0.01,1.97,67.34,0,40,10,20,20
SAS,perm,sfh,p3,0.01,0.01,1.97,67.34,0,40,10,20,20
PAS,perm,mfh,p5,0.01,0.01,1.9,43.95,0,50,10,20,20
CPA,perm,mfh,p5,0.01,0.01,2,31.03,0,40,10,20,20
EEU,perm,mfh,p5,0.01,0.01,2.5,53.6,0,40,10,20,20
NAM,perm,mfh,p5,0.01,0.01,4.16,85.19,0,40,10,20,20
WEU,perm,mfh,p5,0.01,0.01,2.95,70.82,0,40,10,20,20
LAC,perm,mfh,p5,0.01,0.01,1.97,68.24,0,40,10,20,20
PAO,perm,mfh,p5,0.01,0.01,1.97,94,0,40,10,20,20
FSU,perm,mfh,p5,0.01,0.01,2.5,53.6,0,40,10,20,20
AFR,perm,mfh,p5,0.01,0.01,1.97,67.34,0,40,10,20,20
MEA,perm,mfh,p5,0.01,0.01,1.97,67.34,0,40,10,20,20
SAS,perm,mfh,p5,0.01,0.01,1.97,67.34,0,40,10,20,20
PAS,perm,sfh,p5,0.01,0.01,1.88,41.23,0,50,10,20,20
CPA,perm,sfh,p5,0.01,0.01,2,33.85,0,40,10,20,20
EEU,perm,sfh,p5,0.01,0.01,2.5,73.26,0,40,10,20,20
NAM,perm,sfh,p5,0.01,0.01,4.16,85.19,0,40,10,20,20
WEU,perm,sfh,p5,0.01,0.01,2.95,70.82,0,40,10,20,20
LAC,perm,sfh,p5,0.01,0.01,1.97,68.24,0,40,10,20,20
PAO,perm,sfh,p5,0.01,0.01,1.97,94,0,40,10,20,20
FSU,perm,sfh,p5,0.01,0.01,2.5,73.26,0,40,10,20,20
AFR,perm,sfh,p5,0.01,0.01,1.97,67.34,0,40,10,20,20
MEA,perm,sfh,p5,0.01,0.01,1.97,67.34,0,40,10,20,20
SAS,perm,sfh,p5,0.01,0.01,1.97,67.34,0,40,10,20,20
