region_bld,urt,inc_cl,region_gea,clim,arch,mat,year,yr_con,bld_age,value
C-EEU-BGR,urb,q2,EEU,Zone_5A Cool Humid,sfh,perm,2015,2015,p3,3116.16557
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1945,p1,82900.11613
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1960,p2,27545.46377
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1965,p2,58202.90466
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1970,p2,40941.26301
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1975,p2,38568.88836
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1980,p2,36387.86733
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1985,p2,28028.50812
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1990,p2,17558.10286
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,1995,p3,3461.53405
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,2000,p3,6609.65334
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,2005,p3,11606.37073
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,2010,p3,13362.79374
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,mfh,perm,2015,2015,p3,18805.83499
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1945,p1,34259.50816
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1960,p2,11383.50685
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1965,p2,24053.07712
C-EEU-BGR,urb,q3,EEU,Zone_4A Mixed Humid,sfh,perm,2015,1970,p2,16919.48817
