region_gea,mat,eneff_i,eneff_f,year,value
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
SAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
PAS,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
MEA,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
AFR,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
LAC,perm,s1,sr11_std,NA,1
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
"NAM",perm,s1,sr12_low,NA,0.05
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
WEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
EEU,perm,s1,sr12_low,NA,0.1
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
FSU,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
PAO,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
CPA,perm,s1,sr12_low,NA,0.05
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
SAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
PAS,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
MEA,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
AFR,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
LAC,perm,s1,sr12_low,NA,0
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
"NAM",perm,s2,sr21_std,NA,0.95
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
WEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
EEU,perm,s2,sr21_std,NA,0.9
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
FSU,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
PAO,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
CPA,perm,s2,sr21_std,NA,0.95
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
SAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
PAS,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
MEA,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
AFR,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
LAC,perm,s2,sr21_std,NA,1
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
"NAM",perm,s2,sr22_low,NA,0.05
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
WEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
EEU,perm,s2,sr22_low,NA,0.1
FSU,perm,s2,sr22_low,NA,0.05
FSU,perm,s2,sr22_low,NA,0.05
FSU,perm,s2,sr22_low,NA,0.05
FSU,perm,s2,sr22_low,NA,0.05
FSU,perm,s2,sr22_low,NA,0.05
FSU,perm,s2,sr22_low,NA,0.05
FSU,perm,s2,sr22_low,NA,0.05
FSU,perm,s2,sr22_low,NA,0.05
FSU,perm,s2,sr22_low,NA,0.05
FSU,perm,s2,sr22_low,NA,0.05
FSU,perm,s2,sr22_low,NA,0.05
FSU,perm,s2,sr22_low,NA,0.05
FSU,perm,s2,sr22_low,NA,0.05
