region_gea,urt,renov_status,fuel_heat,value
NAM,urb,norenov,gas,0.0000
NAM,urb,norenov,heat pump,0.0016
NAM,urb,renov,biomass_solid,-0.0121
NAM,urb,renov,oil,0.0051
NAM,urb,renov,electricity,-0.1928
NAM,urb,renov,gas,0.0000
NAM,urb,renov,heat pump,-0.0066
NAM,rur,norenov,biomass_solid,0.0089
NAM,rur,norenov,oil,0.0002
NAM,rur,norenov,electricity,0.0008
NAM,rur,norenov,gas,0.0000
NAM,rur,norenov,heat pump,0.0008
NAM,rur,renov,biomass_solid,-0.0056
NAM,rur,renov,oil,-0.0069
NAM,rur,renov,electricity,-0.0885
NAM,rur,renov,gas,0.0000
NAM,rur,renov,heat pump,-0.0036
PAO,urb,norenov,biomass_solid,-0.0027
PAO,urb,norenov,oil,0.0010
PAO,urb,norenov,electricity,-0.0817
PAO,urb,norenov,gas,0.0000
PAO,urb,norenov,heat pump,0.0016
PAO,urb,renov,biomass_solid,-0.0121
PAO,urb,renov,oil,0.0051
PAO,urb,renov,electricity,-0.1928
PAO,urb,renov,gas,0.0000
PAO,urb,renov,heat pump,-0.0066
PAO,rur,norenov,biomass_solid,0.0089
PAO,rur,norenov,oil,0.0002
PAO,rur,norenov,electricity,0.0008
PAO,rur,norenov,gas,0.0000
PAO,rur,norenov,heat pump,0.0008
PAO,rur,renov,biomass_solid,-0.0056
PAO,rur,renov,oil,-0.0069
PAO,rur,renov,electricity,-0.0885
PAO,rur,renov,gas,0.0000
PAO,rur,renov,heat pump,-0.0036
PAS,urb,norenov,biomass_solid,-0.0027
PAS,urb,norenov,oil,0.0010
PAS,urb,norenov,electricity,-0.0817
PAS,urb,norenov,gas,0.0000
PAS,urb,norenov,heat pump,0.0016
PAS,urb,renov,biomass_solid,-0.0121
PAS,urb,renov,oil,0.0051
PAS,urb,renov,electricity,-0.1928
PAS,urb,renov,gas,0.0000
PAS,urb,renov,heat pump,-0.0066
PAS,rur,norenov,biomass_solid,0.0089
PAS,rur,norenov,oil,0.0002
PAS,rur,norenov,electricity,0.0008
PAS,rur,norenov,gas,0.0000
PAS,rur,norenov,heat pump,0.0008
PAS,rur,renov,biomass_solid,-0.0056
PAS,rur,renov,oil,-0.0069
PAS,rur,renov,electricity,-0.0885
PAS,rur,renov,gas,0.0000
PAS,rur,renov,heat pump,-0.0036
SAS,urb,norenov,biomass_solid,-0.0027
SAS,urb,norenov,oil,0.0010
SAS,urb,norenov,electricity,-0.0817
SAS,urb,norenov,gas,0.0000
SAS,urb,norenov,heat pump,0.0016
SAS,urb,renov,biomass_solid,-0.0121
SAS,urb,renov,oil,0.0051
SAS,urb,renov,electricity,-0.1928
SAS,urb,renov,gas,0.0000
SAS,urb,renov,heat pump,-0.0066
SAS,rur,norenov,biomass_solid,0.0089
SAS,rur,norenov,oil,0.0002
SAS,rur,norenov,electricity,0.0008
SAS,rur,norenov,gas,0.0000
SAS,rur,norenov,heat pump,0.0008
SAS,rur,renov,biomass_solid,-0.0056
SAS,rur,renov,oil,-0.0069
SAS,rur,renov,electricity,-0.0885
SAS,rur,renov,gas,0.0000
SAS,rur,renov,heat pump,-0.0036
WEU,urb,norenov,biomass_solid,-0.0027
WEU,urb,norenov,oil,0.0010
WEU,urb,norenov,electricity,-0.0817
WEU,urb,norenov,gas,0.0000
WEU,urb,norenov,heat pump,0.0016
WEU,urb,renov,biomass_solid,-0.0121
WEU,urb,renov,oil,0.0051
WEU,urb,renov,electricity,-0.1928
WEU,urb,renov,gas,0.0000
WEU,urb,renov,heat pump,-0.0066
WEU,rur,norenov,biomass_solid,0.0089
WEU,rur,norenov,oil,0.0002
WEU,rur,norenov,electricity,0.0008
WEU,rur,norenov,gas,0.0000
WEU,rur,norenov,heat pump,0.0008
WEU,rur,renov,biomass_solid,-0.0056
WEU,rur,renov,oil,-0.0069
WEU,rur,renov,electricity,-0.0885
WEU,rur,renov,gas,0.0000
WEU,rur,renov,heat pump,-0.0036
