mat,eneff,fuel_heat,fuel_cool,year,value
perm,s51_std,coal,electricity,2055,0
perm,s51_std,district_heat,electricity,2055,0
perm,s51_std,electricity,electricity,2055,0
perm,s51_std,heat pump,electricity,2055,0.7
perm,s51_std,gas,electricity,2055,0.3
perm,s51_std,oil,electricity,2055,0
perm,s52_low,biomass_solid,electricity,2055,0
perm,s52_low,coal,electricity,2055,0
perm,s52_low,district_heat,electricity,2055,0
perm,s52_low,electricity,electricity,2055,0
perm,s52_low,heat pump,electricity,2055,0.7
perm,s52_low,gas,electricity,2055,0.3
perm,s52_low,oil,electricity,2055,0
perm,s51_std,biomass_solid,electricity,2060,0
perm,s51_std,coal,electricity,2060,0
perm,s51_std,district_heat,electricity,2060,0
perm,s51_std,electricity,electricity,2060,0
perm,s51_std,heat pump,electricity,2060,0.7
perm,s51_std,gas,electricity,2060,0.3
perm,s51_std,oil,electricity,2060,0
perm,s52_low,biomass_solid,electricity,2060,0
perm,s52_low,coal,electricity,2060,0
perm,s52_low,district_heat,electricity,2060,0
perm,s52_low,electricity,electricity,2060,0
perm,s52_low,heat pump,electricity,2060,0.7
perm,s52_low,gas,electricity,2060,0.3
perm,s52_low,oil,electricity,2060,0
perm,s51_std,biomass_solid,electricity,2065,0
perm,s51_std,coal,electricity,2065,0
perm,s51_std,district_heat,electricity,2065,0
perm,s51_std,electricity,electricity,2065,0
perm,s51_std,heat pump,electricity,2065,0.7
perm,s51_std,gas,electricity,2065,0.3
perm,s51_std,oil,electricity,2065,0
perm,s52_low,biomass_solid,electricity,2065,0
perm,s52_low,coal,electricity,2065,0
perm,s52_low,district_heat,electricity,2065,0
perm,s52_low,electricity,electricity,2065,0
perm,s52_low,heat pump,electricity,2065,0.7
perm,s52_low,gas,electricity,2065,0.3
perm,s52_low,oil,electricity,2065,0
perm,s51_std,biomass_solid,electricity,2070,0
perm,s51_std,coal,electricity,2070,0
perm,s51_std,district_heat,electricity,2070,0
perm,s51_std,electricity,electricity,2070,0
perm,s51_std,heat pump,electricity,2070,0.7
perm,s51_std,gas,electricity,2070,0.3
perm,s51_std,oil,electricity,2070,0
perm,s52_low,biomass_solid,electricity,2070,0
perm,s52_low,coal,electricity,2070,0
perm,s52_low,district_heat,electricity,2070,0
perm,s52_low,electricity,electricity,2070,0
perm,s52_low,heat pump,electricity,2070,0.7
perm,s52_low,gas,electricity,2070,0.3
perm,s52_low,oil,electricity,2070,0
perm,s51_std,biomass_solid,electricity,2075,0
perm,s51_std,coal,electricity,2075,0
perm,s51_std,district_heat,electricity,2075,0
perm,s51_std,electricity,electricity,2075,0
perm,s51_std,heat pump,electricity,2075,0.7
perm,s51_std,gas,electricity,2075,0.3
perm,s51_std,oil,electricity,2075,0
perm,s52_low,biomass_solid,electricity,2075,0
perm,s52_low,coal,electricity,2075,0
perm,s52_low,district_heat,electricity,2075,0
perm,s52_low,electricity,electricity,2075,0
perm,s52_low,heat pump,electricity,2075,0.7
perm,s52_low,gas,electricity,2075,0.3
perm,s52_low,oil,electricity,2075,0
perm,s51_std,biomass_solid,electricity,2080,0
perm,s51_std,coal,electricity,2080,0
perm,s51_std,district_heat,electricity,2080,0
perm,s51_std,electricity,electricity,2080,0
perm,s51_std,heat pump,electricity,2080,0.7
perm,s51_std,gas,electricity,2080,0.3
perm,s51_std,oil,electricity,2080,0
perm,s52_low,biomass_solid,electricity,2080,0
perm,s52_low,coal,electricity,2080,0
perm,s52_low,district_heat,electricity,2080,0
perm,s52_low,electricity,electricity,2080,0
perm,s52_low,heat pump,electricity,2080,0.7
perm,s52_low,gas,electricity,2080,0.3
perm,s52_low,oil,electricity,2080,0
perm,s51_std,biomass_solid,electricity,2085,0
perm,s51_std,coal,electricity,2085,0
perm,s51_std,district_heat,electricity,2085,0
perm,s51_std,electricity,electricity,2085,0
perm,s51_std,heat pump,electricity,2085,0.7
perm,s51_std,gas,electricity,2085,0.3
perm,s51_std,oil,electricity,2085,0
perm,s52_low,biomass_solid,electricity,2085,0
perm,s52_low,coal,electricity,2085,0
perm,s52_low,district_heat,electricity,2085,0
perm,s52_low,electricity,electricity,2085,0
perm,s52_low,heat pump,electricity,2085,0.7
perm,s52_low,gas,electricity,2085,0.3
perm,s52_low,oil,electricity,2085,0
perm,s51_std,biomass_solid,electricity,2090,0
perm,s51_std,coal,electricity,2090,0
perm,s51_std,district_heat,electricity,2090,0
perm,s51_std,electricity,electricity,2090,0
perm,s51_std,heat pump,electricity,2090,0.7
perm,s51_std,gas,electricity,2090,0.3
perm,s51_std,oil,electricity,2090,0
perm,s52_low,biomass_solid,electricity,2090,0
perm,s52_low,coal,electricity,2090,0
perm,s52_low,district_heat,electricity,2090,0
perm,s52_low,electricity,electricity,2090,0
perm,s52_low,heat pump,electricity,2090,0.7
perm,s52_low,gas,electricity,2090,0.3
perm,s52_low,oil,electricity,2090,0
perm,s51_std,biomass_solid,electricity,2095,0
perm,s51_std,coal,electricity,2095,0
perm,s51_std,district_heat,electricity,2095,0
perm,s51_std,electricity,electricity,2095,0
perm,s51_std,heat pump,electricity,2095,0.7
perm,s51_std,gas,electricity,2095,0.3
perm,s51_std,oil,electricity,2095,0
perm,s52_low,biomass_solid,electricity,2095,0
perm,s52_low,coal,electricity,2095,0
perm,s52_low,district_heat,electricity,2095,0
perm,s52_low,electricity,electricity,2095,0
perm,s52_low,heat pump,electricity,2095,0.7
perm,s52_low,gas,electricity,2095,0.3
perm,s52_low,oil,electricity,2095,0
perm,s51_std,biomass_solid,electricity,2100,0
perm,s51_std,coal,electricity,2100,0
perm,s51_std,district_heat,electricity,2100,0
perm,s51_std,electricity,electricity,2100,0
perm,s51_std,heat pump,electricity,2100,0.7
perm,s51_std,gas,electricity,2100,0.3
perm,s51_std,oil,electricity,2100,0
perm,s52_low,biomass_solid,electricity,2100,0
perm,s52_low,coal,electricity,2100,0
perm,s52_low,district_heat,electricity,2100,0
perm,s52_low,electricity,electricity,2100,0
perm,s52_low,heat pump,electricity,2100,0.7
perm,s52_low,gas,electricity,2100,0.3
perm,s52_low,oil,electricity,2100,0
