region_bld,urt,inc_cl,region_gea,clim,arch,mat,year,yr_con,bld_age,n_units_arch
C-EEU-EST,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1960,p2,259084.34218000044
C-EEU-EST,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1985,p2,81778.80356999996
C-EEU-EST,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1990,p2,139491.37122999976
C-EEU-EST,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2005,p3,15941.063229999585
C-EEU-EST,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2010,p3,59433.7910300001
C-EEU-EST,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1945,p1,3286741.9064699993
C-EEU-EST,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1960,p2,1270335.35962
C-EEU-EST,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1965,p2,784191.3338800002
C-EEU-EST,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1970,p2,813859.4046999994
C-EEU-EST,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1975,p2,724148.0812500006
C-EEU-EST,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1980,p2,559314.3353599993
C-EEU-EST,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1985,p2,521904.6960700015
C-EEU-EST,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1990,p2,389773.1279699989
C-EEU-EST,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2010,p3,115158.96987000036
C-EEU-EST,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2015,p3,319866.86557999917
C-EEU-HUN,rur,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1945,p1,12329436.961499998
C-EEU-HUN,rur,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1960,p2,777030.0028200012
C-EEU-HUN,rur,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1995,p3,583581.0175299987
C-EEU-HUN,rur,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,2000,p3,463600.4701500033
C-EEU-HUN,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1945,p1,11609675.747819997
C-EEU-HUN,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1960,p2,731668.9648800018
C-EEU-HUN,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1995,p3,549513.0399699998
C-EEU-HUN,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2000,p3,436536.6522500008
C-EEU-HUN,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1945,p1,14311798.649859998
C-EEU-HUN,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1960,p2,3841197.800160001
C-EEU-HUN,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1965,p2,3692471.6901899995
C-EEU-HUN,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1970,p2,1570039.9890900012
C-EEU-HUN,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1975,p2,1741690.6528800006
C-EEU-HUN,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1980,p2,1683123.0756799984
C-EEU-HUN,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1985,p2,328937.17933999986
C-EEU-HUN,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1990,p2,250056.13999000122
C-EEU-HUN,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1995,p3,12957.722819998478
C-EEU-HUN,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,2005,p3,900540.8972000007
C-EEU-HUN,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,2010,p3,1025450.8973400013
C-EEU-HUN,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,2015,p3,911527.0638999984
C-EEU-HUN,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1945,p1,15736074.174040003
C-EEU-HUN,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1960,p2,4223464.498029998
C-EEU-HUN,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1965,p2,4059937.525980001
C-EEU-HUN,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1970,p2,1726286.5646400019
C-EEU-HUN,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1975,p2,1915019.4865699995
C-EEU-HUN,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1980,p2,1850623.4059699995
C-EEU-HUN,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1985,p2,361672.210439999
C-EEU-HUN,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1990,p2,274941.1211200026
C-EEU-HUN,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1995,p3,14247.243949998565
C-EEU-HUN,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2005,p3,990160.5452900005
C-EEU-HUN,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2010,p3,1127501.2859800018
C-EEU-HUN,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2015,p3,1002240.028649999
C-EEU-LTU,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1945,p1,8088810.486319999
C-EEU-LTU,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1960,p2,1029221.9800999992
C-EEU-LTU,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1965,p2,13730.149590000461
C-EEU-LTU,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1995,p3,135793.92998999983
C-EEU-LTU,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2005,p3,91862.16276999917
C-EEU-LTU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1945,p1,5567200.76253
C-EEU-LTU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1960,p2,2030410.2761399995
C-EEU-LTU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1965,p2,1966570.595340001
C-EEU-LTU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1970,p2,2087031.6891599991
C-EEU-LTU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1975,p2,2503592.1598699996
C-EEU-LTU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1980,p2,2353610.802860003
C-EEU-LTU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1985,p2,2030384.9333299985
C-EEU-LTU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1990,p2,1735964.9897299982
C-EEU-LTU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2015,p3,439135.26983000024
C-EEU-LVA,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1945,p1,5461258.32563
C-EEU-LVA,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1960,p2,407491.8649300005
C-EEU-LVA,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1985,p2,25199.80462000041
C-EEU-LVA,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1990,p2,212748.8841699997
C-EEU-LVA,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2000,p3,4693.080849999605
C-EEU-LVA,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2010,p3,55074.43677999959
C-EEU-LVA,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1945,p1,5221905.86118
C-EEU-LVA,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1960,p2,2147188.08392
C-EEU-LVA,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1965,p2,1331277.8074799995
C-EEU-LVA,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1970,p2,1304907.6941599995
C-EEU-LVA,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1975,p2,1235084.8154000011
C-EEU-LVA,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1980,p2,1016936.7819600002
C-EEU-LVA,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1985,p2,829738.3734299992
C-EEU-LVA,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1990,p2,768617.1885099983
C-EEU-LVA,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2015,p3,156104.73575999986
C-EEU-POL,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1945,p1,99819460.86829002
C-EEU-POL,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1960,p2,2261213.437219983
C-EEU-POL,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1965,p2,1385991.9482300002
C-EEU-POL,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1970,p2,3813329.1989899944
C-EEU-POL,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1975,p2,179115.28497001776
C-EEU-POL,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1980,p2,1016310.2586900021
C-EEU-POL,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1985,p2,3328171.0874499865
C-EEU-POL,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1990,p2,1955227.931960015
C-EEU-POL,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1995,p3,3714991.3537299926
C-EEU-POL,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2000,p3,2205772.6520500057
C-EEU-POL,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2005,p3,3592012.9552500024
C-EEU-POL,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2010,p3,5149868.416849988
C-EEU-POL,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1945,p1,72983808.82296
C-EEU-POL,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1960,p2,22154842.736070003
C-EEU-POL,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1965,p2,29205262.545459986
C-EEU-POL,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1970,p2,13033101.013399998
C-EEU-POL,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1975,p2,17536280.447920024
C-EEU-POL,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1980,p2,18464488.797179993
C-EEU-POL,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1985,p2,16558785.503539998
C-EEU-POL,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1990,p2,11275142.40518998
C-EEU-POL,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1995,p3,4935271.904000003
C-EEU-POL,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2000,p3,2828143.8244300066
C-EEU-POL,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2005,p3,1152213.8780299984
C-EEU-POL,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2010,p3,2018183.5421699914
C-EEU-POL,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2015,p3,14168839.785630016
C-EEU-ROU,rur,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1945,p1,20419830.01783
C-EEU-ROU,rur,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1960,p2,3012571.8384300033
C-EEU-ROU,rur,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1965,p2,925439.510420002
C-EEU-ROU,rur,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1970,p2,1093931.1741599932
C-EEU-ROU,rur,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1975,p2,694726.1137200007
C-EEU-ROU,rur,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1980,p2,136052.1310599994
C-EEU-ROU,rur,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,2000,p3,458634.13398999954
C-EEU-ROU,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1945,p1,29066687.180960014
C-EEU-ROU,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1960,p2,4288257.20692
C-EEU-ROU,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1965,p2,1317320.503230001
C-EEU-ROU,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1970,p2,1557160.6232600026
C-EEU-ROU,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1975,p2,988910.613149997
C-EEU-ROU,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1980,p2,193663.93992000088
C-EEU-ROU,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2000,p3,652844.5580400026
C-EEU-ROU,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1945,p1,9223285.759459998
C-EEU-ROU,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1960,p2,1360726.8479899983
C-EEU-ROU,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1965,p2,418005.0985000026
C-EEU-ROU,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1970,p2,494109.8829599992
C-EEU-ROU,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1975,p2,313795.82817999844
C-EEU-ROU,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1980,p2,61452.4059200013
C-EEU-ROU,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2000,p3,207157.1444800014
C-EEU-ROU,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1945,p1,12903830.878710002
C-EEU-ROU,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1960,p2,3978589.12555
C-EEU-ROU,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1965,p2,5589351.415989999
C-EEU-ROU,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1970,p2,3612489.047520001
C-EEU-ROU,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1975,p2,3485758.874219999
C-EEU-ROU,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1980,p2,4245218.297480004
C-EEU-ROU,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1985,p2,4053049.4592099963
C-EEU-ROU,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,1990,p2,4185042.9551900025
C-EEU-ROU,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,2005,p3,1017327.714819997
C-EEU-ROU,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,2010,p3,2285013.6406600056
C-EEU-ROU,urb,ns,EEU,Zone_4A Mixed Humid,comm,perm,2015,2015,p3,2397940.432869994
C-EEU-ROU,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1945,p1,16542730.762029998
C-EEU-ROU,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1960,p2,5100557.294619999
C-EEU-ROU,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1965,p2,7165556.994519995
C-EEU-ROU,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1970,p2,4631216.43919
C-EEU-ROU,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1975,p2,4468748.164779999
C-EEU-ROU,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1980,p2,5442376.297580002
C-EEU-ROU,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1985,p2,5196015.555370003
C-EEU-ROU,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1990,p2,5365231.41743
C-EEU-ROU,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2005,p3,1304215.6737400042
C-EEU-ROU,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2010,p3,2929390.9537599995
C-EEU-ROU,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2015,p3,3074163.272699997
C-EEU-ROU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1945,p1,2547821.2845200007
C-EEU-ROU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1960,p2,785560.05204
C-EEU-ROU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1965,p2,1103600.0578600005
C-EEU-ROU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1970,p2,713274.7299899999
C-EEU-ROU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1975,p2,688252.2512899996
C-EEU-ROU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1980,p2,838205.1530199996
C-EEU-ROU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1985,p2,800262.0133900008
C-EEU-ROU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1990,p2,826323.718769999
C-EEU-ROU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2005,p3,200868.19405000057
C-EEU-ROU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2010,p3,451168.83846999914
C-EEU-ROU,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2015,p3,473465.8824299993
C-EEU-SVK,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1945,p1,7624741.928219999
C-EEU-SVK,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1960,p2,1982347.7800299984
C-EEU-SVK,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1965,p2,238430.7724099997
C-EEU-SVK,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1985,p2,13337.470910000446
C-EEU-SVK,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1995,p3,419824.3919899989
C-EEU-SVK,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2000,p3,382863.4502900011
C-EEU-SVK,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2005,p3,418597.9360099987
C-EEU-SVK,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2010,p3,498793.92407999974
C-EEU-SVK,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1945,p1,6474283.681350001
C-EEU-SVK,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1960,p2,1683241.4793700008
C-EEU-SVK,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1965,p2,202455.17466999925
C-EEU-SVK,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1985,p2,11325.04825000059
C-EEU-SVK,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1995,p3,356479.24029000045
C-EEU-SVK,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2000,p3,325095.14574000007
C-EEU-SVK,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2005,p3,355437.83798999997
C-EEU-SVK,rur,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2010,p3,423533.46427999996
C-EEU-SVK,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1945,p1,3985235.510700001
C-EEU-SVK,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1960,p2,2075147.3001699995
C-EEU-SVK,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1965,p2,1316669.1851799998
C-EEU-SVK,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1970,p2,1353667.4689400003
C-EEU-SVK,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1975,p2,1839190.0565499994
C-EEU-SVK,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1980,p2,2121030.2239100006
C-EEU-SVK,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1985,p2,1315614.8084100008
C-EEU-SVK,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1990,p2,1163484.6701
C-EEU-SVK,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1995,p3,467853.5074299989
C-EEU-SVK,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2000,p3,191193.56581000148
C-EEU-SVK,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2005,p3,31176.240009999714
C-EEU-SVK,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2010,p3,161537.78375000026
C-EEU-SVK,urb,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2015,p3,1410913.2754799977
C-EEU-SVK,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1945,p1,2819168.2954
C-EEU-SVK,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1960,p2,1467965.8105499994
C-EEU-SVK,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1965,p2,931415.9758900005
C-EEU-SVK,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1970,p2,957588.6796700003
C-EEU-SVK,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1975,p2,1301048.9047999992
C-EEU-SVK,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1980,p2,1500423.5370000007
C-EEU-SVK,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1985,p2,930670.1063799985
C-EEU-SVK,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1990,p2,823052.7619200002
C-EEU-SVK,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,1995,p3,330961.06150000024
C-EEU-SVK,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2000,p3,135250.93751000022
C-EEU-SVK,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2005,p3,22054.171490000845
C-EEU-SVK,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2010,p3,114272.34280999917
C-EEU-SVK,urb,ns,EEU,Zone_6A Cold Humid,comm,perm,2015,2015,p3,998084.5455900007
C-EEU-SVN,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1945,p1,6302811.814619999
C-EEU-SVN,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1960,p2,975034.3688099997
C-EEU-SVN,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1985,p2,154077.16973000093
C-EEU-SVN,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1990,p2,237927.59099999914
C-EEU-SVN,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,1995,p3,310980.8965400008
C-EEU-SVN,rur,ns,EEU,Zone_5A Cool Humid,comm,perm,2015,2000,p3,240957.7072099999
