region_gea,fuel,year,value
"NAM",biomass_solid,2055,25.81019338
"NAM",biomass_solid,2060,24.10985292
"NAM",biomass_solid,2070,17.38421573
"NAM",biomass_solid,2080,14.34175911
"NAM",biomass_solid,2090,15.51007484
"NAM",biomass_solid,2100,13.65206637
"NAM",coal,2015,3.293624759
"NAM",coal,2020,3.226483144
"NAM",coal,2025,15.51646589
"NAM",coal,2030,10.74159417
"NAM",coal,2035,12.60974932
"NAM",coal,2040,18.903967
"NAM",coal,2045,13.25723083
"NAM",coal,2050,35.30286078
"NAM",coal,2055,44.49413989
"NAM",coal,2060,45.96629314
"NAM",coal,2070,21.49139517
"NAM",coal,2080,19.42567114
"NAM",coal,2090,22.03057708
"NAM",coal,2100,23.56225516
PAS,electricity,2015,32.72142027
PAS,electricity,2020,18.48466259
PAS,electricity,2025,32.36200887
PAS,electricity,2030,30.90332778
PAS,electricity,2035,30.81820347
PAS,electricity,2040,30.07091479
PAS,electricity,2045,29.04143826
PAS,electricity,2050,29.8302458
PAS,electricity,2055,29.14589089
PAS,electricity,2060,36.79655273
PAS,electricity,2070,26.66370613
PAS,electricity,2080,27.86026778
PAS,electricity,2090,26.53818916
PAS,electricity,2100,30.05694686
PAS,gas,2015,3.320027583
PAS,gas,2020,6.056750764
PAS,gas,2025,14.85037529
PAS,gas,2030,18.08068968
PAS,gas,2035,19.59014369
PAS,gas,2040,30.07932061
PAS,gas,2045,37.8725431
PAS,gas,2050,37.99754515
PAS,gas,2055,53.31190293
PAS,gas,2060,53.26760901
PAS,gas,2070,22.61088945
PAS,gas,2080,21.13315231
PAS,gas,2090,23.35974942
PAS,gas,2100,26.50166382
PAS,oil,2015,4.608800521
PAS,oil,2020,4.412700005
PAS,oil,2025,17.4932405
PAS,oil,2030,20.61472717
PAS,oil,2035,27.49994884
PAS,oil,2040,34.67047184
PAS,oil,2045,35.90762058
PAS,oil,2050,45.2700865
PAS,oil,2055,52.99065201
PAS,oil,2060,56.30292333
PAS,oil,2070,22.40658021
PAS,oil,2080,21.70082449
PAS,oil,2090,24.0545459
PAS,oil,2100,27.5682251
PAS,biomass_solid,2015,0.087816089
PAS,biomass_solid,2020,3.934164116
PAS,biomass_solid,2025,9.010479695
PAS,biomass_solid,2030,10.00227096
PAS,biomass_solid,2035,14.57787457
PAS,biomass_solid,2040,27.86752608
PAS,biomass_solid,2045,18.46836526
PAS,biomass_solid,2050,17.52058465
PAS,biomass_solid,2055,22.67734437
PAS,biomass_solid,2060,28.35410843
PAS,biomass_solid,2070,17.19175475
PAS,biomass_solid,2080,17.24524579
PAS,biomass_solid,2090,17.70478359
PAS,biomass_solid,2100,20.25571576
PAS,coal,2015,2.481801709
PAS,coal,2020,4.192283115
PAS,coal,2025,11.01236584
PAS,coal,2030,11.14716719
PAS,coal,2035,25.84828894
PAS,coal,2040,34.49221365
PAS,coal,2045,35.90762058
PAS,coal,2050,46.19101746
PAS,coal,2055,53.31190293
PAS,coal,2060,53.26760901
PAS,coal,2070,22.61088945
PAS,coal,2080,21.13315231
PAS,coal,2090,23.35974942
PAS,coal,2100,26.50166382
PAO,electricity,2015,11.39179332
PAO,electricity,2020,16.53405366
PAO,electricity,2025,39.51174889
PAO,electricity,2030,37.67822368
PAO,electricity,2035,36.27521999
PAO,electricity,2040,35.38170256
PAO,electricity,2045,34.43350409
PAO,electricity,2050,34.44934655
PAO,electricity,2055,34.97655279
PAO,electricity,2060,39.93731109
PAO,electricity,2070,27.94202574
PAO,electricity,2080,27.51335264
PAO,electricity,2090,27.96915722
PAO,electricity,2100,31.97778301
PAO,gas,2015,4.144717663
PAO,gas,2020,5.890516122
PAO,gas,2025,17.65456209
PAO,gas,2030,23.61522569
PAO,gas,2035,24.47944429
PAO,gas,2040,27.81621657
PAO,gas,2045,32.52740923
PAO,gas,2050,39.94162074
PAO,gas,2055,44.17750941
PAO,gas,2060,47.01604431
PAO,gas,2070,22.34191447
PAO,gas,2080,20.32044261
PAO,gas,2090,22.29298497
PAO,gas,2100,25.07988057
PAO,oil,2015,3.768252277
PAO,oil,2020,3.99006037
PAO,oil,2025,17.74625449
PAO,oil,2030,20.74953535
PAO,oil,2035,27.33437216
PAO,oil,2040,34.67047184
PAO,oil,2045,35.50672927
PAO,oil,2050,44.46723924
PAO,oil,2055,52.37747459
PAO,oil,2060,53.87908005
PAO,oil,2070,22.07834059
PAO,oil,2080,21.62679936
PAO,oil,2090,24.0545459
PAO,oil,2100,26.79912402
PAO,biomass_solid,2015,0.702528708
PAO,biomass_solid,2020,3.470485388
PAO,biomass_solid,2025,9.441763351
PAO,biomass_solid,2030,8.758616658
PAO,biomass_solid,2035,17.32826492
PAO,biomass_solid,2040,22.10093673
PAO,biomass_solid,2045,23.88023361
PAO,biomass_solid,2050,26.30385707
PAO,biomass_solid,2055,21.93986713
PAO,biomass_solid,2060,32.09178507
PAO,biomass_solid,2070,17.19226835
PAO,biomass_solid,2080,15.17354847
PAO,biomass_solid,2090,14.47093225
PAO,biomass_solid,2100,15.01260393
PAO,coal,2015,2.932833955
PAO,coal,2020,4.448843461
PAO,coal,2025,15.37060316
PAO,coal,2030,14.14525705
PAO,coal,2035,28.93639965
PAO,coal,2040,34.67047184
PAO,coal,2045,38.60167618
PAO,coal,2050,46.82957087
PAO,coal,2055,44.17750941
PAO,coal,2060,74.90742725
PAO,coal,2070,22.55702319
PAO,coal,2080,20.32044261
