Model,Scenario,Region,Variable,Unit,2020,2025,2030
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.427,0.418
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Materials Demand|Iron and Steel|Residential,Mt/yr,NA,136.879,134.828
MESSAGEix-Buildings,IND_SSP2,R12_CHN,Total Scrap|Iron and Steel|Residential,Mt/yr,NA,91.452,97.199
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.081,0.063
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.08,0.084
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,NA,6.003,4.65
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.019,0.015
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.024,0.026
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Materials Demand|Iron and Steel|Residential,Mt/yr,NA,2.742,2.132
MESSAGEix-Buildings,IND_SSP2,R12_EEU,Total Scrap|Iron and Steel|Residential,Mt/yr,NA,2.153,2.215
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.198,0.219
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.185,0.19
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,NA,11.981,13.449
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.052,0.055
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,NA,0.059,0.06
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Materials Demand|Iron and Steel|Residential,Mt/yr,NA,6.574,7.509
MESSAGEix-Buildings,IND_SSP2,R12_FSU,Total Scrap|Iron and Steel|Residential,Mt/yr,NA,5.071,5.262
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.444,0.54
MESSAGEix-Buildings,IND_SSP2,R12_LAM,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,NA,0.254,0.293
