R12,urt,arch,mat,eneff,fuel_heat,fuel_cool,scenario,year,stock_M,floor_Mm2,heat_TJ,cool_TJ,cool_ac_TJ,cool_fans_TJ,hotwater_TJ,other_uses_TJ
WEU,rur,comm,perm,sr21_std,v_no_heat,electricity,SSP2,2040,0.11465203616268156,0.11465203616268156,0,0.3079553816697969,0.06926517951582288,0.238690202153974,0,36.185478149765586
WEU,rur,comm,perm,sr21_std,v_no_heat,electricity,SSP2,2045,0.1294386968426587,0.1294386968426587,0,0.3519054388634697,0.07836366964086729,0.2735417692226024,0,40.65370806777669
WEU,rur,comm,perm,sr21_std,v_no_heat,electricity,SSP2,2050,0.13839028009524756,0.13839028009524756,0,0.37891489405255135,0.08338347330941925,0.29553142074313205,0,43.28491509202766
WEU,rur,comm,perm,sr21_std,v_no_heat,electricity,SSP2,2055,0.14283823029273168,0.14283823029273168,0,0.39188640949561354,0.0849615928488261,0.30692481664678745,0,44.51904356667773
WEU,rur,comm,perm,sr21_std,v_no_heat,electricity,SSP2,2060,0.14420984311788346,0.14420984311788346,0,0.39617895829309113,0.08464223803416104,0.31153672025893003,0,44.811845106951
WEU,rur,comm,perm,sr21_std,v_no_heat,electricity,SSP2,2070,0.14218808615276182,0.14218808615276182,0,0.3895860958338431,0.08050747202154217,0.30907862381230095,0,43.96676199425192
WEU,rur,comm,perm,sr21_std,v_no_heat,electricity,SSP2,2080,0.13653941968581598,0.13653941968581598,0,0.37229877632245034,0.07437735033828975,0.29792142598416055,0,42.05946922090418
WEU,rur,comm,perm,sr21_std,v_no_heat,electricity,SSP2,2090,0.12832654861420337,0.12832654861420337,0,0.34845381207570914,0.06746944256954925,0.2809843695061598,0,39.41631699993249
WEU,rur,comm,perm,sr21_std,v_no_heat,electricity,SSP2,2100,0.11744362609395817,0.11744362609395817,0,0.3178158890663286,0.05976414123310744,0.25805174783322116,0,35.99696926293882
WEU,rur,comm,perm,sr22_low,electricity,electricity,SSP2,2025,2.141852019646946,2.141852019646946,114.1334846156816,20.650147153024125,8.722457567311896,11.92768958571223,88.4604394140962,690.9456497268053
WEU,rur,comm,perm,sr22_low,electricity,electricity,SSP2,2030,4.82300389268616,4.82300389268616,245.71595576490273,49.419171307995605,20.842718107921876,28.576453200073736,190.5174228554817,1542.0558509822602
