region_bld,region_gea,urt,clim,mat,arch,inc_cl,year,yr_con,bld_age,value
C-EEU-HRV,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1990,p2,255540.4341557021
C-EEU-HRV,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1945,p1,6289402.631293066
C-EEU-HRV,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1960,p2,1024382.5955774311
C-EEU-HRV,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1965,p2,117630.90092031843
C-EEU-HRV,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1975,p2,102934.58968658466
C-EEU-HRV,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1980,p2,105938.59280434999
C-EEU-HRV,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1985,p2,218457.24503967084
C-EEU-HRV,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1990,p2,246055.65192478328
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,1945,p1,851511.427896164
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,1960,p2,143275.00958235754
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,1965,p2,294666.6134861902
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,1970,p2,315615.1777332099
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,1975,p2,295366.6565150125
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,1980,p2,315176.3139070969
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,1985,p2,241958.63930254124
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,1990,p2,243871.36430143757
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,1995,p3,129059.79912340366
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,2000,p3,123369.47365009555
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,2005,p3,121222.45763725601
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,2010,p3,164673.58302980152
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,2015,p3,232635.3392250041
C-EEU-HRV,EEU,urb,Zone_3A Warm Humid,perm,comm,ns,2020,2020,p3,232635.3392250041
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1945,p1,2263821.2825923995
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1960,p2,380909.7627344377
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1965,p2,783398.2363987031
C-EEU-HRV,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1970,p2,839091.917123931
