region_gea,year,value
LAC,2040,9.61069393243399
LAC,2045,11.29203883170826
LAC,2050,12.816869098292626
LAC,2055,13.961492782406921
LAC,2060,14.683845613859965
LAC,2065,15.314577781972876
LAC,2070,15.711205211463426
LAC,2075,15.945939186352794
LAC,2080,16.074702750588408
LAC,2085,16.14051192401071
LAC,2090,16.172151661022287
LAC,2095,16.186718268179487
LAC,2100,16.19338245913166
MEA,2020,4.253407801247061
MEA,2025,5.257378495628953
MEA,2030,6.289282403527929
MEA,2035,7.38345442154662
MEA,2040,8.55977511254445
MEA,2045,9.510818828021385
MEA,2050,10.191173353043862
MEA,2055,10.701528756044516
MEA,2060,11.081772046974796
MEA,2065,11.542967476460023
MEA,2070,11.908182710176924
MEA,2075,12.19538072962962
MEA,2080,12.429547315825094
MEA,2085,12.638805027932102
MEA,2090,12.834354269231394
MEA,2095,13.015630656139539
MEA,2100,13.172515470157245
NAM,2020,24.428515428641557
NAM,2025,24.793273577737235
NAM,2030,24.155762220349324
NAM,2035,23.45410695010402
NAM,2040,22.72680015577396
NAM,2045,21.98790971674072
NAM,2050,21.243513021631472
NAM,2055,21.24645164969814
NAM,2060,21.248069513071915
NAM,2065,21.248958137739177
NAM,2070,21.249427054501727
NAM,2075,21.24968206153443
NAM,2080,21.249825722748966
NAM,2085,21.24990722946008
NAM,2090,21.249952244535113
NAM,2095,21.24997602717154
NAM,2100,21.24998814038911
PAO,2020,17.20098832697905
PAO,2025,20.394012837253968
PAO,2030,21.46949189923261
PAO,2035,21.968178402383067
PAO,2040,21.918111516151303
PAO,2045,21.571517925437533
PAO,2050,21.03951148193064
PAO,2055,21.144073071341666
PAO,2060,21.196807043376296
PAO,2065,21.22382282324159
PAO,2070,21.237286993781733
PAO,2075,21.243848287715007
PAO,2080,21.246996199951717
PAO,2085,21.248513163205942
PAO,2090,21.249251655352598
PAO,2095,21.24961408617169
PAO,2100,21.249792977607495
PAS,2020,3.6644934776136537
PAS,2025,5.116066445651275
PAS,2030,6.730512200399913
PAS,2035,8.24340624024156
PAS,2040,9.56757131660711
PAS,2045,10.61852794774926
PAS,2050,11.374243641448842
PAS,2055,11.88221238080319
PAS,2060,12.193899461867906
PAS,2065,12.563507106982552
PAS,2070,12.842352966452436
PAS,2075,13.054625343243774
PAS,2080,13.212657733961574
PAS,2085,13.326198701996157
PAS,2090,13.402586317694661
PAS,2095,13.449848357119519
PAS,2100,13.476189566664047
SAS,2020,2.90690390204871
SAS,2025,3.744051688511869
SAS,2030,4.836040720381629
SAS,2035,6.104009672368649
SAS,2040,7.500558525331656
SAS,2045,8.92554877759084
SAS,2050,10.243788473596657
SAS,2055,11.341644441887873
SAS,2060,12.163802234695293
SAS,2065,12.713553590220013
SAS,2070,13.007391814226729
SAS,2075,13.269044253812984
SAS,2080,13.4013644949908
SAS,2085,13.460877789957678
SAS,2090,13.485371303283024
SAS,2095,13.494774560597154
SAS,2100,13.498195221999046
WEU,2020,14.972684819684696
WEU,2025,17.275827138263764
WEU,2030,17.69007077470362
WEU,2035,17.756495669620257
WEU,2040,17.584998245275287
WEU,2045,17.242587241157384
WEU,2050,16.79105611353039
WEU,2055,16.875323829581333
WEU,2060,16.926688586477457
WEU,2065,16.957350754474895
WEU,2070,16.974635052910617
WEU,2075,16.98444905612084
WEU,2080,16.99019896784125
WEU,2085,16.9937106219693
WEU,2090,16.99591957456469
WEU,2095,16.99732391569581
WEU,2100,16.998212848757582
