region_bld,year,urt,value
C-EEU-LVA,2100,rur,0.11700999999999995
C-EEU-LVA,2100,urb,0.88299
C-EEU-POL,2020,rur,0.4
C-EEU-POL,2020,urb,0.6
C-EEU-POL,2025,rur,0.38437
C-EEU-POL,2025,urb,0.61563
C-EEU-POL,2030,rur,0.3692
C-EEU-POL,2030,urb,0.6308
C-EEU-POL,2035,rur,0.35447000000000006
C-EEU-POL,2035,urb,0.6455299999999999
C-EEU-POL,2040,rur,0.34021
C-EEU-POL,2040,urb,0.65979
C-EEU-POL,2045,rur,0.3264100000000001
C-EEU-POL,2045,urb,0.6735899999999999
C-EEU-POL,2050,rur,0.31308
C-EEU-POL,2050,urb,0.68692
C-EEU-POL,2055,rur,0.30021
C-EEU-POL,2055,urb,0.69979
C-EEU-POL,2060,rur,0.28781
C-EEU-POL,2060,urb,0.71219
C-EEU-POL,2065,rur,0.27584999999999993
C-EEU-POL,2065,urb,0.7241500000000001
C-EEU-POL,2070,rur,0.26435
C-EEU-POL,2070,urb,0.73565
C-EEU-POL,2075,rur,0.25328000000000006
C-EEU-POL,2075,urb,0.7467199999999999
C-EEU-POL,2080,rur,0.24263999999999997
C-EEU-POL,2080,urb,0.75736
C-EEU-POL,2085,rur,0.23242000000000007
C-EEU-POL,2085,urb,0.7675799999999999
C-EEU-POL,2090,rur,0.22260999999999995
C-EEU-POL,2090,urb,0.77739
C-EEU-POL,2095,rur,0.21317999999999993
C-EEU-POL,2095,urb,0.7868200000000001
C-EEU-POL,2100,rur,0.20415000000000005
C-EEU-POL,2100,urb,0.7958500000000001
C-EEU-ROU,2020,rur,0.45799999999999996
C-EEU-ROU,2020,urb,0.542
C-EEU-ROU,2025,rur,0.43714000000000003
C-EEU-ROU,2025,urb,0.56286
C-EEU-ROU,2030,rur,0.41725999999999996
C-EEU-ROU,2030,urb,0.58274
C-EEU-ROU,2035,rur,0.39835999999999994
C-EEU-ROU,2035,urb,0.6016400000000001
C-EEU-ROU,2040,rur,0.38042
C-EEU-ROU,2040,urb,0.61958
C-EEU-ROU,2045,rur,0.36341999999999997
C-EEU-ROU,2045,urb,0.63658
C-EEU-ROU,2050,rur,0.34734
C-EEU-ROU,2050,urb,0.65266
C-EEU-ROU,2055,rur,0.3321200000000001
C-EEU-ROU,2055,urb,0.6678799999999999
C-EEU-ROU,2060,rur,0.31774
C-EEU-ROU,2060,urb,0.68226
C-EEU-ROU,2065,rur,0.30416
C-EEU-ROU,2065,urb,0.69584
C-EEU-ROU,2070,rur,0.29133
C-EEU-ROU,2070,urb,0.70867
C-EEU-ROU,2075,rur,0.27921000000000007
C-EEU-ROU,2075,urb,0.7207899999999999
C-EEU-ROU,2080,rur,0.26775000000000004
C-EEU-ROU,2080,urb,0.73225
C-EEU-ROU,2085,rur,0.25693
C-EEU-ROU,2085,urb,0.74307
C-EEU-ROU,2090,rur,0.24670000000000003
C-EEU-ROU,2090,urb,0.7533
C-EEU-ROU,2095,rur,0.23702
C-EEU-ROU,2095,urb,0.76298
C-EEU-ROU,2100,rur,0.22786000000000006
C-EEU-ROU,2100,urb,0.77214
C-EEU-SVK,2020,rur,0.4620000000000001
C-EEU-SVK,2020,urb,0.5379999999999999
C-EEU-SVK,2025,rur,0.43948999999999994
C-EEU-SVK,2025,urb,0.5605100000000001
C-EEU-SVK,2030,rur,0.41780000000000006
C-EEU-SVK,2030,urb,0.5821999999999999
C-EEU-SVK,2035,rur,0.39694999999999997
C-EEU-SVK,2035,urb,0.60305
C-EEU-SVK,2040,rur,0.37698000000000004
C-EEU-SVK,2040,urb,0.62302
C-EEU-SVK,2045,rur,0.3579000000000001
C-EEU-SVK,2045,urb,0.6420999999999999
C-EEU-SVK,2050,rur,0.33968999999999994
C-EEU-SVK,2050,urb,0.6603100000000001
C-EEU-SVK,2055,rur,0.3223600000000001
C-EEU-SVK,2055,urb,0.6776399999999999
C-EEU-SVK,2060,rur,0.30589
C-EEU-SVK,2060,urb,0.69411
C-EEU-SVK,2065,rur,0.29025
C-EEU-SVK,2065,urb,0.70975
C-EEU-SVK,2070,rur,0.27540999999999993
C-EEU-SVK,2070,urb,0.7245900000000001
C-EEU-SVK,2075,rur,0.2613500000000001
C-EEU-SVK,2075,urb,0.7386499999999999
C-EEU-SVK,2080,rur,0.24804000000000004
C-EEU-SVK,2080,urb,0.75196
C-EEU-SVK,2085,rur,0.23543000000000003
C-EEU-SVK,2085,urb,0.76457
C-EEU-SVK,2090,rur,0.22349999999999992
C-EEU-SVK,2090,urb,0.7765000000000001
C-EEU-SVK,2095,rur,0.21221
C-EEU-SVK,2095,urb,0.78779
C-EEU-SVK,2100,rur,0.20153999999999994
C-EEU-SVK,2100,urb,0.7984600000000001
C-EEU-SVN,2020,rur,0.44899999999999995
C-EEU-SVN,2020,urb,0.551
C-EEU-SVN,2025,rur,0.42652
C-EEU-SVN,2025,urb,0.57348
C-EEU-SVN,2030,rur,0.40488999999999997
C-EEU-SVN,2030,urb,0.59511
C-EEU-SVN,2035,rur,0.38415999999999995
C-EEU-SVN,2035,urb,0.61584
C-EEU-SVN,2040,rur,0.36434
C-EEU-SVN,2040,urb,0.63566
C-EEU-SVN,2045,rur,0.34543
C-EEU-SVN,2045,urb,0.65457
C-EEU-SVN,2050,rur,0.32742000000000004
C-EEU-SVN,2050,urb,0.67258
C-EEU-SVN,2055,rur,0.3103100000000001
C-EEU-SVN,2055,urb,0.6896899999999999
C-EEU-SVN,2060,rur,0.29406999999999994
C-EEU-SVN,2060,urb,0.7059300000000001
C-EEU-SVN,2065,rur,0.2786700000000001
C-EEU-SVN,2065,urb,0.7213299999999999
C-EEU-SVN,2070,rur,0.26409000000000005
C-EEU-SVN,2070,urb,0.73591
C-EEU-SVN,2075,rur,0.25028000000000006
C-EEU-SVN,2075,urb,0.7497199999999999
C-EEU-SVN,2080,rur,0.23722999999999994
C-EEU-SVN,2080,urb,0.7627700000000001
C-EEU-SVN,2085,rur,0.22487999999999997
C-EEU-SVN,2085,urb,0.77512
C-EEU-SVN,2090,rur,0.21322000000000008
C-EEU-SVN,2090,urb,0.7867799999999998
C-EEU-SVN,2095,rur,0.20218999999999998
C-EEU-SVN,2095,urb,0.79781
C-EEU-SVN,2100,rur,0.1917700000000001
C-EEU-SVN,2100,urb,0.8082299999999999
C-WEU-AUT,2020,rur,0.4129999999999999
C-WEU-AUT,2020,urb,0.5870000000000001
C-WEU-AUT,2025,rur,0.39368000000000003
C-WEU-AUT,2025,urb,0.60632
C-WEU-AUT,2030,rur,0.37531000000000003
C-WEU-AUT,2030,urb,0.62469
C-WEU-AUT,2035,rur,0.35786000000000007
C-WEU-AUT,2035,urb,0.6421399999999999
C-WEU-AUT,2040,rur,0.34132000000000007
C-WEU-AUT,2040,urb,0.6586799999999999
C-WEU-AUT,2045,rur,0.32565
C-WEU-AUT,2045,urb,0.67435
C-WEU-AUT,2050,rur,0.31082
C-WEU-AUT,2050,urb,0.68918
C-WEU-AUT,2055,rur,0.29680000000000006
C-WEU-AUT,2055,urb,0.7031999999999999
C-WEU-AUT,2060,rur,0.28352999999999995
C-WEU-AUT,2060,urb,0.71647
C-WEU-AUT,2065,rur,0.27099000000000006
C-WEU-AUT,2065,urb,0.7290099999999999
C-WEU-AUT,2070,rur,0.25912999999999997
C-WEU-AUT,2070,urb,0.74087
C-WEU-AUT,2075,rur,0.24792000000000006
C-WEU-AUT,2075,urb,0.75208
C-WEU-AUT,2080,rur,0.23730999999999994
C-WEU-AUT,2080,urb,0.7626900000000001
C-WEU-AUT,2085,rur,0.22727999999999993
C-WEU-AUT,2085,urb,0.7727200000000001
C-WEU-AUT,2090,rur,0.21778000000000008
C-WEU-AUT,2090,urb,0.7822199999999999
C-WEU-AUT,2095,rur,0.20877999999999997
C-WEU-AUT,2095,urb,0.79122
C-WEU-AUT,2100,rur,0.20026
C-WEU-AUT,2100,urb,0.79974
C-WEU-BEL,2020,rur,0.019000000000000017
C-WEU-BEL,2020,urb,0.981
C-WEU-BEL,2025,rur,0.01871999999999996
C-WEU-BEL,2025,urb,0.9812800000000002
C-WEU-BEL,2030,rur,0.0184399999999999
C-WEU-BEL,2030,urb,0.9815600000000001
C-WEU-BEL,2035,rur,0.018160000000000065
C-WEU-BEL,2035,urb,0.9818399999999999
C-WEU-BEL,2040,rur,0.017880000000000007
C-WEU-BEL,2040,urb,0.98212
C-WEU-BEL,2045,rur,0.01760000000000006
C-WEU-BEL,2045,urb,0.9823999999999999
C-WEU-BEL,2050,rur,0.017309999999999937
C-WEU-BEL,2050,urb,0.9826900000000001
