region_gea,mat,arch,bld_age,year,parameter,value
CPA,perm,comm,p3,2020,scale,31.03
CPA,perm,comm,p3,2020,shape,2
CPA,perm,comm,p3,2025,scale,31.03
CPA,perm,comm,p3,2025,shape,2
CPA,perm,comm,p3,2030,scale,34.133
CPA,perm,comm,p3,2030,shape,2
CPA,perm,comm,p3,2035,scale,37.236
CPA,perm,comm,p3,2035,shape,2
CPA,perm,comm,p3,2040,scale,40.339000000000006
CPA,perm,comm,p3,2040,shape,2
CPA,perm,comm,p3,2045,scale,43.442
CPA,perm,comm,p3,2045,shape,2
CPA,perm,comm,p3,2050,scale,46.545
CPA,perm,comm,p3,2050,shape,2
CPA,perm,comm,p3,2055,scale,46.545
CPA,perm,comm,p3,2055,shape,2
CPA,perm,comm,p3,2060,scale,46.545
CPA,perm,comm,p3,2060,shape,2
CPA,perm,comm,p3,2065,scale,46.545
CPA,perm,comm,p3,2065,shape,2
CPA,perm,comm,p3,2070,scale,46.545
CPA,perm,comm,p3,2070,shape,2
CPA,perm,comm,p3,2075,scale,46.545
CPA,perm,comm,p3,2075,shape,2
CPA,perm,comm,p3,2080,scale,46.545
CPA,perm,comm,p3,2080,shape,2
CPA,perm,comm,p3,2085,scale,46.545
CPA,perm,comm,p3,2085,shape,2
CPA,perm,comm,p3,2090,scale,46.545
CPA,perm,comm,p3,2090,shape,2
CPA,perm,comm,p3,2095,scale,46.545
CPA,perm,comm,p3,2095,shape,2
CPA,perm,comm,p3,2100,scale,46.545
CPA,perm,comm,p3,2100,shape,2
CPA,perm,comm,p5,2020,scale,31.03
CPA,perm,comm,p5,2020,shape,2
CPA,perm,comm,p5,2025,scale,31.03
CPA,perm,comm,p5,2025,shape,2
CPA,perm,comm,p5,2030,scale,36.6154
CPA,perm,comm,p5,2030,shape,2
CPA,perm,comm,p5,2035,scale,42.20080000000001
CPA,perm,comm,p5,2035,shape,2
CPA,perm,comm,p5,2040,scale,47.7862
CPA,perm,comm,p5,2040,shape,2
CPA,perm,comm,p5,2045,scale,53.37160000000001
CPA,perm,comm,p5,2045,shape,2
CPA,perm,comm,p5,2050,scale,58.957
CPA,perm,comm,p5,2050,shape,2
CPA,perm,comm,p5,2055,scale,58.957
CPA,perm,comm,p5,2055,shape,2
CPA,perm,comm,p5,2060,scale,58.957
CPA,perm,comm,p5,2060,shape,2
CPA,perm,comm,p5,2065,scale,58.957
CPA,perm,comm,p5,2065,shape,2
CPA,perm,comm,p5,2070,scale,58.957
CPA,perm,comm,p5,2070,shape,2
CPA,perm,comm,p5,2075,scale,58.957
CPA,perm,comm,p5,2075,shape,2
CPA,perm,comm,p5,2080,scale,58.957
CPA,perm,comm,p5,2080,shape,2
CPA,perm,comm,p5,2085,scale,58.957
CPA,perm,comm,p5,2085,shape,2
CPA,perm,comm,p5,2090,scale,58.957
CPA,perm,comm,p5,2090,shape,2
CPA,perm,comm,p5,2095,scale,58.957
CPA,perm,comm,p5,2095,shape,2
CPA,perm,comm,p5,2100,scale,58.957
CPA,perm,comm,p5,2100,shape,2
EEU,perm,comm,p1,2020,scale,150
EEU,perm,comm,p1,2020,shape,2.5
EEU,perm,comm,p1,2025,scale,150
EEU,perm,comm,p1,2025,shape,2.5
EEU,perm,comm,p1,2030,scale,165
EEU,perm,comm,p1,2030,shape,2.5
EEU,perm,comm,p1,2035,scale,180
EEU,perm,comm,p1,2035,shape,2.5
EEU,perm,comm,p1,2040,scale,195
EEU,perm,comm,p1,2040,shape,2.5
EEU,perm,comm,p1,2045,scale,210
EEU,perm,comm,p1,2045,shape,2.5
EEU,perm,comm,p1,2050,scale,225
EEU,perm,comm,p1,2050,shape,2.5
EEU,perm,comm,p1,2055,scale,225
EEU,perm,comm,p1,2055,shape,2.5
EEU,perm,comm,p1,2060,scale,225
EEU,perm,comm,p1,2060,shape,2.5
EEU,perm,comm,p1,2065,scale,225
EEU,perm,comm,p1,2065,shape,2.5
EEU,perm,comm,p1,2070,scale,225
EEU,perm,comm,p1,2070,shape,2.5
EEU,perm,comm,p1,2075,scale,225
EEU,perm,comm,p1,2075,shape,2.5
