region_bld,clim,urt,arch,eneff,value
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,sr31_std,1.734756215
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,sr32_low,1.734756215
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,s1,1.243432209
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,s2,1.191865511
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,s3,1.783861782
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,s51_std,2.301669791
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,s52_low,5.008569995
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,sr11_std,1.243432209
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,sr12_low,1.243432209
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,sr21_std,1.191865511
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,sr22_low,1.191865511
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,sr31_std,1.783861782
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,sr32_low,1.783861782
C-EEU-SVK,Zone_5A Cool Humid,rur,comm,s1,7.423426429
C-EEU-SVK,Zone_5A Cool Humid,rur,comm,s2,7.024636935
C-EEU-SVK,Zone_5A Cool Humid,rur,comm,s3,8.435861291
C-EEU-SVK,Zone_5A Cool Humid,rur,comm,s51_std,9.743668804
C-EEU-SVK,Zone_5A Cool Humid,rur,comm,s52_low,14.2880893
C-EEU-SVK,Zone_5A Cool Humid,rur,comm,sr11_std,7.423426429
C-EEU-SVK,Zone_5A Cool Humid,rur,comm,sr12_low,7.423426429
C-EEU-SVK,Zone_5A Cool Humid,rur,comm,sr21_std,7.024636935
C-EEU-SVK,Zone_5A Cool Humid,rur,comm,sr22_low,7.024636935
C-EEU-SVK,Zone_5A Cool Humid,rur,comm,sr31_std,8.435861291
C-EEU-SVK,Zone_5A Cool Humid,rur,comm,sr32_low,8.435861291
C-EEU-SVK,Zone_5A Cool Humid,urb,comm,s1,8.179629967
C-EEU-SVK,Zone_5A Cool Humid,urb,comm,s2,7.743241479
C-EEU-SVK,Zone_5A Cool Humid,urb,comm,s3,9.134810499
C-EEU-SVK,Zone_5A Cool Humid,urb,comm,s51_std,10.51467459
C-EEU-SVK,Zone_5A Cool Humid,urb,comm,s52_low,15.17408538
C-EEU-SVK,Zone_5A Cool Humid,urb,comm,sr11_std,8.179629967
C-EEU-SVK,Zone_5A Cool Humid,urb,comm,sr12_low,8.179629967
C-EEU-SVK,Zone_5A Cool Humid,urb,comm,sr21_std,7.743241479
C-EEU-SVK,Zone_5A Cool Humid,urb,comm,sr22_low,7.743241479
C-EEU-SVK,Zone_5A Cool Humid,urb,comm,sr31_std,9.134810499
C-EEU-SVK,Zone_5A Cool Humid,urb,comm,sr32_low,9.134810499
C-EEU-SVK,Zone_6A Cold Humid,rur,comm,s1,1.620059408
C-EEU-SVK,Zone_6A Cold Humid,rur,comm,s2,1.516082282
C-EEU-SVK,Zone_6A Cold Humid,rur,comm,s3,1.814588457
C-EEU-SVK,Zone_6A Cold Humid,rur,comm,s51_std,2.255821229
C-EEU-SVK,Zone_6A Cold Humid,rur,comm,s52_low,4.679884352
C-EEU-SVK,Zone_6A Cold Humid,rur,comm,sr11_std,1.620059408
C-EEU-SVK,Zone_6A Cold Humid,rur,comm,sr12_low,1.620059408
C-EEU-SVK,Zone_6A Cold Humid,rur,comm,sr21_std,1.516082282
C-EEU-SVK,Zone_6A Cold Humid,rur,comm,sr22_low,1.516082282
C-EEU-SVK,Zone_6A Cold Humid,rur,comm,sr31_std,1.814588457
C-EEU-SVK,Zone_6A Cold Humid,rur,comm,sr32_low,1.814588457
C-EEU-SVK,Zone_6A Cold Humid,urb,comm,s1,1.677444749
C-EEU-SVK,Zone_6A Cold Humid,urb,comm,s2,1.579405548
C-EEU-SVK,Zone_6A Cold Humid,urb,comm,s3,2.181809087
C-EEU-SVK,Zone_6A Cold Humid,urb,comm,s51_std,2.801294507
C-EEU-SVK,Zone_6A Cold Humid,urb,comm,s52_low,5.139054378
C-EEU-SVK,Zone_6A Cold Humid,urb,comm,sr11_std,1.677444749
C-EEU-SVK,Zone_6A Cold Humid,urb,comm,sr12_low,1.677444749
C-EEU-SVK,Zone_6A Cold Humid,urb,comm,sr21_std,1.579405548
C-EEU-SVK,Zone_6A Cold Humid,urb,comm,sr22_low,1.579405548
C-EEU-SVK,Zone_6A Cold Humid,urb,comm,sr31_std,2.181809087
C-EEU-SVK,Zone_6A Cold Humid,urb,comm,sr32_low,2.181809087
C-EEU-SVN,Zone_5A Cool Humid,rur,comm,s1,2.782269351
C-EEU-SVN,Zone_5A Cool Humid,rur,comm,s2,2.581117086
C-EEU-SVN,Zone_5A Cool Humid,rur,comm,s3,3.932216782
C-EEU-SVN,Zone_5A Cool Humid,rur,comm,s51_std,5.340534162
C-EEU-SVN,Zone_5A Cool Humid,rur,comm,s52_low,9.957960584
C-EEU-SVN,Zone_5A Cool Humid,rur,comm,sr11_std,2.782269351
C-EEU-SVN,Zone_5A Cool Humid,rur,comm,sr12_low,2.782269351
C-EEU-SVN,Zone_5A Cool Humid,rur,comm,sr21_std,2.581117086
C-EEU-SVN,Zone_5A Cool Humid,rur,comm,sr22_low,2.581117086
C-EEU-SVN,Zone_5A Cool Humid,rur,comm,sr31_std,3.932216782
C-EEU-SVN,Zone_5A Cool Humid,rur,comm,sr32_low,3.932216782
C-EEU-SVN,Zone_5A Cool Humid,urb,comm,s1,2.57723868
C-EEU-SVN,Zone_5A Cool Humid,urb,comm,s2,2.393748415
C-EEU-SVN,Zone_5A Cool Humid,urb,comm,s3,3.735652848
C-EEU-SVN,Zone_5A Cool Humid,urb,comm,s51_std,5.134803802
C-EEU-SVN,Zone_5A Cool Humid,urb,comm,s52_low,9.833535011
C-EEU-SVN,Zone_5A Cool Humid,urb,comm,sr11_std,2.57723868
C-EEU-SVN,Zone_5A Cool Humid,urb,comm,sr12_low,2.57723868
C-EEU-SVN,Zone_5A Cool Humid,urb,comm,sr21_std,2.393748415
C-EEU-SVN,Zone_5A Cool Humid,urb,comm,sr22_low,2.393748415
C-EEU-SVN,Zone_5A Cool Humid,urb,comm,sr31_std,3.735652848
C-EEU-SVN,Zone_5A Cool Humid,urb,comm,sr32_low,3.735652848
C-WEU-AUT,Zone_4A Mixed Humid,rur,comm,s1,11.1030223
C-WEU-AUT,Zone_4A Mixed Humid,rur,comm,s2,11.4082991
C-WEU-AUT,Zone_4A Mixed Humid,rur,comm,s3,13.97518157
C-WEU-AUT,Zone_4A Mixed Humid,rur,comm,s51_std,15.41286454
C-WEU-AUT,Zone_4A Mixed Humid,rur,comm,s52_low,19.06400121
C-WEU-AUT,Zone_4A Mixed Humid,rur,comm,sr11_std,11.1030223
C-WEU-AUT,Zone_4A Mixed Humid,rur,comm,sr12_low,11.1030223
C-WEU-AUT,Zone_4A Mixed Humid,rur,comm,sr21_std,11.4082991
C-WEU-AUT,Zone_4A Mixed Humid,rur,comm,sr22_low,11.4082991
C-WEU-AUT,Zone_4A Mixed Humid,rur,comm,sr31_std,13.97518157
C-WEU-AUT,Zone_4A Mixed Humid,rur,comm,sr32_low,13.97518157
C-WEU-AUT,Zone_4A Mixed Humid,urb,comm,s1,11.1030223
C-WEU-AUT,Zone_4A Mixed Humid,urb,comm,s2,11.4082991
C-WEU-AUT,Zone_4A Mixed Humid,urb,comm,s3,13.97518157
C-WEU-AUT,Zone_4A Mixed Humid,urb,comm,s51_std,15.41286454
C-WEU-AUT,Zone_4A Mixed Humid,urb,comm,s52_low,19.06400121
C-WEU-AUT,Zone_4A Mixed Humid,urb,comm,sr11_std,11.1030223
