region_bld,region_gea,urt,clim,year,value
C-WEU-GBR,WEU,rur,Zone_5A Cool Humid,2020,16067.80358
C-WEU-GBR,WEU,urb,Zone_4A Mixed Humid,2020,649917.4205
C-WEU-GBR,WEU,urb,Zone_5A Cool Humid,2020,864452.8645
C-WEU-GRC,WEU,rur,Zone_3A Warm Humid,2020,3588.733451
C-WEU-GRC,WEU,rur,Zone_4A Mixed Humid,2020,1898.472085
C-WEU-GRC,WEU,urb,Zone_3A Warm Humid,2020,87311.5656
C-WEU-GRC,WEU,urb,Zone_4A Mixed Humid,2020,11759.32185
C-WEU-IRL,WEU,rur,Zone_5A Cool Humid,2020,4813.89467
C-WEU-IRL,WEU,urb,Zone_5A Cool Humid,2020,46871.46604
C-WEU-ISL,WEU,rur,Zone_7A Very cold Humid,2020,107.1144376
C-WEU-ISL,WEU,urb,Zone_7A Very cold Humid,2020,3703.044392
C-WEU-ITA,WEU,rur,Zone_3A Warm Humid,2020,18804.91852
C-WEU-ITA,WEU,rur,Zone_4A Mixed Humid,2020,18805.51834
C-WEU-ITA,WEU,rur,Zone_4C Mixed Marine,2020,2445.644653
C-WEU-ITA,WEU,rur,Zone_5A Cool Humid,2020,3233.91792
C-WEU-ITA,WEU,urb,Zone_3A Warm Humid,2020,370455.429
C-WEU-ITA,WEU,urb,Zone_4A Mixed Humid,2020,330098.4699
C-WEU-ITA,WEU,urb,Zone_4C Mixed Marine,2020,36214.11268
C-WEU-ITA,WEU,urb,Zone_5A Cool Humid,2020,22825.62311
C-WEU-LUX,WEU,rur,Zone_5A Cool Humid,2020,208.2319193
C-WEU-LUX,WEU,urb,Zone_5A Cool Humid,2020,7660.147015
C-WEU-MLT,WEU,rur,Zone_3A Warm Humid,2020,74.92241089
C-WEU-MLT,WEU,urb,Zone_3A Warm Humid,2020,8672.970169
C-WEU-NLD,WEU,rur,Zone_4A Mixed Humid,2020,2364.61053
C-WEU-NLD,WEU,rur,Zone_5A Cool Humid,2020,3006.745969
C-WEU-NLD,WEU,urb,Zone_4A Mixed Humid,2020,218866.0068
C-WEU-NLD,WEU,urb,Zone_5A Cool Humid,2020,29783.0534
C-WEU-NOR,WEU,rur,Zone_6A Cold Humid,2020,4113.892518
C-WEU-NOR,WEU,urb,Zone_6A Cold Humid,2020,57700.08211
C-WEU-PRT,WEU,rur,Zone_3A Warm Humid,2020,6252.112207
C-WEU-PRT,WEU,rur,Zone_3C Warm Marine,2020,5035.262607
C-WEU-PRT,WEU,urb,Zone_3A Warm Humid,2020,42932.15655
C-WEU-PRT,WEU,urb,Zone_3C Warm Marine,2020,42145.31193
C-WEU-SWE,WEU,rur,Zone_5A Cool Humid,2020,596.9031659
C-WEU-SWE,WEU,rur,Zone_6A Cold Humid,2020,3785.046634
C-WEU-SWE,WEU,urb,Zone_5A Cool Humid,2020,77676.62732
C-WEU-SWE,WEU,urb,Zone_6A Cold Humid,2020,107824.6486
R32ANUZ,PAO,rur,Zone_2A Hot Humid,2020,918.7368704
R32ANUZ,PAO,rur,Zone_3A Warm Humid,2020,5316.599421
R32ANUZ,PAO,urb,Zone_2A Hot Humid,2020,22121.09807
R32ANUZ,PAO,urb,Zone_3A Warm Humid,2020,119587.8243
R32BRA,LAC,rur,Zone_0A Extremely hot Humid,2020,2216.533779
R32BRA,LAC,rur,Zone_1A Very hot Humid,2020,2742.517794
R32BRA,LAC,rur,Zone_1B Very hot Dry,2020,415.4731544
R32BRA,LAC,rur,Zone_2A Hot Humid,2020,1947.671169
R32BRA,LAC,rur,Zone_3A Warm Humid,2020,568.3401978
R32BRA,LAC,urb,Zone_0A Extremely hot Humid,2020,2477.031319
R32BRA,LAC,urb,Zone_1A Very hot Humid,2020,4376.010893
R32BRA,LAC,urb,Zone_1B Very hot Dry,2020,173.064582
R32BRA,LAC,urb,Zone_2A Hot Humid,2020,13071.72761
R32BRA,LAC,urb,Zone_3A Warm Humid,2020,1531.799826
R32CAN,NAM,rur,Zone_5A Cool Humid,2020,1006.273157
R32CAN,NAM,rur,Zone_6A Cold Humid,2020,5393.472401
R32CAN,NAM,rur,Zone_7A Very cold Humid,2020,6525.553235
R32CAN,NAM,urb,Zone_5A Cool Humid,2020,62321.971
R32CAN,NAM,urb,Zone_6A Cold Humid,2020,67649.15354
R32CAN,NAM,urb,Zone_7A Very cold Humid,2020,49844.28318
R32CAS-CAU,FSU,rur,Zone_4A Mixed Humid,2020,15920.20119
R32CAS-CAU,FSU,rur,Zone_4B Mixed Dry,2020,9813.889327
R32CAS-CAU,FSU,rur,Zone_5A Cool Humid,2020,11209.41853
R32CAS-CAU,FSU,rur,Zone_6A Cold Humid,2020,6123.219701
R32CAS-CAU,FSU,urb,Zone_4A Mixed Humid,2020,25551.41331
R32CAS-CAU,FSU,urb,Zone_4B Mixed Dry,2020,31315.17198
R32CAS-CAU,FSU,urb,Zone_5A Cool Humid,2020,25093.60921
R32CAS-CAU,FSU,urb,Zone_6A Cold Humid,2020,21644.19586
R32CAS-OTH,FSU,rur,Zone_3B Warm Dry,2020,3943.306091
R32CAS-OTH,FSU,rur,Zone_4A Mixed Humid,2020,21461.90859
R32CAS-OTH,FSU,rur,Zone_4B Mixed Dry,2020,40657.37941
R32CAS-OTH,FSU,rur,Zone_5A Cool Humid,2020,26605.61561
R32CAS-OTH,FSU,rur,Zone_6A Cold Humid,2020,3507.701055
R32CAS-OTH,FSU,rur,Zone_7A Very cold Humid,2020,21499.77392
R32CAS-OTH,FSU,urb,Zone_3B Warm Dry,2020,15789.05888
R32CAS-OTH,FSU,urb,Zone_4A Mixed Humid,2020,60041.57949
R32CAS-OTH,FSU,urb,Zone_4B Mixed Dry,2020,44598.80153
R32CAS-OTH,FSU,urb,Zone_5A Cool Humid,2020,30472.3998
R32CAS-OTH,FSU,urb,Zone_6A Cold Humid,2020,6720.435169
R32CAS-OTH,FSU,urb,Zone_7A Very cold Humid,2020,89745.63206
R32CHN,CPA,rur,Zone_1A Very hot Humid,2020,94097.04452
R32CHN,CPA,rur,Zone_2A Hot Humid,2020,788631.3496
R32CHN,CPA,rur,Zone_3A Warm Humid,2020,3224601.675
R32CHN,CPA,rur,Zone_3C Warm Marine,2020,274839.8977
R32CHN,CPA,rur,Zone_4A Mixed Humid,2020,1180833.498
R32CHN,CPA,rur,Zone_4B Mixed Dry,2020,323608.0789
R32CHN,CPA,rur,Zone_4C Mixed Marine,2020,159055.7309
R32CHN,CPA,rur,Zone_5A Cool Humid,2020,398432.1808
R32CHN,CPA,rur,Zone_5B Cool Dry,2020,234469.7735
R32CHN,CPA,rur,Zone_5C Cool Marine,2020,48390.82643
R32CHN,CPA,rur,Zone_6A Cold Humid,2020,482598.3683
R32CHN,CPA,rur,Zone_6B Cold Dry,2020,213028.7657
R32CHN,CPA,rur,Zone_7A Very cold Humid,2020,584609.5622
R32CHN,CPA,rur,Zone_7B Very cold Dry,2020,50523.82866
R32CHN,CPA,rur,Zone_8A Subarctic/arctic Humid,2020,60579.85377
R32CHN,CPA,urb,Zone_1A Very hot Humid,2020,4403.879479
R32CHN,CPA,urb,Zone_2A Hot Humid,2020,116515.1936
R32CHN,CPA,urb,Zone_3A Warm Humid,2020,294055.9342
R32CHN,CPA,urb,Zone_3C Warm Marine,2020,6535.452787
R32CHN,CPA,urb,Zone_4A Mixed Humid,2020,208485.7889
R32CHN,CPA,urb,Zone_4B Mixed Dry,2020,67852.85475
R32CHN,CPA,urb,Zone_4C Mixed Marine,2020,1496.536621
R32CHN,CPA,urb,Zone_5A Cool Humid,2020,27077.57112
R32CHN,CPA,urb,Zone_5B Cool Dry,2020,11295.31654
R32CHN,CPA,urb,Zone_5C Cool Marine,2020,1306.568725
R32CHN,CPA,urb,Zone_6A Cold Humid,2020,30792.04768
R32CHN,CPA,urb,Zone_6B Cold Dry,2020,6497.586639
R32CHN,CPA,urb,Zone_7A Very cold Humid,2020,16889.24127
R32CHN,CPA,urb,Zone_7B Very cold Dry,2020,88.05713776
R32CHN,CPA,urb,Zone_8A Subarctic/arctic Humid,2020,16.18354436
R32EEU,EEU,rur,Zone_3A Warm Humid,2020,15442.04747
R32EEU,EEU,rur,Zone_4A Mixed Humid,2020,46998.53206
R32EEU,EEU,rur,Zone_5A Cool Humid,2020,45254.10813
R32EEU,EEU,urb,Zone_3A Warm Humid,2020,16714.96788
R32EEU,EEU,urb,Zone_4A Mixed Humid,2020,44438.27617
R32EEU,EEU,urb,Zone_5A Cool Humid,2020,67166.72186
R32EEU-FSU,FSU,rur,Zone_5A Cool Humid,2020,266844.8503
R32EEU-FSU,FSU,rur,Zone_6A Cold Humid,2020,24998.21079
R32EEU-FSU,FSU,urb,Zone_5A Cool Humid,2020,497221.4458
R32EEU-FSU,FSU,urb,Zone_6A Cold Humid,2020,79901.65642
R32IDN,PAS,rur,Zone_0A Extremely hot Humid,2020,182567.5692
R32IDN,PAS,rur,Zone_1A Very hot Humid,2020,131507.2705
R32IDN,PAS,rur,Zone_2A Hot Humid,2020,7205.187178
R32IDN,PAS,urb,Zone_0A Extremely hot Humid,2020,23569.89827
R32IDN,PAS,urb,Zone_1A Very hot Humid,2020,10997.25221
R32IND,SAS,rur,Zone_0A Extremely hot Humid,2020,132515.9582
R32IND,SAS,rur,Zone_0B Extremely hot Dry,2020,56461.8078
R32IND,SAS,rur,Zone_1A Very hot Humid,2020,215897.5023
R32IND,SAS,rur,Zone_1B Very hot Dry,2020,96147.05909
R32IND,SAS,rur,Zone_2A Hot Humid,2020,25613.13012
R32IND,SAS,rur,Zone_2B Hot Dry,2020,1382.23708
R32IND,SAS,rur,Zone_3A Warm Humid,2020,3910.247419
R32IND,SAS,rur,Zone_3C Warm Marine,2020,1926.549653
R32IND,SAS,rur,Zone_4C Mixed Marine,2020,4004.123511
R32IND,SAS,rur,Zone_5C Cool Marine,2020,903.6217167
R32IND,SAS,urb,Zone_0A Extremely hot Humid,2020,43699.78253
R32IND,SAS,urb,Zone_0B Extremely hot Dry,2020,5609.170192
R32IND,SAS,urb,Zone_1A Very hot Humid,2020,37555.20365
R32IND,SAS,urb,Zone_1B Very hot Dry,2020,17389.29791
R32IND,SAS,urb,Zone_2A Hot Humid,2020,3842.355826
R32IND,SAS,urb,Zone_2B Hot Dry,2020,518.1186976
R32IND,SAS,urb,Zone_3A Warm Humid,2020,319.1152315
R32IND,SAS,urb,Zone_3C Warm Marine,2020,91.29368264
R32IND,SAS,urb,Zone_4C Mixed Marine,2020,50.62152516
R32IND,SAS,urb,Zone_5C Cool Marine,2020,258.8644475
R32JPN,PAO,rur,Zone_3A Warm Humid,2020,6957.816731
R32JPN,PAO,rur,Zone_4A Mixed Humid,2020,8034.836755
R32JPN,PAO,rur,Zone_5A Cool Humid,2020,5090.5374
R32JPN,PAO,rur,Zone_6A Cold Humid,2020,1392.993625
R32JPN,PAO,urb,Zone_3A Warm Humid,2020,515935.1672
R32JPN,PAO,urb,Zone_4A Mixed Humid,2020,184961.2949
R32JPN,PAO,urb,Zone_5A Cool Humid,2020,45974.20104
R32JPN,PAO,urb,Zone_6A Cold Humid,2020,24934.99793
R32KOR,PAS,rur,Zone_4A Mixed Humid,2020,29675.15601
R32KOR,PAS,rur,Zone_5A Cool Humid,2020,28684.29605
R32KOR,PAS,urb,Zone_4A Mixed Humid,2020,13977.53546
R32KOR,PAS,urb,Zone_5A Cool Humid,2020,6460.701856
R32LAM-L,LAC,rur,Zone_0A Extremely hot Humid,2020,90.88313327
R32LAM-L,LAC,rur,Zone_1A Very hot Humid,2020,672.2030898
R32LAM-L,LAC,rur,Zone_2A Hot Humid,2020,622.7567643
R32LAM-L,LAC,rur,Zone_3C Warm Marine,2020,342.4956321
R32LAM-L,LAC,urb,Zone_2A Hot Humid,2020,42.1125597
R32LAM-M,LAC,rur,Zone_0A Extremely hot Humid,2020,1345.504889
R32LAM-M,LAC,rur,Zone_1A Very hot Humid,2020,4402.788251
R32LAM-M,LAC,rur,Zone_2A Hot Humid,2020,1469.003345
R32LAM-M,LAC,rur,Zone_2B Hot Dry,2020,340.3113801
R32LAM-M,LAC,rur,Zone_3A Warm Humid,2020,590.8533358
R32LAM-M,LAC,rur,Zone_3B Warm Dry,2020,183.0959864
R32LAM-M,LAC,rur,Zone_3C Warm Marine,2020,1507.554788
R32LAM-M,LAC,rur,Zone_4C Mixed Marine,2020,429.6154548
R32LAM-M,LAC,urb,Zone_0A Extremely hot Humid,2020,3915.913238
R32LAM-M,LAC,urb,Zone_1A Very hot Humid,2020,5993.083377
R32LAM-M,LAC,urb,Zone_2A Hot Humid,2020,5993.507225
R32LAM-M,LAC,urb,Zone_3A Warm Humid,2020,14667.2474
R32LAM-M,LAC,urb,Zone_3B Warm Dry,2020,1748.666968
R32LAM-M,LAC,urb,Zone_3C Warm Marine,2020,5965.193376
R32LAM-M,LAC,urb,Zone_4C Mixed Marine,2020,1327.78412
R32MEA-H,MEA,rur,Zone_0B Extremely hot Dry,2020,4318.143136
R32MEA-H,MEA,rur,Zone_1B Very hot Dry,2020,2675.260416
R32MEA-H,MEA,rur,Zone_2B Hot Dry,2020,1404.128071
R32MEA-H,MEA,rur,Zone_3A Warm Humid,2020,735.05224
R32MEA-H,MEA,urb,Zone_0B Extremely hot Dry,2020,3552.203145
R32MEA-H,MEA,urb,Zone_1B Very hot Dry,2020,3102.616224
R32MEA-H,MEA,urb,Zone_2B Hot Dry,2020,557.1201762
R32MEA-H,MEA,urb,Zone_3A Warm Humid,2020,1375.308284
R32MEA-M,MEA,rur,Zone_0A Extremely hot Humid,2020,4194.041072
R32MEA-M,MEA,rur,Zone_0B Extremely hot Dry,2020,23781.67266
R32MEA-M,MEA,rur,Zone_1B Very hot Dry,2020,10391.00909
R32MEA-M,MEA,rur,Zone_2A Hot Humid,2020,1654.126203
R32MEA-M,MEA,rur,Zone_2B Hot Dry,2020,19373.0024
R32MEA-M,MEA,rur,Zone_3A Warm Humid,2020,3884.319808
R32MEA-M,MEA,rur,Zone_3B Warm Dry,2020,12437.3475
R32MEA-M,MEA,rur,Zone_3C Warm Marine,2020,4932.773025
R32MEA-M,MEA,rur,Zone_4A Mixed Humid,2020,2400.243828
R32MEA-M,MEA,rur,Zone_4B Mixed Dry,2020,3457.155284
R32MEA-M,MEA,rur,Zone_5A Cool Humid,2020,2742.721264
R32MEA-M,MEA,rur,Zone_5B Cool Dry,2020,1056.086002
R32MEA-M,MEA,urb,Zone_2A Hot Humid,2020,1055.171995
R32MEA-M,MEA,urb,Zone_2B Hot Dry,2020,442.9302893
R32MEA-M,MEA,urb,Zone_3A Warm Humid,2020,3529.393185
R32MEA-M,MEA,urb,Zone_3B Warm Dry,2020,1613.859642
R32MEA-M,MEA,urb,Zone_4A Mixed Humid,2020,2028.971357
R32MEA-M,MEA,urb,Zone_4B Mixed Dry,2020,855.7636836
R32MEA-M,MEA,urb,Zone_5A Cool Humid,2020,462.1515658
R32MEA-M,MEA,urb,Zone_5B Cool Dry,2020,196.6355162
R32MEX,LAC,rur,Zone_0A Extremely hot Humid,2020,256.0448353
R32MEX,LAC,rur,Zone_1A Very hot Humid,2020,913.5150016
R32MEX,LAC,rur,Zone_1B Very hot Dry,2020,282.0073421
R32MEX,LAC,rur,Zone_2A Hot Humid,2020,495.9211467
R32MEX,LAC,rur,Zone_2B Hot Dry,2020,398.4185432
R32MEX,LAC,rur,Zone_3A Warm Humid,2020,211.5740431
R32MEX,LAC,rur,Zone_3B Warm Dry,2020,369.1477181
R32MEX,LAC,rur,Zone_3C Warm Marine,2020,696.7906422
R32MEX,LAC,urb,Zone_0A Extremely hot Humid,2020,731.8733085
R32MEX,LAC,urb,Zone_1A Very hot Humid,2020,2293.522362
R32MEX,LAC,urb,Zone_1B Very hot Dry,2020,666.3044705
R32MEX,LAC,urb,Zone_2A Hot Humid,2020,2764.899519
R32MEX,LAC,urb,Zone_2B Hot Dry,2020,1515.942898
R32MEX,LAC,urb,Zone_3A Warm Humid,2020,1183.608345
R32MEX,LAC,urb,Zone_3B Warm Dry,2020,1334.403673
R32MEX,LAC,urb,Zone_3C Warm Marine,2020,10094.79854
R32NAF,MEA,rur,Zone_1B Very hot Dry,2020,378.9681451
R32NAF,MEA,rur,Zone_2B Hot Dry,2020,62890.0214
R32NAF,MEA,rur,Zone_3A Warm Humid,2020,11428.71414
R32NAF,MEA,rur,Zone_3B Warm Dry,2020,15022.61414
R32NAF,MEA,urb,Zone_1B Very hot Dry,2020,975.1013275
R32NAF,MEA,urb,Zone_2B Hot Dry,2020,18071.41514
R32NAF,MEA,urb,Zone_3A Warm Humid,2020,8342.063457
R32NAF,MEA,urb,Zone_3B Warm Dry,2020,1966.516179
R32OAS-CPA,CPA,rur,Zone_0A Extremely hot Humid,2020,255741.4572
R32OAS-CPA,CPA,rur,Zone_1A Very hot Humid,2020,247705.806
R32OAS-CPA,CPA,rur,Zone_2A Hot Humid,2020,76121.22604
R32OAS-CPA,CPA,rur,Zone_8A Subarctic/arctic Humid,2020,7797.617491
R32OAS-CPA,CPA,urb,Zone_0A Extremely hot Humid,2020,6503.205638
R32OAS-CPA,CPA,urb,Zone_1A Very hot Humid,2020,9093.462854
R32OAS-CPA,CPA,urb,Zone_2A Hot Humid,2020,449.8485404
R32OAS-L-PAS,PAS,rur,Zone_0A Extremely hot Humid,2020,67014.64923
R32OAS-L-PAS,PAS,rur,Zone_0B Extremely hot Dry,2020,2141.134091
R32OAS-L-PAS,PAS,rur,Zone_1A Very hot Humid,2020,46550.4821
R32OAS-L-PAS,PAS,rur,Zone_2A Hot Humid,2020,22556.14032
R32OAS-L-PAS,PAS,urb,Zone_0A Extremely hot Humid,2020,0
R32OAS-L-PAS,PAS,urb,Zone_1A Very hot Humid,2020,0
R32OAS-L-PAS,PAS,urb,Zone_2A Hot Humid,2020,0
R32OAS-L-SAS,SAS,rur,Zone_0A Extremely hot Humid,2020,5750.846891
R32OAS-L-SAS,SAS,rur,Zone_1A Very hot Humid,2020,52008.25817
R32OAS-L-SAS,SAS,rur,Zone_2A Hot Humid,2020,8979.211842
R32OAS-L-SAS,SAS,rur,Zone_3A Warm Humid,2020,1963.87906
R32OAS-L-SAS,SAS,rur,Zone_3C Warm Marine,2020,3265.472019
R32OAS-M-PAS,PAS,rur,Zone_0A Extremely hot Humid,2020,43406.34382
R32OAS-M-PAS,PAS,rur,Zone_1A Very hot Humid,2020,15928.80337
R32OAS-M-PAS,PAS,urb,Zone_0A Extremely hot Humid,2020,9216.899995
R32OAS-M-PAS,PAS,urb,Zone_1A Very hot Humid,2020,2927.87354
R32OAS-M-SAS,SAS,rur,Zone_0A Extremely hot Humid,2020,4799.543019
R32OAS-M-SAS,SAS,rur,Zone_1A Very hot Humid,2020,1718.707692
R32OAS-M-SAS,SAS,rur,Zone_2A Hot Humid,2020,1159.814005
R32OAS-M-SAS,SAS,rur,Zone_4C Mixed Marine,2020,203.9930502
R32PAK,SAS,rur,Zone_0B Extremely hot Dry,2020,11554.78867
R32PAK,SAS,rur,Zone_1A Very hot Humid,2020,1298.502971
R32PAK,SAS,rur,Zone_1B Very hot Dry,2020,25912.15924
R32PAK,SAS,rur,Zone_2A Hot Humid,2020,4465.213207
R32PAK,SAS,rur,Zone_2B Hot Dry,2020,7246.867858
R32PAK,SAS,rur,Zone_3A Warm Humid,2020,2439.923974
R32PAK,SAS,rur,Zone_3B Warm Dry,2020,7280.910897
R32PAK,SAS,rur,Zone_4A Mixed Humid,2020,2399.792693
R32PAK,SAS,rur,Zone_5A Cool Humid,2020,2704.798861
R32PAK,SAS,rur,Zone_6A Cold Humid,2020,1626.251093
R32PAK,SAS,rur,Zone_7A Very cold Humid,2020,1531.920416
R32PAK,SAS,urb,Zone_2B Hot Dry,2020,136.6615689
R32RUS,FSU,rur,Zone_4A Mixed Humid,2020,24024.03394
R32RUS,FSU,rur,Zone_5A Cool Humid,2020,52701.50291
R32RUS,FSU,rur,Zone_6A Cold Humid,2020,175177.7677
R32RUS,FSU,rur,Zone_7A Very cold Humid,2020,230525.2847
R32RUS,FSU,rur,Zone_8A Subarctic/arctic Humid,2020,43582.68979
R32RUS,FSU,urb,Zone_4A Mixed Humid,2020,48642.72861
R32RUS,FSU,urb,Zone_5A Cool Humid,2020,143850.5422
R32RUS,FSU,urb,Zone_6A Cold Humid,2020,733999.9778
R32RUS,FSU,urb,Zone_7A Very cold Humid,2020,609604.7197
R32RUS,FSU,urb,Zone_8A Subarctic/arctic Humid,2020,61927.23521
R32SAF,AFR,rur,Zone_2A Hot Humid,2020,990.1535615
R32SAF,AFR,rur,Zone_2B Hot Dry,2020,1108.126554
R32SAF,AFR,rur,Zone_3A Warm Humid,2020,1615.04766
R32SAF,AFR,rur,Zone_3B Warm Dry,2020,1109.856605
R32SAF,AFR,rur,Zone_3C Warm Marine,2020,1841.870286
R32SAF,AFR,urb,Zone_2A Hot Humid,2020,1258.322987
R32SAF,AFR,urb,Zone_2B Hot Dry,2020,604.7568144
R32SAF,AFR,urb,Zone_3A Warm Humid,2020,2160.238514
R32SAF,AFR,urb,Zone_3B Warm Dry,2020,1036.009636
R32SAF,AFR,urb,Zone_3C Warm Marine,2020,3140.991503
R32SSA-L,AFR,rur,Zone_0A Extremely hot Humid,2020,27462.764
R32SSA-L,AFR,rur,Zone_0B Extremely hot Dry,2020,22535.50192
R32SSA-L,AFR,rur,Zone_1A Very hot Humid,2020,33415.4188
R32SSA-L,AFR,rur,Zone_1B Very hot Dry,2020,468.7766094
R32SSA-L,AFR,rur,Zone_2A Hot Humid,2020,40487.38678
R32SSA-L,AFR,rur,Zone_2B Hot Dry,2020,2950.176663
R32SSA-L,AFR,rur,Zone_3A Warm Humid,2020,2933.987534
R32SSA-L,AFR,rur,Zone_3C Warm Marine,2020,17626.63558
R32SSA-L,AFR,urb,Zone_0A Extremely hot Humid,2020,1046.128368
R32SSA-L,AFR,urb,Zone_0B Extremely hot Dry,2020,527.6069469
