region_gea,fuel,year,value
FSU,coal,2100,94.6
FSU,district_heat,2015,85.17244563
FSU,district_heat,2020,59.03444016
FSU,district_heat,2025,37.91304615
FSU,district_heat,2030,33.03426884
FSU,district_heat,2035,56.00172626
FSU,district_heat,2040,48.5718007
FSU,district_heat,2045,35.74901924
FSU,district_heat,2050,67.74187625
FSU,district_heat,2055,66.00463901
FSU,district_heat,2060,62.13387578
FSU,district_heat,2070,40.97085021
FSU,district_heat,2080,20.41732229
FSU,district_heat,2090,20.61779809
FSU,district_heat,2100,6.228836233
FSU,electricity,2015,179.791837
FSU,electricity,2020,155.2152004
FSU,electricity,2025,143.424638
FSU,electricity,2030,119.2026812
FSU,electricity,2035,100.2308435
FSU,electricity,2040,91.47337445
FSU,electricity,2045,92.36289615
FSU,electricity,2050,88.54961417
FSU,electricity,2055,88.08044019
FSU,electricity,2060,87.30452245
FSU,electricity,2070,90.06783696
FSU,electricity,2080,85.05988889
FSU,electricity,2090,74.83841426
FSU,electricity,2100,72.16136455
FSU,gas,2015,56.1
FSU,gas,2020,56.1
FSU,gas,2025,56.1
FSU,gas,2030,56.1
FSU,gas,2035,56.1
FSU,gas,2040,56.1
FSU,gas,2045,56.1
FSU,gas,2050,56.1
FSU,gas,2055,56.1
FSU,gas,2060,56.1
FSU,gas,2070,56.1
FSU,gas,2080,56.1
FSU,gas,2090,56.1
FSU,gas,2100,56.1
FSU,oil,2015,73.3
FSU,oil,2020,73.3
FSU,oil,2025,73.3
FSU,oil,2030,73.3
FSU,oil,2035,73.3
FSU,oil,2040,73.3
FSU,oil,2045,73.3
FSU,oil,2050,73.3
FSU,oil,2055,73.3
FSU,oil,2060,73.3
FSU,oil,2070,73.3
FSU,oil,2080,73.3
FSU,oil,2090,73.3
FSU,oil,2100,73.3
LAC,biomass_solid,2015,0
LAC,biomass_solid,2020,0
LAC,biomass_solid,2025,0
LAC,biomass_solid,2030,0
LAC,biomass_solid,2035,0
LAC,biomass_solid,2040,0
LAC,biomass_solid,2045,0
LAC,biomass_solid,2050,0
LAC,biomass_solid,2055,0
LAC,biomass_solid,2060,0
LAC,biomass_solid,2070,0
LAC,biomass_solid,2080,0
LAC,biomass_solid,2090,0
LAC,biomass_solid,2100,0
LAC,coal,2015,94.6
LAC,coal,2020,94.6
LAC,coal,2025,94.6
LAC,coal,2030,94.6
LAC,coal,2035,94.6
LAC,coal,2040,94.6
LAC,coal,2045,94.6
LAC,coal,2050,94.6
LAC,coal,2055,94.6
LAC,coal,2060,94.6
LAC,coal,2070,94.6
LAC,coal,2080,94.6
LAC,coal,2090,94.6
LAC,coal,2100,94.6
LAC,district_heat,2015,0
LAC,district_heat,2020,42.73923048
LAC,district_heat,2025,30.85499362
LAC,district_heat,2030,22.91238295
LAC,district_heat,2035,17.54777897
LAC,district_heat,2040,11.87314919
LAC,district_heat,2045,0
LAC,district_heat,2050,0
LAC,district_heat,2055,0
LAC,district_heat,2060,0
LAC,district_heat,2070,0
LAC,district_heat,2080,0
LAC,district_heat,2090,0
LAC,district_heat,2100,0
LAC,electricity,2015,69.91249884
LAC,electricity,2020,54.46163972
LAC,electricity,2025,54.90434018
LAC,electricity,2030,54.91451551
LAC,electricity,2035,57.56270523
LAC,electricity,2040,50.09706532
LAC,electricity,2045,47.85052771
LAC,electricity,2050,49.3381823
LAC,electricity,2055,52.14695662
LAC,electricity,2060,54.03600735
LAC,electricity,2070,41.39169939
LAC,electricity,2080,43.62226374
LAC,electricity,2090,45.95101695
LAC,electricity,2100,39.75325304
LAC,gas,2015,56.1
LAC,gas,2020,56.1
LAC,gas,2025,56.1
LAC,gas,2030,56.1
LAC,gas,2035,56.1
LAC,gas,2040,56.1
LAC,gas,2045,56.1
LAC,gas,2050,56.1
LAC,gas,2055,56.1
LAC,gas,2060,56.1
LAC,gas,2070,56.1
LAC,gas,2080,56.1
LAC,gas,2090,56.1
LAC,gas,2100,56.1
LAC,oil,2015,73.3
LAC,oil,2020,73.3
LAC,oil,2025,73.3
LAC,oil,2030,73.3
LAC,oil,2035,73.3
LAC,oil,2040,73.3
LAC,oil,2045,73.3
LAC,oil,2050,73.3
LAC,oil,2055,73.3
LAC,oil,2060,73.3
LAC,oil,2070,73.3
LAC,oil,2080,73.3
LAC,oil,2090,73.3
LAC,oil,2100,73.3
MEA,biomass_solid,2015,0
MEA,biomass_solid,2020,0
MEA,biomass_solid,2025,0
MEA,biomass_solid,2030,0
MEA,biomass_solid,2035,0
MEA,biomass_solid,2040,0
MEA,biomass_solid,2045,0
MEA,biomass_solid,2050,0
MEA,biomass_solid,2055,0
MEA,biomass_solid,2060,0
MEA,biomass_solid,2070,0
MEA,biomass_solid,2080,0
MEA,biomass_solid,2090,0
MEA,biomass_solid,2100,0
MEA,coal,2015,94.6
MEA,coal,2020,94.6
MEA,coal,2025,94.6
MEA,coal,2030,94.6
MEA,coal,2035,94.6
MEA,coal,2040,94.6
MEA,coal,2045,94.6
MEA,coal,2050,94.6
MEA,coal,2055,94.6
MEA,coal,2060,94.6
MEA,coal,2070,94.6
MEA,coal,2080,94.6
MEA,coal,2090,94.6
MEA,coal,2100,94.6
MEA,district_heat,2015,0
MEA,district_heat,2020,38.21813426
MEA,district_heat,2025,25.20834349
MEA,district_heat,2030,16.72081247
MEA,district_heat,2035,16.54356591
MEA,district_heat,2040,16.63718091
MEA,district_heat,2045,10.61126102
MEA,district_heat,2050,10.10011747
MEA,district_heat,2055,12.6691966
MEA,district_heat,2060,13.69045672
MEA,district_heat,2070,10.92230322
MEA,district_heat,2080,13.1408805
MEA,district_heat,2090,12.60226079
MEA,district_heat,2100,20.19808347
MEA,electricity,2015,153.2539705
MEA,electricity,2020,114.8116787
MEA,electricity,2025,101.6071324
MEA,electricity,2030,93.38991932
MEA,electricity,2035,89.50254332
MEA,electricity,2040,87.87433493
MEA,electricity,2045,84.81567022
MEA,electricity,2050,78.33663043
MEA,electricity,2055,76.32866566
MEA,electricity,2060,70.72095927
MEA,electricity,2070,64.75418214
MEA,electricity,2080,59.08622514
MEA,electricity,2090,57.9262492
MEA,electricity,2100,51.50275565
MEA,gas,2015,56.1
MEA,gas,2020,56.1
MEA,gas,2025,56.1
MEA,gas,2030,56.1
MEA,gas,2035,56.1
MEA,gas,2040,56.1
MEA,gas,2045,56.1
MEA,gas,2050,56.1
MEA,gas,2055,56.1
MEA,gas,2060,56.1
MEA,gas,2070,56.1
MEA,gas,2080,56.1
MEA,gas,2090,56.1
MEA,gas,2100,56.1
MEA,oil,2015,73.3
MEA,oil,2020,73.3
MEA,oil,2025,73.3
MEA,oil,2030,73.3
MEA,oil,2035,73.3
MEA,oil,2040,73.3
MEA,oil,2045,73.3
MEA,oil,2050,73.3
MEA,oil,2055,73.3
MEA,oil,2060,73.3
MEA,oil,2070,73.3
MEA,oil,2080,73.3
MEA,oil,2090,73.3
MEA,oil,2100,73.3
NAM,biomass_solid,2015,0
NAM,biomass_solid,2020,0
NAM,biomass_solid,2025,0
NAM,biomass_solid,2030,0
NAM,biomass_solid,2035,0
NAM,biomass_solid,2040,0
NAM,biomass_solid,2045,0
NAM,biomass_solid,2050,0
NAM,biomass_solid,2055,0
NAM,biomass_solid,2060,0
NAM,biomass_solid,2070,0
NAM,biomass_solid,2080,0
NAM,biomass_solid,2090,0
NAM,biomass_solid,2100,0
NAM,coal,2015,94.6
NAM,coal,2020,94.6
NAM,coal,2025,94.6
NAM,coal,2030,94.6
NAM,coal,2035,94.6
NAM,coal,2040,94.6
NAM,coal,2045,94.6
NAM,coal,2050,94.6
NAM,coal,2055,94.6
NAM,coal,2060,94.6
NAM,coal,2070,94.6
NAM,coal,2080,94.6
NAM,coal,2090,94.6
NAM,coal,2100,94.6
NAM,district_heat,2015,47.62487512
NAM,district_heat,2020,36.37876908
NAM,district_heat,2025,16.08074246
NAM,district_heat,2030,15.07427405
NAM,district_heat,2035,2.39140204
NAM,district_heat,2040,0
NAM,district_heat,2045,0
NAM,district_heat,2050,0
NAM,district_heat,2055,0
NAM,district_heat,2060,0
NAM,district_heat,2070,6.247124648
NAM,district_heat,2080,0
NAM,district_heat,2090,0
NAM,district_heat,2100,0
NAM,electricity,2015,112.1882625
NAM,electricity,2020,106.0953652
NAM,electricity,2025,104.6118083
NAM,electricity,2030,97.42869234
NAM,electricity,2035,79.31415189
NAM,electricity,2040,56.5681126
NAM,electricity,2045,55.14295445
