id,name,urt,arch,permanent,area_env,gl_perc,vol,fl_cnd,u_val,ach_cl,ach_op,gn_int,gl_g,gl_sh,roof_area,roof_abs,u_roof
20,WEU_r_new,rur,new,1,3.7,0.125,3,1,0.57875,0.5,1.5,2.14,0.85,0.8,1,0.6,0.2
21,WEU_u_new,urb,new,1,1.52,0.125,3,1,0.57875,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.2
22,AFR_r_exist,rur,exist,1,3.7,0.125,3,1,3.475,0.5,1.5,2.14,0.85,0.8,1,0.6,3.300
23,AFR_u_exist,urb,exist,1,1.52,0.125,3,1,3.475,0.5,1.5,2.14,0.85,0.8,0.25,0.6,3.300
24,CPA_r_exist,rur,exist,1,3.7,0.125,3,1,1.925,0.5,1.5,2.14,0.85,0.8,1,0.6,0.900
25,CPA_u_exist,urb,exist,1,1.52,0.125,3,1,1.925,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.900
26,EEU_r_exist,rur,exist,1,3.7,0.125,3,1,1.288,0.5,1.5,2.14,0.85,0.8,1,0.6,0.800
27,EEU_u_exist,urb,exist,1,1.52,0.125,3,1,1.288,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.800
28,FSU_r_exist,rur,exist,1,3.7,0.125,3,1,1.288,0.5,1.5,2.14,0.85,0.8,1,0.6,0.800
29,FSU_u_exist,urb,exist,1,1.52,0.125,3,1,1.288,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.800
30,LAC_r_exist,rur,exist,1,3.7,0.125,3,1,2.763,0.5,1.5,2.14,0.85,0.8,1,0.6,1.750
31,LAC_u_exist,urb,exist,1,1.52,0.125,3,1,2.763,0.5,1.5,2.14,0.85,0.8,0.25,0.6,1.750
32,MEA_r_exist,rur,exist,1,3.7,0.125,3,1,2.863,0.5,1.5,2.14,0.85,0.8,1,0.6,1.750
33,MEA_r_exist,urb,exist,1,1.52,0.125,3,1,2.863,0.5,1.5,2.14,0.85,0.8,0.25,0.6,1.750
34,NAM_r_exist,rur,exist,1,3.7,0.125,3,1,1.560,0.5,1.5,2.14,0.85,0.8,1,0.6,0.369
35,NAM_u_exist,urb,exist,1,1.52,0.125,3,1,1.560,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.369
36,PAO_r_exist,rur,exist,1,3.7,0.125,3,1,1.330,0.5,1.5,2.14,0.85,0.8,1,0.6,0.700
37,PAO_u_exist,urb,exist,1,1.52,0.125,3,1,1.330,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.700
38,PAS_r_exist,rur,exist,1,3.7,0.125,3,1,3.475,0.5,1.5,2.14,0.85,0.8,1,0.6,3.300
39,PAS_u_exist,urb,exist,1,1.52,0.125,3,1,3.475,0.5,1.5,2.14,0.85,0.8,0.25,0.6,3.300
40,SAS_r_exist,rur,exist,1,3.7,0.125,3,1,3.475,0.5,1.5,2.14,0.85,0.8,1,0.6,3.300
41,SAS_u_exist,urb,exist,1,1.52,0.125,3,1,3.475,0.5,1.5,2.14,0.85,0.8,0.25,0.6,3.300
42,WEU_r_exist,rur,exist,1,3.7,0.125,3,1,1.103,0.5,1.5,2.14,0.85,0.8,1,0.6,0.697
43,WEU_u_exist,urb,exist,1,1.52,0.125,3,1,1.103,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.697
44,AFR_r_low,rur,low,1,3.7,0.125,3,1,0.591,0.5,1.5,2.14,0.85,0.8,1,0.6,0.230
45,AFR_u_low,urb,low,1,1.52,0.125,3,1,0.591,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.230
46,CPA_r_low,rur,low,1,3.7,0.125,3,1,0.591,0.5,1.5,2.14,0.85,0.8,1,0.6,0.230
47,CPA_u_low,urb,low,1,1.52,0.125,3,1,0.591,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.230
48,EEU_r_low,rur,low,1,3.7,0.125,3,1,0.380,0.5,1.5,2.14,0.85,0.8,1,0.6,0.150
49,EEU_u_low,urb,low,1,1.52,0.125,3,1,0.380,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.150
50,FSU_r_low,rur,low,1,3.7,0.125,3,1,0.380,0.5,1.5,2.14,0.85,0.8,1,0.6,0.150
51,FSU_u_low,urb,low,1,1.52,0.125,3,1,0.380,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.150
52,LAC_r_low,rur,low,1,3.7,0.125,3,1,0.591,0.5,1.5,2.14,0.85,0.8,1,0.6,0.230
53,LAC_u_low,urb,low,1,1.52,0.125,3,1,0.591,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.230
54,MEA_r_low,rur,low,1,3.7,0.125,3,1,0.591,0.5,1.5,2.14,0.85,0.8,1,0.6,0.230
55,MEA_r_low,urb,low,1,1.52,0.125,3,1,0.591,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.230
56,NAM_r_low,rur,low,1,3.7,0.125,3,1,0.380,0.5,1.5,2.14,0.85,0.8,1,0.6,0.150
57,NAM_u_low,urb,low,1,1.52,0.125,3,1,0.380,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.150
58,PAO_r_low,rur,low,1,3.7,0.125,3,1,0.380,0.5,1.5,2.14,0.85,0.8,1,0.6,0.150
59,PAO_u_low,urb,low,1,1.52,0.125,3,1,0.380,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.150
60,PAS_r_low,rur,low,1,3.7,0.125,3,1,0.591,0.5,1.5,2.14,0.85,0.8,1,0.6,0.230
61,PAS_u_low,urb,low,1,1.52,0.125,3,1,0.591,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.230
62,SAS_r_low,rur,low,1,3.7,0.125,3,1,0.591,0.5,1.5,2.14,0.85,0.8,1,0.6,0.230
63,SAS_u_low,urb,low,1,1.52,0.125,3,1,0.591,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.230
64,WEU_r_low,rur,low,1,3.7,0.125,3,1,0.380,0.5,1.5,2.14,0.85,0.8,1,0.6,0.150
65,WEU_u_low,urb,low,1,1.52,0.125,3,1,0.380,0.5,1.5,2.14,0.85,0.8,0.25,0.6,0.150
