region_bld,urt,clim
R32OAS-L-SAS,rur,Zone_0A Extremely hot Humid
R32OAS-L-SAS,rur,Zone_1A Very hot Humid
R32OAS-L-SAS,rur,Zone_2A Hot Humid
R32OAS-L-SAS,rur,Zone_3A Warm Humid
R32OAS-L-SAS,rur,Zone_3C Warm Marine
R32OAS-L-SAS,urb,Zone_0A Extremely hot Humid
R32OAS-L-SAS,urb,Zone_1A Very hot Humid
R32OAS-L-SAS,urb,Zone_2A Hot Humid
R32OAS-L-SAS,urb,Zone_3A Warm Humid
R32OAS-L-SAS,urb,Zone_3C Warm Marine
R32OAS-M-PAS,rur,Zone_0A Extremely hot Humid
R32OAS-M-PAS,rur,Zone_1A Very hot Humid
R32OAS-M-PAS,urb,Zone_0A Extremely hot Humid
R32OAS-M-PAS,urb,Zone_1A Very hot Humid
R32OAS-M-SAS,rur,Zone_0A Extremely hot Humid
R32OAS-M-SAS,rur,Zone_1A Very hot Humid
R32OAS-M-SAS,rur,Zone_2A Hot Humid
R32OAS-M-SAS,rur,Zone_4C Mixed Marine
R32OAS-M-SAS,urb,Zone_0A Extremely hot Humid
R32OAS-M-SAS,urb,Zone_1A Very hot Humid
R32OAS-M-SAS,urb,Zone_2A Hot Humid
R32OAS-M-SAS,urb,Zone_4C Mixed Marine
R32PAK,rur,Zone_0B Extremely hot Dry
R32PAK,rur,Zone_1A Very hot Humid
R32PAK,rur,Zone_1B Very hot Dry
R32PAK,rur,Zone_2A Hot Humid
R32PAK,rur,Zone_2B Hot Dry
R32PAK,rur,Zone_3A Warm Humid
R32PAK,rur,Zone_3B Warm Dry
R32PAK,rur,Zone_4A Mixed Humid
R32PAK,rur,Zone_5A Cool Humid
R32PAK,rur,Zone_6A Cold Humid
R32PAK,rur,Zone_7A Very cold Humid
R32PAK,urb,Zone_0B Extremely hot Dry
R32PAK,urb,Zone_1A Very hot Humid
R32PAK,urb,Zone_1B Very hot Dry
R32PAK,urb,Zone_2A Hot Humid
R32PAK,urb,Zone_2B Hot Dry
R32PAK,urb,Zone_3A Warm Humid
R32PAK,urb,Zone_3B Warm Dry
R32PAK,urb,Zone_4A Mixed Humid
R32PAK,urb,Zone_5A Cool Humid
R32PAK,urb,Zone_6A Cold Humid
R32RUS,rur,Zone_4A Mixed Humid
R32RUS,rur,Zone_5A Cool Humid
R32RUS,rur,Zone_6A Cold Humid
R32RUS,rur,Zone_7A Very cold Humid
R32RUS,rur,Zone_8A Subarctic/arctic Humid
R32RUS,urb,Zone_4A Mixed Humid
R32RUS,urb,Zone_5A Cool Humid
R32RUS,urb,Zone_6A Cold Humid
R32RUS,urb,Zone_7A Very cold Humid
R32RUS,urb,Zone_8A Subarctic/arctic Humid
R32SAF,rur,Zone_2A Hot Humid
R32SAF,rur,Zone_2B Hot Dry
R32SAF,rur,Zone_3A Warm Humid
R32SAF,rur,Zone_3B Warm Dry
R32SAF,rur,Zone_3C Warm Marine
R32SAF,urb,Zone_2A Hot Humid
R32SAF,urb,Zone_2B Hot Dry
R32SAF,urb,Zone_3A Warm Humid
R32SAF,urb,Zone_3B Warm Dry
R32SAF,urb,Zone_3C Warm Marine
R32SSA-L,rur,Zone_0A Extremely hot Humid
R32SSA-L,rur,Zone_0B Extremely hot Dry
R32SSA-L,rur,Zone_1A Very hot Humid
R32SSA-L,rur,Zone_1B Very hot Dry
R32SSA-L,rur,Zone_2A Hot Humid
R32SSA-L,rur,Zone_2B Hot Dry
R32SSA-L,rur,Zone_3A Warm Humid
R32SSA-L,rur,Zone_3C Warm Marine
R32SSA-L,urb,Zone_0A Extremely hot Humid
R32SSA-L,urb,Zone_0B Extremely hot Dry
R32SSA-L,urb,Zone_1A Very hot Humid
R32SSA-L,urb,Zone_1B Very hot Dry
R32SSA-L,urb,Zone_2A Hot Humid
R32SSA-L,urb,Zone_2B Hot Dry
R32SSA-L,urb,Zone_3A Warm Humid
R32SSA-L,urb,Zone_3C Warm Marine
R32SSA-M,rur,Zone_1A Very hot Humid
R32SSA-M,rur,Zone_1B Very hot Dry
R32SSA-M,rur,Zone_2A Hot Humid
R32SSA-M,rur,Zone_2B Hot Dry
R32SSA-M,rur,Zone_3C Warm Marine
R32SSA-M,urb,Zone_1A Very hot Humid
R32SSA-M,urb,Zone_1B Very hot Dry
R32SSA-M,urb,Zone_2A Hot Humid
R32SSA-M,urb,Zone_2B Hot Dry
R32SSA-M,urb,Zone_3C Warm Marine
R32TUR,rur,Zone_3A Warm Humid
R32TUR,rur,Zone_4A Mixed Humid
R32TUR,rur,Zone_4C Mixed Marine
R32TUR,rur,Zone_5A Cool Humid
R32TUR,rur,Zone_5C Cool Marine
R32TUR,rur,Zone_6A Cold Humid
R32TUR,urb,Zone_3A Warm Humid
R32TUR,urb,Zone_4A Mixed Humid
R32TUR,urb,Zone_4C Mixed Marine
R32TUR,urb,Zone_5A Cool Humid
R32TUR,urb,Zone_5C Cool Marine
R32TUR,urb,Zone_6A Cold Humid
R32USA,rur,Zone_1A Very hot Humid
R32USA,rur,Zone_2A Hot Humid
R32USA,rur,Zone_2B Hot Dry
R32USA,rur,Zone_3A Warm Humid
R32USA,rur,Zone_3B Warm Dry
R32USA,rur,Zone_3C Warm Marine
R32USA,rur,Zone_4A Mixed Humid
R32USA,rur,Zone_4C Mixed Marine
R32USA,rur,Zone_5A Cool Humid
R32USA,rur,Zone_5C Cool Marine
R32USA,rur,Zone_6A Cold Humid
R32USA,rur,Zone_7A Very cold Humid
R32USA,urb,Zone_1A Very hot Humid
R32USA,urb,Zone_2A Hot Humid
R32USA,urb,Zone_2B Hot Dry
R32USA,urb,Zone_3A Warm Humid
R32USA,urb,Zone_3B Warm Dry
R32USA,urb,Zone_3C Warm Marine
R32USA,urb,Zone_4A Mixed Humid
R32USA,urb,Zone_4C Mixed Marine
R32USA,urb,Zone_5A Cool Humid
R32USA,urb,Zone_5C Cool Marine
R32USA,urb,Zone_6A Cold Humid
R32USA,urb,Zone_7A Very cold Humid
C-WEU-HRV,rur,Zone_3A Warm Humid
C-WEU-HRV,rur,Zone_4A Mixed Humid
C-WEU-HRV,rur,Zone_5A Cool Humid
C-WEU-HRV,urb,Zone_3A Warm Humid
C-WEU-HRV,urb,Zone_4A Mixed Humid
C-WEU-HRV,urb,Zone_5A Cool Humid
