"region","fuel","year","emission_factor"
"C-EEU-ROU","electricity",2035,10.0402195882258
"C-EEU-ROU","gas",2040,56.1
"C-EEU-ROU","electricity",2040,8.38849163021043
"C-EEU-ROU","gas",2045,56.1
"C-EEU-ROU","electricity",2045,7.03080493016241
"C-EEU-ROU","gas",2050,56.1
"C-EEU-ROU","electricity",2050,6.52869174477698
"C-EEU-ROU","gas",2055,56.1
"C-EEU-ROU","electricity",2055,0.378146780561676
"C-EEU-ROU","gas",2060,56.1
"C-EEU-ROU","electricity",2060,0.392713474451752
"C-EEU-ROU","gas",2065,56.1
"C-EEU-ROU","electricity",2065,0.44233513317842
"C-EEU-ROU","gas",2070,56.1
"C-EEU-ROU","electricity",2070,0.491956791905087
"C-EEU-ROU","gas",2075,56.1
"C-EEU-ROU","electricity",2075,0.555149798841272
"C-EEU-ROU","gas",2080,56.1
"C-EEU-ROU","electricity",2080,0.618342805777458
"C-EEU-ROU","gas",2085,56.1
"C-EEU-ROU","electricity",2085,0.561965878016316
"C-EEU-ROU","gas",2090,56.1
"C-EEU-ROU","electricity",2090,0.505588950255173
"C-EEU-ROU","gas",2095,56.1
"C-EEU-ROU","electricity",2095,0.466608127007236
"C-EEU-ROU","gas",2100,56.1
"C-EEU-ROU","electricity",2100,0.427627303759299
"C-EEU-SVK","gas",2015,56.1
"C-EEU-SVK","electricity",2015,74.4344996261779
"C-EEU-SVK","gas",2020,56.1
"C-EEU-SVK","electricity",2020,62.3103287201451
"C-EEU-SVK","gas",2025,56.1
"C-EEU-SVK","electricity",2025,62.0826063973012
"C-EEU-SVK","gas",2030,56.1
"C-EEU-SVK","electricity",2030,46.7808556265147
"C-EEU-SVK","gas",2035,56.1
"C-EEU-SVK","electricity",2035,10.0402195882258
"C-EEU-SVK","gas",2040,56.1
"C-EEU-SVK","electricity",2040,8.38849163021043
"C-EEU-SVK","gas",2045,56.1
"C-EEU-SVK","electricity",2045,7.03080493016241
"C-EEU-SVK","gas",2050,56.1
"C-EEU-SVK","electricity",2050,6.52869174477698
"C-EEU-SVK","gas",2055,56.1
"C-EEU-SVK","electricity",2055,0.215771443419902
"C-EEU-SVK","gas",2060,56.1
"C-EEU-SVK","electricity",2060,0.224083233254128
"C-EEU-SVK","gas",2065,56.1
"C-EEU-SVK","electricity",2065,0.252397468568889
"C-EEU-SVK","gas",2070,56.1
"C-EEU-SVK","electricity",2070,0.280711703883651
"C-EEU-SVK","gas",2075,56.1
"C-EEU-SVK","electricity",2075,0.316769782443547
"C-EEU-SVK","gas",2080,56.1
"C-EEU-SVK","electricity",2080,0.352827861003443
"C-EEU-SVK","gas",2085,56.1
"C-EEU-SVK","electricity",2085,0.320659053270814
"C-EEU-SVK","gas",2090,56.1
"C-EEU-SVK","electricity",2090,0.288490245538184
"C-EEU-SVK","gas",2095,56.1
"C-EEU-SVK","electricity",2095,0.26624769600382
"C-EEU-SVK","gas",2100,56.1
"C-EEU-SVK","electricity",2100,0.244005146469456
"C-EEU-SVN","gas",2015,56.1
"C-EEU-SVN","electricity",2015,130.09160651266
"C-EEU-SVN","gas",2020,56.1
"C-EEU-SVN","electricity",2020,62.3103287201451
"C-EEU-SVN","gas",2025,56.1
"C-EEU-SVN","electricity",2025,62.0826063973012
"C-EEU-SVN","gas",2030,56.1
"C-EEU-SVN","electricity",2030,46.7808556265147
"C-EEU-SVN","gas",2035,56.1
"C-EEU-SVN","electricity",2035,10.0402195882258
"C-EEU-SVN","gas",2040,56.1
"C-EEU-SVN","electricity",2040,8.38849163021043
"C-EEU-SVN","gas",2045,56.1
"C-EEU-SVN","electricity",2045,7.03080493016241
"C-EEU-SVN","gas",2050,56.1
"C-EEU-SVN","electricity",2050,6.52869174477698
"C-EEU-SVN","gas",2055,56.1
"C-EEU-SVN","electricity",2055,0.377110800166898
"C-EEU-SVN","gas",2060,56.1
"C-EEU-SVN","electricity",2060,0.391637586777414
"C-EEU-SVN","gas",2065,56.1
"C-EEU-SVN","electricity",2065,0.441123300764526
"C-EEU-SVN","gas",2070,56.1
"C-EEU-SVN","electricity",2070,0.490609014751637
"C-EEU-SVN","gas",2075,56.1
"C-EEU-SVN","electricity",2075,0.553628896542672
"C-EEU-SVN","gas",2080,56.1
"C-EEU-SVN","electricity",2080,0.616648778333708
"C-EEU-SVN","gas",2085,56.1
"C-EEU-SVN","electricity",2085,0.560426302216426
"C-EEU-SVN","gas",2090,56.1
"C-EEU-SVN","electricity",2090,0.504203826099144
"C-EEU-SVN","gas",2095,56.1
"C-EEU-SVN","electricity",2095,0.465329795691271
"C-EEU-SVN","gas",2100,56.1
"C-EEU-SVN","electricity",2100,0.426455765283398
"C-WEU-AUT","gas",2015,56.1
"C-WEU-AUT","electricity",2015,56.0401368284137
"C-WEU-AUT","gas",2020,56.1
"C-WEU-AUT","electricity",2020,48.3773877791613
"C-WEU-AUT","gas",2025,56.1
"C-WEU-AUT","electricity",2025,48.2197646366903
"C-WEU-AUT","gas",2030,56.1
"C-WEU-AUT","electricity",2030,36.2683422640282
"C-WEU-AUT","gas",2035,56.1
"C-WEU-AUT","electricity",2035,9.45398399054671
"C-WEU-AUT","gas",2040,56.1
"C-WEU-AUT","electricity",2040,7.96224250479152
"C-WEU-AUT","gas",2045,56.1
"C-WEU-AUT","electricity",2045,8.40135781058664
"C-WEU-AUT","gas",2050,56.1
"C-WEU-AUT","electricity",2050,8.29693543055169
"C-WEU-AUT","gas",2055,56.1
"C-WEU-AUT","electricity",2055,0.138878275791398
"C-WEU-AUT","gas",2060,56.1
"C-WEU-AUT","electricity",2060,-0.265386294111025
"C-WEU-AUT","gas",2065,56.1
"C-WEU-AUT","electricity",2065,-0.128079094600405
"C-WEU-AUT","gas",2070,56.1
"C-WEU-AUT","electricity",2070,0.00922810491021501
"C-WEU-AUT","gas",2075,56.1
"C-WEU-AUT","electricity",2075,0.115303567131153
"C-WEU-AUT","gas",2080,56.1
"C-WEU-AUT","electricity",2080,0.221379029352091
"C-WEU-AUT","gas",2085,56.1
"C-WEU-AUT","electricity",2085,0.281989607882698
"C-WEU-AUT","gas",2090,56.1
"C-WEU-AUT","electricity",2090,0.342600186413307
"C-WEU-AUT","gas",2095,56.1
"C-WEU-AUT","electricity",2095,0.274260921868915
"C-WEU-AUT","gas",2100,56.1
"C-WEU-AUT","electricity",2100,0.205921657324525
"C-WEU-BEL","gas",2015,56.1
"C-WEU-BEL","electricity",2015,69.9908882051647
"C-WEU-BEL","gas",2020,56.1
"C-WEU-BEL","electricity",2020,48.3773877791613
"C-WEU-BEL","gas",2025,56.1
"C-WEU-BEL","electricity",2025,48.2197646366903
"C-WEU-BEL","gas",2030,56.1
"C-WEU-BEL","electricity",2030,36.2683422640282
"C-WEU-BEL","gas",2035,56.1
"C-WEU-BEL","electricity",2035,9.45398399054671
"C-WEU-BEL","gas",2040,56.1
"C-WEU-BEL","electricity",2040,7.96224250479152
"C-WEU-BEL","gas",2045,56.1
"C-WEU-BEL","electricity",2045,8.40135781058664
"C-WEU-BEL","gas",2050,56.1
"C-WEU-BEL","electricity",2050,8.29693543055169
"C-WEU-BEL","gas",2055,56.1
"C-WEU-BEL","electricity",2055,0.173450930443007
"C-WEU-BEL","gas",2060,56.1
"C-WEU-BEL","electricity",2060,-0.331452125093491
"C-WEU-BEL","gas",2065,56.1
"C-WEU-BEL","electricity",2065,-0.159963378016781
"C-WEU-BEL","gas",2070,56.1
"C-WEU-BEL","electricity",2070,0.011525369059929
"C-WEU-BEL","gas",2075,56.1
"C-WEU-BEL","electricity",2075,0.144007483447853
"C-WEU-BEL","gas",2080,56.1
"C-WEU-BEL","electricity",2080,0.276489597835777
"C-WEU-BEL","gas",2085,56.1
"C-WEU-BEL","electricity",2085,0.352188703264
"C-WEU-BEL","gas",2090,56.1
"C-WEU-BEL","electricity",2090,0.427887808692224
"C-WEU-BEL","gas",2095,56.1
"C-WEU-BEL","electricity",2095,0.342536021643686
"C-WEU-BEL","gas",2100,56.1
"C-WEU-BEL","electricity",2100,0.257184234595149
"C-WEU-CHE","gas",2015,56.1
"C-WEU-CHE","electricity",2015,15.3952561787785
"C-WEU-CHE","gas",2020,56.1
"C-WEU-CHE","electricity",2020,48.3773877791613
"C-WEU-CHE","gas",2025,56.1
"C-WEU-CHE","electricity",2025,48.2197646366903
"C-WEU-CHE","gas",2030,56.1
"C-WEU-CHE","electricity",2030,36.2683422640282
"C-WEU-CHE","gas",2035,56.1
"C-WEU-CHE","electricity",2035,9.45398399054671
"C-WEU-CHE","gas",2040,56.1
"C-WEU-CHE","electricity",2040,7.96224250479152
"C-WEU-CHE","gas",2045,56.1
"C-WEU-CHE","electricity",2045,8.40135781058664
"C-WEU-CHE","gas",2050,56.1
"C-WEU-CHE","electricity",2050,8.29693543055169
"C-WEU-CHE","gas",2055,56.1
"C-WEU-CHE","electricity",2055,0.0381524163658283
"C-WEU-CHE","gas",2060,56.1
"C-WEU-CHE","electricity",2060,-0.0729064955120587
"C-WEU-CHE","gas",2065,56.1
"C-WEU-CHE","electricity",2065,-0.0351856826930425
"C-WEU-CHE","gas",2070,56.1
